"nome_dei_beneficiari","titolo_progetto","asse","linea_di_intervento","anno_di_assegnazione_finanziamento","anno_di_pagamento_finale","ammontare_assegnato","totale_importo_pagato_alla_fine_dell_operazione","fund_type","currency","uri"
"COMUNE DI GRUMENTO NOVA","72/2009/14 - GRUMENTO NOVA - CONSOLIDAMENTO E RIPRISTINO AREA DESTINATA AD ATTIVITÀ SOCIO ASSISTENZIALE PALAZZO GILIBERTI","VI","VI.1.1.B",2009,2009,"150.000,00","150.000,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI GRUMENTO NOVA","76/2005/6 - ""INTERVENTO DI POTENZIAMENTO STRETTURALE ED ELIMINAZIONE BARRIERE ARCHITETTONICHE DELL'EDIFICIO SCOLASTICO VIA ZANARDELLI""","VI","VI.1.3.A",2009,2009,"19.975,15","19.975,14","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI GUARDIA PERTICARA","76/2007/21 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE DEL PLESSO SCOLASTICO DI VIA SERRONE","VI","VI.1.3.A",2007,2009,"4.681,44","4.681,44","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI IRSINA","76/2008/9 - SCUOLA MEDIA G. MASCOLO","VI","VI.1.3.A",2008,2009,"10.000,00","10.000,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI LAGONEGRO","72/2009/6 - LAGONEGRO - RISTRUTTURAZIONE COMPLETAMENTO/RISTRUTTURAZI ONE DELLA CASA DI RIPOSO M.L. COSENTINO","VI","VI.1.1.B",2009,2009,"200.000,00","200.000,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI LAURENZANA","76/2008/3 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE DELLA SCUOLA MATERNA, ELEMENTARE E MEDIA V. ALFIERI","VI","VI.1.3.A",2008,2009,"1.478,35","1.478,35","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI LAURENZANA","71/2006/5 - INTERVENTI SULL'EDILIZIA SCOLASTICA - NUOVA UBICAZIONE SCUOLA MATERNA...ADEGUAMENTO IMPIANTI TERMICI ISTITUTO COMPRENSIVO....E SCUOLA MATERNA","VI","VI.1.3.A",2009,,"189.052,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI LAURENZANA","71/2009/3 - LAURENZANA - INTERVENTI SANITARI E SOCIO- ASSISTENZIALI. RECUPERO EX CASA MANDAMENTALE","VI","VI.1.1.B",2009,,"482.500,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI LAURIA","72/2009/5 - LAURIA - REALIZZAZIONE DI UN ASILO NIDO NEI LOCALI SOTTOSTANTI LA SCUOLA MATERNA DEL RIONE SUPERIORE","VI","VI.1.1.B",2009,,"281.250,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI LAVELLO","72/2009/7 - LAVELLO - RISTRUTTURAZIONE E COMPLETAMENTO DEL CENTRO SOCIALE DI VIA FEDERICO DI SVEVIA.","VI","VI.1.1.B",2009,2009,"170.000,00","170.000,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI LAVELLO","72/2009/12 - LAVELLO - LAVORI DI AMPLIAMENTO DELL'ASILO NIDO DI VIA VERDI","VI","VI.1.1.B",2009,,"283.808,10",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MARATEA","76/2007/26 - ""LAVORI DI POTENZIAMENTO FUNZIONALE ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA MATERNA/ELEMENTARE DI PORTO SCALO E SCUOLA MEDIA CASIMIRO GENNARI"" ""","VI","VI.1.3.A",2009,2009,"56.964,56","56.964,56","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MARSICONUOVO","76/2007/25 - ""LAVORI DI POTENZIAMENTO FUNZIONALE ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA MEDIA STATALE B. CROCE IN VIA CAMPITELLI""","VI","VI.1.3.A",2009,2009,"36.068,82","36.068,82","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MARSICONUOVO","76/2009/3 - MIGLIORAMENTO SCUOLA MEDIA STATALE B. CROCE IN VIA CAMPITELLI","VI","VI.1.3.A",2009,,"160.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MASCHITO","76/2007/24 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA MEDIA STATALE F.LLI GIURA IN VIA FOSCOLO","VI","VI.1.3.A",2007,2009,"13.058,75","13.058,75","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MIGLIONICO","76/2008/6 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE DELL'ISTITUTO COMPRENSIVO SITO IN VIA ESTRAMURALE CASTELLO","VI","VI.1.3.A",2008,2009,"32.162,76","32.162,76","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MIGLIONICO","76/2005/5 - ""LAVORI DI MIGLIORAMENTO FUNZIONALE E RIMOZIONE BARRIERE ARCHITETTONICHE DELLA SCUOLA MEDIA VIA ESTRAMURALE CASTELLO""","VI","VI.1.3.A",2009,2009,"98.284,56","98.284,56","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MOLITERNO","71/2006/6 - INTERVENTI IN MATERIA DI SICUREZZA ED ACCESSIBILITA' DI EDIFICI SCOLASTICI - ISTITUTO COMPRENSIVO","VI","VI.1.3.A",2009,,"125.789,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MONTESCAGLIOSO","76/2007/42 - EDIFICIO SCOLASTICO DELLE PRIMARIE ""DON LIBORIO PALAZZO""","VI","VI.1.3.A",2007,2009,"60.254,65","60.254,62","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MURO LUCANO","76/2004/2 - LAVORI DI MIGLIORAMENTO FUNZIONALE E RIMOZIONE BARRIERE ARCHITETTONICHE, SCUOLA MEDIA ""GIOVANNI PASCOLI""","VI","VI.1.3.A",2009,2009,"81.340,53","81.340,53","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI NEMOLI","76/2007/27 - ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE","VI","VI.1.3.A",2007,2009,"9.000,00","9.000,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI NEMOLI","76/2007/34 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE","VI","VI.1.3.A",2007,2009,"4.305,15","4.305,15","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI NOEPOLI","76/2008/4 - ""LAVORI DI MIGLIORAMENTO FUNZIONALE ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA MEDIA A. RINALDI ""","VI","VI.1.3.A",2009,2009,"43.364,90","43.364,90","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI NOVA SIRI","72/2009/13 - NOVA SIRI - REALIZZAZIONE DI UN PLESSO DI ASILO NIDO IN MARINA DI NOVA SIRI","VI","VI.1.1.B",2009,,"345.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI OLIVETO LUCANO","76/2007/38 - SCUOLA MATERNA ED ELEMENTARE VIA DELLA LIBERTÀ","VI","VI.1.3.A",2007,2009,"3.926,37","3.826,08","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI OPPIDO LUCANO","76/2007/23 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA MATERNA,ELEMENTARE E MEDIA F. GIANNONE","VI","VI.1.3.A",2007,,"20.204,10",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI PALAZZO SAN GERVASIO","76/2007/50 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE DELLA SCUOLA ELEMENTARE ""DON BOSCO""","VI","VI.1.3.A",2007,2009,"30.552,55","30.522,55","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI PICERNO","76/2007/22 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE SCUOLA ELEMENTARE O.PAGANO","VI","VI.1.3.A",2007,,"12.319,57",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI PIETRAGALLA","76/2007/19 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA MEDIA SEN. MARIO ZOTTA","VI","VI.1.3.A",2007,,"37.697,90",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI PIETRAPERTOSA","76/2008/10 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, EDIFICIO SCOLASTICO IN VIA S, ANGELO","VI","VI.1.3.A",2008,2009,"3.203,09","3.203,09","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI POLICORO","72/2009/10 - POLICORO - AMPLIAMENTO DELL'ASILO COMUNALE DI VIA COLOMBO","VI","VI.1.1.B",2009,2009,"185.649,00","185.649,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI RAPONE","76/2007/31 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA PAPA GIOVANNI XXIII DI VIA MANZONI","VI","VI.1.3.A",2009,2009,"17.197,65","17.197,65","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI RIONERO IN VULTURE","76/2007/62 - SCUOLA MEDIA MICHELE GRANATA - POTENZIAMENTO STRUTTURALE ED ELIMINAZIONE BARRIERE ARCHITETTONICHE","VI","VI.1.3.A",2007,,"95.846,29",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI ROCCANOVA","71/2006/2 - LAVORI DI COSTRUZIONE PALAZZETTO DELLO SPORT E COMPLETAMENTO STRUTTURA PER CENTRO POLIFUNZIONALE","VI","VI.1.2.A",2009,,"589.391,31",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI ROCCANOVA","76/2007/14 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA MATERNA, ELEMENTARE E MEDIA SITA IN VITA VITTORIO EMANUELE","VI","VI.1.3.A",2009,2009,"10.560,27","10.560,27","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI ROTONDELLA","76/2004/7 - ""LAVORI DI MIGLIORAMENTO FUNZIONALE E RIMOZIONE BARRIERE ARCHITETTONICHE, I.P.S.I.A. DI ROTONDELLA""","VI","VI.1.3.A",2004,,"64.116,34",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI RUOTI","76/2007/30 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA MEDIA CARLUCCI","VI","VI.1.3.A",2009,2009,"19.707,20","19.707,20","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI RUVO DEL MONTE","76/2007/29 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, EDIFICIO SCOLASTICO A. BELLI","VI","VI.1.3.A",2009,2009,"9.035,15","9.035,15","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SAN CHIRICO NUOVO","76/2007/33 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA ELEMENTARE-MEDIA VIA GIARDINI","VI","VI.1.3.A",2007,2009,"6.159,79","6.159,79","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SAN CHIRICO RAPARO","76/2008/24 - EDIFICIO SCOLASTICO F.M. DE SARLO","VI","VI.1.3.A",2008,,"55.473,50",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SAN CHIRICO RAPARO","76/2009/5 - LAVORI DI MIGLIORAMENTO FUNZIOANLE ED ACCESSIBILITA' ALL'EDIFICIO SCOLASTICO SITO IN VIA ROMA","VI","VI.1.3.A",2009,,"191.854,31",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SAN CHIRICO RAPARO","72/2009/4 - SAN CHIRICO RAPARO - RECUPERO E RISTRUTTURAZIONE DI SANTA MARIA DA UTILIZZARE PER CASA DI RIPOSO","VI","VI.1.1.B",2009,,"691.700,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SAN COSTANTINO ALBANESE","76/2007/45 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, EDIFICIO SCOLASTICO SITO IN VIA VENETO","VI","VI.1.3.A",2007,2009,"3.942,26","3.942,26","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SAN GIORGIO LUCANO","76/2007/3 - ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE","VI","VI.1.3.A",2009,2009,"20.866,27","20.866,27","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SAN MARTINO D'AGRI","76/2008/5 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE DELL'EDIFICIO SCUOLA MATERNA","VI","VI.1.3.A",2008,2009,"6.398,51","6.398,51","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SAN MAURO FORTE","76/2007/57 - ISTITUTO COMPRENSIVO MATERNA, ELEMENTARE E MEDIE VIA PAPA GIOVANNI","VI","VI.1.3.A",2007,,"13.289,25",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SAN SEVERINO LUCANO","76/2007/32 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA ELEMENTARE DEL CENTRO ABITATO SITA IN VIA N. SOLE.","VI","VI.1.3.A",2007,2009,"12.073,18","12.073,18","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SANT'ANGELO LE FRATTE","76/2007/1 - EDIFICIO SCOLASTICO COMUNALE UBICATO IN VIA CIMITERO - SANT'ANGELO LE FRATTE","VI","VI.1.3.A",2009,2009,"15.179,00","15.179,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SANT'ARCANGELO","76/2007/48 - ""LAVORI DI APOTENZIAMENTO FUNZIONALE ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA ELEMENTARE S. BRACATO ""","VI","VI.1.3.A",2007,2009,"37.697,90","37.697,90","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SANT'ARCANGELO","71/2006/1 - LAVORI DI COSTRUZIONE PISCINA COMPRENSORIALE","VI","VI.1.2.A",2009,2009,"531.578,62","531.542,62","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SANT'ARCANGELO","76/2006/2 - ""LAVORI DI MIGLIORAMENTO STRUTTURALE DELLA SCUOLA MEDIA NEL CENTRO STORICO DI SANT'ARCANGELO""","VI","VI.1.3.A",2009,2009,"69.654,00","69.654,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SANT'ARCANGELO","71/2006/3 - LAVORI DI MIGLIORAMENTO STRUTTURALE E ACCESSIBILITA'.SC.ELEM.S.BRANCA TO","VI","VI.1.3.A",2009,,"196.754,38",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SANT'ARCANGELO","71/2006/4 - AD. SIC. ED ACC. SCUOLA ELEM. CORSO UMBERTO I","VI","VI.1.3.A",2009,,"299.755,92",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SANT'ARCANGELO","71/2009/1 - SANT'ARCANGELO - LAVORI DI REALIZZAZIONE DI STRUTTURA SOCIO-SANITARIA","VI","VI.1.1.B",2009,,"829.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SARCONI","76/2007/47 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA ELEMENTARE A. MORO","VI","VI.1.3.A",2007,,"13.305,15",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SARCONI","76/2005/1 - LAVORI DI MIGLIORAMENTO FUNZIONALE SCUOLA ELE. E MEDIA A. MORO","VI","VI.1.3.A",2009,2009,"31.173,36","31.173,36","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SASSO DI CASTALDA","72/2009/1 - SASSO DI CASTALDA - REALIZZAZIONE CENTRO DIURNO PER ANZIANI E FASCE DEBOLI","VI","VI.1.1.B",2009,,"426.826,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SASSO DI CASTALDA","76/2009/4 - LAVORI DI MIGLIORAMENTO FUNZIONALE DELL'EDIFICIO SCOLASTICO ELEMENTARE","VI","VI.1.3.A",2009,,"106.358,54",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SATRIANO DI LUCANIA","72/2009/8 - SATRIANO DI LUCANIA - ADEGUAMENTO LOCALI EX SCUOLA MATERNA DA ADIBIRE A CENTRO DIURNO PER ANZIANI","VI","VI.1.1.B",2009,,"170.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SATRIANO DI LUCANIA","76/2007/15 - ""SCUOLA MEDIA E MATERNA IN VIA G. FORTUNATO - SATRIANO DI LUCANIA""","VI","VI.1.3.A",2009,2009,"20.399,95","20.399,95","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SCANZANO IONICO","76/2007/39 - SCUOLA MEDIA F. RONDINELLI E DELL'ANNESSA PALESTRA IN VIA TRATTURO DEL RE","VI","VI.1.3.A",2007,,"69.617,52",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SENISE","76/2008/11 - ""LAVORI DI MIGLIORAMENTO FUNZIONALE ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA ELEMENTARE PLESSO DI SAN PIETRO ""","VI","VI.1.3.A",2008,2009,"52.727,78","52.727,78","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI SPINOSO","72/2009/11 - SPINOSO - RISTRUTTURAZIONE CASA DI RIPOSO PER ANZIANI IN CDA IMPROSTA","VI","VI.1.1.B",2009,,"510.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI STIGLIANO","76/2007/36 - LAVORI DI POTENZIAMENTO FUNZIONALE ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA MATERNA ED ELEMENTARE E MEDIA DI VIA BERARDI E SCUOLA MATERNA ED ELEMENTARE DI VIA ROMA","VI","VI.1.3.A",2007,,"60.254,65",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI TEANA","76/2008/25 - SCUOLA ELEMENTARE E MEDIA","VI","VI.1.3.A",2008,,"6.406,18",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI TITO","76/2007/44 - ""LAVORI DI APOTENZIAMENTO FUNZIONALE ED ELIMINAZIONE BARRIERE ARCHITETTONICHE, SCUOLA MEDIA GIOVANNI PASCOLI ""","VI","VI.1.3.A",2007,,"39.847,45",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI TRAMUTOLA","72/2009/2 - TRAMUTOLA - COMPLETAMENTO CENTRO ASSISTENZA FASCE DEBOLI ""SPOLIDORO LENNI""","VI","VI.1.1.B",2009,,"107.196,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI TRIVIGNO","76/2007/9 - PREMIALITÀ PES - MATERNA VIA GARIBALDI - ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELIMINAZIONE BARRIERE ARCHITETTONICHE","VI","VI.1.3.A",2009,2009,"6.621,34","6.621,34","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI TURSI","76/2007/56 - SCUOLA MEDIA STATALE S. ANDREA D'AVELLINO","VI","VI.1.3.A",2007,,"48.928,58",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI VALSINNI","76/2007/37 - SCUOLA ELEMENTARE E MEDIA ""G. FORTUNATO""","VI","VI.1.3.A",2007,2009,"52.401,91","52.399,50","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI VIETRI DI POTENZA","76/2008/7 - LAVORI DI ADEGUAMENTO ALLE NORME DI SICUREZZA ED ELOMINAZIONE BARRIERE ARCHITETTONICHE DELLA SCUOLA MEDIA ED ELEMEMTARE G.ALBINI E SCUOLA MATERNA STATALE","VI","VI.1.3.A",2008,,"16.754,62",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI VIGGIANELLO","76/2007/2 - ISTITUTO COMPRENSIVO ANZOLECONTE - VIGGIANELLO","VI","VI.1.3.A",2009,2009,"115.740,58","115.740,58","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"ACQUEDOTTO LUCANO S.P.A.","75/2004/1 - RETE FOGNARIA ZONA DI ESPANSIONE - ZONA B DEL COMUNE DI CALVELLO","VII","VII.2.1.A",2004,,"925.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"ACQUEDOTTO LUCANO S.P.A.","75/2004/2 - RETE FOGNARIA ZONA DI ESPANSIONE - ZONA A (FOSSO SANTILE) DEL COMUNE DI CALVELLO","VII","VII.2.1.A",2004,,"925.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI LAVELLO","75/2009/1 - PROGETTO RACCOLTA DIFFERENZIATA NEL VULTURE- MELFESE.","VII","VII.3.1.A",2009,,"1.766.733,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNITA' MONTANA BASSO SINNI - TURSI","75/2009/3 - PROGETTO RACCOLTA DIFFERENZIATA R.S.U. - FASCIA JONICA, SUB-AMBITO 1 - C.M. BASSO SINNI","VII","VII.3.1.A",2009,,"1.478.187,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","75/2008/1 - VIE BLU - STRALCIO ESECUTIVO 2008","VII","VII.4.1.A",2008,,"13.100.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","75/2009/4 - VIE BLU - STRALCIO ESECUTIVO 2009","VII","VII.4.1.A",2009,,"12.500.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"SVILUPPO BASILICATA SpA - FONDO DI GARANZIA - PO FESR 2007-2013 - DGR 2124 DEL 15 DICEMBRE 2009","73/2009/17 - FONDO DI GARANZIA - PO FESR BASILICATA 2007-2013 - DGR 2124 DEL 15 DICEMBRE 2009","VII","VII.1.2.A",2009,2009,"6.000.000,00","6.000.000,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"SVILUPPO BASILICATA SpA - FONDO DI GARANZIA - PO FESR 2007-2013 - DGR 2124 DEL 15 DICEMBRE 2009","73/2009/13 - FONDO DI GARANZIA - PO FESR BASILICATA 2007-2013 - DGR 2124 DEL 15 DICEMBRE 2009","VII","VII.1.3.A",2009,2009,"4.000.000,00","4.000.000,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MATERA","71/2008/5 - RINNOVO CONTRATTO DI COLLABORAZIONE PER LA CHIUSURA DEL PISU CITTÀ DI MATERA","VIII","VIII.1.2.B",2008,,"13.702,94",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MATERA","81/2009/9 - CONTRATTO DI COLLABORAZIONE PER LE ATTIVITÀ DI CHIUSURA DEL PISU CITTÀ DI MATERA - PROROGA AL 31/12/2009","VIII","VIII.1.2.B",2009,,"14.818,30",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI POTENZA","81/2008/4 - PROROGA CONTRATTI DI COLLABORAZIONE PER LA CHIUSURA DEL PISU POTENZA.","VIII","VIII.1.2.B",2008,,"47.880,38",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI POTENZA","81/2009/8 - CONTRATTI DI COLLABORAZIONE PER LE ATTIVITÀ DI CHIUSURA DEL PISU CITTÀ DI POTENZA - PROROGA AL 31/12/2009","VIII","VIII.1.2.B",2009,,"44.454,87",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","81/2007/2 - ORGANIZZAZIONE DI UN LABORATORIO SULLE STRATEGIE DI INFORMAZIONE E COMUNICAZIONE DELLA PROGRAMMAZIONE COMUNITARIA 2007/2013.","VIII","VIII.1.1.C",2007,2009,"303,60","303,60","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/10 - AFFIDAMENTO DIRETTO DEL SERVIZIO DI STAMPA CARTELLINE PO FESR 2007/2013","VIII","VIII.1.4.A",2009,2009,"1.680,00","1.680,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
