Denominazione del Beneficiario,Titolo del Progetto,Comune,Anno di assegnazione del contributo pubbico,Contributo Pubblico Assegnato (Fesr+Stato+Regione)
Comune di Terranuova Bracciolini,".R. 50/94 interventi di sistemazioneidraulica per la 
messa in sicurezza dell'abitato di Terranuova 
Bracciolini mediante la realizzazione di una cassa di 
espansione",Terranuova Bracciolini,2009,1.696.028
Comune di Calenzano,"Realizzazione casse di espansione per i torrenti Marina 
Lotto 4 - località Torri nord (torrente Marina)",Calenzano,2009,74079.0
Comune di Calenzano,"Realizzazione casse di espansione per i torrenti Marina 
Lotto 5 - località Torri sud (Torrente Marina)",Calenzano,2009,224718.0
"Consorzio di Bonifica Ombrone 
Pistoiese","Interventi di sistemazione del Fosso Dogaia - Quadrelli
e cassa di espansione a Ponte agli Olmi - I stralcio",Quarrata,2009,507855.0
Provincia di Lucca,"Adeguamento del fiume Camaiore alla portata 
duecentennale. 3° lotto",Camaiore,2009,338129.0
Provincia di Pisa,"Lavori di messa in sicurezza idraulica in località La 
Bianca",Peccioli,2009,588396.0
Provincia di Lucca,"Adeguamento del fiume Camaiore alla portata 
duecentennale.2° lotto",Camaiore,2009,253597.0
Provincia di Lucca,"Adeguamento del fiume Camaiore alla portata 
duecentennale.1° lotto",Camaiore,2009,287410.0
Provincia di Livorno,"Lavori in somma urgenza sul Torrente Isola in loc. 
Guinceri nel Comune di Collesalvetti",Collesalvetti,2009,245144.0
Provincia di Livorno,"Manutenzione straordinaria della spiaggia di Marina di 
Cecina",Cecina,2009,245144.0
Comune di Fivizzano,"Messa in sicurezza dell'abitato di Signano e opere di 
completamento di ingegneria naturalistica",Fivizzano,2009,236691.0
Provincia di Massa Carrara,"Lavori urgenti di salvaguardia della fascia costiera nel 
tratto compreso tra Marina di Massa e loc. I Ronchi- 
Poveromo nel Comune di Massa",Massa,2009,228237.0
Comunità Montana Garfagnana,Sistemazione alveo fiume Serchio di Gramolazzo,Minucciano,2009,97212.0
Provincia di Lucca,"Adeguamento del Torrente Freddana a valle della loc. 
Al Bastiano in sx e dx idraulica del ponte comunale ",Lucca,2009,199491.0
Provincia di Lucca,"Interventi per ridurre la pericolosità del versante sulla 
viabilità provinciale di fondovalle.Località Bolognana",Gallicano,2009,338129.0
Comune di Prato,"Opere di sistemazione e regimazione idraulica del 
torrente Bardena Iolo a monte dell'abitato di Figline",Prato,2009,392230.0
"Consorzio di Bonifica Area 
Fiorentina","“Ripristino funzionale della traversa Il Serrone ed 
adeguamento arginale – I° e II° lotto lavori in Comune 
di Calenzano",Calenzano,2009,190198.0
Comune di Marciana,Rimpascimento degli arenili di Chiessi e Pomonte,Marciana,2009,88676.0
"Consorzio di Bonifica della Toscana
Centrale","interventi di sistemazione del torrente Greve 
nell'abitato di Greve in Chianti muro di sponda- opere 
strutturali (lotto B1) e opere complementari (lotto B2)",Greve in Chianti,2009,214792.0
Comune di Vicchio,"Recupero dissesto scarpata strada comunale fraz. 
Villore",Vicchio,2009,19944.0
Consorzio di Bonifica Renana,"Lavori complementari alla messa in sicurezza della 
pendice franosa il località Piancaldoli Comune di 
Firenzuola",Firenzuola,2009,30000.0
"Consorzio di Bonifica Ombrone 
Pistoiese","Interventi di manutenzione straordinaria sulla muratura
lato fiume in dx idraulica del Torrente Ombrone 
Pistoiese loc. Ferruccia",Quarrata,2009,159158.0
Provincia di Prato,Ringrosso arginale del torrente Agna in loc. Pantano,Montemurlo,2009,158557.0
Consorzio di Bonifica Grossetano,"Ripristino della spiaggia di Bocca d'Ombrone e 
regimazione interna delle acque, al fine della riduzione 
dell'intrusione del cuneo salino",Grosseto,2009,1.670.136
