Asse,Attivita,Beneficiario,Titolo Intervento,Provincia,Anno Finanziamento,"Contributo
Ammesso
(Totale)","Contributo
Ammesso (FESR)","Contributo
Liquidato (Totale)","Contributo
Liquidato (FESR)"
1,1.1.a.2,MEETING S.R.L.,"NUOVE SOLUZIONI VERNICI
ALL'ACQUA PER APPLICAZIONI A
COMPONENTI E METALLI USO
CIVILE E INDUSTRIALE",PN,2009,"134.902,01","33.050,99","134.398,45","32.927,61"
1,1.1.a.2,MOROSO S.P.A.,"l'innovazione applicativa della
tecnologia dei materiali
termoplastici per realizzare
prodotti di ar",UD,2009,"63.731,00","15.614,10","54.061,19","13.244,99"
1,1.1.a.2,OFFICINE EL.ME SRL,"Nuova generazione di troncatrici
radiali passanti",PN,2009,"148.621,79","36.412,34",,
1,1.1.a.2,ONDA COMMUNICATION S.P.A.,"Studio e sperimentazione di una
piattaforma hardware e software
per lo sviluppo di nuovi prodotti
mu",PN,2009,"365.076,49","89.443,74",,
1,1.1.a.2,ONDA COMMUNICATION S.P.A.,"Studio e sperimentazione di un
sistema di videosorveglianza su
rete di telefonia mobile",PN,2009,"216.665,26","53.082,99",,
1,1.1.a.2,ONDA COMMUNICATION S.P.A.,"Studio, sperimentazione e
sviluppo di un dispositivo modem
USB HIGH SPEED",PN,2009,"147.251,41","36.076,60",,
1,1.1.a.2,OVER I.T. SRL,"Studio e realizzazione -
Infrastruttura CRM LIGHT Open
Source per PMI",PN,2009,"485.847,52","119.032,64","485.847,52","119.032,64"
1,1.1.a.2,PATRICIA MILTON S.R.L.,"SPERIMENTAZIONE COSMETICI
COMPATIBILI CON ALLERGIE",UD,2009,"187.969,12","46.052,43",,
1,1.1.a.2,POTOCCO S.P.A.,"CREAZIONE DI PROTOTIPI DI
SEDUTE, TAVOLI E COMPLEMENTI
D'ARREDO",UD,2009,"225.253,18","55.187,03",,
1,1.1.a.2,QNET SRL,"Studio di algoritmi e metodologie
per lo sviluppo di un sistema di
visione ad alte prestazioni per a",UD,2009,"204.344,87","50.064,49",,
1,1.1.a.2,QUALITY FOOD GROUP SPA,"Progetto acrilamide e prodotti
pre/probiotici",UD,2009,"220.780,70","54.091,27","192.987,94","47.282,04"
1,1.1.a.2,RO-SA PLAST S.P.A.,Tecniche di simulazione numerica,PN,2009,"462.802,94","113.386,72","388.459,29","95.172,52"
1,1.1.a.2,SERTUBI S.P.A.,"Progettazione e messa a punto di
un nuovo sistema antisfilamento",TS,2009,"197.648,99","48.424,00",,
1,1.1.a.2,S.F.S. INTEC S.P.A.,"Nuova famiglia di cerniere e nuovi
processi di assemblaggio e
confezionamento",PN,2009,"58.724,74","14.387,56",,
1,1.1.a.2,SIM2 MULTIMEDIA S.P.A.,"Sistemi per applicazioni
cinematografiche e professionali a
tre dimensioni",PN,2009,"485.716,51","119.000,54","135.879,51","33.290,47"
1,1.1.a.2,SIPRO - SISTEMI INTEGRATI PER L'INNOVAZIONE DI PROCESSO S.R.L.,"Studio e sperimentazione di
sistemi di comunicazione",PN,2009,"156.456,86","38.331,93",,
1,1.1.a.2,SNAIDERO RINO S.P.A.,Product LifeCycle Management,UD,2009,"149.941,28","36.735,61","143.818,20","35.235,45"
1,1.1.a.2,SOLARI DI UDINE S.P.A.,"Sistemi avanzati di orologeria
industriale basati su protocollo
NPT (NETWORK TIME
PROTOCOL)",UD,2009,"420.519,31","103.027,23",,
1,1.1.a.2,SOLARI DI UDINE S.P.A.,"Sistemi wireless di pagamento e
identificazione",UD,2009,"487.198,31","119.363,59",,
1,1.1.a.2,STABILIMENTO ORTOPEDICO VARIOLO S.R.L.,"Ideazione e prototipazione di un
sistema ad inversione del moto
per il miglioramento dell'efficacia",UD,2009,"196.955,59","48.254,12",,
1,1.1.a.2,SYSDATA ITALIA S.P.A.,"COMMA, ""Piattaforma software
per la comunicazione telematica
multiscopo, multimediale, facente
uso d",TS,2009,"463.056,74","113.448,90","452.251,31","110.801,56"
1,1.1.a.2,TECNOPRESS S.P.A.,"Studio e sviluppo pannello di
rottura piano",PN,2009,"87.460,60","21.427,85","66.622,47","16.322,50"
1,1.1.a.2,TELIT COMMUNICATIONS,"Piattaforma GPRS single chip per
applicazioni M2M per segmento
automotive",TS,2009,"1.297.120,42","317.794,50",,
1,1.1.a.2,TT S.R.L.,"STUDIO DI UN IMPIANTO PILOTA
PER LA PRODUZIONE DI
MODERNE TIPOLOGIE
ALIMENTARI",UD,2009,"360.957,24","88.434,52",,
2,2.1.a.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Adeguamento funzionale agibilità
della baita Mesule, Tarvisio (UD)",UD,2009,"100.000,00","24.500,00",,
2,2.1.a.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Completamento allestimenti e
sistemazioni esterne del Centro
Didattico Naturalistico, Basovizza
(TS)",TS,2009,"300.000,00","73.500,00",,
2,2.1.a.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Manutenzione straordinaria e
ampliamento a fini turistici della
baita Winkel, Pontebba (UD)",UD,2009,"150.000,00","36.750,00",,
2,2.1.a.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Recupero ambientale a fini
turistici della grotta III, Trieste -
Basovizza",TS,2009,"100.000,00","24.500,00",,
2,2.1.a.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Recupero ambientale a fini
turistici della grotta XII, Trieste -
Padriciano (TS)",TS,2009,"100.000,00","24.500,00",,
2,2.1.a.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Sistemazione del fabbricato
Centro visite di Villa Emma, Barcis
(PN)",PN,2009,"250.000,00","61.250,00",,
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento di consolidamento di
versante in frana e regimazione
idraulica lungo il rio Malborghetto",UD,2009,"2.005.137,36","491.258,65","1.919.643,87","470.312,74"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento di prevenzione caduta
massi mediante realizzazione di
opere passive lungo Via Nazionale",UD,2009,"268.062,00","65.675,19","101.588,40","24.889,15"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento di realizzazione opere
di captazione, regimazione e scolo
acque meteoriche",PN,2009,"1.598.773,04","391.699,39","1.507.395,59","369.311,91"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento di regimazione
idraulica del torrente Aupa dal
capoluogo a Bevorchians",UD,2009,"1.227.965,18","300.851,46","1.221.557,24","299.281,51"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento di regimazione
idraulica del torrente Saisera e del
rio del Salto",UD,2009,"552.079,33","135.259,43","204.335,05","50.062,08"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento di ripristino e
consolidamento della viabilità
comunale da Ugovizza a località
Segheria",UD,2009,"668.190,00","163.706,55","402.295,48","98.562,39"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento di sistemazione e
messa in sicurezza viabilità della
Val Dogna",UD,2009,"1.198.442,17","293.618,33","946.589,81","231.914,50"
2,2.1.c.2,"REGIONE AUTONOMA FRIULI
VENEZIA GIULIA","Intervento di sistemazione
idraulica del Rio Ciofnik e del
fiume Fella",UD,2009,"1.352.114,40","331.268,02","690.240,00","169.108,79"
