"POSIZIONE IN GRADUATORIA","N. PROGETTO","SOGGETTO PROPONENTE / CAPOFILA ATI-ATS","PARTNER IN ATI/ATS","TITOLO DEL PROGETTO","ASSE INCLUSIONE SOCIALE","ASSE OCCUPABILITA'","Totale"
1,11,"Associazione CNOS FAP Regione Umbria - sede di Marsciano Sede legale: Via Don Bosco, 5 06121 Perugia
Sede operativa: Via Tuderte, 7/B
06055 Marsciano (PG)"," /","FORTIFY Fortificare le professionalità OVER 45 nel settore turistico-ricettivo",27000,74160,101160
2,26,"FRONTIERA LAVORO  Via Berenice, 2                      06127 Perugia","CULTURA E LAVORO","OVER QUARANTACINQUE: Addetto al magazzino in farmacia",27000,74160,101160
