Nome del Beneficiario,Nome dell’operazione,Importo impegnato,Importi totali pagati alla fine del progetto
CentralCom S.p.a.,"Realizzazione delle reti MAN nelle città di Terni, Città di Castello ed Orvieto (DD. n. 10068 del 7/11/2008)","€ 1.580.000,00",""
CentralCom S.p.a.,Estensione della rete pubblica regionale in coerenza con il Piano Telematico (DGR n. 1676 del 1/12/2008),"€ 2.200.000,00",""
CentralCom S.p.a.,Attrezzaggio tecnologico del backbone (“accensione” della fibra ottica ed even- tuale collegamento delle utenze pubbli- che) lungo la Ferrovia Centrale Umbra. (DD. n. 2742 del 25/03/2009),"€ 1.000.000,00",""
Comunità Montana - Associazione dei Comuni “Trasimeno - Medio Tevere”,Contributo per l’estensione della rete pubblica regionale in attuazione dell’atto n. 1676/2008.,"€ 416.000,00",""
