ASSE,"OBIETTIVO
SPECIFICO",BENEFICIARIO,AVVISO,OPERAZIONE,"ANNO
FINANZIAMENTO","IMP FINANZIAMENTO
PUBBLICO",IMPORTO PAGATO
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
BERNALDA","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - LINGUAGGI ESPRESSIVI E COMUNICAZIONE
DI IMMAGINE: LABORATORIO DI ESPRESSIONE
CORPOREA, TEATRALE ED EDUCAZIONE
ALL'IMMAGINE",2008,"20.000,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
BERNALDA","Rafforzamento e qualificazione offerta
formativa scolastica","CG2 - INNOVAZIONE E IMPRENDITORIA NEI SERVIZI
TURISTICI. LE OPPORTUNITA' DI SVILUPPO
OFFERTE DAL TURISMO DOLCE",2008,"18.000,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
BERNALDA","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - DA SE' AL MONDO, VALORIZZAZIONE
CONSAPEVOLE DEL PROPRIO BAGAGLIO STORICO,
CULTURALE, ARTISTICO E PAESAGGISTICO NELLE
ATTIVITA' DI SCAMBI SCOLASTICI",2008,"64.100,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
BERNALDA","Rafforzamento e qualificazione offerta
formativa scolastica","CS1 - FORUM DELLE SCELTE UNIVERSITARIE,
DELLE PROFESSIONI E DELLA MOBILITA' SCUOLA
LAVORO IN EUROPA",2008,"15.419,80"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE
BERNALDA","Rafforzamento e qualificazione offerta
formativa scolastica","CS7 - CORPO, REALAZIONI, CONFLITTO",2008,"20.000,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
BERNALDA","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - LE COMPETENZE DI BASE DELLA ICT AL
SERVIZIO DELLA SOSTENIBILITA'",2008,"24.000,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - PROGETTO ICT,2008,"13.436,60"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE
""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS7 - STRUMENTI DIGITALI E REALI PER
L'OSSERVAZIONE DEI FENOMENI ASTRONOMICI",2008,"6.822,50"
IV,i1,"ISTITUTO D'ISTRUZIONE SUPERIORE
""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS5 - LIBERI DALLE DIPENDENZE,2008,"20.000,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"12.000,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"32.640,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - LA VAL D'AGRI TRA NATURA, STORIA,
LETTERATURA",2008,"64.074,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - S.NA.C. SPORT- NATURA - AMBIENTE -
CULTURA",2008,"15.179,62"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE
""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - PROSSIMA FERMATA : IL FUTURO,2008,"11.411,00"
IV,h,"ISTITUTO D'ISTRUZIONE SUPERIORE ""G.
CERABONA""","Rafforzamento e qualificazione offerta
formativa scolastica","CG1 - LA RISCOPERTA DEGLI ANTICHI VITIGNI DEL
MEDIO BASENTO",2008,"13.364,88"
