ASSE,"OBIETTIVO
SPECIFICO",BENEFICIARIO,AVVISO,OPERAZIONE,"ANNO
FINANZIAMENTO","IMP FINANZIAMENTO
PUBBLICO",IMPORTO PAGATO
IV,i1,"ISTITUTO PROFESSIONALE PER I SERVIZI
ALBERGHIERI E DELLA RISTORAZIONE ""A.
TURI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS7 - F & B END HOTEL MANAGERS IN EUROPE,2008,"19.420,00"
IV,h,"ISTITUTO PROFESSIONALE PER I SERVIZI
ALBERGHIERI E DELLA RISTORAZIONE ""A.
TURI""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"113.950,95"
IV,h,"ISTITUTO PROFESSIONALE PER I SERVIZI
ALBERGHIERI E DELLA RISTORAZIONE ""A.
TURI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG2 - VALORIZZAZIONE PRODOTTI TIPICI: IL PIATTO
E' RACCONTATO",2008,"14.498,00"
IV,h,"ISTITUTO PROFESSIONALE PER I SERVIZI
ALBERGHIERI E DELLA RISTORAZIONE ""A.
TURI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - IL MODERNO BARMAN ""TRA ACROBAZIE E
DECORAZIONI""",2008,"14.121,54"
IV,h,"ISTITUTO PROFESSIONALE PER
L'AGRICOLTURA E L'AMBIENTE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"119.673,00"
IV,h,"ISTITUTO PROFESSIONALE PER
L'AGRICOLTURA E L'AMBIENTE ""G.
FORTUNATO""","Rafforzamento e qualificazione offerta
formativa scolastica",QP1 - LABORATORIO DELLE COMPETENZE,2008,"60.037,00"
IV,i1,"ISTITUTO PROFESSIONALE STATALE PER I
SERVIZI ALBERGHIERI E DELLA
RISTORAZIONE","Rafforzamento e qualificazione offerta
formativa scolastica",CS3 - CONQUISTARE NUOVE AUTONOMIE,2008,"22.000,00"
IV,h,"ISTITUTO PROFESSIONALE STATALE PER I
SERVIZI ALBERGHIERI E DELLA
RISTORAZIONE","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"115.200,00"
IV,h,"ISTITUTO PROFESSIONALE STATALE PER I
SERVIZI ALBERGHIERI E DELLA
RISTORAZIONE","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - IMPRENDITORIALITA' E CATERING,2008,"18.000,00"
IV,h,"ISTITUTO PROFESSIONALE STATALE PER I
SERVIZI ALBERGHIERI E DELLA
RISTORAZIONE","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - GLOBALIZZAZIONE: TIPICITA' LOCALI E
DIFFUSIONE NAZIONALE",2008,"20.000,00"
IV,h,"ISTITUTO STATALE COMMERCIALE PER
GEOMETRI ""VITTORINO D'ALESSANDRO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG2 - APPRENDIMPRESA (LA SCUOLA EDUCA
ALL'IMPRENDITORIALITA')",2008,"18.000,00"
IV,h,"ISTITUTO STATALE COMMERCIALE PER
GEOMETRI ""VITTORINO D'ALESSANDRO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - GALEOTTA FU LA SCUOLA,2008,"18.000,00"
IV,h,"ISTITUTO STATALE COMMERCIALE PER
GEOMETRI ""VITTORINO D'ALESSANDRO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - IL CINEMA DOCUMENTARIO,2008,"19.890,00"
IV,h,"ISTITUTO STATALE COMMERCIALE PER
GEOMETRI ""VITTORINO D'ALESSANDRO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - LA PATENTE DI GUIDA EUROPEA PER IL CAD,2008,"24.000,00"
IV,i1,"ISTITUTO STATALE COMMERCIALE PER
GEOMETRI ""VITTORINO D'ALESSANDRO""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"19.683,54"
IV,h,"ISTITUTO STATALE COMMERCIALE PER
GEOMETRI ""VITTORINO D'ALESSANDRO""","Rafforzamento e qualificazione offerta
formativa scolastica",QP1 - LABORATORIO DELLE COMPETENZE,2008,"51.210,00"
IV,i1,ISTITUTO STATALE D'ARTE,"Rafforzamento e qualificazione offerta
formativa scolastica",CS3 - ARTABILIA,2008,"33.532,00"
IV,h,ISTITUTO STATALE D'ARTE,"Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"15.360,00"
IV,h,ISTITUTO STATALE D'ARTE,"Rafforzamento e qualificazione offerta
formativa scolastica","CG1 - DA DISEGNO TRADIZIONALE ALLA
COMPUTER GRAFICA",2008,"10.680,00"
IV,h,ISTITUTO STATALE D'ARTE,"Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - ALLE PRESE CON L'IMPRESA,2008,"12.000,00"
IV,h,ISTITUTO STATALE D'ARTE,"Rafforzamento e qualificazione offerta
formativa scolastica","CG3 - CLEAR - COMPORTAMENTO E LEGALITA'
AMBIENTALE RAGAZZI",2008,"18.000,00"
IV,h,ISTITUTO STATALE D'ARTE,"Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - GRAET MINDS THINK ALIKE,2008,"45.000,00"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE "" FRANCESCO DE SARLO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - CONNECTING LOCAL DENTITIES TO BECOME
EUROPEAN CITIZENS",2008,"63.551,61"
IV,i1,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE "" FRANCESCO DE SARLO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - UNA SCUOLA BELLA NON SI ABBANDONA,2008,"27.108,45"
IV,i1,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE "" FRANCESCO DE SARLO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS3 - INOLTRE,2008,"16.000,00"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""E. BATTAGLINI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - ORIENTAMENTO,2008,"7.200,00"
IV,i1,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""E. BATTAGLINI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS3 - PRODUZIONE IN SERRA DEL FUNGO
CARDONCELLO",2008,"23.707,09"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""E. BATTAGLINI""","Rafforzamento e qualificazione offerta
formativa scolastica","SL1 - TECNICO DELL'INNOVAZIONE E DELLA
QUALITA'",2008,"44.800,00"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""E. BATTAGLINI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG3 - LABORATORIO DI CITTADINANZA
DEMOCRATICA",2008,"9.733,76"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""E. BATTAGLINI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - LABORATORIO DI LINGUA INGLESE,2008,"10.230,42"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""LEONARDO SINISGALLI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - COMPETENZE PER L'INNOVAZIONE,2008,"18.000,00"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""LEONARDO SINISGALLI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - EDUCAZIONE ALL'IMPRENDITORIALITA',2008,"18.000,00"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""LEONARDO SINISGALLI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - WELCOME SENISE,2008,"44.498,78"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""LEONARDO SINISGALLI""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"10.880,00"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""LEONARDO SINISGALLI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - PERCORSI DI ORIENTAMENTO,2008,"9.922,09"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""LEONARDO SINISGALLI""","Rafforzamento e qualificazione offerta
formativa scolastica","QP1 - Laboratorio delle competenze,progettaz.Didattica
e Valutazione",2008,"8.601,02"
IV,i1,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""LEONARDO SINISGALLI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS5 - FUORI DALLE DIPENDENZE,2008,"16.875,00"
IV,h,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""LEONARDO SINISGALLI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - PERCORSO INFORMATICO DI BASE,2008,"18.776,89"
IV,i1,"ISTITUTO STATALE DI ISTRUZIONE
SUPERIORE ""LEONARDO SINISGALLI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS3 - SIMULIAMO UNA COOPERATIVA SOCIALE,2008,"12.180,53"
IV,i1,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE","Rafforzamento e qualificazione offerta
formativa scolastica",CS3 - PERCORSO DI VISITE AZIENDALI,2008,"12.056,09"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - INFORMATICA IN CL@SSE,2008,"19.181,88"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"11.520,00"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - ARIA DI LEGALITA',2008,"10.230,42"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - CREARE SUL WEB IN POCHE MOSSE,2008,"10.230,40"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - ORIENTIAMOCI,2008,"11.213,60"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - CULTURE A CONFRONTO,2008,"45.898,78"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""GIOVANNI PAOLO II""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - TERRADAMARE,2008,"11.439,50"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""GIOVANNI PAOLO II""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - ADOTTA UN MONUMENTO : LA SPIRITUALITA'
DELL'ARTE",2008,"15.735,50"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""GIOVANNI PAOLO II""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - GET REAL : EXCHANGE EXPEREIENCE,2008,"41.724,50"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""GIOVANNI PAOLO II""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - IL CONFINE TRA REGOLE E LIBERTA',2008,"11.439,50"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""GIOVANNI PAOLO II""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"20.960,00"
IV,i1,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""GIOVANNI PAOLO II""","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - RESTARE A SCUOLA,2008,"7.159,50"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""GIOVANNI PAOLO II""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - ECDL A SCUOLA,2008,"7.589,50"
IV,i1,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""GIOVANNI PAOLO II""","Rafforzamento e qualificazione offerta
formativa scolastica",CS7 - MEDITERRANEO: MARE E TERRE DI PACE,2008,"19.488,50"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""GIOVANNI PAOLO II""","Rafforzamento e qualificazione offerta
formativa scolastica",QP1 - LABORATORIO DELLE COMPETENZE,2008,"8.002,00"
IV,i1,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""GIOVANNI PAOLO II""","Rafforzamento e qualificazione offerta
formativa scolastica",CS6 - LA SUOLA :UN AMBIENTE SICURO,2008,"8.124,50"
IV,i1,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""GIOVANNI PAOLO II""","Rafforzamento e qualificazione offerta
formativa scolastica","CS3 - BIODIVERSITA', ARTE, NUOVE TECNOLOGIE,
SINERGISMO INTERDISCIPLINARE",2008,"9.159,50"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""RUGGERO DI LAURIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - ORIENTARSI NELLA COMPLESSITA',2008,"5.016,40"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""RUGGERO DI LAURIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - COMPETENZE DIGITALI CERTIFICATE : ECDL,2008,"18.946,12"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""RUGGERO DI LAURIA""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - TECNICO INDUSTRIE ELETTRICHE,2008,"23.040,00"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""RUGGERO DI LAURIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - PROJECT WORK,2008,"18.846,40"
IV,h,"ISTITUTO STATALE D'ISTRUZIONE
SUPERIORE ""RUGGERO DI LAURIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - CREAZIONE D'IMPRESA,2008,"8.946,40"
IV,h,"ISTITUTO SUPERIORE ""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - LABORATORIO LEGALITA',2008,"10.020,83"
IV,h,"ISTITUTO SUPERIORE ""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - LABORATORIO DI DIRITTO ALL'IMMAGINE,2008,"9.038,73"
IV,h,"ISTITUTO SUPERIORE ""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"23.040,80"
IV,h,"ISTITUTO SUPERIORE ""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - COMPETENZE DIGITALI E GRAFICA
PUBBLICITARIA",2008,"18.712,80"
IV,i1,"ISTITUTO SUPERIORE ""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS7 - LABORATORIO DI TEATRO,2008,"12.771,83"
IV,h,"ISTITUTO SUPERIORE ""CARLO LEVI""","Rafforzamento e qualificazione offerta
formativa scolastica","QP1 - LABORATORIO DELLE COMPETENZE,
PROGETTAZIONE DIDATTICA E VALUTAZIONE",2008,"47.657,66"
IV,h,"ISTITUTO SUPERIORE ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - LA CULTURA DIGITALE NELLA SOCIETA'
DELL'INFORMAZIONE",2008,"20.000,00"
IV,i1,"ISTITUTO SUPERIORE ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS5 - LIBERAMENTE,2008,"18.000,00"
IV,h,"ISTITUTO SUPERIORE ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica","QP2 - RICERCA E DIVULGAZIONE DELLE BUONE
PRATICHE",2008,"8.950,00"
IV,h,"ISTITUTO SUPERIORE ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - LABORATORIO CINEMATOGRAFICO,2008,"18.000,00"
IV,h,"ISTITUTO SUPERIORE ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - IL FUTURO NELLE MIE MANI,2008,"19.993,06"
IV,h,"ISTITUTO SUPERIORE ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - I'VE GOT IT,2008,"19.953,02"
IV,h,"ISTITUTO SUPERIORE ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica","CG3 - EDUCAZIONE ALLA LEGALITA' E ALLA
CONVIVENZA CIVILE",2008,"14.000,00"
IV,h,"ISTITUTO SUPERIORE ""PITAGORA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - LET'S LEARN TOGETHER,2008,"59.285,36"
IV,h,"ISTITUTO TECNICO COMMERCIALE E PER
GEOMETRI ""A. OLIVETTI""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - ECDL CAD LIVELLO AVANZATO,2008,"11.520,66"
IV,i1,"ISTITUTO TECNICO COMMERCIALE E PER
GEOMETRI ""A. OLIVETTI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - IL DOPOSCUOLA,2008,"9.910,50"
IV,h,"ISTITUTO TECNICO COMMERCIALE E PER
GEOMETRI ""A. OLIVETTI""","Rafforzamento e qualificazione offerta
formativa scolastica",QP1 - LABORATORIO DELLE COMPETENZE,2008,"39.724,31"
IV,h,"ISTITUTO TECNICO COMMERCIALE E PER
GEOMETRI ""A. OLIVETTI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - ICT PER LA FORMAZIONE INNOVATIVA,2008,"13.404,41"
IV,h,"ISTITUTO TECNICO COMMERCIALE E PER
GEOMETRI ""A. OLIVETTI""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"19.712,00"
IV,h,"ISTITUTO TECNICO COMMERCIALE ""ROCCO
SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - COMPETENZE DIGITALI,2008,"13.815,50"
IV,i1,"ISTITUTO TECNICO COMMERCIALE ""ROCCO
SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS5 - FUORI DALLE DIPENDENZE,2008,"12.245,25"
IV,h,"ISTITUTO TECNICO COMMERCIALE ""ROCCO
SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica","QP2 - RICERCHE E DIVULGAZIONE DELLE BUONE
PRATICHE",2008,"16.072,50"
IV,h,"ISTITUTO TECNICO COMMERCIALE ""ROCCO
SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica",QP1 - LABORATORIO DELLE COMPETENZE,2008,"37.738,00"
IV,i1,"ISTITUTO TECNICO COMMERCIALE ""ROCCO
SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS6 - VIOLENZA DI GENERE E VIOLENZA GIOVANILE,2008,"13.452,83"
IV,h,"ISTITUTO TECNICO COMMERCIALE ""ROCCO
SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - EDUCAZIONE ALL'IMPRENDITORIALITA',2008,"12.991,85"
IV,h,"ISTITUTO TECNICO COMMERCIALE ""ROCCO
SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - LEGALITA' COME APPRENDIMENTO,2008,"13.302,25"
IV,h,"ISTITUTO TECNICO COMMERCIALE ""ROCCO
SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - ORIENTARSI NELLA COMPLESSITA',2008,"12.501,45"
IV,h,"ISTITUTO TECNICO COMMERCIALE ""ROCCO
SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - IDENTITA' SOCIALITA' COMPETENZA
LINGUISTICA",2008,"46.772,50"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""E. EINSTEIN""","Rafforzamento e qualificazione offerta
formativa scolastica","CG1 - GUARDIAMO AL FUTURO RISPETTANDO
L'AMBIENTE",2008,"17.502,00"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""E. EINSTEIN""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - SCUOLA ENERGIA TERRITORIO,2008,"17.497,40"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""E. EINSTEIN""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - LEGALITA' COME APPRENDIMENTO,2008,"5.000,00"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""E. EINSTEIN""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - CULTURA E IDENTITA' EUROPEA:
PROMOZIONE DEL TERRITORIO E DELLE
CONOSCENZE LINGUISTICHE",2008,"20.000,00"
IV,i1,"ISTITUTO TECNICO INDUSTRIALE STATALE
""E. EINSTEIN""","Rafforzamento e qualificazione offerta
formativa scolastica","CS2 - LA CONOSCENZA E LA CREATIVITA' STIMOLO
DELLA PARTECIPAZIONE ALLA VITA SCOLASTICA",2008,"24.999,55"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""E. EINSTEIN""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - L'ABILITA' INFORMATICA PER ORGANIZZARE
AL MEGLIO LE CONOSCENZE",2008,"10.000,00"
IV,i1,"ISTITUTO TECNICO INDUSTRIALE STATALE
""E. EINSTEIN""","Rafforzamento e qualificazione offerta
formativa scolastica","CS7 - ED E' SUBITO MUSICA LA MUSICA
ATTRAVERSO LE DISCIPLINE, LE DISCIPLINE
ATTRAVERSO LA MUSICA",2008,"16.655,00"
IV,i1,"ISTITUTO TECNICO INDUSTRIALE STATALE
""E. EINSTEIN""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"19.998,46"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""E. EINSTEIN""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"21.800,00"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""F. CASSOLA""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"52.760,00"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""F. CASSOLA""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - SVILUPPO DI COMPETENZE NEL CAMPO
DELLE TECNOLOGIE DELL'INFORMAZIONE",2008,"18.476,20"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""F. CASSOLA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - LIVING IN EUROPE,2008,"37.483,76"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""G. B. PENTASUGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - E- LEARNING: METODI E TECNOLOGIE,2008,"17.992,00"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""G. B. PENTASUGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CG5 - AMBIENTE E NUOVI LINGUAGGI,2008,"19.725,00"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""G. B. PENTASUGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica","CG2 - CERTIFICAZIONI INFORMATICHE E NETWORK
SECURITY",2008,"17.317,00"
IV,i1,"ISTITUTO TECNICO INDUSTRIALE STATALE
""G. B. PENTASUGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - SCOPRIRE IL VALORE DEL TEMPO,2008,"19.376,00"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""G. B. PENTASUGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica","QP2 - RICERCA E DIVULGAZIONE DELLE BUONE
PRATICHE",2008,"17.423,00"
IV,i1,"ISTITUTO TECNICO INDUSTRIALE STATALE
""G. B. PENTASUGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"17.809,00"
IV,h,"ISTITUTO TECNICO INDUSTRIALE STATALE
""G. B. PENTASUGLIA""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - CERTIFICAZIONE INFORMATICHE E NETWORK
SECURITY",2008,"22.163,00"
IV,h,"ISTITUTO TECNICO PER GEOMETRI ""G. DE
LORENZO""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - PROTIC (PROGETTARE CON LE TECNOLOGIE
INFORMATICHE PER LA COMUNICAZIONE)",2008,"24.000,00"
IV,h,"ISTITUTO TECNICO PER GEOMETRI ""G. DE
LORENZO""","Rafforzamento e qualificazione offerta
formativa scolastica","QP2 - RICERCA E DIVULGAZIONE DELLE BUONE
PRATICHE",2008,"20.000,00"
IV,h,"ISTITUTO TECNICO PER GEOMETRI ""G. DE
LORENZO""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"24.000,00"
IV,h,"ISTITUTO TECNICO PER GEOMETRI ""G. DE
LORENZO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG1 - PROGETTO GPS,2008,"18.000,00"
IV,h,"ISTITUTO TECNICO PER GEOMETRI ""G. DE
LORENZO""","Rafforzamento e qualificazione offerta
formativa scolastica","CG5 - IL FUTURO NELLA RETE : PROGETTARE UN
SITO WEB",2008,"20.000,00"
IV,h,"ISTITUTO TECNICO PER GEOMETRI ""G. DE
LORENZO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG2 - CREARE IMPRESA,2008,"18.000,00"
IV,h,"ISTITUTO TECNICO PER GEOMETRI ""G. DE
LORENZO""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - LEGALITA' E TERRITORIO,2008,"18.000,00"
IV,h,"ISTITUTO TECNICO STATALE COMERCIALE
""GIOVANNI FALCONE""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - ORIENTEERING, CULTURA ED AMBIENTE
LOCALE COME FONTI INNVATIVE DI SVILUPPO",2008,"48.375,00"
IV,h,"ISTITUTO TECNICO STATALE COMERCIALE
""GIOVANNI FALCONE""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - NON PERDIAMO LA BUSSOLA,2008,"20.160,00"
IV,h,"ISTITUTO TECNICO STATALE COMERCIALE
""GIOVANNI FALCONE""","Rafforzamento e qualificazione offerta
formativa scolastica","CS4 - UNA ESPERIENZA IN PIU' PER UNA
PROSPETTIVA DI LAVORO",2008,"19.784,00"
IV,i1,"ISTITUTO TECNICO STATALE COMERCIALE
""GIOVANNI FALCONE""","Rafforzamento e qualificazione offerta
formativa scolastica",CS2 - NON UNO DI MENO,2008,"30.000,00"
IV,i1,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI "" G.
GASPARRINI""","Rafforzamento e qualificazione offerta
formativa scolastica","CS5 - NEI MONDI VIRTUALI MA FUORI DALLE
DIPENDENZE",2008,"19.957,12"
IV,i1,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI "" G.
GASPARRINI""","Rafforzamento e qualificazione offerta
formativa scolastica",CS6 - ALL RICERCA DI NOI STESSI ATTRAVERSO,2008,"15.531,10"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI "" G.
GASPARRINI""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"80.982,50"
IV,h,"ISTITUTO TECNICO STATALE
COMMERCIALE E PER GEOMETRI "" G.
GASPARRINI""","Rafforzamento e qualificazione offerta
formativa scolastica","CG1 - TUTELA, CONSERVAZIONE E
VALORIZZAZIONE DEL CENTRO ANTICO DI MELFI.
ANALISI E SCHEDATURA DI EDIFICI DI VALORE
STORICO ED ARCHITETTONICO",2008,"18.000,00"
