Nome Beneficiario,Asse,Denominazione dell'operazione,Anno del Finanziam ento,Costo Totale,Costo del Progetto (Quota a valere sul P.O.),Totale,Quota FESR
"Sviluppo Italia Aree 
Produttive S.p.A.",2,Messa in sicurezza d'emergenza sito minerario dismesso in localitˆ Cozzo Disi nel comune di Casteltermini,2009,"1.416.241,10","1.416.241,10","581.551,52","290.775,76"
"Sviluppo Italia Aree 
Produttive S.p.A.",2,"Attivitˆ operative e piano di indagini ambientalie strutturali propedeutici alla progettazione degli interventi 
di MISE e di demolizione dell'ex inceneritore San Ranieri nella zona Falcata di Messina",2009,"163.396,68","163.396,68","93.256,16","46.628,08"
Comune di Serradifalco,2,Messa in sicurezza d'emergenza ex discarica in c/da Martino nel Comune di Serradifalco,2009,"331.749,82","331.749,82",,
Comune di Mazzarino,2,Messa in sicurezza d'emergenza ex discarica in c/da Mastra nel comune di Mazzarino,2009,"102.909,41","102.909,41",,
Comune di Tortorici,2,Messa in sicurezza d'emergenza ex discarica in c/da Policamita nel comune di Tortorici,2009,"147.961,64","147.961,64",,
Comune di San Fratello,2,Messa in sicurezza d'emergenza ex discarica in c/da Pulezzo nel comune di San Fratello,2009,"174.289,23","174.289,23",,
"Comune di Sant'Agata di 
Militello",2,Messa in sicurezza d'emergenza ex discarica in c/da Torrente Inganno nel comune di S.Agata di Militello,2009,"497.367,75","497.367,75",,
Comune di Marsala,2,Messa in sicurezza d'emergenza ex discarica in c/da Buttagane nel comune di Marsala,2009,"610.728,16","610.728,16","142.348,28","71.174,14"
"comune di S.Angelo 
Muxaro",2,Messa in sicurezza d'emergenza della ex discarica in localitˆ Monte Nipi nel comune di S.Angelo Muxaro,2009,"677.517,92","677.517,92","405.151,09","202.575,55"
Comune di Gallodoro,2,Messa in sicurezza d'emergenza della ex discarica comunale in c/da Marboleo nel Comune di Gallodoro,2009,"270.418,85","270.418,85","160.139,79","80.069,90"
Comune di enna,2,Messa in sicurezza d'emergenza ex discarica in c/da Porta Pisciotto nel comune di Enna,2009,"1.783.213,57","1.783.213,57",,
Comune di Misilmeri,3,Intervento di restauro del castello dell'Emiro (Misilmeri),2009,"2.752.715,00","2.053.774,74","1.720.329,85","860.164,93"
Comune di Ciminna,3,Intervento di restauro conservativo dell'ex ospedale da destinare a museo archeologico (Ciminna),2009,"2.065.827,00","1.631.465,99","1.081.042,99","540.521,50"
Comune di Leni,3,Progetto di riqualificazione del Centro Storico di Rinella (Leni - Salina),2009,"548.250,00","398.204,90","377.487,27","188.743,64"
Comune di Milazzo,3,"Conservazione e valorizzazione della ""cittadella fortificata"" del Castello di Milazzo quale bene della Comunitˆ 
Economica Europea. Stralcio Funzionale: recupero Cittˆ Antica (Milazzo)",2009,"1.500.000,00","1.397.897,19","538.857,14","269.428,57"
Comune di Milazzo,3,"Conservazione e valorizzazione della Cittadella Fortificata di Milazzo quale bene della Comunitˆ Europea  
(MILAZZO)",2009,"11.000.000,00","10.669.853,87","8.138.091,57","4.069.045,79"
"Comune di Mazara del 
Vallo",3,"Recupero e fruizione del centro polivalente di cultura di Piazza Plebiscito destinato a biblioteca (Mazara del 
Vallo)",2009,"3.730.000,00","3.078.677,94","2.596.894,20","1.298.447,10"
Comune di Adrano,3,Lavori di adeguamento alla normativa di sicurezza del museo archeologico del Castello Normanno (Adrano),2009,"157.002,90","105.234,96","86.005,96","43.002,98"
Comune di Trabia,3,Interventi di restauro delle mura seicentesche e della porta di accesso alla citta' antica (Trabia),2009,"891.270,00","586.470,06","459.792,55","229.896,28"
Regione Siciliana,3,CONFERIMENTO AL FONDO JESSICA SICILIA ,2009,"14.714.111,20","14.714.111,20","14.714.111,20","7.357.055,60"
Regione Siciliana,3,2 - CONFERIMENTO FONDO JESSICA SICILIA,2009,"5.285.888,80","5.285.888,80","5.285.888,80","2.642.944,40"
Regione Siciliana,3,Internazionali Femminili di Tennis - WTA Tour 2009,2009,"380.000,00","380.000,00","378.687,99","189.344,00"
Regione Siciliana,3,Powerboat P1 Championship Gran Prix of the sea 2009,2009,"400.000,00","400.000,00","399.950,00","199.975,00"
Regione Siciliana,3,51¡ Concorso di Salti ad Ostacoli Internazionale 30^ Coppa degli Assi,2009,"460.000,00","460.000,00","457.960,80","228.980,40"
Regione Siciliana,3,Sicilia Classic Tennis Challanger 2009/2013,2009,"300.000,00","300.000,00","271.850,00","135.925,00"
Regione Siciliana,3,Progetto Sicilia Scherma 2007/2013,2009,"1.324.031,80","1.324.031,80","1.231.029,81","615.514,91"
Regione Siciliana,3,Conferimento al Fondo Jessica,2009,"30.000.000,00","30.000.000,00","30.000.000,00","15.000.000,00"
Regione Siciliana,3,Conferimento al fondo Jessica/Jeremie,2009,"5.000.000,00","5.000.000,00","5.000.000,00","2.500.000,00"
Regione Siciliana,4,DIFFUSIONE DEL SISTEMA REGIONALE DEGLI SPORTELLI UNICI - E-SSU,2009,"2.561.180,02","2.561.180,02","929.768,62","464.884,31"
Regione Siciliana,4, Estensione geografica e tematica progetto Adozioni modello Sicilia,2008,"3.670.053,00","3.670.053,00","2.850.347,70","1.425.173,85"
Regione Siciliana,4,Sistema Informativo Regionale per la gestione dei finanziamenti alle imprese,2009,"3.898.833,60","3.898.833,60","3.047.684,40","1.523.842,20"
Regione Siciliana,4,Sistema Informativo Card Management system cittadini della Regione Siciliana,2009,"2.119.437,60","2.119.437,60","861.493,20","430.746,60"
Regione Siciliana,4,CENTRI SERVIZI TERRITORIALI ESTENSIONE - CST 2,2009,"3.948.625,00","3.948.625,20","1.579.450,00","789.725,00"
Regione Siciliana,4,SISTEMA INFORMATIVO PER LA GESTIONE DELLE AGEVOLAZIONI AI DISTRETTI PRODUTTIVI SIGADIP,2009,"1.215.785,63","1.215.785,63","486.314,25","243.157,13"
Regione Siciliana,4,"ESTENSIONE AL SISTEMA INFORMATIVO GESTIONE FINANZIAMENTI AL BANDO PER LE IMPRESE DI 
QUALITA' - SIGFIBQ",2009,"597.468,00","597.468,00","273.729,00","136.864,50"
Regione Siciliana,4,SISTEMA PER LA GESTIONE DELLE ISTANZE DI INTEGRAZIONE FONDO RISCHI - SIFIDI,2009,"1.114.418,40","1.114.418,40","1.051.572,00","525.786,00"
Regione Siciliana,4,BANCHE DATI PER IL SISTEMA INFORMATIVO TERRITORIALE REGIONALE BD-SITR MODULO 2,2009,"3.077.334,00","3.077.334,00","2.769.600,60","1.384.800,30"
Regione Siciliana,4,BANCHE DATI PER IL SISTEMA INFORMATIVO TERRITORIALE REGIONALE  BD-SITR MODULO 3,2009,"3.883.120,00","3.883.120,00","1.553.248,00","776.624,00"
Regione Siciliana,4,"ACQUISIZIONE IN RIUSO E GESTIONE DEL SISTEMA INFORMATIVO LAVORO LOCALE DELLA REGIONE 
SICILIANA ARG SIL-RS",2009,"689.631,11","689.631,11","275.852,44","137.926,22"
Regione Siciliana,4,Sistema telematico integrato per il servizio emergenza sanitaria regionale SUES 118,2009,"2.724.135,48","2.724.135,36","2.724.135,48","1.362.067,74"
Regione Siciliana,4,CENTRO UNICO DI PRENOTAZIONE,2009,"2.194.343,44","2.194.343,44","2.194.343,44","1.097.171,72"
Regione Siciliana,4,ESTENSIONE RETE DEI MEDICI DI MEDICINA GENERALE E-RMMG,2009,"5.389.302,12","5.389.302,12","3.233.581,27","1.616.790,64"
Regione Siciliana,4,ESTENSIONE SERVIZI DI TELEMEDICINA E TELEFORMAZIONE E-SETT,2009,"1.218.112,80","1.218.112,80","487.245,20","243.622,60"
Regione Siciliana,4,CENTRO REGIONALE COORDINAMENTO E COMPENSAZIONE CRCC,2009,"191.009,31","191.009,31","76.403,72","38.201,86"
Regione Siciliana,4,SISTEMA INFORMATIVO GESTIONE TITOLI DI SPESA SIGTS,2009,"9.098.925,00","9.553.610,00","3.639.570,00","1.819.785,00"
Regione Siciliana,4,SISTEMA INFORMATIVO DEL DEMANIO MARITTIMO SIDEMAR,2009,"3.061.140,00","3.061.140,00","1.224.456,00","612.228,00"
Regione Siciliana,4,"SUPPORTO TECNICO INFORMATICO ALLA REDAZIONE DEL PIANO DI GESTIONE DEL DISTRETTO 
IDROGRAFICO DELLA SICILIA PdG DIS",2009,"996.120,00","996.120,00","398.448,00","199.224,00"
Regione Siciliana,4,SISTEMA INFORMATIVO TELEMATICO DEGLI APPALTI REGIONALI  SITAR,2009,"2.851.364,00","2.851.364,00","862.114,40","431.057,20"
