Denominazione del Beneficiario ,Titolo del Progetto,Comune,"Anno di assegnazione 
del contributo 
pubbico","Contributo Pubblico 
Assegnato 
(Fesr+Stato+Regione)"
"TELECOM ITALIA SPA, LIBEROLOGICO SRL, CENTRICA SRL",CUSTOM - CULTURAL HERITAGE STORE,"Firenze, San Giuliano terme, Firenze",2009,1.365.573
"TOGNOZZI BUILDING SPA, CAEN RFID SRL, EXPLORA SRL, PROJECT SRL, PLANET SRL SISTEMI 
INFORMATICI, BOEHRINGER INGELHEIM ITALIA SPA",ARCHITETTURA DISTRIBUITA PER LA SALVAGUARDIA DELLA SALUTE E L'INNOVAZIONE DEL SISTEMA DI GESTIONE TERAPIE,"Firenze, Viareggio, Rapolano terme, Sesto F.no, Scandicci, Reggello",2009,1.255.571
"SOCIETA' ALIMENTARE 
LUCCHESE OLI E VINI S.P.A., ENERTECH SRL",INNOVAZIONE DI PROCESSO E DI IMPIANTO PER LA PRODUZIONE SOSTENIBILE DI OLIO ALIMENTARE,"Lucca, Prato",2009,1.305.140
"ESAOTE SPA, EL.EN SPA, DEIMOS SRL",TRAP - TECNOLOGIE E METODICHE INNOVATIVE INTEGRATE PER TRATTAMENTI ABLATIVI PERCUTANEI TRAMITE LASER GUIDATO DA IMAGING ECOGRAFICO,"Firenze, Calenzano, Firenze",2009,1.822.650 
ECM S.P.A. ,COINS - COOPERATIVE ODOMETRY INERTIAL NAVIGATION SYSTEM,Serravalle Pistoiese.,2009,1.266.625
"DIGITEL ITALIA SPA, PROMOS SRL",STUDIO E SVILUPPO DI UN CLUSTER DI IMPRESE E TECNOLOGIE PER L’EROGAZIONE DI SERVIZI DI TELECOMUNICAZIONE DI CLASSE 5,"Firenze, Firenze",2009,913416.0
TEA SISTEMI SPA,AERIAL GAS MONITORING (A.GA.MON.),Pisa,2009,271668.0
"GERRESHEIMER PISA SPA, T.I.M.M. TECNOLOGIE 
INDUSTRIALI, LOGIC SRL, CROM SRL, CACINI & C SPA",PHARMA SCREEN BOX,"Pisa, Massa, Tavarnelle val di Pesa, Calci, Caponnori",2009,828308.0
"LANIFICIO IL PANDA SPA, CONFEZIONI MARCO SRL",MANTES SISTEMA DI REALTA_ VIRTUALE PER LA SIMULAZIONE DEL CONTATTO FRA MANO E TESSUTI,"Montemurlo, Castelfranco di Sotto",2009,505049.0
"MENCI SOFTWARE S.R.L., ART-TEST DI LUCIANO MARRAS E 
ANNA PELAGOTTI SNC",SUMUS,"Arezzo, Pisa",2009,355887.0
HENRAUX SPA,STUDIO DI FATTIBILITA DI GALLERIE PER LA ESPLORAZIONE E INDAGINE DEI MARMI DEL,Seravezza,2009,631529.0
"MANAGEMENT ARTIFICIAL 
INTELLIGENCE AND OPERATION, ADVANCED ENGINEERING 
PROJECTS SRL","UN SISTEMA INTEGRATO PER LA PROGETTAZIONE DI POLITICHE TARIFFARIE PER IL TPL, LA GESTIONE E L'ANALISI DEI RISULTATI","Lucca, Signa",2009,428468.0
