"ragione_sociale_impresa","prov","descrizione_intervento","anno_finanziamento_o_pagamento","contributo_totale_concesso","contributo_quota_fesr","contributo_quota_mezzi_stato","contributo_quota_regione_cap","quota_liquidata","fund_type","currency","uri"
"ITALGNOCCHI S.P.A.","RE","Interventi di risparmio energetico nei processi produttivi (realizzazione di una rete di controllo e monitoraggio dei consumi energetici. Realizzazione di una rete di aspirazione e applicazione di un variatore di velocità (inverter). Adozione di un sistema di recupero di calore sui fumi di scarico su un generatore di vapore con preriscaldo dell'aria comburente)",2009,65000,"24002,71","40997,29","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"ITALPLAST S.R.L.","FC","Impianto fotovoltaico da 100,98 KWp",2009,110151,"40675,73","69475,27","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"KGT SRL","BO","Interventi di risparmio energetico nei processi produttivi (Inteventi di modifica degli impianti e delle tecnologie relative al processo elettrochimico della galvanizzazione nei processi di cromatura)",2009,58292,"-","-",58292,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CONSERVE ALIMENTARI LA CESENATE","FC","S.P.A. FC Interventi di risparmio energetico nei processi produttivi (Installazione nuova linea produttiva a più alta efficienza energetica)",2009,"32087,5","-","-","32087,5","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"LADY SRL","MO","Interventi di risparmio energetico nello stabilimento di produzione (coibentazione della copertura dell'edificio). Installazione impianto fotovoltaico da 160 KWp",2009,177766,"65644,08","112121,92","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"LAFER SPA","PC","Impianto fotovoltaico da 73,5 KWp",2009,132800,"49039,38","83760,62","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"L'ARTE S.R.L.","FC","Impianto fotovoltaico da 146,2500 KWp",2009,151700,"-","-",151700,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"LOCKWOODS ITALIANA L.I.F. - S.P.A.","PR ","Interventi di risparmio energetico nei processi produttivi (sostituzione di generatore di vapore, coibentazione della rete di adduzione del vapore agli impianti produttivi dello stabilimento, rete di recupero della condensa di vapore d'acqua, Installazione di pannelli solari termici, sostituzione dell'unità di preparazione dell'acqua gelida e coibentazione della rete di adduzione al carbonatore della linea bibite)",2009,"177440,21","65523,78","111916,43","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"MA.RO.S. ENGINEERING -","S.R.L.","FE Impianto fotovoltaico da 69,23 KWp",2009,"67576,22","24954,04","42622,18","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"MARCHINI PIERGIORGIO","PR","Impianto fotovoltaico da 19,98 KWp",2009,"23376,6","8632,33","14744,27","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CONFEZIONI SRL MARIA ROSA","MO","MO Interventi per il risparmio energetico nello stabilimento di produzione (installazione di una caldaia ad alto rendimento e condensazione). Installazione di un Impianto fotovoltaico da 19,8 KWp",2009,25700,"9490,3","16209,7","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"MAROZZI E MARTELLI SNC DI MAROZZI","BO","ADRIANA E C. BO Impianto fotovoltaico da 40 KWp",2009,44800,"16543,41","28256,59","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"MECAVIT SRL","BO","Interventi per l'efficienza energetica dello stabilimento di produzione (impianto di riscaldamento alimentato dal calore recuperato dai fumi dei forni)",2009,"86235,85","-","-","86235,85","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"METAL SAB SRL","FE","Impianto fotovoltaico da 19,80 KWp",2009,195756,"72287,3","123468,7","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"MO.TRI.DAL S.P.A.","PC","Interventi per la riduzione dei consumi nel processo produttivo (installazione di un forno a induzione magnetica alimentato da un generatore di potenza regolabile fra 40 e 350 Kw",2009,"164794,98","60854,24","103940,74","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"N.T.A. (NUOVE TECNOLOGIE APPLICATE) NEW DEAL SRL ","RA"," Interventi di risparmio energetico nei processi produttivi (realizzazione di una linea produtiva - Impianto fotovoltaico da 19,80 KWp ","automatizzata di formatura, essicazione, cottura e controllo qualità delle piastrelle ad alta","efficienza energetica)","-","-",299999,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"PRODUCTION S.R.L.","RN","RN Impianto fotovoltaico da 55,40 KWp",2009,58843,"21729,1","37113,9","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"NORDMECCANICA S.P.A. PC","PC","Interventi per il risparmio energetico nello stabilimento di produzione (sostituzione dell'impianto di climatizzazione estiva ed invernale)",2009,94050,"-","-",94050,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"NUOVA S.I.D.E.R. S.R.L.","FC","Impianto fotovoltaico da 122,400 KWp",2009,"131106,25","48413,92","82692,33","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"OCMIS IRRIGAZIONE","MO","MO Impianti fotovoltaici da 193 KWp e 135 KWp",2009,"199040,64","73500,22","125540,42","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"OFFICINA MECCANICA DOZZESE S.R.L.","BO","BO Impianto fotovoltaico da 19,80 KWp",2009,22920,"8463,72","14456,28","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"DELL'ING. BERTUZZI OFFICINE RIUNITE","BO","BO Impianto fotovoltaico da 267,96 KWp",2009,"299758,79","-","-","299758,79","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"OTOSAN DI GIANARDI MASSIMILIANO","FC","FC Impianto fotovoltaico da 42 KWp",2009,"52273,2","-","-","52273,2","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"PAZZI SRL","FC","Interventi per conseguire elevati standard di efficienza energetica e ridurre i consumi nella climatizzazione degli ambienti adibiti a stabilimenti produttivi (installazione di impianto di termoventilazione a recupero del calore delle unità frigorifere di processo per il riscaldamento del capannone)",2009,"79929,5","29515,76","50413,74","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"PELACCI CALLISTO SNC DI PELACCI GIULIANO E ALESSANDRO & C. ","PR","Interventi di risparmio energetico nel processo produttivo (installazione di un impianto di rinnovo entalpico e di un impianto di recupero calore). Installazione di un impianto fotovoltaico da 69,96 KWp",2009,"190582,04","70376,69","120205,35","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"PIERI SRL","FC","Interventi per l'efficienza energetica dello stabilimento di produzione (Installazione impianto di climatizzazione estiva ed invernale ad alta efficienza energetica) Interventi per la riduzione dei consumi energetici nei processi produttivi (Installazione impianto di verniciatura e di cabina combinata verniciatura-essicazione che utilizza il recupero di calore a fini energetici)",2009,"43029,44","15889,59","27139,85","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"PLASTISAVIO S.P.A.","FC","Impianto di trigenerazione a gas metano di potenza elettrica a pieno carico di 1605 Kw",2009,200000,"-","-",200000,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"PLASTOTUBE S.R.L.","PR","Impianto fotovoltaico da 99,72 KWp",2009,"109692,12","40506,28","69185,84","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"POLIGRAPH S.P.A.","MO","Impianto fotovoltaico da 30 KWp",2009,70320,"25967,24","44352,76","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"POLISETTE SRL","PR","Interventi di risparmio energetico nei processi produttivi (intervento di recupero di energia termica dall'acqua calda di processo). Impianto di cogenerazione",2009,115000,"-","-",115000,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"PONTI S.R.L.","RA","Impianto fotovoltaico da 38 KWp",2009,41580,"15354,35","26225,65","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"PROFILPLAST DI RAMADANI CESARE E C. ","FE","Impianto fotovoltaico da 94 KWp",2009,102656,"37908,03","64747,97","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"PROSCIUTTIFICIO TRE STELLE S.P.S.","PR","Interventi per il risparmio energetico nello stabilimento di produzione (coibentazione finalizzata alla riqualificazione energetica delle strutture opache disperdenti dell'involucro esterno del fabbricato). Interventi di risparmio energetico nei processi produttivi (Installazione di una pompa di calore modulare acqua/acqua ad alta efficienza)",2009,300000,"110781,73","189218,27","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"VALSELLUSTRA S.R.L. PROSCIUTTIFICIO","BO","Interventi per la riduzione dei consumi energetici nei processi produttivi (Installazione di una centrale frigorifera ad alta efficienza energetica)",2009,54400,"-","-",54400,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"R & C SNC DI RABITI CIMATTI FREGNANI","FC","Impianto fotovoltaico da 42,74 KWp",2009,43200,"15952,57","27247,43","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"REDI SPA","BO","Impianto fotovoltaico da 247,7 KWp",2009,178200,"65804,35","112395,65","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"ENGINEERING MOLDING REMP RUBBER","RA","Realizzazione impianto di trigenerazione con l'impiego di un motore a combustione interna a gas metano",2009,300000,"110781,73","189218,27","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"RINIERI S.R.L.","FC","Impianto fotovoltaico da 150 KWp",2009,144000,"53175,23","90824,77","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"ROSSETTI ANDREA SNC","PR","Impianto fotovoltaico da 19,36 KWp",2009,23000,"8493,27","14506,73","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"MECCANICA SRL ROSSI CARLO","MO","Impianto fotovoltaico da 130 KWp",2009,130000,"48005,42","81994,58","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
