"ragione_sociale_impresa","prov","descrizione_intervento","anno_finanziamento_o_pagamento","contributo_totale_concesso","contributo_quota_fesr","contributo_quota_mezzi_stato","contributo_quota_regione_cap","quota_liquidata","fund_type","currency","uri"
"ALMA PETROLI S.P.A.","RA","Impianto di cogenerazione ad alto rendimento a gas metano",2009,300000,"-","-",300000,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"AMBROSALUMI S.R.L.","BS","Interventi per il risparmio energetico nello stabilimento di produzione (coibentazione delle processi produttivi (Installazione di un impiantocombinato di recupero del calore al fine di strutture opache verticali e le superfici vetrate esterne). Interventi di risparmio energetico nei ottenere la condensazione del fluido frogorigeno dei gruppi frigoriferi esistenti e il riscaldamento del fluido vettore necessario al riscaldamento dei locali)",2009,"280323,26","103515,65","176807,61","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BURGARELLA S.R.L. ARREDAMENTI","RE","RE Interventi per il risparmio energetico nello stabilimento di produzione (Modifica dell'impianto di illuminazione). Interventi di risparmio energetico nei processi produttivi (Sostituzione del compressore d'aria). Impianto fotovoltaico da 19,68 KWp",2009,39818,"-","-",39818,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"ARTIGIANA LEGNO SRL","RA","Impianto fotovoltaico da 94,38 KWp",2009,"95776,8","35367,73","60409,07","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"B.I.M.P. SRL","FC","Impianto fotovoltaico da 19,8 KWp",2009,"21243,84","7844,76","13399,08","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BAM DI BENAZZI E UTTINI SNC","RA","RA Interventi per l'efficienza energetica dello stabilimento di produzione (Isolamento termico dell'edificio). Impianto fotovoltaico da 19,8 KWp",2009,"33299,2","-","-","33299,2","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BENELLI GRU S.R.L.","RE","Impianto fotovoltaico da 48,40 KWp",2009,"28945,61","10688,82","18256,79","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BERNARDINI IMPIANTI DI BERNARDINI ALDO E C.","RA","SNC RA Impianto fotovoltaico da 19,8 KWp",2009,25382,"9372,87","16009,13","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BEST HOSES SRL","FE","Impianto fotovoltaico da 180 KWp",2009,201600,"-","-",201600,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BF S.R.L.","RE","Impianto fotovoltaico da 160,82 KWp",2009,"148269,19","54751,73","93517,46","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BRIANTI MOBILI S.R.L.","PR","Impianto generatore di calore (caldaia) alimentato a combustibile solido (residui della lavorazione del legno) di potenza pari a 1.000.000 Kcal/h",2009,68400,"-","-",68400,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BUCCHI S.R.L.","RA","Impianto fotovoltaico da 145,2 KWp",2009,157804,"58272,67","99531,33","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"C. SGUBBI ITALIANA","RN","RN Impianto fotovoltaico da 27 KWp",2009,"29695,4","-","-","29695,4","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"C.E.A.G. CALCESTRUZZI E AFFINI SRL","RE","RE Impianto fotovoltaico da 240,624 KWp",2009,"237185,9","87586,22","149599,68","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"SPEDIZIONI SOCIETA' COOPERATIVA FC  C.T.S. COMPAGNIA","FC","Impianto fotovoltaico da 19,87 Kwp",2009,"39680,15","14652,79","25027,36","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CALESINI CELSO SNC ","BO","Impianto fotovoltaico da 62,1 KWp",2009,"67172,8","-","-","67172,8","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CALZIFICIO CAVEJA DI ROMBOLI E C. SNC","FC ","Interventi per l'efficienza energetica dello stabilimento di produzione (sostituzione di lampade elettriche con lampade a risparmio energetico). Impianto fotovoltaico da 20 KWp",2009,"32002,2","11817,53","20184,67","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CAPICO DRIVETRAIN","BO","BO Impianto fotovoltaico da 40 KWp",2009,45000,"16617,26","28382,74","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CAPITANI SRL","BO","Impianto fotovoltaico da 20 KWp",2009,22000,"8123,99","13876,01","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CARNIVAL TOYS SRL","RA","Impianto fotovoltaico da 49,875 KWp",2009,"61371,2","22662,69","38708,51","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CASA DEL MATERASSO","SRL","BO Impianto forovoltaico da 19,6 KWp",2009,"22183,37","-","-","22183,37","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CENTRO SELEZIONE CARNI S.R.L.","MO","MO Interventi per la riduzione dei consumi energetici negli ambienti di lavoro e nei processi produttivi e per la riduzione delle emissioni di gas ad effetto serra (installazione impianto per il recupero di calore dissipato dalle centrali frigorifere) .",2009,52050,"19220,63","32829,37","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CEPI SRL","FC","Impianto fotovoltaico da 110,3 KWp",2009,108955,"-","-",108955,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CHIMAR S.P.A.","MO","Realizzazione di un impianto di cogenerazione a biomasse (materiali legnosi)",2009,300000,"110781,73","189218,27","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"COFRIMAR SRL","FE","Interventi per la riduzione dei consumi energetici nei processi produttivi (installazione inverter sulle pompe di alimentazione del liquido frigorigeno alle celle frigorifere, automazione della gestione del ciclo produttivo, recupero calore di condensazione del ciclo di refrigerazione)",2009,300000,"110781,73","189218,27","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"COMPAGRI SPA","BO","Impianto di cogenerazione alimentato a biogas",2009,300000,"-","-",300000,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"COOPERATIVA SOCIALE CENTO FIORI A R.L.","RN","RN Impianto fotovoltaico da 19,32 KWp",2009,23063,"-","-",23063,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BOLOGNESI CO.TA.BO. COOPERATIVA TAXISTI","BO","BO Interventi per l'efficienza energetica dello stabilimento di produzione (ottimizzazione e controllo delle regolazioni delle centraline elettriche e dei consumi elettrici, sostituzione delle lampade elettriche con lampade a minor consumo di energia, trasformazione della centrale termica da GPL a gas metano, sostituzione alimentazione caldaia da gasolio a gas metano). Impianto fotovoltaico da 13 KWp",2009,"37901,36","13995,93","23905,43","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"GRAFICHE SOCIETA' COPTIP INDUSTRIE","MO","COOPERATIVA MO Interventi per il risparmio energetico nello stabilimento di produzione (efficientamento energetico dell'impianto di illuminazione). Installazione di impianto fotovoltaico da 95,7 KWp",2009,"48686,7","17978,66","30708,04","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CS PLAST SRL","PR","Interventi per la riduzione dei consumi energetici nei processi produttivi (sostituzione del parco macchine esistenti costituito da presse da stampaggio ad iniezione idralulica con nuove presse completamente elettriche azionate da motori elettrici comandati da inverter)",2009,250560,"92524,9","158035,1","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"CURTI COSTRUZIONI MECCANICHE SPA","RA","RA Impianto di cogenerazione ad alto rendimento a gas naturale",2009,167000,"61668,5","105331,5","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"GRAZIANO E FRATELLI DAVID TEX DI DAVIDDI","MO","SNC MO Impianto fotovoltaico da 20 KWp",2009,23800,"8788,68","15011,32","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"MAURO E VALENTINO DI.MO DI MORELLINI","RE","S.N.C. RE Impianto fotovoltaico da 244,86 KWp",2009,"198989,04","73481,17","125507,87","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"DIPIA SRL","BO","Impianto fotovoltaico da 19,98 KWp",2009,"26230,6","9686,24","16544,36","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"EDILESSE S.R.L.","RE","Impianto fotovoltaico da 166,320 KWp",2009,170400,"62924,02","107475,98","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"EDITORIALE LIBERTA' SOCIETA' PER AZIONI","PC","PC Interventi per il risparmio energetico nello stabilimento di produzione (razionalizzazione dell'efficienza energetica del sistema di illuminazione). Installazione di impianto fotovoltaico da 20 KWp",2009,"30195,25","11150,27","19044,98","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"F.LLI FERRARI SNC DI FERRARI PAOLO SNC","RE","Interventi di risparmio energetico nei processi produttivi (recupero di calore dal processo produttivo a fini energetici). Installazione di un impianto micro-idroelettrico per il recupero di energia da un impianto industriale di raffreddamento. Impianto fotovoltaico da 104,72 KWp)",2009,"123262,5","-","-","123262,5","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"F.LLI TANZI S.P.A.","PR","Interventi per la riduzione dei consumi energetici nei processi produttivi (Installazione di pompa di calore modulare acqua/acqua ad alta efficienza)",2009,157842,"58286,7","99555,3","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"F.O.A.Z. S.N.C. DI F.O.A.Z. S.R.L.","FC","FC Impianto fotovoltaico da 100 KWp",2009,"103692,8","38290,89","65401,91","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"F.O.A.Z. S.N.C. DI F.O.A.Z. S.R.L.","FC","FC Riduzione dei consumi di energia nella climatizzazione degli ambienti di lavoro (Coibentazione dello stabilimento di produzione) Installazione di un impianto a pannelli solari termici",2009,"89301,8","32976,69","56325,11","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"FABER-COM SRL","RE","Impianto fotovoltaico parzialmente integrato da 19,78 KWp",2009,"21509,68","7942,93","13566,75","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
