Beneficiario Finale,Denominazione Progetto,Asse,Codice Obiettivo Operativo,Codice Progetto,Regione,Totale impegnato,Totale erogato (pagamenti monitorati al 31/12/2009)
CNR IRAT,"Piattaforma e-business innovativa per una soluzione tecnologica sistemica quale integratore dei servizi nei settori: turismo, beni culturali, agro-alimentare",I,I.3,DM23424/F1,Campania,"390,000.00","117,000.00"
CNR ITB,Laboratorio di Bioinformatica per la Biodiversità Molecolare,I,I.3,DM19410/2,Puglia,"594,199.20","178,259.76"
CNR Sede Centrale,ONTOMAN,I,I.1,13243/2,Campania,"99,400.00", -   
CNR Sede Centrale,Nanotecnologie e Materiali Optoelettronici per applicazioni Telecom/Datacom,I,I.1,13587/2,Puglia,"4,659,984.00","2,765,499.18"
CNR Sede Centrale,nuove molecole per il diabete,I,I.1,2331/2,Campania,"3,220,000.00","1,890,017.46"
CNR Sede Centrale,Laboratorio di genomica per l'innovazione e la valorizzazione della filiera pomodoro,I,I.3,DM17732/2,Campania,"1,917,109.00","926,763.03"
CNR Sede Centrale,Corso di formazione per attività di ricerca nel campo della genomica applicata al miglioramento ed alla certificazione di specie vegetali,I,I.3,DM17732/F,Campania,"900,011.00","525,351.87"
CNR Sede Centrale,Laboratorio pubblico-privato per lo sviluppo di tecnologie di processo e dimostratori di circuiti elettronici ad alte prestazioni a basso costo di fabbricazione realizzati su substrati plastici,I,I.3,DM17767/2,Sicilia,"1,014,096.40","304,228.92"
CNR Sede Centrale,"Laboratorio di GENomica per caratteri di importanza AGROnomica in frumento duro: identificazione di geni utili, analisi funzionale e selezione assistita con marcatori molecolari per lo sviluppo della filiera sementiera nazionale (AGRO-GEN)",I,I.3,DM18092/1,Puglia,"108,561.00","32,568.30"
CNR Sede Centrale,"Laboratorio di GENomica per caratteri di importanza AGROnomica in frumento duro: identificazione di geni utili, analisi funzionale e selezione assistita con marcatori molecolari per lo sviluppo della filiera sementiera nazionale (AGRO-GEN)",I,I.3,DM18092/2,Puglia,"100,488.74","30,146.62"
CNR Sede Centrale,Imaging non invasivo per diagnostica morfo-funzionale avanzata,I,I.3,DM18604/1,Campania,"847,700.00","254,310.00"
CNR Sede Centrale,Imaging non invasivo per diagnostica morfo-funzionale avanzata,I,I.3,DM18604/2,Campania,"521,420.00","156,426.00"
CNR Sede Centrale,Imaging non invasivo per diagnostica morfo-funzionale avanzata,I,I.3,DM18604/3,Campania,"2,883,860.00","865,158.00"
CNR Sede Centrale,Formazione di ricercatori altamente qualificati nell'area delle tecniche e processi software per imaging medicale diagnostico funzionale,I,I.3,DM18604/F1,Campania,"15,680.00","4,704.00"
CNR Sede Centrale,Formazione di ricercatori altamente qualificati nell'area delle tecniche e processi software per imaging medicale diagnostico funzionale,I,I.3,DM18604/F2,Campania,"34,003.00","10,200.90"
CNR Sede Centrale,Formazione di ricercatori altamente qualificati nell'area delle tecniche e processi software per imaging medicale diagnostico funzionale,I,I.3,DM18604/F3,Campania,"128,716.00","38,614.80"
CNR Sede Centrale,Laboratorio di Bioinformatica per la Biodiversità Molecolare,I,I.3,DM19410/1,Puglia,"648,466.00","133,806.66"
CNR Sede Centrale,Progetto di un laboratorio pubblico-privato per lo sviluppo di tecnologie innovative nel campo della generazione diffusa di potenza elettrica da fonte solare (SOLAR),I,I.3,DM19447/2,Puglia,"525,280.00","262,640.00"
CNR Sede Centrale,Generazione di una piattaforma tecnologica finalizzata allo studio degli effetti dei farmaci antineoplastici e alla determinazione della loro potenziale efficacia come agenti neuroprotettivi,I,I.3,DM20919/2,Sicilia,"905,100.00","271,530.00"
CNR Sede Centrale,Programma di formazione per personale tecnico-scientifico nell'ambito della realizzazione del laboratorio pubblico privato,I,I.3,DM20919/F2,Sicilia,"540,000.00","162,000.00"
CNR Sede Centrale,"OpenKnowTech: Laboratorio di Tecnologie per la Integrazione, Gestione e Distribuzione di Dati, Processi e Conoscenze",I,I.3,DM21301/1,Calabria,"489,661.95","146,898.58"
CNR Sede Centrale,"Studio per lo sviluppo, la caratterizzazione e l'efficacia di un nuovo preparato ad azione anti-infettiva a base di anticorpi contro antigeni del virus dell'epatite C (HCV)",I,I.3,DM23147/1,Campania,"1,249,500.00","374,850.00"
CNR Sede Centrale,Laboratorio pubblico-privato per lo sviluppo di processi e prodotti innovativi nel settore dei farmaci antinfettivi (Laboratorio Interdisciplinare Farmaci Antinfettivi: LIFA),I,I.3,DM23154/1,Puglia,"621,679.70","186,503.91"
CNR Sede Centrale,Realizzazione di un Laboratorio integrato per lo sviluppo di attrezzature avanzate e nuovi processi per la produzione di wafer di Carburo di Silicio (SiC),I,I.3,DM23176/1,Sicilia,"1,316,950.00","743,140.32"
CNR Sede Centrale,Realizzazione di un Laboratorio integrato per lo sviluppo di attrezzature avanzate e nuovi processi per la produzione di wafer di Carburo di Silicio (SiC),I,I.3,DM23176/F1,Sicilia,"164,914.00","49,474.20"
CNR Sede Centrale,Sviluppo di una piattaforma tecnologica per la valutazione dell¿efficacia dei farmaci antinfiammatori ed antineoplastici mediante modelli cellulari ed animali,I,I.3,DM23184/1,Campania,"483,000.00","144,900.00"
CNR Sede Centrale,Sviluppo di una piattaforma tecnologica per la valutazione dell¿efficacia dei farmaci antinfiammatori ed antineoplastici mediante modelli cellulari ed animali,I,I.3,DM23184/2,Campania,"569,800.00","170,940.00"
CNR Sede Centrale,Sviluppo di una piattaforma tecnologica per la valutazione dell¿efficacia dei farmaci antinfiammatori ed antineoplastici mediante modelli cellulari ed animali,I,I.3,DM23184/F2,Campania,"300,000.00","90,000.00"
coastal,IMCA,I,I.1,5531/5,Puglia,"767,514.00","95,679.33"
COLMEGNA SUD S.R.L. - TRATTAMENTI TERMICI,Sviluppo nuovi trattamenti termici superficiali per materiali metallici,I,I.1,7051/1,Campania,"281,655.00","165,147.00"
Consiglio per la Ricerca e la sperimentazione in Agricoltura Istituto sperimentale per la viticoltura - sezione di Turi (ba),Biotecnologie per la produzione di uva da tavola di IV gamma,I,I.3,DM29223/4 ,Puglia,"309,255.00", -   
Consiglio per la Ricerca e la sperimentazione in Agricoltura Istituto sperimentale per la viticoltura - sezione di Turi (ba),Biotecnologie per la produzione di uva da tavola di IV gamma,I,I.3,DM29223/F4,Puglia,"225,000.00", -   
CONSORZIO - CENTRO DI ECCELLENZA SU METODI E SISTEMI PER L'APPRENDIMENTO E LA CONOSCENZA,LEARNING&KNOWLEDGE,I,I.1,103/2,Campania,"264,660.00","264,660.00"
CONSORZIO - CENTRO DI RICERCA IN MATEMATICA PURA ED APPLICATA,LEARNING&KNOWLEDGE,I,I.1,103/1,Campania,"726,318.75","691,347.36"
CONSORZIO CATANIA RICERCHE,Laboratorio pubblico-privato per lo sviluppo di tecnologie di processo e dimostratori di circuiti elettronici ad alte prestazioni a basso costo di fabbricazione realizzati su substrati plastici,I,I.3,DM17767/4,Sicilia,"925,032.00","123,593.40"
CONSORZIO CATANIA RICERCHE,Laboratorio pubblico-privato per lo sviluppo di tecnologie di processo e dimostratori di circuiti elettronici ad alte prestazioni a basso costo di fabbricazione realizzati su substrati plastici,I,I.3,DM17767/F4,Sicilia,"364,027.00","109,208.10"
