Beneficiario Finale,Denominazione Progetto,Asse,Codice Obiettivo Operativo,Codice Progetto,Regione,Totale impegnato,Totale erogato (pagamenti monitorati al 31/12/2009)
ALADINO MULTISERVICE S.A.S DI CHIACCHIO PASQUALE &,ALADINO MULTISERVICE S.A.S DI CHIACCHIO PASQUALE &,II,II.1,2020622,Campania,"16,798.97","16,789.97"
ALAGAN SAS DI MINIERO CONCETTA & C.,ALAGAN SAS DI MINIERO CONCETTA & C.,II,II.1,2023694,Campania,"51,512.00","12,878.00"
ALBA CONSULT S.A.S. DI D'ANELLO PIETRO & C.(GIA' ALBA CONSULT DI DE MARCO A.),ALBA CONSULT S.A.S. DI D'ANELLO PIETRO & C.(GIA' ALBA CONSULT DI DE MARCO A.),II,II.1,3873,Calabria,"86,214.00","73,281.90"
ALBANO E COSENZA INGEGNERI snc DI COSENZA,ALBANO E COSENZA INGEGNERI snc DI COSENZA,II,II.1,2010741,Campania,"25,537.65","25,110.45"
ALBERTO POIATTI,ALBERTO POIATTI,II,II.1,21791,Sicilia,"1,848,996.00","616,332.00"
ALCOS DI TRIANNI MARISA & C. SAS,ALCOS DI TRIANNI MARISA & C. SAS,II,II.1,2016858,Puglia,"40,493.00","40,493.00"
ALEMAT S.A.S. DI INTRIERI ALESSIO & C.,ALEMAT S.A.S. DI INTRIERI ALESSIO & C.,II,II.1,2017017,Calabria,"47,167.50","47,167.50"
alenia composite,alenia composite,II,II.1,,Puglia,"34,000,000.00","18,396,018.00"
alenia improvement,alenia improvement,II,II.1,,Campania,"13,000,000.00","5,603,000.00"
ALLEGRETTA COSTRUZIONI SAS DI ALLEGRETTA,ALLEGRETTA COSTRUZIONI SAS DI ALLEGRETTA,II,II.1,2009558,Campania,"44,103.68","29,642.10"
ALLESTIRE S.N.C.,ALLESTIRE S.N.C.,II,II.1,2014574,Puglia,"46,242.75","46,242.75"
ALPHA S.A.S,ALPHA S.A.S,II,II.1,2022952,Campania,"18,481.94","4,696.39"
ALTEREGO SAS DI GENOVESE MARIAELENA E C.,ALTEREGO SAS DI GENOVESE MARIAELENA E C.,II,II.1,2013590,Calabria,"40,231.83","29,685.13"
ALTOMONTE CEREALI SAS DI CAPPARELLI LUCIO & C.,ALTOMONTE CEREALI SAS DI CAPPARELLI LUCIO & C.,II,II.1,2010071,Calabria,"44,505.50","31,614.50"
ALU TEKNO S.A.S. DI CATALANO GIROLAMA VALENTINA,ALU TEKNO S.A.S. DI CATALANO GIROLAMA VALENTINA,II,II.1,2024951,Sicilia,"59,364.25","12,872.85"
ALVA ENERGY S.A.S. DI ALAIMO ANTONIO,ALVA ENERGY S.A.S. DI ALAIMO ANTONIO,II,II.1,2015758,Sicilia,"61,250.00","61,250.00"
AMARU' GIOVANNI  (GIA' AMARU' GIOVANNI DI AMARU' ROSARIO ANDREA & C.),AMARU' GIOVANNI  (GIA' AMARU' GIOVANNI DI AMARU' ROSARIO ANDREA & C.),II,II.1,76258,Sicilia,"224,896.00","145,911.70"
AMATO E NASTASI S.A.S.,AMATO E NASTASI S.A.S.,II,II.1,2009692,Sicilia,"39,650.30","28,720.24"
AMENDOLA S.A.S. DI AMENDOLA DANIELE & C.,AMENDOLA S.A.S. DI AMENDOLA DANIELE & C.,II,II.1,2010970,Calabria,"43,338.98","31,742.93"
AMET ITALY SRL,AMET ITALY SRL,II,II.1,42274,Campania,"180,710.00","134,920.00"
AMITRANI SNC DI ROBERTO E STEFANO TRUZZOLILLO,AMITRANI SNC DI ROBERTO E STEFANO TRUZZOLILLO,II,II.1,2021024,Calabria,"47,700.00","47,700.00"
AMTEC,AMTEC,II,II.1,41949,Sicilia,"1,224,071.20","1,060,861.80"
'AN.DA.LO CENTRO SERVIZI CONSULENTI D'IMPRESA S.A.,'AN.DA.LO CENTRO SERVIZI CONSULENTI D'IMPRESA S.A.,II,II.1,2020718,Sicilia,"42,934.65","42,709.15"
ANTECO,ANTECO,II,II.1,'7880.,Campania,"2,274,299.69","1,098,918.44"
ANTICA ARTE DEL LEGNO DI DELLA ROCCA,ANTICA ARTE DEL LEGNO DI DELLA ROCCA,II,II.1,2012821,Campania,"35,588.16","26,845.22"
ANTICA FAVOLA S.A.S DI MASCIA FRANCESCA & C.,ANTICA FAVOLA S.A.S DI MASCIA FRANCESCA & C.,II,II.1,2009498,Campania,"4,797.77","4,613.47"
ANTICHI RICAMI DI CANNARELLA G.  \&\ C.SAS,ANTICHI RICAMI DI CANNARELLA G.  \&\ C.SAS,II,II.1,2013201,Sicilia,"46,050.95","34,836.97"
ANTICHI SAPORI DI MORRA ANNA & C. SAS,ANTICHI SAPORI DI MORRA ANNA & C. SAS,II,II.1,2023294,Puglia,"53,959.50","53,959.50"
ANTONBENE SNC DI CARROCCETTO ALFIO,ANTONBENE SNC DI CARROCCETTO ALFIO,II,II.1,2011980,Sicilia,"50,830.50","38,204.40"
APM SAS DI MARCO NAPOLITANO & C.,APM SAS DI MARCO NAPOLITANO & C.,II,II.1,2010934,Calabria,"48,566.73","48,566.73"
AQUASOLAR S.A.S. DI GIMIGLIANO SERGIO & C.,AQUASOLAR S.A.S. DI GIMIGLIANO SERGIO & C.,II,II.1,2018163,Calabria,"11,084.15","11,084.15"
AQUILSPORT SOCIETA' DI PROGETTO,AQUILSPORT SOCIETA' DI PROGETTO,II,II.1,13526,Campania,"1,206,630.00","603,315.00"
AR.SI.CA. sas DI SCOGNAMIGLIO ANDREA,AR.SI.CA. sas DI SCOGNAMIGLIO ANDREA,II,II.1,2009868,Campania,"22,092.16","11,796.13"
ARCA SERVICE SAS DI MARCO CAIAZZO & C.,ARCA SERVICE SAS DI MARCO CAIAZZO & C.,II,II.1,2022100,Campania,"49,098.00","48,030.67"
ARCADE' DI CAPOGNA ANTONIO & C. S.N.C.,ARCADE' DI CAPOGNA ANTONIO & C. S.N.C.,II,II.1,2021566,Puglia,"50,418.15","50,347.03"
ARCHGEOSUD S.N.C.,ARCHGEOSUD S.N.C.,II,II.1,2024441,Calabria,"52,433.67","11,686.73"
ARCHILAB SNC DI LAZZARO CLARICE & C.,ARCHILAB SNC DI LAZZARO CLARICE & C.,II,II.1,2022107,Calabria,"34,033.67","7,562.93"
ARCHINGEO CONTROL SYSTEMS S.A.S. DI DARIO MIRAGLIA,ARCHINGEO CONTROL SYSTEMS S.A.S. DI DARIO MIRAGLIA,II,II.1,2021771,Sicilia,"46,264.15","44,583.57"
ARCHIPORTE S.A.S.,ARCHIPORTE S.A.S.,II,II.1,2020479,Sicilia,"34,737.92","34,714.12"
ARCURI GIANCARLO & C. SAS.,ARCURI GIANCARLO & C. SAS.,II,II.1,2009095,Calabria,"13,136.72","3,936.00"
AREA STAMPA S.A.S. DI COLAUTTI M. & C.,AREA STAMPA S.A.S. DI COLAUTTI M. & C.,II,II.1,2015882,Calabria,"45,845.47","45,845.47"
ARGENTA DI PALMESE SALVATORE E C. S.A.S.,ARGENTA DI PALMESE SALVATORE E C. S.A.S.,II,II.1,2021170,Campania,"56,019.00","56,019.00"
ARPAX SNC,ARPAX SNC,II,II.1,2016645,Sicilia,"53,678.03","53,678.03"
ARREDAMENTI MADONIA MOBILI DI MADONIA ANGELO & C,ARREDAMENTI MADONIA MOBILI DI MADONIA ANGELO & C,II,II.1,9162,Sicilia,"306,491.00","195,093.63"
ART DECO DI SANTALUCIA PAOLO & C. - SNC,ART DECO DI SANTALUCIA PAOLO & C. - SNC,II,II.1,2003760,Calabria,"30,900.25","21,360.06"
ART METAL SUD DI DE CARO STEFANO & C. S.N.C.,ART METAL SUD DI DE CARO STEFANO & C. S.N.C.,II,II.1,2021008,Sicilia,"59,196.43","59,163.72"
ART UFFICIO S.A.S. DI DI GENNARO ROSARIO & C.,ART UFFICIO S.A.S. DI DI GENNARO ROSARIO & C.,II,II.1,2019334,Campania,"34,043.18","34,042.80"
ART\&\LEGNO DI CARDINALE M. E COCCA G. snc,ART\&\LEGNO DI CARDINALE M. E COCCA G. snc,II,II.1,2011463,Campania,"30,742.72","30,642.72"
ARTCOPY DI MARILENA CALDARARO & C. SAS,ARTCOPY DI MARILENA CALDARARO & C. SAS,II,II.1,2019894,Puglia,"21,249.67","21,228.68"
ARTE FERRO SAS DI SPAGNUOLO CARLO & C.,ARTE FERRO SAS DI SPAGNUOLO CARLO & C.,II,II.1,2024533,Calabria,"51,787.00","11,357.40"
ARTE METAL SAS DI FILIPPONE ANTONIO \&\ C.,ARTE METAL SAS DI FILIPPONE ANTONIO \&\ C.,II,II.1,2013260,Calabria,"40,474.87","29,681.57"
ARTE ORAFA S.A.S. DI PALOMBA GIUSEPPE & C.,ARTE ORAFA S.A.S. DI PALOMBA GIUSEPPE & C.,II,II.1,2018467,Campania,"37,252.56","37,252.56"
ARTEAM S.A.S. DI PETRAROLI ALESSANDRO & C.,ARTEAM S.A.S. DI PETRAROLI ALESSANDRO & C.,II,II.1,2021540,Puglia,"31,645.18","31,336.85"
ARTEARV DI ROSALBA VIGLIAROLO & C. S.A.S.,ARTEARV DI ROSALBA VIGLIAROLO & C. S.A.S.,II,II.1,2014449,Calabria,"27,337.50","27,062.50"
ARTEDIL S.N.C. DI DE VIVO ALFONSINA & PETILLO MASS,ARTEDIL S.N.C. DI DE VIVO ALFONSINA & PETILLO MASS,II,II.1,2004120,Campania,"34,046.00","21,246.00"
ARTEDIL SNC DI PLUCHINO GIULIO E RAMIREZ,ARTEDIL SNC DI PLUCHINO GIULIO E RAMIREZ,II,II.1,2017805,Sicilia,"39,354.53","38,661.11"
ARTEK DI PICAZIO FRANCESCA SAS,ARTEK DI PICAZIO FRANCESCA SAS,II,II.1,2007065,Campania,"42,325.00","29,767.50"
ARTEK SNC DI MARAGLINO R. E CONFORTI G.PPE,ARTEK SNC DI MARAGLINO R. E CONFORTI G.PPE,II,II.1,2014562,Puglia,"36,380.65","36,380.65"
ARTELEGNO S.N.C.,ARTELEGNO S.N.C.,II,II.1,2005573,Calabria,"48,645.00","35,916.00"
ARTEM DI FERA ROSELLINA & C. S.A.S.,ARTEM DI FERA ROSELLINA & C. S.A.S.,II,II.1,2020112,Calabria,"30,917.01","26,242.01"
ARTE-MARMI SAS  DI SCAGLIONE F. \&\ C,ARTE-MARMI SAS  DI SCAGLIONE F. \&\ C,II,II.1,2015516,Calabria,"57,250.50","57,250.50"
ARTEMISIA S.A.S. DI FORGIONE GIUSEPPE & C.,ARTEMISIA S.A.S. DI FORGIONE GIUSEPPE & C.,II,II.1,2024429,Campania,"23,416.80","5,854.20"
ARTEORO SAS DI LUCIANO MELI,ARTEORO SAS DI LUCIANO MELI,II,II.1,2020862,Sicilia,"17,739.75","17,257.25"
ARTERGIO' S.A.S. DI MINIERI GIOVANNI & C.,ARTERGIO' S.A.S. DI MINIERI GIOVANNI & C.,II,II.1,2013539,Campania,"46,012.25","46,012.25"
ARTHEMISIA S.A.S. DI ASSUNTA DI MARTINO,ARTHEMISIA S.A.S. DI ASSUNTA DI MARTINO,II,II.1,2013450,Campania,"23,010.91","22,950.97"
ARTI GRAFICHE CAGGIANO DI GAETA ROSA & C. S.A.S.,ARTI GRAFICHE CAGGIANO DI GAETA ROSA & C. S.A.S.,II,II.1,2023892,Campania,"59,050.00","12,910.00"
ARTI GRAFICHE CLM S.A.S. DI LOREDANA MUSCATELLO &,ARTI GRAFICHE CLM S.A.S. DI LOREDANA MUSCATELLO &,II,II.1,2020848,Calabria,"35,452.84","35,452.84"
ARTI GRAFICHE IIRITI,ARTI GRAFICHE IIRITI,II,II.1,'8696.,Calabria,"2,424,812.00","1,169,689.87"
ARTI GRAFICHE NACCARATO S.A.S. & CO.,ARTI GRAFICHE NACCARATO S.A.S. & CO.,II,II.1,2013148,Calabria,"23,333.18","23,333.18"
ARTIGIANA ARTE SAS DI NAPPO PAOLA & C.,ARTIGIANA ARTE SAS DI NAPPO PAOLA & C.,II,II.1,2018006,Campania,"31,350.65","24,459.15"
ARTIGIANA DECORAZIONI DI PATELLO ORESTE & C. S.N.C,ARTIGIANA DECORAZIONI DI PATELLO ORESTE & C. S.N.C,II,II.1,2019228,Puglia,"56,145.60","56,145.60"
ARTIGIANLEGNO DI MAGLIE ALESSANDRO,ARTIGIANLEGNO DI MAGLIE ALESSANDRO,II,II.1,31319,Puglia,"78,647.00","44,598.50"
ARTIGIANRICAMI SAS DI SANTORO GIOVANNA & C.,ARTIGIANRICAMI SAS DI SANTORO GIOVANNA & C.,II,II.1,2020312,Puglia,"49,701.60","49,699.42"
ARTILABOR SAS DI NICASTRO PIERA &C,ARTILABOR SAS DI NICASTRO PIERA &C,II,II.1,2025175,Sicilia,"23,709.83","23,542.17"
ARTINOX  SAS,ARTINOX  SAS,II,II.1,2013803,Campania,"52,311.48","52,311.48"
ARTLEGNO S.N.C. DI CAROPRESE A. & GALLO L.,ARTLEGNO S.N.C. DI CAROPRESE A. & GALLO L.,II,II.1,2004041,Campania,"31,980.00","19,584.00"
ASIAN FLORIO S.A.S. DI DE LEO ANGELA & C.,ASIAN FLORIO S.A.S. DI DE LEO ANGELA & C.,II,II.1,2013630,Calabria,"44,748.37","32,810.15"
ASITEK DI VINCI DANIELA & C. S.A.S.,ASITEK DI VINCI DANIELA & C. S.A.S.,II,II.1,2010150,Sicilia,"36,925.25","25,939.70"
ASSIST IMPIANTI SPORTIVI SAS DI GAMBARDELLA GERARD,ASSIST IMPIANTI SPORTIVI SAS DI GAMBARDELLA GERARD,II,II.1,2011605,Campania,"46,723.10","43,082.46"
ASSOTEC S.A.S DI NAZZARO GIUSEPPE,ASSOTEC S.A.S DI NAZZARO GIUSEPPE,II,II.1,2016555,Campania,"9,203.82","9,203.82"
ASTERITI PUBBLICITA' S.A.S. DI ASTERITI FRANCESCO E C.,ASTERITI PUBBLICITA' S.A.S. DI ASTERITI FRANCESCO E C.,II,II.1,2022617,Calabria,"44,460.29","43,290.48"
ASTERITI UBALDO,ASTERITI UBALDO,II,II.1,70189,Calabria,"54,856.20","18,766.20"
ata system,ata system,II,II.1,,Puglia,"1,428,000.00", -   
ATB CONSULTING SAS DI LEPORE CARMINE & C.,ATB CONSULTING SAS DI LEPORE CARMINE & C.,II,II.1,2016647,Campania,"43,349.95","43,300.45"
ATELIER AMOROSO DI PURGATO MICHELA,ATELIER AMOROSO DI PURGATO MICHELA,II,II.1,26947,Campania,"9,493.40","2,853.40"
'ATELIER CREAZIONI NANCY  S.A.S DI CANNAVACCIUOLO,'ATELIER CREAZIONI NANCY  S.A.S DI CANNAVACCIUOLO,II,II.1,2015569,Campania,"35,611.50","23,335.50"
ATELIER LINA CONTE SAS DI CONTE LINA & C,ATELIER LINA CONTE SAS DI CONTE LINA & C,II,II.1,2020321,Campania,"34,022.56","34,022.56"
ATN SOLUTIONS S.A.S. DI FILIPPO SOLA E MASSIMO CALIGIURI & C.,ATN SOLUTIONS S.A.S. DI FILIPPO SOLA E MASSIMO CALIGIURI & C.,II,II.1,2021131,Calabria,"28,465.06","25,564.78"
AURIA IMPIANTI snc DI AURIA SALVATORE,AURIA IMPIANTI snc DI AURIA SALVATORE,II,II.1,2012541,Sicilia,"30,654.50","22,773.60"
AUTOLAVAGGIO SALVATORE S.A.S. DI SALVATORE R.,AUTOLAVAGGIO SALVATORE S.A.S. DI SALVATORE R.,II,II.1,2017209,Campania,"47,209.25","47,209.25"
AUTOLAVAGGIOMENALE DI MENALE NICOLA & C. S.A.S.,AUTOLAVAGGIOMENALE DI MENALE NICOLA & C. S.A.S.,II,II.1,2023389,Campania,"26,482.66","6,196.53"
AVAGLIANO SERVICE S.A.S DI AVAGLIANO GIOVANNA & C.,AVAGLIANO SERVICE S.A.S DI AVAGLIANO GIOVANNA & C.,II,II.1,2018852,Campania,"20,823.68","20,659.59"
AVIOGENESI S.A.S. DI GAMBINO GIUSEPPE,AVIOGENESI S.A.S. DI GAMBINO GIUSEPPE,II,II.1,2018435,Puglia,"58,555.25","58,555.25"
AXENTE,AXENTE,II,II.1,'8099.,Puglia,"1,325,579.00","100,147.89"
AZ ANTINCENDI DI MARINO ROSARIO & C. SAS,AZ ANTINCENDI DI MARINO ROSARIO & C. SAS,II,II.1,2007379,Calabria,"51,132.20","38,830.28"
AZ UFFICIO S.A.S. DI PALMIERI FRANCESCO DIEGO & C.,AZ UFFICIO S.A.S. DI PALMIERI FRANCESCO DIEGO & C.,II,II.1,2009670,Calabria,"44,750.17","32,300.14"
AZIENDA AGRICOLA FRAMMATTEO DI ANDRIELLO MARIA ELU,AZIENDA AGRICOLA FRAMMATTEO DI ANDRIELLO MARIA ELU,II,II.1,2021101,Calabria,"47,251.00","10,500.20"
AZIENDA AGRITURISTICA FONTE DI GURVO DI ABATEGIOVANNI ANNUNZIATA,AZIENDA AGRITURISTICA FONTE DI GURVO DI ABATEGIOVANNI ANNUNZIATA,II,II.1,17804,Campania,"471,719.95","53,202.82"
AZZ' CHE PIZZ' SAS DI PAPOLINO ANNA,AZZ' CHE PIZZ' SAS DI PAPOLINO ANNA,II,II.1,2021214,Campania,"45,729.43","10,145.89"
B & B BIOCOMBUSTIBILI  SAS,B & B BIOCOMBUSTIBILI  SAS,II,II.1,2020535,Calabria,"43,461.00","43,461.00"
B & C NAUTICA DI BONFRATE D  E  CORDELLA F,B & C NAUTICA DI BONFRATE D  E  CORDELLA F,II,II.1,64590,Puglia,"72,066.00","31,536.00"
B AND B,B AND B,II,II.1,10775,Puglia,"441,950.00","157,697.40"
B ONE,B ONE,II,II.1,82983,Campania,"53,898.40","40,800.40"
b packiging,b packiging,II,II.1,,Campania,"7,589,000.00", -   
B&B GEOLOGICAL CENTER  BELLIA & BELLA snc,B&B GEOLOGICAL CENTER  BELLIA & BELLA snc,II,II.1,2008337,Sicilia,"30,851.11","22,352.05"
B.& T. S.A.S.,B.& T. S.A.S.,II,II.1,2010954,Campania,"55,718.50","43,574.80"
B.A. INTERNI S.A.S DI BARBARIA DANIELA & C.,B.A. INTERNI S.A.S DI BARBARIA DANIELA & C.,II,II.1,2020127,Campania,"51,041.00","51,041.00"
B.B.M. L.E.S. SNC DI BOMBARDIERI GILDA & C - SNC,B.B.M. L.E.S. SNC DI BOMBARDIERI GILDA & C - SNC,II,II.1,2021103,Calabria,"43,325.50","43,325.50"
B.EFFE SERVICE sas DI BIONDI FRANCESCO,B.EFFE SERVICE sas DI BIONDI FRANCESCO,II,II.1,2009929,Campania,"47,400.48","36,370.38"
B.G.A. DI BUFFO ALESSANDRO & C. SAS,B.G.A. DI BUFFO ALESSANDRO & C. SAS,II,II.1,2024391,Puglia,"56,401.00","12,880.20"
B.M. ANTINCENDIO S.N.C. DI BINETTI GIUSEPPE E MESSINESE GAETANO,B.M. ANTINCENDIO S.N.C. DI BINETTI GIUSEPPE E MESSINESE GAETANO,II,II.1,2020261,Puglia,"26,359.10","26,286.30"
B.M.C. S.A.S DEL GEOM. BRUNI ADRIANO & C.,B.M.C. S.A.S DEL GEOM. BRUNI ADRIANO & C.,II,II.1,2010541,Calabria,"43,412.85","31,836.09"
B.P. ELETTRICA SNC DI BRUZZESE ETTORE E PASQUALONE,B.P. ELETTRICA SNC DI BRUZZESE ETTORE E PASQUALONE,II,II.1,2018967,Calabria,"10,849.29","10,849.29"
BAAL TEATRO SAS DI CAROLI DANIA & C.,BAAL TEATRO SAS DI CAROLI DANIA & C.,II,II.1,2017804,Campania,"56,143.75","48,431.72"
BABEL S.A.S,BABEL S.A.S,II,II.1,2025249,Sicilia,"12,760.97","3,052.19"
BAC SNC DI AIELLO CARLA & C.,BAC SNC DI AIELLO CARLA & C.,II,II.1,2009506,Calabria,"55,330.91","43,264.73"
BALDARELLI INFISSI SAS DI BALDARELLI DARIO,BALDARELLI INFISSI SAS DI BALDARELLI DARIO,II,II.1,2024495,Sicilia,"40,680.00","40,680.00"
BANCHETTI SONTUOSI S.A.S. DI FILIPPO TALARICO,BANCHETTI SONTUOSI S.A.S. DI FILIPPO TALARICO,II,II.1,2022317,Calabria,"34,906.73","34,895.90"
BARBATIANO S.A.S. DI VITALIANO LISA,BARBATIANO S.A.S. DI VITALIANO LISA,II,II.1,2022453,Campania,"39,703.42","9,540.69"
BARBETTAINDUSTRIACONFEZIONI SRL,BARBETTAINDUSTRIACONFEZIONI SRL,II,II.1,46564,Puglia,"350,700.00","57,754.80"
BARINTAVOLA S.N.C. DI ABRESCIA GRAZIA E GIGLIO DORA,BARINTAVOLA S.N.C. DI ABRESCIA GRAZIA E GIGLIO DORA,II,II.1,2021861,Puglia,"58,509.39","58,509.39"
BARNABA  DOMENICO,BARNABA  DOMENICO,II,II.1,79395,Puglia,"61,982.75","10,977.48"
BASTRIKO S.N.C. DI MAGNOLIA DANIELA &  C.,BASTRIKO S.N.C. DI MAGNOLIA DANIELA &  C.,II,II.1,2018931,Puglia,"17,829.50","15,856.64"
BATTAGLIA MARMI SAS DI BATTAGLIA UGO & C.,BATTAGLIA MARMI SAS DI BATTAGLIA UGO & C.,II,II.1,2019988,Campania,"57,029.00","56,996.50"
BCAPSULE SAS DI RIZZO GIUSEPPE & C,BCAPSULE SAS DI RIZZO GIUSEPPE & C,II,II.1,2010859,Calabria,"48,375.00","35,475.00"
BCC LAVORO,BCC LAVORO,II,II.1,'8430.,Campania,"125,750.00","61,508.00"
BCF EDILIZIA DI BOZZACCO CARMINE & C. S.A.S.,BCF EDILIZIA DI BOZZACCO CARMINE & C. S.A.S.,II,II.1,2019111,Campania,"62,018.01","62,018.01"
BE.CA. CONSULTING S.N.C. DI BEVACQUA ROBERTO & C.,BE.CA. CONSULTING S.N.C. DI BEVACQUA ROBERTO & C.,II,II.1,2005591,Calabria,"45,100.95","34,750.06"
BEAUTY FASHION S.A.S. DI FIORILLO TERESA,BEAUTY FASHION S.A.S. DI FIORILLO TERESA,II,II.1,2019007,Campania,"45,497.46","45,497.46"
BELCASTRO CONTRACT SAS DI BELCASTRO CARLO & C.,BELCASTRO CONTRACT SAS DI BELCASTRO CARLO & C.,II,II.1,2021876,Calabria,"39,317.41","39,317.08"
BELFER S.A.S.,BELFER S.A.S.,II,II.1,3000957,Sicilia,"31,300.50","31,172.94"
BELVEDERE MARMI S.N.C. DI LUIGI MIRABELLI & C.,BELVEDERE MARMI S.N.C. DI LUIGI MIRABELLI & C.,II,II.1,2007083,Calabria,"29,858.05","16,996.44"
BENEVENTANA MARMI sas DI CAGGIANO R.,BENEVENTANA MARMI sas DI CAGGIANO R.,II,II.1,2010222,Campania,"39,671.60","39,671.60"
BENIGNO S.r.l.,BENIGNO S.r.l.,II,II.1,41268,Campania,"216,474.00","78,745.00"
BETA PRESS S.N.C. DI BILOTTI GIUSEPPE & C.,BETA PRESS S.N.C. DI BILOTTI GIUSEPPE & C.,II,II.1,2017414,Calabria,"47,599.05","47,579.02"
BI. EMME DI SIGNORE M. E L. BRIZIO SNC,BI. EMME DI SIGNORE M. E L. BRIZIO SNC,II,II.1,2014435,Puglia,"24,792.00","24,790.00"
BIAFORA COSTRUZIONI EDILI S.N.C. DI BIAFORA FRANCESCO & C.,BIAFORA COSTRUZIONI EDILI S.N.C. DI BIAFORA FRANCESCO & C.,II,II.1,2016862,Calabria,"30,964.20","30,964.20"
BIO MEDICAL SYSTEMS,BIO MEDICAL SYSTEMS,II,II.1,77347,Sicilia,"1,077,990.00","145,090.50"
BIO SITARI,BIO SITARI,II,II.1,'7353.,Puglia,"1,211,398.94","305,670.33"
BIO.DA.TA. CONSULTING S.N.C. DI DALENA ANNAMARIA &,BIO.DA.TA. CONSULTING S.N.C. DI DALENA ANNAMARIA &,II,II.1,2022146,Puglia,"44,633.75","44,633.75"
BIOBAITS S.A.S. DI MATURO VINCENZO & C.,BIOBAITS S.A.S. DI MATURO VINCENZO & C.,II,II.1,2019289,Campania,"55,955.83","55,955.83"
BIOCHIM S.A.S. DI D'ERRICO ANGELO & C.,BIOCHIM S.A.S. DI D'ERRICO ANGELO & C.,II,II.1,2020659,Puglia,"57,035.03","53,535.03"
BIODIAGRAM,BIODIAGRAM,II,II.1,'6359.,Campania,"1,790,637.86","542,082.18"
BIOLEVANTE,BIOLEVANTE,II,II.1,'8634.,Puglia,"2,201,078.00","1,006,876.28"
BIOMATERIALI,BIOMATERIALI,II,II.1,45140,Puglia,"67,714.80","56,429.00"
BIOSEARCH SRL,BIOSEARCH SRL,II,II.1,87693,Sicilia,"77,784.00","28,833.90"
BIRRA GIO' BI S.A.S DI MANDARINO STEFANIA,BIRRA GIO' BI S.A.S DI MANDARINO STEFANIA,II,II.1,2025734,Calabria,"47,900.63","11,180.13"
BIRRA PERONI (GIA' BIRRA PERONI INDUSTRIALE),BIRRA PERONI (GIA' BIRRA PERONI INDUSTRIALE),II,II.1,69410,Puglia,"943,328.00","303,964.70"
BIRRIFICIO DEL FARO DI MORO FRANCESCO & C. SAS,BIRRIFICIO DEL FARO DI MORO FRANCESCO & C. SAS,II,II.1,2022282,Sicilia,"51,550.00","50,467.20"
BLISTER SUD S.A.S. DI SIRICA CARMINE & C.,BLISTER SUD S.A.S. DI SIRICA CARMINE & C.,II,II.1,2015257,Campania,"43,567.94","43,567.94"
BLU PLAST,BLU PLAST,II,II.1,18982,Campania,"156,358.80","85,392.80"
BLUE COMPANY ENGENEERING CONSULTING MANAGEMENT DI BATOLO MARINA STELLA & C,BLUE COMPANY ENGENEERING CONSULTING MANAGEMENT DI BATOLO MARINA STELLA & C,II,II.1,84502,Sicilia,"38,814.90","28,746.90"
BLUE MARE SERVICE DI CRICCHIO MARCELLO E C. SAS,BLUE MARE SERVICE DI CRICCHIO MARCELLO E C. SAS,II,II.1,2021649,Sicilia,"54,585.00","12,417.00"
BLUETECNOLOGY,BLUETECNOLOGY,II,II.1,'7291.,Campania,"2,378,601.00","491,958.39"
BLUTEK S.A.S. DI FABIO MANCUSO & C.,BLUTEK S.A.S. DI FABIO MANCUSO & C.,II,II.1,2016708,Calabria,"21,655.59","21,655.17"
BOBO STUDIOS DI BOEZIO ANTONIO & C. S.A.S.,BOBO STUDIOS DI BOEZIO ANTONIO & C. S.A.S.,II,II.1,2014252,Puglia,"43,603.28","43,523.65"
BOFFA ARREDAMENTI,BOFFA ARREDAMENTI,II,II.1,78767,Campania,"112,930.00","59,224.54"
BONINCONTRO ALESSANDRO E C. S.A.S.,BONINCONTRO ALESSANDRO E C. S.A.S.,II,II.1,2018658,Sicilia,"37,240.04","37,239.66"
BRAIN MULTIMEDIA S.N.C. DI CARMINE COLELLA & CO.,BRAIN MULTIMEDIA S.N.C. DI CARMINE COLELLA & CO.,II,II.1,2016095,Campania,"39,830.20","36,915.20"
BRANDWAY SAS DI CRISTIANO CEGLIA & C.,BRANDWAY SAS DI CRISTIANO CEGLIA & C.,II,II.1,2019562,Campania,"28,995.00","28,975.00"
BRICOLARE S.A.S. DI SPINA LEONARDO & C.,BRICOLARE S.A.S. DI SPINA LEONARDO & C.,II,II.1,2022830,Calabria,"45,465.00","45,435.83"
BRN SOFT DI TIZIANA NICOTRA S.A.S,BRN SOFT DI TIZIANA NICOTRA S.A.S,II,II.1,2022742,Sicilia,"27,162.50","26,925.00"
BROADCAST SERVICE SAS DI  CAPUOZZO V.,BROADCAST SERVICE SAS DI  CAPUOZZO V.,II,II.1,2009489,Campania,"52,975.58","40,536.09"
BRU.MAX DI PECORARO BRUNO E F.LLI S.A.S.,BRU.MAX DI PECORARO BRUNO E F.LLI S.A.S.,II,II.1,2016385,Campania,"18,024.96","17,775.42"
BRUGNANO S.A.S. DI BRUGNANO ROSARIO & C.,BRUGNANO S.A.S. DI BRUGNANO ROSARIO & C.,II,II.1,2020950,Calabria,"45,361.79","45,361.79"
