P.O. Regione Liguria Ob. C.R.O. Fondo Europeo di Sviluppo Regionale 2007- 2013,,,,,
"Asse 1"" Innovazione e competitivitˆ"" - Linea 1.3 ""Diffusione delle TIC""",,,,,
ELENCO DEI  BENEFICIARI AL 30.6.2009,,,,,
(ex articolo 7 del Regolamento CE n. 1828/2006),,,,,
BENFICIARIO,DENOMINAZIONE  INTERVENTO,ANNO  ASSEGNAZIONE CONTRIBUTO,CONTRIBUTO TOTALE ASSEGNATO (Û),QUOTA FESR (Û),QUOTA NAZIONALE (Û)
DATASIEL SIST. E TECNOL. INFORMATICA SPA,REALIZZAZIONE RETE TELEMATICA A BANDA LARGA SUL TERRITORIO REGIONALE,2008," 8,000,000.00 "," 2,537,230.77 "," 5,462,769.23 "
TOTALE,,," 8,000,000.00 "," 2,537,230.77 "," 5,462,769.23 "
