BENEFICIARIO,PROGETTO,REGIONE,ANNO DI INIZIO ,ANNO DI CONCLUSIONE,TOTALE IMPEGNATO,TOTALE EROGATO
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali","Assistenza tecnica per la programmazione, attuazione e sorveglianza del PON REM",Regioni Obiettivo Conv.,-,-,"11.681.318,80","1.209.098,80"
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali","Prosecuzione Servizio di Assistenza tecnica e collaborazioni individuali per la chiusura del PON ""Trasporti"" 2000-2006",Regioni Obiettivo Conv.,-,-,"445.196,60","45.840,79"
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali","Collaborazioni di supporto alle attivita' di gestione, selezione e verifica degli interventi nell'ambito del PON ""Reti e Mobilita'"" 2007-2013",Regioni Obiettivo Conv.,-,-,"1.361.182,12","67.800,00"
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali",Missioni personale interno: controlli in loco e incontri istituzionali,Regioni Obiettivo Conv.,-,-,"300.000,00","6.284,24"
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali",Spese generali CdS ed altri incotnri istituzionali,Regioni Obiettivo Conv.,-,-,"30.000,00","3.672,00"
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali",Dotazioni marteriali e attrezzature d'ufficio,Regioni Obiettivo Conv.,-,-,"300.000,00","6.235,80"
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali","Monitoraggio del PON ""Reti e Monilita'"" 2007-2013",Regioni Obiettivo Conv.,-,-,"7.126.587,20","1.152.129,20"
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali","Prosecuzione Servizio di Monitoraggio per la chiusura del PON ""Trasporti"" 2000-2006",Regioni Obiettivo Conv.,-,-,"63.748,80",-
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali","Valutazione itermedia del PON ""Reti e Mobilita'"" 2007-2013",Regioni Obiettivo Conv.,-,-,"4.551.665,28","45.437,28"
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali","Studi e ricerche inerenti il PON ""Reti e Mobilita'"" 2007-2013",Regioni Obiettivo Conv.,-,-,"1.000.000,00",-
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali","Supporto all'Autorita' di Audit PON ""Reti e Mobilita'"" 2007-2013",Regioni Obiettivo Conv.,-,-,"1.973.135,88","53.135,88"
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali","Prosecuzione Servizio di supporto all'attivita' di Audit del PON ""Trasporti"" 2000-2006",Regioni Obiettivo Conv.,-,-,"58.780,00",-
"MIT Dipartimento per le Infrastrutture, gli Affari generali edi il Personale Direzione Generale per lo Sviluppo del territorio, la programmazione ed I Progetti internazionali","Piano di Comunicazione del PON ""Reti e Mobilita'"" 2007/2013",Regioni Obiettivo Conv.,-,-,"9.221.575,28","76.084,16"
