N∞ZEV P_íJEMC_,OBLAST PODPORY ROPJZ,N∞ZEV OPERACE,ROK ALOKACE/ ROK FIN∞LNí PLATBY,ALOKOVAN∞ _∞STKA,CELKOV∞ _∞STKA VYPLACEN∞ PO SKON_ENí PROJEKTU
Spr_va a _dr_ba silnic Jiho_eskªho kraje,,"Rekonstrukce silnice M/144,111/14410 a 111/14415 Vlachovo B_ez√ 2. etapa",2008/2009,"17 123 687,86","16 977 398,19 K_"
Spr_va a _dr_ba silnic Jiho_eskªho kraje,,Rekonstrukce silnice 11/156 pr_tah obc√ _dol√ u Nov_ch Hrad_,2008/2010,"14 186 818,13",Bude dopln_no po ukon_en√ projektu
Stanislav Prajer,3.1,Zv_àen√ konkurenceschopnosti hotelu Prajer (d_√ve hotel Blan√ce),2008/2010,"4 882 603,71",Bude dopln_no po ukon_en√ projektu
Statut_rn√ m_sto _eskª Bud_jovice,1.5,Lannova t_√da - 2. etapa (Jeron_mova - ât√tnªho),2008/2009,"18 500 000,00","14 900 189,10 K_"
statut_rn√ m_sto Plze_,2.4,V_stavba a rekonstrukce sportovn√ho are_lu 20. z_kladn√ àkoly v Plzni,2008/2009,"19 550 516,01",Bude dopln_no po ukon_en√ projektu
statut_rn√ m_sto Plze_,3.3,Komunika_n√ kampa_ ke kandidatu_e m_sta Plzn_ na titul Evropskª hlavn√ m_sto kultury 2015,2008/2010,"8 871 423,38",Bude dopln_no po ukon_en√ projektu
STINGOs.r.o.,3.1,Hotel P_edn√ ml_n - zkvalitn_n√ nab√dky ubytovac√ch kapacit,2008/2010,"19 533 719,62",Bude dopln_no po ukon_en√ projektu
"St_edn√ odborn_ àkola veterin_rn√, mechaniza_n√ a zahradnick_ a Jazykov_ àkola s pr_vem st_tn√ jazykovª zkouàky, _eskª Bud_jovice, Rudolfovsk_ 92",2.4,Rozvoj SOâ veterin_rn√ za __elem zkvalitn_n√ vzd_l_v_n√,2008/2010,"23 114 640,00",Bude dopln_no po ukon_en√ projektu
"St_edn√ odbornª u_iliàt_ ryb__skª, T_ebo_, T_boritsk_ 941",2.4,Vybudov_n√ multifunk_n√ u_ebny a z_√zen√ jazykov_ch u_eben,2008/2008,"4 193 036,00","4 192 902,90 K_"
"SUMAVAPLAN, spol. s r. 0.",3.2,"Stavebn√ _pravy objektu z_mku _p. 1, Hr_dek",2008/2010,"16 520 000,00",Bude dopln_no po ukon_en√ projektu
TVGIMIa.s.,3.3,VIDEOTOUR,2008/2010,"3 592 960,00",Bude dopln_no po ukon_en√ projektu
V_clav Kuka_ka,3.1,Rekonstrukce kempu a pensionu U Kuka_ku,2008/2009,"2 450 028,00","2 431 046,96 K_"
Z_kladn√ àkola Bernarda Bolzana obecn_ prosp_àn_ spole_nost,2.4,Bolzanova barevn_ àkola,2008/2009,"8 265 000,00",Bude dopln_no po ukon_en√ projektu
"Z_kladn√ àkola Josefa Kajet_na Tyla a Mate_sk_ àkola P√sek, Tylova 2391",2.4,Modernizace h_ià_ Z_kladn√ àkoly J. K. Tyla a Mâ P√sek,2008/2008,"11 853 124,01","11 762 732,20 K_"
Zlat_ vrch,3.3,ROK NA ZLAT÷M VRCHU,2008/2009,"3 557 673,00",Bude dopln_no po ukon_en√ projektu
"Zoologick_ a botanick_ zahrada m_sta Plzn_, p_√sp_vkov_ organizace",3.1,Africkª a asijskª expozice Zoologickª a botanickª zahrady m_sta Plzn_,2008/2010,"124 910 651,00",Bude dopln_no po ukon_en√ projektu
"AGENTURA J.S., s.r.o.",3.1,Multifunk_n√ sportovn_-relaxa_n√ centrum _ernª _dol√ - II. etapa,2008/2009,"3 354 000,00","3 315 182,17 K_"
Agentura T_ebo_sko o.p.s.,3.3,Podpora cestovn√ho ruchu na T_ebo_sku,2008/2009,"865 162,00",Bude dopln_no po ukon_en√ projektu
AGRIPRODCZa.s.,3.1,Wellness hotel Kn√_ec√ Dv_r - 3. etapa,2008/2010,"9 654 177,00","9 165 545,51 K_"
AGRIPRODCZa.s.,3.2,Dv_r Vondrov - revitalizace historickª pam_tky,2008/2010,"29 621 623,00",Bude dopln_no po ukon_en√ projektu
AHProfi s.r.o.,3.1,"SPORTHOTEL T_emoàn_ -sportovn√, relaxa_n√ a àkol√c√ centrum",2008/2010,"22 531 631,00",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
Alena Skamenov_,3.1,V_stavba ubytov_n√ pro venkovskou turistiku v _.p.9 Meziles√,2008/2009,"2 105 019,00",Bude dopln_no po ukon_en√ projektu
"ALFAARENA , spol. s r.o.",3.1,P_√stavba a rekonstrukce penzionu Bezdrev,2008/2009,"7 884 512,00","7 830 078,60 K_"
"Ark_da - soci_ln_ psychologickª centrum, o.s.",2.5,Rekontrukce prostor pro slu_by soci_ln√ integrace,2008/2010,"5 487 688,00",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
Biskupstv√ plze_skª,3.2,"revitalizace objektu frantiàk_nskªho kl_àtera v plzni a z_√zen√ muzea c√rkev, um_n√ plz. diecªze",2008/2012,"34 597 481,00",Bude dopln_no po ukon_en√ projektu
Blanko projekt s.r.o.,3.1,ZKVALITN_Ní A ROZâí_ENí SLU»EB - VILA A APARTM∞NY BLANKO,2008/2009,"3 058 042,73",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
CENTRAL Klatovy spol. s r. o.,3.1,VıSTAVBA WELLNESS CENTRA II ETAPA A ZKVALITN_Ní ubytovac√ A GASTRONOMICK÷ _∞STI HOTELU CENTR∞L,2008/2009,"2 603 140,00",Bude dopln_no po ukon_en√ projektu
C√rkevn√ gymn_zium Plze_,2.4,Kompletn√ rekonstrukce odbornª fyzik_ln√ u_ebny a revitalizace u_ebny literatury,2008/2009,"1 444 200,00","1 439 617,88 K_"
_eskª re_lnª gymn_zium s.r.o.,2.4,Modernizace _eskªho re_lnªho gymn_zia s.r.o.,2008/2009,"4 052 332,00","4 052 123,20 K_"
_SAD AUTOBUSY _eskª Bud_jovice a.s.,1.2,"Stavebn√ _pravy budovy autobus, n_dra_√ Prachatice a vytvo_en√ elektronickªho informa_n√ho systªmu",2008/2009,"2 528 004,00","1 508 549,74 K_"
"Domov pro osoby se zdravotn√m posti_en√m Stod, p_√sp_vkov_ organizace",2.5,Soci_ln_ terapeutickª centrum DOZP Stod,2008/2010,"44 889 760,00",Bude dopln_no po ukon_en√ projektu
"Dopravn√ podnik m_sta _eskª Bud_jovice, a.s.",1.2,Informa_n√ systªm pro cestuj√c√ MHD v _esk_ch Bud_jovic√ch,2008/2010,"19 970 000,00",Bude dopln_no po ukon_en√ projektu
EDIKT a.s.,3.1,"Rekonstrukce hotelu Relax, Doln√ Vltavice, Lipno",2008/2010,"18 042 773,20",Bude dopln_no po ukon_en√ projektu
ELSY spol. sr.o.,3.1,V_stavba sportovn√ho z_zem√ hotelu Elsyn Dv_r,2008/2010,"1 386 209,00",Bude dopln_no po ukon_en√ projektu
Folklorn√ sdru_en√ _eskª republiky,3.3,Folklorn√ kaleidoskop Jiho_eskªho a Plze_skªho kraje,2008/2011,"5 451 524,00",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
GASTRO-»OFíN s.r.o.,3.2,Rekostrukce terasov_ch zahrad z_mku Zbiroh,2008/2010,"22 409 395,00",Bude dopln_no po ukon_en√ projektu
Golfov_ klub Hlubok_ nad Vltavou,3.3,Golfem proti drog_m,2008/2009,"5 027 808,00",Bude dopln_no po ukon_en√ projektu
"Hrady na Malài, o.s.",3.2,Konzervace hradu Po_eà√n - 2. etapa,,"2 174 000,00",Bude dopln_no po ukon_en√ projektu
"Insyst Consulting, s.r.o.",3.1,Rozà√_en√ BW Aparthotelu âumava 2000 o novostavbu ve_ejnªho wellness centra a rodinn_ch apartm_n_,2008/2010,"12 796 000,00",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
INTERTOUR.spol.s r.o.,3.2,Revitalizace kulturn√ pam_tky z_mku Byst_ice nad _hlavou,2008/2011,"21 701 574,00",Bude dopln_no po ukon_en√ projektu
Ivan Fousek - pr_ce HSV aPSV,3.1,Zlepàen√ infrastruktury a kvality slu_eb rekrea_n√ho are_lu Dr_chov,2008/2009,"12 002 665,00",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
"Jednota, spot_ebn√ dru_stvo v Milevsku, okres P√sek",3.1,Rekonstrukce hotelu Zv√kov,2008/2009,"1 723 307,00","1 721 080,05 K_"
Jiho_eskª letiàt_ _eskª Bud_jovice a.s.,1.4,Zlepàen√ bezpe_nostn√ho vybaven√ letiàt_ _eskª Bud_jovice - speci_ln√ hasi_skª vozidlo,2008/2010,"16 650 000,00",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,2.4,"Zkvalitn_n√ v_uky automobiln√ch,stroj√rensk_ch a dopravn√ch obor_ na VOâ.SPâ automobiln√ a technick_",2008/2010,"29 961 213,00",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,3.3,Tvorba tiskov_ch materi_l_ v_. el. verz√ pro propagaci Jiho_eskªho kraje v _R i zahrani_√ -1. __st,2008/2009,"9 678 000,00",Bude dopln_no po ukon_en√ projektu
"Jiho_esk_ zem_d_lsk_ lihovar, a.s.",3.2,Rekonstrukce a revitalizace are_lu statku s tvrz√ B_àov,2008/2010,"22 130 574,00",Bude dopln_no po ukon_en√ projektu
JSWKs.r.o.,3.1,V_stavba v√ce__elovªho s_lu v Da_ic√ch,2008/2009,"7 276 695,00",0 K_ Projekt nebyl proplacen. S p_√jemcem podeps_na Dohoda o ukon_en√ smlouvy.
"KoCeRo - komunitn√ centrum RÄm_, o.p.s.",3.3,Festival etnickª kultury v _eskªm Krumlov_,2008/2009,"3 727 897,00",Bude dopln_no po ukon_en√ projektu
Kristina Hronov_,3.1,Multifunk_n√ za_√zen√ pro cestovn√ ruch Lib√nskª Sedlo,2008/2011,"13 590 247,00",Bude dopln_no po ukon_en√ projektu
Lª_ebnª l_zn_ Konstantinovy L_zn_ a. s.,3.3,Rozvoj a marketing l_ze_sk_ch produkt_ cestovn√ho ruchu v Konstantinov_ch L_zn√ch,2008/2010,"2 575 080,00",Bude dopln_no po ukon_en√ projektu
LIPNO SERVIS s.r.o.,3.3,Lipensk_ karta,2008/2009,"154 500,00","148 063,57 K_"
Mate_sk_ àkola Hlubok_ nad Vltavou,2.5,Modernizace MS Hlubok_ nad Vltavou,2008/2011,"16 714 256,00",Bude dopln_no po ukon_en√ projektu
MEDIPONT s.r.o.,2.6,N_kup modern√ho zdravotnickªho vybaven√,2008/2008,"3 250 174,00","3 112 260,17 K_"
MEDIPONT s.r.o.,2.6,N_kup CT,2008/2008,"4 067 214,00","3 794 951,51 K_"
M_sto âvihov,1.5,Svihov - rekonstrukce m√stn√ch komunikac√,2008/2010,"11 566 878,00",Bude dopln_no po ukon_en√ projektu
m_sto Blovice,2.3,Stavebn√ _pravy objektu _p. 78 v Blovic√ch - zkvalitn_n√ ob_anskª vybavenosti,2008/2010,"15 122 102,57",Bude dopln_no po ukon_en√ projektu
M_sto Blovice,2.6,Rekonstrukce polikliniky ve m_st_ Blovice,2008/2010,"23 254 047,67",Bude dopln_no po ukon_en√ projektu
M_sto _ernoà√n,2.4,Zkvalitn_n√ podm√nek pro v_uku na Zâ _ernoà√n,2008/2010,"4 210 135,65","3 982 922,90 K_"
M_sto _eskª Velenice,2.3,Odstran_n√ nevyhovuj√c√ho stavu v kulturn√m domu Beseda v _esk_ch Velenic√ch,2008/2009,"4 506 808,97",Bude dopln_no po ukon_en√ projektu
M_sto _esk_ Krumlov,2.2,Stavebn√ _pravy m_stskªho parku a ji_n√ch teras v _eskªm Krumlov_ 1. etapa,2008/2010,"25 736 383,01",Bude dopln_no po ukon_en√ projektu
M_sto _esk_ Krumlov,2.4,Vybaven√ àkoly a rekonstrukce v√ce__elovªho h_iàt_ Zâ Pleàivec v _eskªm Krumlov_,2008/2009,"7 957 332,00",Bude dopln_no po ukon_en√ projektu
M_sto _esk_ Krumlov,3.2,REKONSTRUKCE LAZEBNICK÷HO MOSTU V _ESK÷M KRUMLOV_,2008/2009,"6 141 119,00",Bude dopln_no po ukon_en√ projektu
M_sto Da_ice,2.2,Odpo_inkov_ zÄna Nivy Da_ice,2008/2010,"4 540 527,00",Bude dopln_no po ukon_en√ projektu
M_sto Doma_lice,1.5,Rekonstrukce Ladovy ulice v Doma_lic√ch,2008/2009,"2 995 473,75",Bude dopln_no po ukon_en√ projektu
M_sto Doma_lice,1.5,Rekonstrukce ulice Husova v Doma_lic√ch,2008/2009,"8 027 871,09",Bude dopln_no po ukon_en√ projektu
M_sto Hlubok_ nad Vltavou,1.5,Rekonstrukce m√stn√ch komunikac√,2008/2010,"6 983 424,00",Bude dopln_no po ukon_en√ projektu
M_sto Hora__ovice,3.3,N_vrat k tradic√m,2008/2009,"602 654,15","299 726,36 K_"
M_sto Horn√ Plan_,2.4,Zlepàen√ podm√nek v_uky v Z_kladn√ àkole Horn√ Plan_,2008/2010,"17611 411,00",Bude dopln_no po ukon_en√ projektu
M_sto Jind_ich_v Hradec,2.2,Modernizace a p_√stavba plaveckªho bazªnu v Jind_ichov_ Hradci,2008/2010,"59 999 999,99",Bude dopln_no po ukon_en√ projektu
M_sto Jind_ich_v Hradec,2.5,"""V_stavba mate_skª àkoly na s√dliàti Hv_zd_rna, Jind_ich_v Hradec""",2008/2010,"40 429 414,58",Bude dopln_no po ukon_en√ projektu
M_sto Jind_ich_v Hradec,3.2,Stavebn√ _pravy ulice ât√tnªho v M_stskª pam_tkovª rezervaci Jind_ich_v Hradec,2008/2009,"12 249 191,01","8 631 718,21 K_"
M_sto Kaplice,2.2,Modernizace sportovià_ v Kaplici,2008/2009,"739 811,68",Bude dopln_no po ukon_en√ projektu
M_sto Kladruby,1.5,Dopravn√ zp_√stupn_n√ lokality Kladruby - sever,2008/2009,"5 107 002,92","5 055 923,63 K_"
M_sto Klatovy,2.2,"Stavebn√ obnova, revitalizace a dostavba centr_ln√ __sti m_sta -Tylova n_b_e_√",2008/2009,"27 647 496,99",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
M_sto Milevsko,2.2,Milevsko - centrum zdravªho _ivotn√ho stylu - zkvalitn_n√ infrastruktury pro voln_ _as -1. etapa,2008/2009,"35 968 900,00",Bude dopln_no po ukon_en√ projektu
M_sto Milevsko,2.5,Modernizace MS Pastelka - Ateliªr pro p_edàkoln√ d_ti,2008/2010,"4 306 953,99",Bude dopln_no po ukon_en√ projektu
M_sto Nepomuk,2.3,"Nepomuk, rekonstrukce rodnªho domu Augustina N_mejce",2008/2010,"26 293 724,00",Bude dopln_no po ukon_en√ projektu
M_sto NOV÷ HRADY,2.4,Modernizace budov Zâ a jejich za_√zen√ za __elem zlepàen√ kvality a dostupnosti vzd_l_v_n√ v N.H.,2008/2009,"5 641 656,00",Bude dopln_no po ukon_en√ projektu
M_sto N_rsko,1.5,Rekonstrukce ulice Klatovsk_ -N_rsko-SO-01.SO-03,2008/2010,"14 272 861,01",Bude dopln_no po ukon_en√ projektu
M_sto P√sek,3.2,P√sek - Regenerace centr_ln√ zÄny Bakal__e,2008/2010,"29 018 984,65","27 430 415,31 K_"
M_sto P√sek,3.2,P√sek - rekonstrukce Mari_nskªho sloupu na Alàov_ n_m_st√,2008/2011,"2 564 086,01",0 K_ Projekt nebyl proplacen. S p_√jemcem podeps_na Dohoda o ukon_en√ smlouvy.
M_sto P√sek,3.2,P√sek - zp_√stupn_n√ v__e D_kanskªho kostela,2008/2010,"3 960 193,00",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
M_sto Plan_ nad Lu_nic√,3.1,Rekonstukce a rozà√_en√ Sportovn√ho centra za _ekou ve m_st_ Plan_ nad Lu_nic√,2008/2010,"11 997 975,66",Bude dopln_no po ukon_en√ projektu
M_sto Plasy,2.3,Revitalizace socioekonomickª sfªry u NKP Kl_àter Plasy,2008/2010,"31 199 652,99",Bude dopln_no po ukon_en√ projektu
M_STO PRACHATICE,2.2,Rekonstrukce m_stskªho divadla Prachatice,2008/2010,"45 950 691,00",Bude dopln_no po ukon_en√ projektu
M_sto Protiv√n,1.5,Rekonstrukce m√stn√ch komunikac√ v Protiv√ne,2008/2011,"23 916 566,00",Bude dopln_no po ukon_en√ projektu
M_sto P_eàtice,2.2,Rozvoj volno_asov_ch aktivit na s√dliàti Chmelnice v P_eàtic√ch,2008/2011,"9 355 019,87",Bude dopln_no po ukon_en√ projektu
M_sto Rokycany,1.5,V_stavba m√stn√ komunikace pro napojen√ rozvojovª plochy Oseck_ vrch,2008/2009,"9 311 346,01",Bude dopln_no po ukon_en√ projektu
M_sto Rokycany,2.5,Mate_sk_ àkolka POH∞DKA v Rokycanech P_√stavba a n_stavba v_. stavebn√ch _prav,2008/2011,"11 949 242,00",Bude dopln_no po ukon_en√ projektu
M_sto Sp_lenª Po_√_√,2.6,REKONSTRUKCE ZDRAV. ST_EDISKA S. P. S CíLEM ZKVALITN_Ní a rozà√_en√ POSKYTOVANıCH ZDRAV. SLU»EB,2008/2009,"3 708 169,00",Bude dopln_no po ukon_en√ projektu
M_sto Sp_lenª Po_√_√,3.1,Galerie _eskªho kreslenªho humoru - nov_ atraktivita cestovn√ho ruchu ji_n√ho Plze_ska,2008/2010,"15 776 228,00",Bude dopln_no po ukon_en√ projektu
M_sto Strakonice,1.5,Zlepàen√ nevyhovuj√c√ho stavu m√stn√ komunikace »i_kova,2008/2009,"3 488 143,00",Bude dopln_no po ukon_en√ projektu
M_sto Strakonice,2.2,Sportareal Na Muàk_ch Strakonice,2008/2011,"13 145 074,16",Bude dopln_no po ukon_en√ projektu
M_sto Strakonice,3.1,L_vka u Strakonickªho hradu -pos√len√ prov_zanosti m_stsk_ch atraktivit,2008/2009,"46 129 000,99",Bude dopln_no po ukon_en√ projektu
M_sto Strakonice,3.3,V hlavn√ roli: Strakonice pro turisty,2008/2010,"990 271,70",Bude dopln_no po ukon_en√ projektu
M_sto Suàice,1.5,Suàice - ul.K_i_kova a U Rybn√ka -rekonstrukce m√stn√ch komunikac√,2008/2009,"6 459 409,99","5 791 082,69 K_"
M_sto Suàice,1.5,Suàice - Rekonstrukce m√stn√ch komunikac√ v historickªm centru -1. etapa,2008/2009,"11 210 320,01",Bude dopln_no po ukon_en√ projektu
M_sto Suàice,2.2,Suàice - Stavebn√ _pravy zimn√ho stadionu v Suàici - rekonstrukce a dovybaven√,2008/2009,"28 597 477,30","25 381 420,00 K_"
M_STO T∞BOR,1.2,V_stavba a obnova autobusov_ch zast_vek v T_bo_e - Hlinice,2008/2009,"1 444 578,00",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,1.2,V_stavba a obnova autobusov_ch zast_vek v T_bo_e - Horky,2008/2009,"1 331 528,99",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,1.2,V_stavba a obnova autobusov_ch zast_vek v T_bo_e - Na Kope_ku,2008/2009,"1 527 683,00",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,1.2,V_stavba a obnova autobusov_ch zast_vek v T_bo_e - N_chodskª s√dliàt_,2008/2009,"2 455 575,00",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,1.5,Rekonstrukce ulice Dru_stevn√ v T_bo_e - _ekanice,2008/2009,"30 000 000,01",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,2.2,Odpo_inkov_ zÄna Komora,2008/2009,"59 924 895,00",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,2.4,Zkvalitn_n√ v_ukov_ch prostor a zajiàt_n√ bezbariªrovosti SPâ strojn√ a stavebn√,2008/2010,"22 924 075,00",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,2.4,Modernizace ZS a MS T_bor M_àice,2008/2010,"19 759 178,99",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,2.4,N_stavba t_locvi_ny a àaten v ZS Husova v T_bo_e,2008/2010,"13 327 727,99",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,3.2,P_dn√ vestavba divadeln√ho studia v T_bo_e,2008/2009,"248 650,00",0 K_ Projekt nebyl proplacen. S p_√jemcem podeps_na Dohoda o ukon_en√ smlouvy.
M_STO T∞BOR,3.2,Revitalizace kulturn√ pam_tky _.p. 788 v T_bo_e,2008/2010,"18 632 495,99",Bude dopln_no po ukon_en√ projektu
M_STO T∞BOR,3.3,Modernizace infocentra - rozà√_en√ nab√dky slu_eb turist_m,2008/2009,"1 324 202,00","1 324 202,00 K_"
M_sto TRHOV÷ SVINY,2.4,Modernizace prostor a vybaven√ pro zkvalitn_n√ v_uky na Zâ Trhovª Sviny,2008/2009,"2 405 777,32",Bude dopln_no po ukon_en√ projektu
M_sto TRHOV÷ SVINY,2.6,"rekonstrukce budovy polikliniky, n_b_e_√ sv _echa 664, trhovª sviny",2008/2009,"4 949 999,99",Bude dopln_no po ukon_en√ projektu
M_STO VIMPERK,2.5,Modernizace Mate_skª àkoly 1. M_je,2008/2010,"8 763 413,00",Bude dopln_no po ukon_en√ projektu
M_STO VIMPERK,3.1,Rekonstrukce a rozà√_en√ sportovn_-rekrea_n√ho are_lu Vodn√k ve m_st_ Vimperk,2008/2010,"8 767 903,18",Bude dopln_no po ukon_en√ projektu
M_STO VOLARY,1.5,Rekonstrukce m√stn√ch komunikac√ v ulici _esk_ a P_√_n_ - Volary,2008/2009,"11 036 770,00",Bude dopln_no po ukon_en√ projektu
M_stys Deàenice,1.2,Rozvoj infrastruktury ve_ejnª dopravy v m_stysi Deàenice,2008/2009,"3 066 284,99","2 769 677,41 K_"
M_stys Chodova Plan_,2.3,Rekonstrukce prostoru n_m_st√ Chodova Plan_,2008/2009,"5 984 877,00",Bude dopln_no po ukon_en√ projektu
Miroslav âlajch,3.1,Horsk_ chata U Sn_hul_ka,2008/2010,"2 339 270,00",Bude dopln_no po ukon_en√ projektu
M√stn√ ak_n√ skupina Hlubocko - Liàovsko o.p.s.,3.3,Jiho_eskª ryb__skª slavnosti 2008 &2009,2008/2009,"1 651 173,00",Bude dopln_no po ukon_en√ projektu
Muzeum a galerie severn√ho Plze_ska,3.2,Nov_ expozice Muzea a galerie severn√ho Plze_ska v barokn√m Santiniho proboàtstv√ v Mari_nskª T_nici,2008/2011,"9 907 821,00",Bude dopln_no po ukon_en√ projektu
Muzeum _eskªho lesa v Tachov_,3.2,Zahrada otev_en_ - Rozà√_en√ a zkvalitn_n√ nab√dky pro cestovn√ ruch v muzeu v Tachov_,2008/2009,"6 200 000,00",0 K_ Projekt nebyl proplacen. S p_√jemcem nebyla podeps_na smlouva.
Muzeum dr. Bohuslava Hor_ka Rokycany,3.2,Revitalizace vodn√ho n_honu a n_dr_ky technickª pam_tky vodn√ hamr v Dob_√v_,2008/2010,"12 583 791,00",Bude dopln_no po ukon_en√ projektu
"Nemocnice _eskª Bud_jovice, a.s.",2.6,Pavilon d_tskªho odd_len√,2008/2009,"288 707 342,00",Bude dopln_no po ukon_en√ projektu
"Nemocnice P√sek, a.s.",2.6,Telemetrie a ultrazvuk,2008/2009,"4 659 500,00","4 044 939,90 K_"
"Nemocnice P√sek, a.s.",2.6,Rekonstrukce odd_len√ gynekologie,2008/2010,"28 764 314,00",Bude dopln_no po ukon_en√ projektu
"Nemocnice Strakonice, a.s.",2.6,Dostavba l__kovª __sti,2008/2009,"111 519 065,00",Bude dopln_no po ukon_en√ projektu
Nemocnice Suàice o.p.s.,2.6,Modernizace vybaven√ -endoskopickª p_√stroje,2008/2008,"919 450,00","916 638,00 K_"
Nemocnice Suàice o.p.s.,2.6,Modernizace vybaven√ - rentgenov_ p_√stroj,2008/2008,"923 150,00","920 190,00 K_"
Nemocnice Suàice o.p.s.,2.6,N_kup zdravotnickªho za_√zen√ Nemocnice Suàice,2008/2009,"6 486 802,01","6 457 310,69 K_"
"Nemocnice T_bor, a.s.",2.6,Vybaven√ pavilonu akutn√ medic√ny a porodnice,2008/2009,"46 214 193,00","40 986 027,91 K_"
Obec Bden_ves,1.5,Komunikace Za âkolou v obci Bden_ves,2008/2009,"7 251 463,00",Bude dopln_no po ukon_en√ projektu
Obec Bl√_ejov,1.5,M√stn√ komunikace - obytn_ zÄna 2 v obci Bl√_ejov,2008/2009,"8 261 211,01","7 838 372,30 K_"
OBEC BORSOV NAD VLTAVOU,1.5,Stavebn√ _prava ulic na Plan_rce a U Sila v Boràov_ nad Vltavou,2008/2010,"14 538 139,00",Bude dopln_no po ukon_en√ projektu
OBEC BORSOV NAD VLTAVOU,2.3,_pravy ve_ejn_ch prostranstv√ v __st√ch obce Zahor_ice a Jamnª,2008/2010,"33 635 136,00",Bude dopln_no po ukon_en√ projektu
OBEC_KYN_,1.5,M√stn√ komunikace - obec Ckyn_ -1.f_ze,2008/2009,"5 890 241,01","5 889 824,85 K_"
Obec He_manova Hu_,2.3,Vybudov_n√ sportovn_ relaxa_n√ zÄny v r_mci revitalizace _zem√,2008/2009,"7 660 688,99",Bude dopln_no po ukon_en√ projektu
Obec Chr_st,2.5,"Rekonstrukce, modernizace a rozà√_en√ kapacity Mate_skª àkoly Chr_st",2008/2010,"22 884 668,00",Bude dopln_no po ukon_en√ projektu
OBEC JíLOVICE,1.5,J√lovice - rekonstrukce m√stn√ch komunikac√,2008/2009,"13 575 917,79","13 524 046,10 K_"
OBEC JíLOVICE,2.3,J√lovice - revitalizace ve_ejn_ch prostranstv√ a infrastruktury pro ob_anskou vybavenost,2008/2009,"5 401 036,00",Bude dopln_no po ukon_en√ projektu
Obec Kolove_,2.3,Kulturn√ a administrativn√ za_√zen√ Kolove_,2008/2010,"14 259 479,03",Bude dopln_no po ukon_en√ projektu
Obec Konstantinovy L_zn_,2.3,Revitalizace centra Konstantinov_ch L_zn√ I. etapa,2008/2009,"24 889 195,99",Bude dopln_no po ukon_en√ projektu
Obec Kostelec,1.5,V_stavba m√stn√ch komunikac√ v obytnª zÄn_ Sever,2008/2009,"7 991 122,73",Bude dopln_no po ukon_en√ projektu
Obec Kraàovice,1.5,Rekonstrukce a modernizace m√stn√ch komunikac√ obce Kraàovice,2008/2011,"17 319 564,01",Bude dopln_no po ukon_en√ projektu
Obec L√n_,1.5,"Rekonstrukce m√stn√ komunikace -ul. Hav√_sk_, v __sti Sulkov- II. etapa",2008/2009,"5 767 187,04",Bude dopln_no po ukon_en√ projektu
Obec Mlad_ Smolivec,1.5,Rekonstrukce m√stn√ch komunikac√ v obci Mlad_ Smolivec a jej√ __sti Do_ice,2008/2009,"5 647 352,59","5 596 099,00 K_"
Obec Pr_àily,1.5,pr_àily- rekonstrukce m√stn√ komunikace,2008/2010,"8 256 809,00",Bude dopln_no po ukon_en√ projektu
Obec Rozvadov,1.5,Rekonstrukce m√stn√ komunikace na parcele _. kat. 1491/1 v obci Rozvadov,2008/2009,"2 274 628,00","2 265 951,47 K_"
OBEC SLAV_E,2.3,Rozvoj komunitn√ho _ivota v obci -stavebn√ _pravy _.p.52 ve Slav_i,2008/2009,"6 294 127,99",Bude dopln_no po ukon_en√ projektu
Obec Straà√ce,3.1,Are_l z__itkovª a pozn_vac√ turistiky St_edn√ Podbrdsko Straà√ce,2008/2010,"13 388 261,00",Bude dopln_no po ukon_en√ projektu
Obec Studen_,1.5,REKONSTRUKCE KOMUNIKACI A N∞M. SV.JANA NEPOMUCK÷HO VE STUDEN÷,2008/2010,"13 819 376,49",Bude dopln_no po ukon_en√ projektu
Obec Studen_,2.3,RELAXA_Ní CENTRUM STUDEN∞,2008/2009,"3 076 576,83",Bude dopln_no po ukon_en√ projektu
