N∞ZEV P_íJEMC_,OBLAST PODPORY ROPJZ,N∞ZEV OPERACE,ROK ALOKACE/ ROK FIN∞LNí PLATBY,ALOKOVAN∞ _∞STKA,CELKOV∞ _∞STKA VYPLACEN∞ PO SKON_ENí PROJEKTU
KARDIOCENTRUM VYSO_INA CZA s.r.o.,3.1,Relaxa_n√ a regenera_n√ centrum,2008/2010,"141 802 481,00",Bude dopln_no po ukon_en√ projektu
KO_í-INVESTa.s.,2.5,Seniorsk_ d_m P√sek,2008/2009,"36 400 000,00",Bude dopln_no po ukon_en√ projektu
"Konzervato_, Plze_, Kopeckªho sady 10",2.4,Zkvalitn_n√ v_uky Konzervato_e Plze_,2008/2009,"13 874 907,00","13 606 058,08 K_"
"Lª_ebnª centrum sv. Markªty, a.s.",3.1,Lª_ebnª centrum sv. Markªty -Wellness centrum,2008/2010,"70 018 560,60",0 K_ Projekt nebyl proplacen. Smluvn√ strany uzav_ely Dohodu o ukon_en√ Smlouvy o podm√nk_ch poskytnut√ dotace.
Lª_ebnª l_zn_ Konstantinovy L_zn_ a. s.,3.1,Rozvoj l_ze_stv√ a wellness v Konst.L_zn√ch - v_stavba a obnova l_ze_.komplexu Prus√k - III. etapa,2008/2009,"41 993 216,00",Bude dopln_no po ukon_en√ projektu
LIPNO SERVIS s.r.o.,3.1,Skiare_l Lipno - region_ln√ zimn√ centrum,2008/2008,"88 273 000,00","88 273 000,00 K_"
LIPNO SERVIS s.r.o.,3.3,Na Lipno po cel_ rok -marketingov_ kampa_ Lipno servis s.r.o.,2008/2009,"1 739 000,00",Bude dopln_no po ukon_en√ projektu
M & M _eskª Bud_jovice spol. s r.o.,3.1,Dostavba hotelu Savoy,2008/2008,"5 480 000,00",0 K_ Projekt nebyl proplacen. RR JZ odstoupila od Smlouvy o podm√nk_ch poskytnut√ dotace.
"Mate_sk_ àkola T_bor, Koll_rova 2497",2.5,"Modernizace h_iàt_ MS T_bor, Angela Kan_eva",2008/2009,"681 208,99","681 208,99 K_"
M_sto Bezdru_ice,1.5,Rekonstrukce m√stn√ch komunikac√ v centr_ln√ __sti m_sta,2008/2009,"17 115 849,06","17 082 790,27 K_"
M_sto Blovice,1.5,"Blovice - Hradiàt_ 24 RD, Komunikace obytnª zÄny",2008/2009,"10 317 002,30","10 184 485,80 K_"
M_sto _ernoà√n,1.5,I. etapa - Rekonstrukce a modernizace komunikac√ (Obnova n_m_st√ ve m_st_ _ernoà√n),2008/2009,"15 855 445,99","15 573 326,64 K_"
M_sto Da_ice,1.5,M√stn√ komunikace - s√dliàt_ _erven_ vrch v Da_ic√ch,2008/2010,"17 898 773,81",Bude dopln_no po ukon_en√ projektu
M_sto Da_ice,2.2,Rekonstrukce sportovn√ haly,2008/2010,"24 360 597,43",Bude dopln_no po ukon_en√ projektu
M_sto Dob_any,2.2,Dob_any - rekonstrukce n_m_st√ T.G.M.,2008/2010,"38 038 578,81",Bude dopln_no po ukon_en√ projektu
M_sto Doma_lice,2.4,Zv_àen√ efektivnosti ve v_uce z_kladn√ àkoly,2008/2009,"1 483 792,00","1 457 788,38 K_"
M_sto Doma_lice,2.5,Domov pro seniory- komplexn√ za_√zen√ soci_ln√ pª_e pro osoby se sn√_enou sob_sta_nost√,2008/2010,"60 124 999,99",Bude dopln_no po ukon_en√ projektu
M_sto Hlubok_ nad Vltavou,2.5,Rekonstrukce domova d_chodc_ U Zlatªho kohouta,2008/2010,"12 905 409,99",Bude dopln_no po ukon_en√ projektu
M_sto Hlubok_ nad Vltavou,3.1,Cyklistick_ stezka Hlubok_ nad Vltavou - Pon_àice,2008/2009,"12 026 498,00","8 177 827,90 K_"
