"Priority","Registrační číslo projektu","Název příjemce","Název projektu","Rok alokace/Rok finální platby","Alokovaná částka","ERDF","Celková částka proplacená při konci projektu"
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00882","Statutární město Brno","Kouzelný svět animace - Muzeum Loutek","2009 - ","28,225,000 Kč","25,936,486 Kč",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00878","MAGDALENIUM","Azylový dům Magdalenium","2009 - ","14,662,000 Kč","12,461,907 Kč",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00884","Statutární město Jihlava","Park nad tunelem, Jihlava","2009 - ","8,806,972 Kč","8,092,893 Kč",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00886","Statutární město Jihlava","Areál pro sportovní a volnočasové aktivity u Hellerova rybníka, Jihlava","2009 - ","11,333,443 Kč","10,414,516 Kč",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00883","Salesiánská provincie Praha","SALVE-Salesiánský areál pro líšeňskou veřejnost-rozšíření možností volnočasových a sportovních aktivit","2009 - ","34,999,290 Kč","29,747,505 Kč",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00890","Statutární město Jihlava","Regenerace a rozvoj dětských hřišť v Jihlavě - I. etapa","2009 - ","4,568,649 Kč","4,198,218 Kč",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00891","Statutární město Brno","Přístrojové vybavení Úrazové nemocnice v Brně","2009 - ","23,000,000 Kč","21,135,135 Kč",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00889","Statutární město Brno","Revitalizace městských parků, I. etapa","2009 - ","63,000,000 Kč","57,891,892 Kč",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00900","Statutární město Brno","Manažer IPRM Brno","2009 - ","7,425,473 Kč","6,823,407 Kč",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00917","Statutární město Brno","Moravské náměstí, včetně Běhounské","2009 - ","73,319,333.00","67,374,522.21",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00903","Statutární město Brno","Joštova - úsek Moravské nám. - Komenského nám.","2009 - ","120,482,679.99","110,713,814.04",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00904","Statutární město Brno","Revitalizace parku Bubeníčkova v městské části Brno-Židenice","2009 - ","9,711,999.99","8,924,540.54",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00932","Statutární město Brno","Odpočinková a sportovní zóna ""TERÉNKY"" k. ů. Brno - Slatina","2009 - ","13,839,999.99","12,717,837.83",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.00931","Statutární město Brno","Regionální biocentrum Cacovický ostrov - revitalizace","2009 - ","16,327,482.10","15,003,632.20",
"Priority axis 3 - Sustainable development of Urban and Rureal areas","CZ.1.11/3.1.00/02.01009","Statutární město Brno","Rekonstrukce sportovního areálu při ZŠ Brno, Vedlejší 10","2010 – "," 8,868,000 Kč "," 8,148,973 Kč ",
"Priority axis 4 - Technical assistance","CZ.1.11/4.1.00/01.00005","Regionální rada Jihovýchod","Podpora řízení ROP JV","2007 - 2008","29,262,375 Kč","26,889,750 Kč",
"Priority axis 4 - Technical assistance","CZ.1.11/4.1.00/01.00007","Regionální rada Jihovýchod","Řízení a implementace ROP JV 2008","2007 - 2008","57,299,125 Kč","52,653,250 Kč",
"Priority axis 4 - Technical assistance","CZ.1.11/4.1.00/01.00008","Regionální rada Jihovýchod","Monitoring a evaluace 2008","2007 - 2008","4,828,500 Kč","4,437,000 Kč",
"Priority axis 4 - Technical assistance","CZ.1.11/4.2.00/01.00006","Regionální rada Jihovýchod","TP ROP JV - Publicita a absorpční kapacita","2007 - 2008","6,812,625 Kč","6,260,250 Kč",
"Priority axis 4 - Technical assistance","CZ.1.11/4.2.00/01.00009","Regionální rada Jihovýchod","Publicita, vzdělávání a absorpční kapacita 2008","2007 - 2008","15,632,500 Kč","14,365,000 Kč",
"Priority axis 4 - Technical assistance","CZ.1.11/4.2.00/01.00405","Regionální rada Jihovýchod","Expertní podpora příjemcům dotace ROP Jihovýchod",2008,"6,274,275 Kč","5,765,550 Kč",
"Priority axis 4 - Technical assistance","CZ.1.11/4.1.00/01.00871","Regionální rada Jihovýchod","Aktivity spojené s realizací a řízením ROP Jihovýchod v letech 2009-2015",2008,"370,000,000 Kč","340,000,000 Kč",
"Priority axis 4 - Technical assistance","CZ.1.11/4.2.00/01.00870","Regionální rada Jihovýchod","Podpora absorpční kapacity ROP Jihovýchod v letech 2009-2015",2008,"129,999,500 Kč","119,459,000 Kč",
