"Priority","Registrační číslo projektu","Název příjemce","Název projektu","Rok alokace/Rok finální platby","Alokovaná částka","ERDF","Celková částka proplacená při konci projektu"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00874","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace Jihomoravského kraje","II/152 Jamolice - Polánka po křiž. III/15250","2009 - ","32,435,291 Kč","29,805,402 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00880","kraj Vysočina","Přeložka silnice II/352 Jihlava - Heroltice","2009 - ","207,598,409 Kč","190,766,109 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00881","kraj Vysočina","II/129 Humpolec - most ev. č. 129-011","2009 - ","25,881,240 Kč","23,782,761 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00885","kraj Vysočina","III/3993 Naloučany - most","2009 - ","31,532,644 Kč","28,975,943 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00887","kraj Vysočina","II/360 Štěpánovice - Vacenovice","2009 - ","47,439,531 Kč","43,593,083 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00894","kraj Vysočina","II/348, II/131 Štoky - Petrovice - Větrný Jeníkov","2009 - ","42,047,688 Kč","38,638,416 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00898","kraj Vysočina","II/351 od II/602 - Třebíč","2009 - ","105,883,876 Kč","97,298,697 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00899","kraj Vysočina","II/410 od I/23 - Želetava","2009 - ","87,041,370 Kč","79,983,961 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00896","kraj Vysočina","II/360 Jimramov - Moravec","2009 - ","126,704,167 Kč","116,430,856 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00893","kraj Vysočina","III/03810 Havlíčkův Brod - Přibyslav","2009 - ","53,087,864 Kč","48,783,442 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00901","kraj Vysočina","II/354 Nové Město na Moravě - Svratka","2009 - ","85,826,770 Kč","78,867,843 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00897","kraj Vysočina","II/129 Cetoraz - Jiřičky","2009 - ","129,483,167 Kč","118,984,532 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00902","kraj Vysočina","II/409 Počátky - průtah","2009 - ","11,483,647 Kč","10,552,541 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00888","kraj Vysočina","II/360 Jimramov - Horka","2009 - ","8,951,701 Kč","8,225,887 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00907","kraj Vysočina","II/639 Horní Cerekev - Kostelec","2009 - "," 62,702,318 Kč "," 57,618,347 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00912","kraj Vysočina","II/152 Jaroměřice - Hrotovice","2009 - "," 74,977,330 Kč "," 68,898,087 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00910","kraj Vysočina","II/339 Ledeč nad Sázavou - hranice kraje","2009 - "," 34,862,202 Kč "," 32,035,537 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00908","kraj Vysočina","II/133 Horní Cerekev - kř. II/602","2009 - "," 70,953,564 Kč "," 65,200,572 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00905","kraj Vysočina","II/402 Batelov - Třešť","2009 - "," 33,062,825 Kč "," 30,382,056 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00906","kraj Vysočina","II/151, III/15113 od I/38 - Budeč+Štěpkov-Budkov","2009 - "," 64,438,734 Kč "," 59,213,972 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00909","kraj Vysočina","III/01926, III/01928, III/01929 v Nové Cerekvi","2009 - "," 41,584,918 Kč "," 38,213,168 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00922","Statutární město Jihlava","Bezbariérové úpravy zastávek MHD a dopravní telematika pro preferenci MHD v Jihlavě - I.etapa","2009 - "," 33,930,915 Kč "," 31,179,760 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00913","Město Náměšť nad Oslavou","Dopravní terminál v Náměšti nad Oslavou","2009 - "," 7,524,254 Kč "," 6,914,180 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00920","KORDIS JMK, spol. s r.o.","Modernizace odbavování cestujících v IDS JMK - elektronické odbavování cestujících","2009 - "," 64,623,738 Kč "," 59,383,975 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00915","KORDIS JMK, spol. s r.o.","Zavedení intermodálních informačních služeb dopravní telematiky - rozvoj CED a II. etapa budování ELP","2009 - "," 21,265,750 Kč "," 19,541,500 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00923","Město Znojmo","Výstavba autobusového terminálu ve Znojmě","2009 - "," 41,828,484 Kč "," 38,436,986 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00918","Město Moravský Krumlov","Revitalizace centrální části města Moravský Krumlov - racionalizace autobusové dopravy","2009 - "," 32,694,948 Kč "," 30,044,006 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00925","Město Moravský Krumlov","Přestupní uzel IDS Moravský Krumlov","2009 - "," 11,318,709 Kč "," 10,400,976 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00926","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace","Přestupní uzel IDS Šakvice","2009 - "," 21,077,646 Kč "," 19,368,648 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00929","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace","Přestupní uzel Medlovice","2009 - "," 5,959,442 Kč "," 5,476,244 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00924","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace","Přestupní uzel IDS Tetčice","2009 - "," 13,103,305 Kč "," 12,040,875 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00921","Město KYJOV","Přestupní terminál IDS, Kyjov","2009 - "," 14,852,716 Kč "," 13,648,442 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00930","Město VESELÍ NAD MORAVOU","Veselí nad Moravou - přestupní terminál IDS JMK, zabezpečení bezbariérovosti","2009 - "," 14,732,186 Kč "," 13,537,685 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00919","Město Jevišovice","Autobusový terminál Jevišovice pro IDS","2009 - "," 9,514,718 Kč "," 8,743,254 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00914","Město Chotěboř","Autobusový terminál před budovou ČD","2009 - "," 27,075,157 Kč "," 24,879,874 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00916","KORDIS JMK, spol. s r.o.","Modřice, smyčka, zázemí pro cestující","2009 - "," 7,500,450 Kč "," 6,892,306 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.01008","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace kraje","III/15280 Modřice most","2010 – "," 91,303,575 Kč "," 83,900,582 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00935","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace kraje","III/4133 Moravský Krumlov průtah","2010 – "," 71,972,186 Kč "," 66,136,603 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.3.00/09.01052","České dráhy, a.s.","Moderní železniční vozidla pro kraj Vysočina","2010 – "," 220,000,000 Kč "," 202,162,162 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.3.00/09.01053","Jindřichohradecké místní dráhy, a.s.","Modernizace motorových vozů M 27.002, M 27.003 a M 27.004","2010 – "," 23,100,000 Kč "," 19,635,000 Kč ",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00035","Město Adamov","Alexandrova rozhledna u Adamova","2008 - ","2,773,822 Kč","2,548,924 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00157","FARMA Bolka Polívky, spol. s.r.o. ","Zkvalitnění služeb farmy Bolka Polívky a rozšíření o wellness","2008 - ","11,939,925 Kč","10,148,936 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00190","MILLenium,regio coeli, obecně prospěšná společnost","Paroplavba na Staroměstském rybníku","2008 - ","7,878,434 Kč","6,696,669 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00139","WESTERN-ŠIKLŮV MLÝN s.r.o.","Strašidelný zámek s expozicí pohyblivých loutek a muzeem legend s infocentrem Dolní Rožínka","2008 - ","9,501,455 Kč","8,076,237 Kč","9,404,675 Kč"
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00032","svazek obcí Boskovicko","Lyžařské trasy mikroregionu Boskovicko","2008 - ","7,078,045 Kč","6,504,149 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00089","Jan Blažíček","Rozšíření kapacity a zázemí penzionu Kaplanka ve Znojmě","2008 - ","3,549,602 Kč","3,017,162 Kč","3,540,777 Kč"
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00172","RÁJ Vranov spol. s r.o.","Výstavba bungalovů na vranovské pláži","2008 - ","3,839,329 Kč","3,263,590 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00051","Město Slavkov u Brna","Přístupová komunikace a parkoviště k Zámku Slavkov - Austerlitz","2008 - ","34,083,935 Kč","31,320,373 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00174","MĚSTO KUNŠTÁT","Výstavba naučné turistické stezky k Jeskyni Blanických rytířů","2008 - ","2,756,140 Kč","2,532,669 Kč","2,666,853 Kč"
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00063","EXBIO Holding s.r.o.","Rekonstrukce kulturní památky na Hotel LAHOFER","2008 - ","19,090,488 Kč","16,226,915 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00033","Jaroslav Rychecký","Hotel Na Plovárně, Humpolec, II. Etapa","2008 - ","4,357,676 Kč","3,704,025 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00207","Biskupství Brněnské","Lázeňský penzion u sv. Anny","2008 - ","5,802,408 Kč","5,332,413 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00061","INKORA, s.r.o.","Dostavba hotelového komplexu Hotel Ski Nové Město na Moravě","2008 - ","31,212,838 Kč","26,530,912 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00112","SWN Moravia, s.r.o.","Penziony GAUDEO Vranovská přehrada","2008 - ","10,350,227 Kč","8,797,693 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00042","Město Kyjov","Aktivní Kyjov - blíž turistům i obyvatelům","2008 - ","3,936,412 Kč","3,617,249 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00138","WESTERN-ŠIKLŮV MLÝN s.r.o.","WESTERN-Šiklův mlýn, komunikace, central kemp a vstupní brána s infocentrem - Zvole nad Pernštejnem","2008 - ","13,872,080 Kč","11,791,268 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00083","NAKA, spol. s r. o.","NAKA - poskytování kvalitního ubytování, sportovních, zdravotně relaxačních a terapeutických služeb","2008 - ","13,474,625 Kč","11,453,431 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00133","Leoš Pohanka","Ubytování ve venkovském prostředí a rozšíření sportovně relaxačního centra","2008 - ","1,300,000 Kč","1,105,000 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00180","AQUEKO, spol. s r.o.","Rozšíření a zkvalitnění služeb hotelu Jelínkova vila","2008 - ","1,087,767 Kč","924,602 Kč","1,036,938 Kč"
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00176","Anna Nešporová","Areál služeb Celnice v Lednicko-valtickém areálu","2008 - ","31,389,418 Kč","26,681,005 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00165","Michal Dědek","Přístavba hotelu Selský dvůr","2008 - ","7,331,060 Kč","6,231,401 Kč","5,502,222 Kč"
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00166","TENIS - PÁLAVA a.s.","Rozšíření kongresového areálu výstavbou nových ubytovacích a školících kapacit","2008 - ","23,657,974 Kč","20,109,278 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00077","MĚSTO BYSTŘICE NAD PERNŠTEJNEM","Bystřická zastavení - I. etapa","2008 - ","3,718,001 Kč","3,416,541 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00202","Pivovar Černá Hora, a.s.","Hotel Sladovna","2008 - ","50,000,000 Kč","42,500,000 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00022","MY HOTEL s.r.o.","Modernizace interiérů a certifikace služeb - MY HOTEL Lednice","2008 - ","3,675,954 Kč","3,124,561 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00053","LIVING 2005 s.r.o.","Penzion Včelařský dvůr v Lednici","2008 - ","15,217,451 Kč","12,934,834 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00093","IZOFOL s.r.o.","Hotel ARTABAN","2008 - ","23,579,072 Kč","20,042,211 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00097","Statutární město Brno","Beringie","2008 - ","45,000,000 Kč","41,351,729 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00115","Karel Melovský","Penzion Černý orel","2008 - ","9,961,437 Kč","8,467,221 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00069","Accomo s.r.o.","EA Hotel Joseph 1699","2008 - ","16,433,770 Kč","13,968,704 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00117","Pavel Havlík","Rozšíření nabídky služeb pro rozvoj cestovního ruchu v okolí Brna","2008 - ","5,791,171 Kč","4,922,495 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00047","NATURO-PROMENANTE s.r.o.","Přístavba WELLNESS CENTRA Hotelu Filipov","2008 - ","4,620,000 Kč","3,927,000 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/01.00088","Obec Vedrovice","Muzeum a informační centrum Vedrovice","2008 - ","*6 739 486","6,193,041 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00055","Jihomoravský kraj","Prezentace Jihomoravského kraje doma i v zahraničí","2008 - ","9,250,000 Kč","8,500,000 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00134","Mikroregion Podluží","Turistický průvodce Podlužím a Hodonínskem","2008 - ","2,293,121 Kč","2,107,152 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00113","MĚSTO TELČ","S Bílou paní po Telči a okolí","2008 - ","1,948,695 Kč","1,790,693 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00140","WESTERN-ŠIKLŮV MLÝN s.r.o.","Šikland - Svět, který vás baví","2008 - ","4,579,500 Kč","3,892,441 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00109","Spolek pro rozvoj venkova Moravský Kras","Za krásami Moravského krasu","2008 - ","1,294,741 Kč","1,189,762 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00144","Svaz venkovské turistiky, o.s.","Prázdniny na venkově
Jihovýchod","2008 - ","335,459 Kč","285,126 Kč","334,528 Kč"
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00171","Agentura cestovního ruchu jižní Moravy, zájmové sdružení právnických osob","Kongresová, veletržní a incentivní turistika v regionu Jižní Morava","2008 - ","9,992,355 Kč","9,182,164 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00102","MĚSTO TELČ","Lipky v Telči se představují","2008 - ","372,367 Kč","342,175 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00194","Sdružení obcí Vysočiny","Vysočina na dlani","2008 - ","1,176,498 Kč","1,081,106 Kč","1,089,456 Kč"
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00037","Mikroregion Rajhradsko","Podpora cestovního ruchu v Mikroregionu Rajhradsko","2008 - ","1,100,200 Kč","1,010,994 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00192","Agentura cestovního ruchu jižní Moravy, zájmové sdružení právnických osob","Regionální rezervační systém","2008 - ","1,034,586 Kč","950,726 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00193","Agentura cestovního ruchu jižní Moravy, zájmové sdružení právnických osob","Posílení image regionu Jižní Morava a rozvoj informovanosti","2008 - ","9,943,154 Kč","9,136,953 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00067","MĚSTO MIKULOV","Mikulovsko - profesionální partner v cestovním ruchu","2008 - ","9,349,720 Kč","8,591,634 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00175","Svazek obcí ""Drahanská vrchovina""","Poznejte Drahanskou vrchovinu","2008 - ","1,474,585 Kč","1,355,024 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00041","MĚSTO HUSTOPEČE","Hustopeče - turistická brána jihu Moravy","2008 - ","886,373 Kč","814,505 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00179","Znojemská Beseda","Znojmo - město s přívlastkem","2008 - ","5,895,025 Kč","5,417,050 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00103","FOLKLORNÍ SDRUŽENÍ ČESKÉ REPUBLIKY","Folklorní kaleidoskop jižní Moravy a Vysočiny","2008 - ","6,186,326 Kč","5,258,043 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00075","ZNOVÍN ZNOJMO, a.s.","Znovín Walking, chůze která léčí","2008 - ","970,506 Kč","824,901 Kč","970,506 Kč"
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00024","Westernové městečko Boskovice s.r.o.","EL ĎOĎO - marketing 2008","2008 - ","1,290,510 Kč","1,096,896 Kč","1,005,198 Kč"
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00073","Obec Šardice","Přijeďte k nám do Šardic","2008 - ","2,158,906 Kč","1,983,859 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.2.00/01.00195","Biskupství brněnské","Noc kostelů","2008 - ","4,300,652 Kč","3,655,321 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00505","MĚSTO TŘEBÍČ","Obnova a rekonstrukce historického vstupu do baziliky sv. Prokopa v Třebíči","2008 - ","8,024,273 Kč","7,373,656 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00531","STUDIO 19, o. s.","Vytvoření expozice brněnského funkcionalismu s využitím kulturní památky ""Kavárna ERA""","2008 - ","7,357,233 Kč","6,253,648 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00552","Josef Mazura","Rozšíření a zkvalitnění služeb Sporthotelu Vrchovina","2008 - ","2,900,439 Kč","2,465,373 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00516","C A M P  B Í T O V spol. s r.o.","Výstavba bungalovů v Campu Bítov","2008 - ","5,285,218 Kč","4,492,435 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00427","Karel Hurta","Hotel VINOPA","2008 - ","13,428,697 Kč","11,414,392 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00546","Maximus Resort, a.s.","Rekonstrukce a dostavba hotelu Maximus Resort","2008 - ","50,000,000 Kč","42,500,000 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00452","Město Velké Bílovice","Naučně - poznávací stezka mezi vinicemi Velkých Bílovic","2008 - ","6,027,145 Kč","5,538,458 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00563","Ksara s.r.o.","Vinný sklep s ubytováním Milotice - Šidleny","2008 - ","17,732,919 Kč","15,072,981 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00533","Jan Ondra","Chatová osada Yukon","2008 - ","1,745,547 Kč","1,483,715 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00577","Zdeněk Strnka","Vybudování pensionu včetně venkovních úprav v Ratíškovicích","2008 - ","3,265,640 Kč","2,775,794 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00492","Ing. Ivan Křen","Penzion Třešť","2008 - ","10,818,246 Kč","9,195,509 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00548","MĚSTO TELČ","Vítejte ve Starém Městě v Telči","2008 - ","21,362,193 Kč","19,630,123 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00534","Městys Boleradice","""Rozhlédněte se - Vyhlídková věž Nedánov""","2008 - ","2,226,645 Kč","2,046,106 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00431","Město Počátky","Naučná stezka k pramenům Počátek a okolí","2008 - ","4,037,577 Kč","3,710,206 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00488","MY HOTEL s.r.o.","Vybudování wellness s vínoterapií a rozšíření kapacit ubytování - My Hotel Lednice","2008 - ","43,749,856 Kč","37,187,378 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00502","Obec Kejžlice","Turistické ubytovací zařízení Obce Kejžlice","2008 - ","1,015,630 Kč","933,364 Kč","1,015,630 Kč"
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00536","PROGIO a.s.","Hotel Avanti - rozšíření služeb a certifikace na 4* (First Class)","2008 - ","7,370,940 Kč","6,265,299 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00418","GOLF BRNO a.s.","GOLF BRNO - kongresový sál a wellness","2008 - ","47,521,225 Kč","40,393,041 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00458","Město Židlochovice","Výhon, turistický okruh s rozhlednou","2008 - ","2,423,506 Kč","2,227,006 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00520","ŽLTC s.r.o.","Sportovní Hotel Garni*** -  Brno-Židenice","2008 - ","14,956,542 Kč","12,713,061 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00522","Zlatý vůl s.r.o.","Rekonstrukce nemovité kulturní památky na Penzion Zlatý vůl - Znojmo, Vlkova 3","2008 - ","7,134,124 Kč","6,064,005 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00491","IMOS development, a.s.","Zkvalitnění a rozšíření nabídky služeb Hotelu IMOS včetně certifikace na hotel 4*","2008 - ","36,381,562 Kč","30,924,328 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00453","Hotel Hubertus s.r.o.","Rekonstrukce Zámeckého hotelu Lednice","2008 - ","21,510,133 Kč","18,283,613 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00523","Malý zámeček, s.r.o.","Zámek Herálec","2008 - ","50,000,000 Kč","42,500,000 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00562","FARMA POŘÍČÍ, s.r.o.","Ubytovací a informační centrum Motelu Farma","2008 - ","7,519,060 Kč","6,391,201 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00486","Oldřich Sadílek","Hotel Kraví hora -  Bořetice -  Dependence","2008 - ","16,485,000 Kč","14,012,250 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00540","MĚSTO BYSTŘICE NAD PERNŠTEJNEM","Zpřístupnění zříceniny hradu Zubštejna pro turisty","2008 - ","13,400,267 Kč","12,313,759 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00555","Ing. Jiří MARIAN - TRIM","Hotel Galant - 3. etapa rekonstrukce brownfieldu GALA, Mikulov - ubytovací kapacity","2008 - ","32,299,229 Kč","27,454,345 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00468","Statutární město Brno","Zpřístupnění brněnského podzemí","2008 - ","62,000,000 Kč","56,973,383 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00510","Vodohospodářské stavby Javorník-CZ s.r.o.","Výstavba turistické infrastruktury Penzionu Javorník","2008 - ","3,987,660 Kč","3,389,511 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00560","ARENA, s.r.o.","Venkovský rekreační areál Cholunná - 1. etapa","2008 - ","5,595,963 Kč","4,756,568 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00514","Obec Plenkovice","Rekonstrukce stravovacího a vybudování ubytovacího zařízení v obci Plenkovice","2008 - ","2,158,046 Kč","1,983,244 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00553","Jindřich Vodička","Vybudování specializovaného ubytovacího zařízení pro komfortní rodinnou rekreaci","2008 - ","8,297,082 Kč","7,052,520 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00450","Roman Šťavík","Nadstavba a přístavba restaurace ""U Vavřince""","2008 - ","2,317,291 Kč","1,969,697 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00478","STOPR, s.r.o.","Areál Skalský mlýn: STOPR - STOprocentní Pohoda a Relaxace","2008 - ","6,549,037 Kč","5,566,681 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00434","Obec Malhostovice","ČEBÍNKOU NA KOLE ZE ZLOBICE POD PANÍ HORU","2008 - ","5,492,171 Kč","5,046,860 Kč",
"Priority axis 2 - Development of sustainable tourism","CZ.1.11/2.1.00/02.00459","Region, spol. s r.o.","Výstavba penzionu Régio a seminárního centra v Kyjově","2008 - ","9,992,160 Kč","8,493,336 Kč",
