"Name of beneficiary","ident","Project Title","Operational Programme","EU Fund","Date of allocation","Amounts allocated","Date of interim payment","Total Amounts paid from the start of the Project","Status"
"""Mikroregion Pod Chlumem""",71210482,"Projektová příprava - cyklostezky a cyklotrasy v
okolí jezera Medard","ROP NUTS II Severozápad","ERDF","22.09.2009",2500700,,0,"Ongoing"
"""Moravskoslezský automobilový
klastr, o.s.""",27041867,"AutoAcademy","OP Vzdělávání pro
konkurenceschopnost","ESF","16.12.2008",3810481,"21.07.2010",2067602,"Ongoing"
"""Moravskoslezský kruh""",26618761,"Pečuj doma","OP Lidské zdroje a zaměstnanost","ESF","14.04.2009",3576497,"19.02.2010",1085216,"Ongoing"
"""Obnova biotopu rybníků v Čechách
a na Moravě, o.p.s.""",26047250,"Obnova rybníka Jedlany","OP Životní prostředí","ERDF","25.02.2009",1762347,11/12/09,1762347,"Finalized"
"""Obnova biotopu rybníků v Čechách
a na Moravě, o.p.s.""",26047250,"Rybník na Oltyňském potoce","OP Životní prostředí","ERDF",12/03/09,2224202,"15.07.2010",2224201,"Ongoing"
"""Občanské sdružení Baobab""",67360670,"Podporované zaměstnávání lidí s duševní nemocí","OP Lidské zdroje a zaměstnanost","ESF","25.01.2010",2932152,04/05/10,1172861,"Ongoing"
"""Občanské sdružení Romodrom""",26537036,"Romodrom pro vzdělání","OP Vzdělávání pro
konkurenceschopnost","ESF",01/04/10,17147024,04/05/10,6858809,"Ongoing"
"""Občanské sdružení Romodrom""",26537036,"Vězeňský program Pardubice","OP Lidské zdroje a zaměstnanost","ESF","29.03.2010",6812050,04/06/10,681205,"Ongoing"
"""Občanské sdružení SLOVO 21""",69343951,"Dža dureder - Pokračuj II","OP Vzdělávání pro
konkurenceschopnost","ESF","27.08.2009",3419923,"29.10.2009",854980,"Ongoing"
"""Občanské sdružení SLOVO 21""",69343951,"MKV-400x na českých školách!","OP Vzdělávání pro
konkurenceschopnost","ESF","27.08.2009",4860272,"29.10.2009",1215067,"Ongoing"
"""Občanské sdružení SLOVO 21""",69343951,"Manušňija  - program na podporu zaměstnávání
romských žen","OP Lidské zdroje a zaměstnanost","ESF","31.08.2009",3814890,"15.12.2009",1525956,"Ongoing"
"""Občanské sdružení SLOVO 21""",69343951,"Můžeme jít dál","OP Praha Adaptabilita","ESF","18.02.2010",3710115,"21.07.2010",1173144,"Ongoing"
"""Občanské sdružení SLOVO 21""",69343951,"Podpora zaměstnávání Romů v Praze (2010 -
2012)","OP Praha Adaptabilita","ESF","17.02.2010",4367852,"29.03.2010",2138287,"Ongoing"
"""Občanské sdružení pro aktivní
rodinu""",22664165,"Aktivní máma - osvětový projekt pro udržení
profesní kvalifikace žen v průběhu rodičovské
dovolené","OP Lidské zdroje a zaměstnanost","ESF","31.08.2009",3498283,04/06/10,1591173,"Ongoing"
"""Ohrobec dětem""",28556429,"""Ohrobec dětem - vybudování dětských hřišť v
obci""","ROP NUTS II Střední Čechy","ERDF","28.05.2010",558752,,0,"Ongoing"
"""PRÁZDNINOVÁ ŠKOLA LIPNICE,
o.s.""",499099,"SBOROVNA - Klíč k individualizaci","OP Vzdělávání pro
konkurenceschopnost","ESF",01/02/10,3363522,,0,"Ongoing"
"""Pastorační středisko o.p.s.""",25923676,"Další vzdělávání pro církevní organizace","OP Vzdělávání pro
konkurenceschopnost","ESF","15.02.2010",4291392,"15.02.2010",858278,"Ongoing"
"""Prostor pro rodinu o. s.""",22735224,"Vzdělávání osob pečujících o malé a předškolní
děti v Praze","OP Praha Adaptabilita","ESF",03/03/10,3033007,02/06/10,1385842,"Ongoing"
