Registra_n√ _√slo projektu,»adatel,N_zev projektu,"Celkovª,zp_sobilª,v_daje,(K_)","Dotace,RR,(K_)","Z,toho,dotace,EU,(K_)",Datum ukon_en√ projektu,"Celkem,vyplaceno,ze,SF,po,ukon_en√,projektu,(K_)"
CZ.1.13/1.1.00/07.00440,Libereck_ kraj,Ml/2633 Krava_e - Tane_ek,"13,997,881.32","12,948,039.31","11,898,198.28",29.01.10
CZ.1.13/1.1.00/07.00442,Libereck_ kraj,Ml/28622 Vichov_ nad Jizerou,"7,068,813.61","6,538,651.61","6,008,490.66",29.09.09
CZ.1.13/1.1.00/07.00443,Libereck_ kraj,M/262 Dolni Libchava most 262-006,"23,240,111.47","21,497,103.09","19,754,094.73",29.01.10
CZ.1.13/1.1.00/07.00444,Libereck_ kraj,111/28614 Kruh u Jilemnice,"7,203,163.41","6,662,926.11","6,122,688.85",01.12.09
CZ.1.13/1.1.00/07.00445,Libereck_ kraj,Ml/26832 Srni - Provodin,"21,919,941.61","20,275,945.60","18,631,950.01",01.03.10
CZ.1.13/1.1.00/07.00446,Libereck_ kraj,M/292 Semily ul. 3. kvªtna,"82,514,980.67","76,326,356.66","70,137,733.14",29.08.10
CZ.1.13/1.1.00/07.00447,Libereck_ kraj,M/270 Post_eln_ - Jablonnª v Podjeàt_d√,"23,222,528.82","21,480,838.82","19,739,149.17",29.01.10
CZ.1.13/1.1.00/07.00448,Libereck_ kraj,111/28313-Svojek,"11,216,796.74","10,375,536.94","9,534,277.18",29.09.09
CZ.1.13/1.1.00/07.00449,Libereck_ kraj,"Ml/2627 Volfartice mosty 2627-3,7","16,372,725.57","15,144,771.15","13,916,816.72",29.01.10
CZ.1.13/1.1.00/07.00450,Libereck_ kraj,M/592 Ose_n_ - K_√_any,"55,491,968.44","51,330,070.55","47,168,172.93",31.07.10
CZ.1.13/1.1.00/07.00451,Libereck_ kraj,M/278 _esk_ Dub - Hodkovice,"59,233,810.05","54,791,274.05","50,348,738.31",30.09.10
CZ.1.13/2.2.00/09.00453,M_sto »amberk,Regenerace a revitalizace ve_. prostranstv√ v_etn_ ve_. zelen_ a parkovac√ch ploch-p_à√ zÄna »amberk,"23,091,093.07","21,359,261.07","19,627,429.09",15.02.11
CZ.1.13/2.2.00/09.00458,M_sto Lomnice nad Popelkou,Obnova historickªho objektu radnice,"38,258,722.00","35,389,317.50","32,519,913.37",01.11.11
CZ.1.13/2.2.00/09.00463,M_sto Svitavy,P_à√ zÄna a park ve Wolkerov_ aleji,"7,730,492.95","7,150,705.96","6,570,918.98",30.06.10
CZ.1.13/2.2.00/09.00464,M_STO FRıDLANT,Regenerace n_m_st√ T. G. Masaryka ve Fr_dlantu,"35,326,478.62","32,676,992.72","30,027,506.82",31.12.12
CZ.1.13/2.2.00/09.00465,M_STO JABLONEC NAD NISOU,Regenerace b_valª po__rn√ zbrojnice a modernizace kamerovªho a dohl√_ec√ho systªmu,"67,250,432.40","62,206,649.97","57,162,867.54",12.11.10
CZ.1.13/2.2.00/09.00466,"Krajsk_ nemocnice Liberec, a.s.","Zlepàen√ zd. pª_e v regionu prost_ed, modernizace p_√strojovªho vybaven√ na urologickªm odd_len√","12,650,977.00","11,702,152.99","10,753,329.78",31.10.09
CZ.1.13/2.2.00/09.00468,"Krajsk_ nemocnice Liberec, a.s.","Zlepàen√ zd. pª_e v regionu prost_ed, modernizace p_√strojovªho vybaven√ na GAS a DIL odd_len√","22,317,809.00","20,643,973.00","18,970,137.35",31.10.09
CZ.1.13/2.2.00/09.00470,Kr_lovªhradeck_ kraj,Centrum odbornªho vzd_l_v_n√ ve stroj√renstv√ a OZE,"24,669,289.00","22,819,092.00","20,968,895.35",31.12.10
CZ.1.13/2.2.00/09.00472,M_sto T_niàt_ nad Orlic√,Revitalizace __sti m_sta T_niàt_ nad Orlic√,"9,203,467.14","8,513,207.09","7,822,947.05",17.11.09
CZ.1.13/2.2.00/09.00475,M_STO JAROM__,Modernizace v_ukov_ch metod Zâ Na Ostrov_,"2,891,128.15","2,674,293.47","2,457,458.86",31.01.10
CZ.1.13/2.2.00/09.00477,M_sto Hlinsko,Multifunk_n√ centrum v Hlinsko,"140,649,456.33","63,292,255.35","58,160,450.86",30.09.11
CZ.1.13/2.2.00/09.00478,M_sto Poli_ka,Regenerace Palackªho n_m_st√ v Poli_ce -1. etapa,"26,196,889.42","24,232,122.71","22,267,356.00",05.12.10
CZ.1.13/2.2.00/09.00479,"Z_kladn√ àkola Svitavy, Riegrova 4","Bezbariªrovª z_zem√ pro d_ti a ml_de_ p_i Zâ Riegrova 4, Svitavy","10,626,929.00","9,829,909.31","9,032,889.64",31.08.10
CZ.1.13/2.2.00/09.00480,M_sto Letohrad,Revitalizace historickªho centra m_sta Letohrad -1. etapa Obnova _.p. 10 v pam_tkovª zÄn_,"53,314,106.00","49,315,547.99","45,316,990.04",31.05.11
CZ.1.13/2.2.00/09.00484,"»IVOT BEZ BARI÷R, o.s.",Centrum bez bariªr v Novª P_ce,"30,597,609.97","28,302,789.21","26,007,968.47",29.05.11
CZ.1.13/2.2.00/09.00485,M_sto Chrudim,D_m na p_l cesty Chrudim,"35,006,778.10","29,755,761.15","27,343,131.86",31.12.11
CZ.1.13/2.2.00/09.00488,M_sto Lanàkroun,Sportovn√ are_l Lanàkroun,"46,931,762.41","43,411,879.99","39,891,997.82",30.12.10
CZ.1.13/2.2.00/09.00492,M_sto Choce_,Revitalizace volno_asov_ch h_ià_ v Chocni,"23,310,482.04","16,550,442.04","15,208,514.30",31.08.11
CZ.1.13/2.2.00/09.00493,M_sto _st√ nad Orlic√,_prava ve_ejnªho prostranstv√ Koci_nka v _st√ nad Orlic√,"58,382,573.83","36,945,590.24","33,950,001.84",26.11.10
CZ.1.13/2.2.00/09.00495,Masarykova m_stsk_ nemocnice v Jilemnici,Nemocnice bez bariªr,"15,232,343.57","14,089,917.79","12,947,492.03",30.09.10
CZ.1.13/2.2.00/09.00497,PARDUBICKı KRAJ,"SZâ, Mâ a Pâ Moravsk_ T_ebov_, z_zem√ soci_ln√ integrace","49,099,328.60","45,416,878.94","41,734,429.29",28.02.11
CZ.1.13/2.2.00/09.00498,PARDUBICKı KRAJ,"Resocializa_n√ centrum pro matky s d_tmi, Kojeneck_ _stav a d_tsk_ domov Svitavy","8,505,333.00","7,867,433.00","7,229,533.02",29.11.10
CZ.1.13/2.2.00/09.00502,PARDUBICKı KRAJ,SOâ automobiln√ a SOU automobiln√ _st√ nad Orlic√ -Odbornª vzd_l_vac√ centrum,"25,481,907.00","23,570,763.00","21,659,620.05",20.09.10
CZ.1.13/2.2.00/09.00507,M_sto Dv_r Kr_lovª nad Labem,Rekonstrukce n_m_st√ T.G. Masaryka v_etn_ p_ilehl_ch komunikac√ v ulici Palackªho a J. Hory,"80,684,435.55","74,633,102.55","68,581,769.91",31.01.12
CZ.1.13/2.2.00/09.00509,Kr_lovªhradeck_ kraj,Centrum odbornªho vzd_l_v_n√ pro automobilov_ pr_mysl a dopravu,"34,497,237.00","31,909,943.55","29,322,650.82",31.12.10
CZ.1.13/2.2.00/09.00510,Kr_lovªhradeck_ kraj,Centrum odbornªho vzd_l_v_n√ ve stavebnictv√,"28,334,458.00","26,209,372.77","24,084,288.49",31.03.11
CZ.1.13/2.2.00/09.00513,Sportovn√ are_l Liberec s.r.o.,Obnova a modernizace v√ce__elovª tribuny jako sou__sti multifunk_n√ho m_stskªho sportovn√ho are_lu,"20,850,032.00","19,286,279.60","17,722,527.20",31.10.09
CZ.1.13/2.2.00/09.00514,"Z_kladn√ àkola, Chlumec nad Cidlinou, okres Hradec Kr_lovª",Modern√mi v_ukov_mi metodami ke zdokonalov_n√ a modernizaci z_kladn√ho vzd_l_v_n√,"9,501,097.64","8,788,513.90","8,075,931.68",29.10.10
CZ.1.13/2.2.00/09.00515,Kr_lovªhradeck_ kraj,Centrum odbornªho vzd_l_v_n√ v lesnictv√,"37,966,314.54","35,118,840.53","32,271,366.97",28.02.11
CZ.1.13/2.2.00/09.00521,M_sto Moravsk_ T_ebov_,Infrastruktura pro sport a voln_ _as v Moravskª T_ebovª -1. etapa,"57,637,075.00","40,000,000.00","36,756,756.74",31.10.10
CZ.1.13/2.2.00/09.00523,Panochova nemocnice Turnov s.r.o.,Modernizace opera_n√ch s_l_ Panochovy nemocnice Turnov s.r.o.,"28,099,622.90","25,992,151.17","23,884,679.45",28.12.09
CZ.1.13/2.2.00/09.00525,M_STO TANVALD,V_stavba hasi_skª zbrojnice - SDH Tanvald âumburk,"16,585,061.92","15,341,181.91","14,097,302.29",31.10.10
CZ.1.13/2.2.00/09.00526,Sdru_en√ ozdravoven a lª_eben okresu Trutnov,Region_ln√ institut ambulantn√ch psychosoci_ln√ch slu_eb,"59,746,699.17","55,265,696.72","50,784,694.29",31.12.10
CZ.1.13/2.2.00/09.00529,M_sto Ji_√n,Rekonstrukce ve_ejnªho koupaliàt_ Kn√_e,"110,676,338.96","87,058,779.30","79,999,959.35",31.12.12
CZ.1.13/2.2.00/09.00530,M_sto Ho_ice,Ho_ice - m_sto bez bariªr,"96,371,619.04","89,143,747.60","81,915,876.17",10.12.11
