beneficiary,category,sector_code,parent_company_or_owner,trade_description,ft_category,translation
"	""AQUA"" SPÓŁKA AKCYJNA 	",Government owned company,"3600 - Water collection, treatment and supply",MINA DISTRICT OF BIELSKO-BIALA,"Services: water supply, sewage collection; "
 Somogy Megyei Önkormányzat Kaposi Mór Oktató Kórháza,Government owned company,Teaching Hospital
 Železničná spoločnosť Slovensko - Railway Company Slovakia,Government owned company,"4910 - Passenger rail transport, interurban"
Асоциация на индустриалния капитал в България,Confirm
Изпълнителна агенция Главна инспекция по труда,Government Organisation,Executive Agency General Labour Inspectorate
" Агенция по заетостта, главна дирекция ""Услуги по заетостта"" ",Government Organisation,Employment Agency,,,,"Employment Agency, Directorate General ""Employment Services"" - note total amount = 249999732"
"""AGROMAX"" spółka z ograniczona odpowiedzialnoscia",Company,4675 - Wholesale of chemical products,POUL HELWEG INVEST APS,,Danish owned
"""APEXIM AB"" Przedsiębiorstwo Wielobranżowe Adam Baranowski",Company," 	5151 - Wholesale of solid, liquid and gaseous fuels and related products"
"""Avio Polska"" Spółka z ograniczoną odpowiedzialnością",Company,	3030 - Manufacture of air and spacecraft and related machinery,AVIO S.P.A.,"The company is a private firm which is engaged in the manufacture of sub-assemblies for air transport. The company was incorporated in the year 2001. It has its registered office address located in Bielsko-Biala, Poland.
The company is a part of AVIO international industrial group, a leader in the aerospace industry. It specializes in the manufacture of blades of rotors and stators for aeroengines turbines. The company also offers the following services: incapsulation and decapsulation, decontamination, surfacing by welding, grinding, milling, barrel finishing, heat treatment, surface strengthening, and measure inspection.
 "
"""Biotrem Polska"" Sp. z o.o.",Company,	1061 - Manufacture of grain mill products
"""DAKRI- BIS"" Sp. z o.o.",Company, 	1071 - Manufacture of bread; manufacture of fresh pastry goods and cakes,Damazy Szynklewski
"""Działdowska Agencja Rozwoju"" Spółka Akcyjna",Government owned company,"6499 - Other financial service activities, except insurance and pension funding nec",GMINA - DISTRICT OF DZIALDOWO,"	

Services: trainings, credit guarantee, consultancy; "
"""EUROCONSULT"" Biuro Handlowe Zdzisław Lara",Company,Training,Confirm ,Our main specialty is the organization of free training in Wielk,interesting - euroconsult gets money in several countires
"""JYSK"" Spółka z ograniczoną odpowiedzialnością",Company - confirm," 	4759 - Retail sale of furniture, lighting equipment and other household articles in specialised stores  = confirm",,"JYSK is one of the leading and fastest-growing retailers in the world. First-established in 1979 in Denmark, the company is now present in 33 countries with almost 1,600 stores; bringing “Quality-for-Less” to millions of customers every day.

With a passion for Scandinavian design, our products range from furniture to accessories, including mattresses, bedding, and outdoor products that will enhance any living spaces with a sense of sophistication at affordable prices.
",,"JYSK"" Limited Liability Company"
"""METROPOLITAN"" JSC ",Government organisation - confirm,Rail transportation,Sofia Municipality,,,Metropolitan is owned by Sofia Municipality and serves rapid rail transport – the metro in Sofia. 
