beneficiary,normalized_beneficiary
"Instituto do Emprego e Formação Profissional, I. P. ","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Santiago do Cacém. ","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Viana do Castelo.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional do Porto.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional do Seixal.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Santiago do Cacém.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Viana do Castelo.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Emprego de Arganil.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Emprego de Lagos.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Emprego de Portimão.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Emprego e Formação Profissional de Ponte de Sôr.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional da Amadora.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional da Guarda.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Águeda.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Aljustrel.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Alverca.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Beja.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Leiria.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Portalegre.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Riomeão.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Santarém.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Seia.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Setúbal.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Sintra.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Tomar.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Vila Real.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Viseu.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional da Amadora.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Águeda.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional do Porto para o Sector Terciário.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Reabilitação Profissional de Alcoitão/Ranholas.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Emprego de Vila Real de Santo António.","Instituto do Emprego e Formação Profissional, I. P. "
"Instituto do Emprego e Formação Profissional, I. P. — Centro de Formação Profissional de Lisboa para o Sector Terciário.","Instituto do Emprego e Formação Profissional, I. P. "
31364501 - ŽSR,Zeleznice Slovenskej Republiky
Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o. z siedzibą w Szczecinku Związek Miast i Gmin Dorzecza Parsęty z siedzibą w Karlinie działający w imieniu,Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o.
Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o.,Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o.
Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.
"Przedsiębiorstwo Gospodarki Komunalnej ""Partner"" Spółka z o.o.",Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.
Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.
Miejskie Przedsiębiorstwo Gospodarki Komunalnej Spółka z ograniczoną odpowiedzialnością,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.
Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej Sp. z o.o. w Łaziskach Górnych,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.
PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓ?KA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.
"Ministerstvo školství, mládeže a tělovýchovy","Ministerstvo školství, mládeže a tělovýchovy"
Województwo Podlaskie ,Województwo Podlaskie 
Województwo Podlaskie/Urząd Marszałkowski Woj. Podlaskiego (Departament Zdrowia) ,Województwo Podlaskie 
Politechnika Świętokrzyska ,Politechnika Świętokrzyska 
Politechnika Świętokrzyska w Kielcach ,Politechnika Świętokrzyska 
Związek Międzygminny „Puszcza Zielonka” ,Związek Międzygminny
Związek Międzygminny ds. Ekologii w Żywcu ,Związek Międzygminny
Głubczyckie Wodociągi i Kanalizacja sp. z o.o. ,Wodociągi i Kanalizacja Krzeszowice Sp z o.o.
Goleniowskie wodociągi i Kanalizacja Sp. z o.o. ,Wodociągi i Kanalizacja Krzeszowice Sp z o.o.
Miejskie Wodociągi i Kanalizacja Spółka z o.o. ,Wodociągi i Kanalizacja Krzeszowice Sp z o.o.
Rawskie Wodociągi i Kanalizacja Sp. z o.o. ,Wodociągi i Kanalizacja Krzeszowice Sp z o.o.
Wodociągi i Kanalizacja Krzeszowice Sp z o.o.,Wodociągi i Kanalizacja Krzeszowice Sp z o.o.
Wodociągi i Kanalizacja Spółka z ograniczoną odpowiedzialnością ,Wodociągi i Kanalizacja Krzeszowice Sp z o.o.
Zielonogórskie Wodociągi i Kanalizacja Sp. z o.o. ,Wodociągi i Kanalizacja Krzeszowice Sp z o.o.
Miejskie Wodociągi i Kanalizacja spółka z ograniczoną odpowiedzialnością ,Wodociągi i Kanalizacja Krzeszowice Sp z o.o.
35914939 - ZSSK a.s.,Zeleznicna Spolocnost Slovensko A.S.
"Seetec
Subcontractors: Whitehouse Enterprises,NEXTSTEP,Armstrong Learning,Richmond Fellowship ",Seetec
"Seetec
Subcontractors: Armstrong Learning,Richmond Fellowship,Merdian East ",Seetec
SEETEC ,Seetec
"Seetec
Subcontractors: 5ELtd,Richmond Fellowship,ProDiverse UK Ltd ",Seetec
