beneficiary,normalized_beneficiary
"Seetec
Subcontractors: Eco-Actif Services CIC,Personal Development Resource Centres Ltd ",Seetec
"Seetec
Subcontractors: NA ",Seetec
"Seetec Business Technology Centre Ltd (Seetec)
Subcontractors: N\a ",Seetec
Władza Wdrażająca Programy Europejskie (WWPE),Implementing Authority for European Programmes 
Fraunhofer Gesellschaft ,Fraunhofer Gesellschaft - Check 
Fraunhofer-Gesellschafte.V.,Fraunhofer Gesellschaft - Check 
Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V. ,Fraunhofer Gesellschaft - Check 
Fraunhofer-Gesellschaft zur Förderungder angewandten Forschung eingetragenerVerein ,Fraunhofer Gesellschaft - Check 
Fraunhofer-Gesellschaft München Bau- und ,Fraunhofer Gesellschaft - Check 
Fraunhofer-Institut für Graphische Datenverarbeitung Rostock,Fraunhofer Gesellschaft - Check 
"Fraunhofer-Institut für Zerstörungsfreie Prüfverfahren (lzfP), Saarbrücken ",Fraunhofer Gesellschaft - Check 
Fraunhofer-Institut fürVerkehrs- u. Infrastruktur-systeme,Fraunhofer Gesellschaft - Check 
Fraunhofer-Gesellschaft zur Förderung der Angewandten Forschung ,Fraunhofer Gesellschaft - Check 
Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V. (FhG) ,Fraunhofer Gesellschaft - Check 
Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.,Fraunhofer Gesellschaft - Check 
Fraunhofer Gesell-schaft-Institut für Produktionsanlagen und Konstruktins-technik (IPK) ,Fraunhofer Gesellschaft - Check 
"Fraunhofer-Institut für Graphische Datenverarbeitung e.V., Institutsteil Rostock ",Fraunhofer Gesellschaft - Check 
"Fraunhofer-Institut für Biomedizinische Technik (IBMT), St. Ingbert",Fraunhofer Gesellschaft - Check 
"Calder Holdings BV
Subcontractors: NA ",Calder Holdings
Calder Holdings BV,Calder Holdings
Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o. z siedzibą w Szczecinku Związek Miast i Gmin Dorzecza Parsęty z siedzibą w Karlinie działający w imieniu,Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o.o.
PKP Polskie Linie Kolejowe Spółka Akcyjna Oddział Regionalny w Poznaniu,PKP Polskie Linie Kolejowe
