Ref. No,Organisation Name,Project Title,Year Approved,Total Grant Approved,Year Completed,Total Paid Amount,Currency
Sustainable Competitiveness Program,,,,,,,
2829,Lisburn City Coun...,Innovation Networ...,2008,"79,200.00",,0,STG
2838,Valpar Industrial...,10/07/2007 Valpar...,2007,"118,055.00",,"49,596.78",STG
2839,Moypark Dungannon...,07/BIA/17 Moypark...,2007,"23,000.00",,"9,200.00",STG
2840,ICS Computing Ltd...,16/05/2007 ICS Co...,2007,"100,352.00",,"95,590.81",STG
2841,Springfarm Archit...,Loo 08/BIA/02 Spr...,2008,"40,000.00",,"29,000.00",STG
2843,Finrone Ltd,Loo 07/BIA/16 Fin...,2008,"40,000.00",,"24,000.00",STG
2844,L E Pritchitt & C...,24/01/2007 L E Pr...,2007,"91,051.00",,"15,147.86",STG
2845,Moypark Ltd Craig...,Loo 08/BIA/04 Moy...,2008,"40,000.00",,"5,000.00",STG
2847,"Stirk, Lamont & A...",31/05/2007 Stirk ...,2007,"70,974.00",,"30,182.58",STG
2848,Lagan Technologie...,08/BIA/08 Lagan T...,2008,"40,000.00",,"22,903.23",STG
2849,Greiner Packaging...,03/04/2007 Wilsan...,2007,"65,818.00",,"33,148.28",STG
2850,Hunter Apparel So...,14/12/2007 Hunter...,2007,"54,948.00",,"43,373.25",STG
2852,Chimetechnology L...,Loo70403/70231 Ch...,2007,"32,616.00",,"1,600.00",STG
2855,James Neill Flour...,29/05/2007 Food I...,2007,"47,416.00",,"38,427.58",STG
2857,Dairy Produce Pac...,Loo 08/BIA/10 Dai...,2008,"40,000.00",,"26,000.00",STG
2858,J M F Ltd,04/04/2007 JMF Lt...,2007,"45,378.00",,"37,152.00",STG
2861,Acheson & Glover ...,Loo08/BIA/13 Ache...,2008,"40,000.00",,"17,580.65",STG
2864,Creative Composit...,Loo 08/BIA/16 Cre...,2008,"32,200.00",,"17,508.77",STG
2865,Coleraine Borough...,Think BIG Program...,2008,"49,687.50",,"49,527.70",STG
2874,Interface Europe ...,Interface Europe ...,2007,"25,172.00",,"14,368.00",STG
2876,"Jim, Monica and R...",28/11/2007 Derry ...,2007,"28,293.00",,"26,774.00",STG
2877,Northern Hydrauli...,08/BIA/15 Norther...,2008,"35,000.00",,"9,112.17",STG
879,Belfast City Coun...,Stepping Stones t...,2008,"53,175.00",,0,STG
2880,Belfast City Coun...,Business Developm...,2008,"72,500.00",,"43,926.71",STG
2882,Evron Foods Ltd,09/01/2008 Evron ...,2007,"414,967.00",,"314,291.11",STG
2883,Turkington Engine...,08/BIA/14 Turkin...,2008,"33,000.00",,"11,687.00",STG
2884,Cookstown Distric...,Engineering Innov...,2008,"45,750.00",,"1,890.43",STG
2885,Ards Borough Coun...,Castle Espie Lime...,2008,"105,000.00",,"40,702.00",STG
2886,Tenderlean Meats ...,08/BIA/19 Tenderl...,2008,"33,000.00",,"11,984.68",STG
2890,Western Building ...,Loo 08/BIA/06 Wes...,2008,"30,000.00",,"19,265.70",STG
2903,Universities Pres...,Loo 08/BIA/11 Uni...,2008,"30,000.00",,0,STG
2906,SEED - Down Distr...,SEED Food and Fis...,2008,"93,250.00",,"6,420.65",STG
2907,Dungannon and Sou...,Innovation and Cr...,2008,"81,000.00",,0,STG
2908,Dungannon and Sou...,Enterprise Touris...,2008,"55,000.00",,"19,620.08",STG
2916,Radius Plastics L...,Loo 08/BIA/17 Rad...,2008,"30,000.00",,"11,250.00",STG
2917,Belfast City Coun...,Enterprise Plan,2008,"114,750.00",,"44,308.20",STG
2921,Fujitsu Services ...,22/05/2008 Fujits...,2008,"949,500.00",,"27,609.01",STG
2922,Belfast City Coun...,World Trade Centr...,2008,"105,687.50",,0,STG
2935,Sepha Ltd,Loo 08/BIA/18 Sep...,2008,"28,000.00",,"14,000.00",STG
2936,United Dairy Farm...,06/05/2008 United...,2008,"896,393.00",,"334,621.66",STG
2939,Keystone Lintels ...,24/11/2008 Keysto...,2008,"682,331.00",,"220,610.87",STG
2940,Sean Nugent Engin...,Loo 08/BIA/12 Sea...,2008,"27,700.00",,"18,005.00",STG
2944,Singularity Limit...,03/07/2008 Singul...,2008,"573,682.00",,"44,552.33",STG
2945,McCloskey Interna...,Loo 08/BIA/03 Mc...,2008,"40,000.00",,"9,444.45",STG
2949,Derry City Counci...,Creative Incubati...,2009,"15,390.00",,0,STG
2951,Game The World Lt...,Loo08/0259 Game T...,2008,"35,000.00",,"14,733.00",STG
2954,Craigavon Borough...,Product Transfer ...,2009,"65,500.00",,0,STG
2965,Eurofab Engineeri...,LoO 080447 Eurofa...,2008,"35,000.00",,"10,496.00",STG
2969,Finlay Hydrascree...,14/08/2008 Finlay...,2007,"462,978.00",,"188,311.90",STG
2970,Fireglass Direct ...,Loo 08/0578 Fireg...,2007,"35,000.00",,"32,059.00",STG
2971,MM Teleperformanc...,11/02/2008 MM Tel...,2007,"450,000.00",,"390,750.07",STG
2972,Verticle Wind Ene...,Loo 08/0866 Verti...,2008,"35,000.00",,"24,439.00",STG
2973,"J Rooney, R Roone...",Loo 08/0894 Roone...,2008,"10,550.00",,0,STG
2974,Asidua Ltd,18/03/2008 Asidua...,2008,"250,000.00",,"127,223.00",STG
2978,Barronscourt Tech...,Loo 08/0795 Barro...,2008,"34,267.00",,"34,084.00",STG
2982,493k Ltd,Loo 08/0481 493k ...,2008,"34,147.00",,"18,289.00",STG
2983,Aer Lingus Ltd,08/05/2008 Aer Li...,2008,"281,941.00",,"244,765.82",STG
2984,PVS Manufacturing...,Loo 08/0033 PVS M...,2008,"34,053.00",,"33,898.00",STG
2986,Westland Horticul...,08/09/2008 Westla...,2008,"274,994.00",,0,STG
2988,Greengraves Limit...,Loo 08/0516 Green...,2008,"33,320.00",,"31,537.00",STG
2989,Ballymena Borough...,ECOS Manager,2008,"101,250.00",,0,STG
2990,Michael Hughes & ..., Loo 08/0932 ...,2008,"32,160.00",,"13,991.00",STG
2992,Fintec Crushing a...,07/05/2008 Fintec...,2008,"236,624.00",,"76,303.08",STG
2995,SU53 Solutions Lt...,LoO 08/0782 SU53 ...,2008,"35,000.00",,0,STG
2997,Qwizdom Ltd,Loo 07/1200 Qwizd...,2008,"30,537.00",,0,STG
2998,Microchannel Tech...,Loo 07/1108 Micro...,2008,"29,200.00",,"28,616.00",STG
2999,Larne Borough Cou...,Business Innovati...,2010,"125,000.00",,0,STG
3003,B/E Aerospace Ltd...,13/10/2008 B/E Ae...,2008,"1,202,670.00",,0,STG
3004,Wellington Comput...,Loo 08/0070 NI164...,2008,"27,818.00",,0,STG
3014,S & B Productions...,17/01/08 S & B Pr...,2007,"266,994.00",,"159,033.00",STG
3015,Good4uFood and Dr...,Loo070927 Good4uF...,2007,"27,522.00",,"15,065.00",STG
3016,Western Brand Pou...,10/09/2008 Wester...,2008,"266,297.00",,0,STG
3018,Farmwizard Ltd,Loo 07/1183 Farmw...,2008,"27,358.00",,"23,429.00",STG
3020,M S O Cleland Ltd...,25/02/2008 M S O ...,2008,"211,300.00",,"91,474.73",STG
3021,Magcap Ltd,Loo 80262 Magcap ...,2008,"26,640.00",,"26,215.00",STG
3023,Nu Print Technolo...,Loo 07/1232 Nu Pr...,2008,"26,540.00",,0,STG
3025,Joseph Hughes Pai...,18/03/2008 Joseph...,2008,"207,707.00",,"72,403.75",STG
3027,Newtownabbey Boro...,Small Firms Devel...,2009,"29,880.94",,0,STG
3028,Richard Horton & ...,Loo 07/1084 Richa...,2008,"25,800.00",,"25,499.00",STG
3031,Huhtamaki (Lurgan...,04/08/2008 Huhtam...,2008,"199,985.00",,0,STG
3032,i-Path Diagnostic...,Loo 08/0684 i-Pat...,2008,"24,875.00",,"3,969.00",STG
3033,SEED - Ards Borou...,Expanding our Cra...,2009,"45,750.00",,0,STG
3034,Nacco Material Ha...,02/10/2008 Nacco ...,2008,"193,755.00",,"79,340.80",STG
3035,Media Lightbox Lt...,Loo 08/0309 Media...,2008,"22,866.00",,0,STG
3039,Crane Stockham Va...,03/03/2008 Crane ...,2008,"176,956.00",,"42,306.52",STG
3040,Principal Cooling...,Loo 08/0031 Princ...,2008,"22,417.00",,"1,442.00",STG
3045,PPI Limited,Loo 08/0139 PPI L...,2008,"21,386.00",,"7,834.00",STG
3047,K Hughes & Co Lim...,Loo 08/0620 K Hug...,2008,"22,170.00",,"6,534.00",STG
3048,Dunbia Northern I...,28/02/2008 Dunbia...,2007,"274,156.00",,"150,795.34",STG
3055,Taxi & Bus Conver...,Loo 80929 Taxi 7 ...,2008,"20,900.00",,"20,900.00",STG
3058,Raptor Photonics ...,Loo 08/0391 Rapto...,2008,"20,250.00",,"4,780.00",STG
3060,Teletech UK Ltd,30/10/2008 Telete...,2008,"163,102.00",,"70,908.02",STG
3062,Three Software Li...,Loo 07/1057 Three...,2008,"19,244.00",,"18,471.00",STG
3063,Almac Clinical Te...,10/10/2008 Almac ...,2008,"147,951.00",,"15,181.52",STG
3064,PPI Ltd,Loo 080710 PPI Lt...,2008,"19,044.00",,0,STG
3067,Autogen Manufactu...,Loo 80820 Autogen...,2008,"18,844.00",,0,STG
3072,Novosco Ltd,04/04/2008 Novosc...,2008,"143,038.00",,"34,343.48",STG
3073,Lagan Constructio...,19/06/2008 Lagan ...,2008,"133,203.00",,"108,888.42",STG
3074,Mr Kevin & Patric...,Loo 08/0109 Mr Ke...,2008,"16,488.00",,"7,759.00",STG
3075,3 Par Data Inc,11/02/2008 3 Par ...,2007,"120,000.00",,"19,469.99",STG
3077,Cross Concrete Fl...,Loo 08/0510 Cross...,2008,"15,900.00",,"15,900.00",STG
3078,Parity Solutions ...,12/11/2008 Parity...,2008,"108,491.00",,"14,889.90",STG
3079,C M Precision Com...,Loo 08/0979 Medic...,2008,"14,064.00",,"5,564.00",STG
3083,KMC Engineering L...,09/10/2008 KMC En...,2008,"100,696.00",,"51,130.00",STG
3088,Seven Technologie...,Loo 08/0339 Seven...,2008,"14,000.00",,"7,433.00",STG
3089,Norbev Limited,09/01/2008 James ...,2007,"95,470.00",,"65,578.21",STG
3090,Forth & Foyle (NI...,25/07/2008 Forth ...,2008,"94,736.00",,"29,332.43",STG
3091,Trunk Flooring Lt...,Loo 08/0973 3 Lay...,2008,"12,772.00",,0,STG
3092,McMullen Architec...,23/10/2008 McMull...,2008,"94,079.00",,0,STG
3095,Mid Ulster Reprod...,Loo 07/1164 Mid U...,2008,"10,892.00",,"9,268.00",STG
3096,Delap and Waller ...,26/08/2008 Delap ...,2008,"91,177.00",,"12,478.20",STG
3098,Michelin Tyre Plc...,31/01/2008 Michel...,2007,"86,678.00",,"32,485.08",STG
3099,EPS Environmental...,Loo 08/0912 Pump ...,2008,"9,916.00",,0,STG
