Ref. No,Organisation Name,Project Title,Year Approved,Total Grant Approved,Year Completed,Total Paid Amount,Currency
Sustainable Competitiveness Program,,,,,,,
3274,Dunadry Developme...,23/02/2009 Dunadr...,2009,"21,318.00",,0,STG
3276,Easability Shower...,25/03/2009 Easabi...,2009,"19,647.00",,0,STG
3278,Immark (NI) Limit...,23/01/2009 Immark...,2009,"18,432.00",,0,STG
3281,Catering Equipmen...,02/04/2009 Cateri...,2009,"8,990.00",,0,STG
3282,Straandlooper Ani...,24/02/2009 Straan...,2009,"10,785.00",,"3,652.60",STG
3284,Ulster Journals L...,29/01/2009 Ulster...,2009,"7,344.00",,"1,900.99",STG
3287,Randox Laboratori...,ST276 Randox,2008,"937,800.00",,"223,252.91",STG
3288,Bombardier Aerosp...,ST 284 Bombardier...,2008,"740,503.00",,"20,016.69",STG
3289,Almac Diagnostics...,ST263 Almac Diagn...,2007,"728,085.00",,"254,143.67",STG
3291,Fusion Antibodies...,ST275 Humanisatio...,2008,"135,144.00",,"103,662.84",STG
3296,CaridianBCT North...,01/07/2008 Gambro...,2008,"279,000.00",,"40,492.99",STG
3297,Easability Shower...,Loo 08/1104 Devel...,2008,"30,056.00",,0,STG
3312,Mivan Ltd,16/09/2008 Mivan ...,2008,"164,176.00",,"9,969.39",STG
314,Williams Industri...,09/03/09 Williams...,2009,"194,381.00",,0,STG
3315,Chesapeake Belfas...,11/12/2008 Chesap...,2008,"117,474.00",,0,STG
3316,Allpipe Engineeri...,19/02/08 Allpipe ...,2008,"33,121.00",,"33,008.70",STG
3317,Northside Graphic...,25/02/09 Northsid...,2008,"29,568.00",,"6,662.00",STG
3318,Golden Cow Dairie...,09/01/2009 Golden...,2008,"20,927.00",,0,STG
3322,Whites Speedicook...,09/01/2008 Whites...,2007,"9,279.00",,0,STG
3324,FM Environmental ...,12/01/2009 F M En...,2008,"14,066.00",,"4,083.30",STG
3335,Western Brand Pou...,09/04/2009 Wester...,2009,"405,000.00",,0,STG
3337,8Over8 Limited,26/01/2009 8Over8...,2009,"281,930.00",,"31,200.69",STG
3341,BMI Trailers Limi...,Loo 08/1243 BMI T...,2009,"96,800.00",,0,STG
3342,Erne Extrusions L...,081420 Erne Extru...,2009,"128,500.00",,0,STG
3344,Nitronica Ltd,Loo 08/1368 Nitro...,2009,"150,000.00",,0,STG
3347,Nacelle Systems C...,08/1271 Nacelle S...,2009,"115,010.00",,0,STG
3348,Pollock Lifts Lim...,Loo 09/0041 Pollo...,2009,"100,000.00",,0,STG
3349,Homeseal (Energy ...,08/0960 Homeseal ...,2008,"78,000.00",,0,STG
3351,CK International ...,Loo 08/0935 CK In...,2008,"38,000.00",,0,STG
3353,SU53 Solutions Li...,Loo SU53 Solution...,2008,"95,200.00",,"58,633.00",STG
3354,Kiverco Ltd,08/1094 Kiverco L...,2008,"88,616.00",,0,STG
3355,Media Lightbox Li...,Loo 08/1429 Media...,2009,"59,993.00",,0,STG
3364,Grosvenor Shirts ...,09/0137 Grosvenor...,2009,"27,800.00",,"9,758.00",STG
3365,Diffusion (NI) Lt...,09/0137 Diffusion...,2009,"35,800.00",,0,STG
3370,Conwell Contracts...,08/1450 Conwell C...,2009,"34,640.00",,0,STG
3371,Laganvale Enterpr...,Loo 08/1330 Laga...,2009,"25,500.00",,0,STG
3372,Sean Hagan & Cath...,08/1097 Sean Haga...,2008,"41,200.00",,0,STG
3375,Exploristic's Ltd...,Loo 09/0116 Explo...,2009,"30,000.00",,0,STG
3376,Annard Horseboxes...,08/1428 Annard Ho...,2009,"50,000.00",,0,STG
3380,JH Label Solution...,Loo 08/0910 JH La...,2008,"31,120.00",,0,STG
3383,Seopa Limited,Loo 08/1294 Seopa...,2009,"47,000.00",,0,STG
3384,Edgewater Contrac...,08/1358 Edgewater...,2009,"40,520.00",,"7,148.00",STG
3385,Endosim Ltd,Loo 09/0213 Endos...,2009,"25,000.00",,0,STG
386,Hughes Energy Sys...,08/0926 Hughes En...,2008,"20,000.00",,"1,169.00",STG
3387,Kilmore Farm Prod...,08/1323 Kilmore F...,2009,"7,800.00",,0,STG
3388,Easability Shower...,Loo 08/1111 Easab...,2008,"36,600.00",,"15,080.00",STG
3389,Copas Tool & Die ...,Loo 08/1292 Copas...,2009,"34,800.00",,0,STG
3390,Xcell Partners Li...,Loo 08/1293 Xcell...,2009,"34,000.00",,0,STG
3399,Hayburn Wood Prod...,08/1167 Hayburn W...,2009,"33,600.00",,0,STG
3400,M & K Quarry Plan...,09/0176 M & K Qua...,2009,"33,500.00",,0,STG
3401,CKOS Kitchens Ltd...,08/1287 CKOS Kitc...,2009,"30,000.00",,0,STG
3402,Fourds Limited,Loo 08/1269 Fourd...,2009,"16,312.00",,0,STG
3403,Intec (Contract I...,08/1146 Intec (Co...,2009,"27,200.00",,0,STG
3404,Rooms Dynamic Fur...,08/0884 Rooms Dyn...,2008,"26,640.00",,0,STG
3410,A1 Power Systems ...,08/1325 A1 Power ...,2009,"25,650.00",,0,STG
3412,Belfast Aircraft ...,08/0768 Belfast A...,2008,"14,800.00",,0,STG
3416,G P S Colour Grap...,13/11/2008 G P A ...,2008,"283,625.00",,0,STG
3437,Sean Jordan T/a J...,Loo 08/0081 Sean ...,2008,"20,840.00",,0,STG
3439,RMB Robinson & Mo...,11/04/2007 RMB Ro...,2007,"30,667.00",,"22,157.00",STG
3442,Messrs Brian McMa...,Loo 70231 Messrs ...,2007,"23,076.00",,0,STG
3449,Down District Cou...,Down To Business,2009,"146,731.00",,0,STG
3450,Michael McElhatto...,Loo 08/0835 Micha...,2008,"10,928.00",,0,STG
3455,Sean Nugent Engin...,Loo 08/0533 Sean ...,2008,"35,000.00",,"4,954.00",STG
3457,Dairy Produce Pac...,11/02/2009 Diary ...,2009,"121,201.00",,0,STG
3497,Exact engineering...,Loo 08/0604 Exact...,2008,"9,927.00",,0,STG
3498,GMF Marketing Ser...,08/0962 GMF Marke...,2008,"95,000.00",,"21,600.00",STG
3532,Environmental Tre...,29/06/2009 Enviro...,2009,"8,556.00",,0,STG
3536,Silverwood Enterp...,04/12/2008 Silver...,2008,"36,708.00",,"3,145.33",STG
3542,Mud-Blaster Syste...,Loo 08/1057 Mud-B...,2008,"27,486.00",,0,STG
3544,Newtownabbey Boro...,Tourism Business ...,2010,"24,200.00",,0,STG
3548,Corus Steel Servi...,01/03/2009 Corus ...,2009,"121,439.00",,0,STG
3565,Newtownabbey Boro...,Business Developm...,2009,"128,355.00",,0,STG
3572,Deli-Lites (Irela...,Loo 09/0097 Del...,2009,"109,397.00",,0,STG
3579,Cookstown Distric...,Multi-Sectoral Te...,2009,"58,846.00",,0,STG
3580,City Industrial W...,Loo 09/0133 City ...,2009,"30,586.00",,0,STG
3650,Belfast City Coun...,Creative Industri...,2009,"100,516.00",,"16,383.62",STG
3651,Belfast City Coun...,Creative Industri...,2010,"124,500.00",,0,STG
3661,Masters Choice Lt...,Loo 07/1233 Maste...,2008,"35,000.00",,"21,638.00",STG
3662,Crossen Engineeri...,Loo 08/0554 Cross...,2008,"21,570.00",,"8,268.00",STG
3664,Central Welding L...,Loo 08/0221 Centr...,2008,"9,326.00",,"2,777.00",STG
3723,Glen Dimplex Radi...,LoO 09/BIA/01 Gle...,2009,"30,000.00",,"11,250.00",STG
3917,A Diamond & Son L...,LoO 08/0232 A Dai...,2008,"50,000.00",,"7,206.00",STG
3922,Huhtamaki (Lurgan...,70633 Huhtamaki (...,2007,"50,000.00",,"29,658.00",STG
3925,MJM Marine Limite...,LoO 08/0204 MJM M...,2008,"50,000.00",,0,STG
3926,Annaghmore Agenci...,LoO 07/0954 Annag...,2008,"50,000.00",,"48,277.00",STG
3927,W D Irwin & Sons ...,LoO 07/0746 W D I...,2007,"50,000.00",,0,STG
3928,The Saville Row H...,LoO 07/1051 The S...,2008,"50,000.00",,"31,694.00",STG
3929,On Music Ltd,LoO 07/1167 On M...,2008,"50,000.00",,"36,751.00",STG
3931,Spence & Partners...,LoO 09/0062 Spen...,2009,"50,000.00",,0,STG
3932,Wrightbus Ltd,70667 Wrightbus L...,2007,"50,000.00",,"5,318.00",STG
3933,Clarehill Plastic...,LoO 08/0436 Clare...,2008,"50,000.00",,"4,957.00",STG
3935,G P S Colour Grap...,80762 G P S Colou...,2008,"50,000.00",,0,STG
3937,H&J Martin Ltd,LoO 08/0857 H&J M...,2008,"50,000.00",,"48,941.00",STG
3938,Elite Electronic ...,81120 Elite Elect...,2008,"50,000.00",,0,STG
3939,McMullen Architec...,LoO 07/0567 McMul...,2007,"48,969.00",,0,STG
3941,Beverage Plastic'...,LoO 08/1020 Bever...,2008,"47,250.00",,0,STG
3943,Belfast Aircraft ...,80872 Belfast Air...,2008,"45,350.00",,"10,269.00",STG
3950,James Leckey Desi...,70273 James Lecke...,2007,"44,782.00",,"15,211.00",STG
3951,Homecare (Norther...,80005 Homecare (N...,2008,"44,660.00",,0,STG
3952,Victor Bowman T/a...,LoO 07/0873 Victo...,2007,"43,910.00",,"20,191.00",STG
3954,Rubber & Plastic ...,LoO 07/940 Rubber...,2008,"45,317.00",,"27,299.00",STG
3955,James A S Finlay ...,Loo 07/0269 James...,2007,"43,391.00",,"43,391.00",STG
3959,Red Sky Group Ltd...,LoO 07/0285 Red S...,2007,"42,613.00",,"33,733.00",STG
960,Declan O'Connor &...,LoO 08/0053 Decla...,2008,"41,420.00",,0,STG
3962,Tracey Concrete L...,LoO 07/1212 Trace...,2008,"41,361.00",,"37,729.50",STG
3963,Project Design En...,LoO 09/0255 Proje...,2009,"40,694.00",,0,STG
3965,Eurocables (Belfa...,LoO 08/0540 Euroc...,2008,"38,619.00",,"29,974.00",STG
3967,Excel Glass Ltd,LoO 07/0753 Excel...,2007,"38,607.00",,"3,761.00",STG
3968,Consarc Design Gr...,LoO 07/0877 Consa...,2007,"37,392.00",,"37,392.00",STG
3970,Kelman Ltd,LoO 07/0484 Kelma...,2007,"37,007.00",,0,STG
3971,Armstrong Medical...,LoO 09/0287 Armst...,2009,"38,210.00",,0,STG
3973,Brian and Mary Ma...,LoO 08/0088 Brian...,2008,"36,017.00",,"29,424.00",STG
3975,Crossland Tankers...,LoO 07/0641 Cross...,2007,"35,201.00",,"35,062.00",STG
3993,Hunter Apparel So...,08/1322 Hunter Ap...,2009,"35,092.00",,0,STG
3997,Fintec Crushing a...,07/0211 Fintec Cr...,2007,"35,000.00",,"35,000.00",STG
4000,CDE Ireland Ltd,07/1148 CDE Irela...,2007,"35,000.00",,"30,575.00",STG
4001,K Hughes & Co Ltd...,07/0282 K Hughes ...,2007,"34,524.00",,"34,524.00",STG
4003,Creative Composit...,08/1005 Creative ...,2008,"32,749.00",,"26,065.00",STG
4004,John Mackle (Moy)...,07/0376 John Mack...,2007,"32,607.00",,"30,995.00",STG
4011,P M Fireplaces Lt...,07/0899 P M Firep...,2007,"32,300.00",,"24,334.00",STG
4012,Braidwater Ltd,07/0718 Braidwate...,2007,"32,129.00",,"9,664.00",STG
4014,Graham & Heslip L...,08/0916 Graham & ...,2008,"31,010.00",,0,STG
4015,Picture House Edi...,08/1037 Picture H...,2008,"30,116.00",,"28,674.00",STG
4018,Tools For Living ...,07/1134 Tools For...,2008,"29,861.00",,0,STG
4019,Eglinton (Timber ...,07/0272 Eglinton ...,2007,"28,600.00",,"5,280.00",STG
4024,Sharman D Neill L...,07/0930 Sharman D...,2007,"27,432.00",,"27,153.00",STG
4026,Mash Direct Ltd,08/0880 Mash Dire...,2008,"26,391.00",,0,STG
4043,Rapid Internation...,07/1047 Rapid Int...,2008,"26,390.00",,"26,191.00",STG
4047,Hampton Conservat...,07/0146 Hampton C...,2007,"26,178.00",,0,STG
4048,Sean Blaney,08/1176 Sean Blan...,2009,"26,371.00",,0,STG
4049,Essential Designs...,07/0908 Essential...,2007,"26,141.00",,"12,052.00",STG
4051,K & T Designs Ltd...,K & T Designs Ltd...,2008,"25,822.00",,0,STG
4052,Sports Crest Ltd,08/0976 Sports Cr...,2008,"25,604.00",,"6,818.00",STG
4068,"Eamon Hughes, Dec...",LoO 70321 Eamon H...,2007,"25,000.00",,"12,250.00",STG
4070,Telecoms Policy U...,Telecoms - Next G...,2008,"244,625.00",,"234,253.45",STG
4086,Sparc Composites ...,Loo 101032121 Spa...,2008,"242,171.00",,"53,879.58",STG
4087,Momentum ICT Fede...,LoO 101008538 Dig...,2008,"235,500.00",,"68,843.60",STG
4089,NI Polymer Associ...,Loo 101005804 Pla...,2008,"220,291.00",,"59,074.11",STG
4150,Woodlock Joinery ...,Loo 70455 - Woodl...,2007,"24,973.00",,"4,338.00",STG
4154,Commercial Graphi...,Loo 80156 - Comme...,2008,"23,803.00",,0,STG
4159,Nu Print Technolo...,Loo 80988 - Nu Pr...,2008,"23,340.00",,"3,368.00",STG
4175,S J McAuley Engin...,Loo 80334 - S J M...,2008,"23,151.00",,"1,368.00",STG
4180,Fivemiletown & Br...,Loo 71113 - Fivem...,2008,"22,540.00",,"12,915.00",STG
4183,O & S Doors Ltd,Loo 81218 - O & S...,2009,"22,247.00",,0,STG
4190,Sepha Ltd,Loo 80850 - Sepha...,2008,"21,463.00",,"13,101.00",STG
4194,McElwaine Smart T...,Loo 80655 - McElw...,2008,"48,505.00",,0,STG
4197,Mo Team,Interim Technical...,2008,"7,700.00",,"7,699.98",STG
4199,Williams Industri...,Water/Waste Water...,2009,"15,000.00",,"15,000.00",STG
203,Biobusiness NI Li...,LoO CR14231/CNP/0...,2007,"148,802.00",,"134,650.39",STG
4206,Biobusiness NI Li...,LoO PO 604374 Med...,2008,"9,950.00",,"9,443.82",STG
4207,CMS Global,LoO CNP/08/07 Ber...,2008,"5,000.00",,"5,000.00",STG
4209,B9 Energy,LoO CN101046302 F...,2009,"15,000.00",,"14,499.99",STG
4212,Soltex Global Ltd...,CRNI043563/CNP/09...,2008,"14,390.00",,"14,250.00",STG
4218,Centre for Compet...,LoO CN101046382 F...,2008,"14,750.00",,"7,225.34",STG
4220,Soltex Global Ltd...,CRN1013563/CNP/08...,2007,"15,000.00",,"15,000.00",STG
4224,Centre for Compet...,LoO CN1609842/08/...,2008,"14,000.00",,"14,000.00",STG
4230,BioBusiness NI,LoO CN101047474 M...,2009,"160,500.00",,"48,877.24",STG
4231,European Connecte...,CN101052145 Europ...,2009,"232,400.00",,"24,166.84",STG
4257,McErlains Bakery ...,Loo - 80824 - McE...,2008,"21,250.00",,0,STG
4260,Taylor & Boyd,LoO 70327 Taylor ...,2007,"21,039.00",,"15,991.00",STG
4261,Frederick Jones (...,70786 Frederick J...,2007,"20,942.00",,"14,775.00",STG
4263,NU-Track Ltd,LoO 70478 NU-Trac...,2007,"20,447.00",,0,STG
4264,Woodland Furnitur...,70489 Woodland Fu...,2007,"20,402.00",,0,STG
4266,Turkington Livest...,LoO 80374 Turking...,2008,"20,276.00",,"13,812.00",STG
4267,Advanced Industri...,80015 Advanced In...,2008,"19,879.00",,"14,997.00",STG
4269,Sean Nugent Engin...,LoO 70381 Sean Nu...,2007,"19,809.00",,"3,855.00",STG
4270,Moore Concrete Pr...,Loo - 81156,2009,"20,554.00",,"3,958.00",STG
4271,Philip Rodgers De...,81054 Philip & Yv...,2008,"19,688.00",,0,STG
4276,Cirrus Plastics L...,81344 Cirrus Plas...,2009,"19,170.00",,0,STG
4277,MDS Pharma Servic...,LoO 70509 MDS Pha...,2007,"19,165.00",,0,STG
4279,Mrs Orreen & Russ...,Loo - 70409 - Mrs...,2007,"19,127.00",,"8,393.00",STG
4280,Novosco Ltd,LoO 80149 Novosco...,2008,"19,735.00",,"3,987.00",STG
4281,NIPAK,LoO 80420 NIPAK,2008,"18,902.00",,"4,000.00",STG
4284,Cunningham Covers...,LoO 80529 Cunning...,2008,"18,699.00",,"10,676.00",STG
4285,Euro Auctions UK ...,LoO 70320 Euro Au...,2007,"19,000.00",,"19,000.00",STG
4286,Deluxe Art & Them...,Deluxe Art & Them...,2007,"18,560.00",,"10,376.00",STG
4289,North West Of Ire...,North West of Ire...,2008,"17,829.00",,0,STG
4291,Fire IMC Limited,Loo - 70457 - Fir...,2007,"18,206.00",,0,STG
4293,Specialist Joiner...,Loo - 81142 - Spe...,2009,"17,550.00",,0,STG
4299,Aria Clothing Ltd...,80133 Aria Clothi...,2008,"17,370.00",,"8,317.00",STG
4301,A J Power Ltd,Loo - 80961 - A J...,2008,"17,364.00",,0,STG
4304,Hawk Protection L...,Loo 71024 - Hawk ...,2008,"17,149.00",,"16,779.00",STG
4313,Glover Site Inves...,Loo - 71172 - Glo...,2008,"17,053.00",,"15,441.00",STG
4314,Carbon Trust,CT/08/011 Carbon ...,2008,"9,300,000.00",,"4,126,917.36",STG
4315,Discovery 80 Ltd,Loo -70679,2007,"16,900.00",,"15,404.00",STG
4319,M E T Steel Ltd,Loo - 81119 - M E...,2007,"16,805.00",,0,STG
4322,Norman Emerson Gr...,Loo - 80258 - Nor...,2007,"16,493.00",,"3,120.00",STG
4326,JMT Direct Ltd,LoO 80511 JMT Dir...,2008,"16,283.00",,"16,283.00",STG
4328,Rogers Fencing Sy...,Loo - 70617 - Rog...,2007,"15,850.00",,"10,254.00",STG
4329,07/08 NISP,07/08 National In...,2007,"300,000.00",,"279,482.79",STG
4331,Derry Precision T...,LoO 70979 Foyle B...,2008,"15,600.00",,"15,600.00",STG
4342,08/09 NISP,08/09 National In...,2007,"339,000.00",,"329,298.78",STG
4343,Target Dry Limite...,Loo - 81391 - Tar...,2009,"15,121.00",,"9,020.00",STG
4345,GMF Marketing Ser...,Loo - 80610 - GMF...,2008,"15,413.00",,"8,464.00",STG
4346,Befab Ltd,Loo - 80348 - Bef...,2008,"15,072.00",,0,STG
4350,Macspec Engineeri...,Loo - 80404 - Mac...,2008,"15,038.00",,0,STG
4351,Brian Atkinson & ...,Loo - 80370 - Bri...,2008,"14,979.00",,"9,240.00",STG
4358,Camco Group Ltd,Loo - 70456 - Cam...,2007,"14,906.00",,"12,287.00",STG
4361,Envirowise 08/09,Envirowise 08/09,2007,"626,000.00",,"601,407.60",STG
4362,Jacqueline Bohill...,Loo - 80248 - Jac...,2008,"14,825.00",,"6,275.00",STG
4364,Palmer Agencies L...,Loo - 80619 - Pal...,2008,"14,754.00",,"14,754.00",STG
4370,MIS FOREVER WARM ...,FOREVER WARM HOME...,2008,"14,213.00",,0,STG
4372,Fin Engineering G...,Loo - 80933 - Fin...,2008,"14,621.00",,0,STG
4374,Hammer & Tongs (S...,Loo - 81160 - Ham...,2009,"14,179.00",,0,STG
4390,Datum Tool Design...,Loo 8134 - Datum ...,2008,"14,168.00",,"1,350.00",STG
4391,Mammoth Design Co...,Loo - 70234 -Mamm...,2007,"14,163.00",,"10,296.00",STG
4393,Porta-fill Intern...,Loo - 81106 - Por...,2008,"14,093.00",,"14,093.00",STG
4398,HOME DESIGN CENTR...,HOME DESIGN CENTR...,2008,"14,043.00",,"12,843.00",STG
4266,Turkington Livest...,LoO 80374 Turking...,2008,"20,276.00",,"13,812.00",STG
4267,Advanced Industri...,80015 Advanced In...,2008,"19,879.00",,"14,997.00",STG
4269,Sean Nugent Engin...,LoO 70381 Sean Nu...,2007,"19,809.00",,"3,855.00",STG
4270,Moore Concrete Pr...,Loo - 81156,2009,"20,554.00",,"3,958.00",STG
4271,Philip Rodgers De...,81054 Philip & Yv...,2008,"19,688.00",,0,STG
4276,Cirrus Plastics L...,81344 Cirrus Plas...,2009,"19,170.00",,0,STG
4277,MDS Pharma Servic...,LoO 70509 MDS Pha...,2007,"19,165.00",,0,STG
4279,Mrs Orreen & Russ...,Loo - 70409 - Mrs...,2007,"19,127.00",,"8,393.00",STG
4280,Novosco Ltd,LoO 80149 Novosco...,2008,"19,735.00",,"3,987.00",STG
4281,NIPAK,LoO 80420 NIPAK,2008,"18,902.00",,"4,000.00",STG
4284,Cunningham Covers...,LoO 80529 Cunning...,2008,"18,699.00",,"10,676.00",STG
4285,Euro Auctions UK ...,LoO 70320 Euro Au...,2007,"19,000.00",,"19,000.00",STG
4286,Deluxe Art & Them...,Deluxe Art & Them...,2007,"18,560.00",,"10,376.00",STG
4289,North West Of Ire...,North West of Ire...,2008,"17,829.00",,0,STG
4291,Fire IMC Limited,Loo - 70457 - Fir...,2007,"18,206.00",,0,STG
4293,Specialist Joiner...,Loo - 81142 - Spe...,2009,"17,550.00",,0,STG
4299,Aria Clothing Ltd...,80133 Aria Clothi...,2008,"17,370.00",,"8,317.00",STG
4301,A J Power Ltd,Loo - 80961 - A J...,2008,"17,364.00",,0,STG
4304,Hawk Protection L...,Loo 71024 - Hawk ...,2008,"17,149.00",,"16,779.00",STG
4313,Glover Site Inves...,Loo - 71172 - Glo...,2008,"17,053.00",,"15,441.00",STG
4314,Carbon Trust,CT/08/011 Carbon ...,2008,"9,300,000.00",,"4,126,917.36",STG
4315,Discovery 80 Ltd,Loo -70679,2007,"16,900.00",,"15,404.00",STG
4319,M E T Steel Ltd,Loo - 81119 - M E...,2007,"16,805.00",,0,STG
4322,Norman Emerson Gr...,Loo - 80258 - Nor...,2007,"16,493.00",,"3,120.00",STG
4326,JMT Direct Ltd,LoO 80511 JMT Dir...,2008,"16,283.00",,"16,283.00",STG
4328,Rogers Fencing Sy...,Loo - 70617 - Rog...,2007,"15,850.00",,"10,254.00",STG
4329,07/08 NISP,07/08 National In...,2007,"300,000.00",,"279,482.79",STG
4331,Derry Precision T...,LoO 70979 Foyle B...,2008,"15,600.00",,"15,600.00",STG
4342,08/09 NISP,08/09 National In...,2007,"339,000.00",,"329,298.78",STG
4343,Target Dry Limite...,Loo - 81391 - Tar...,2009,"15,121.00",,"9,020.00",STG
4345,GMF Marketing Ser...,Loo - 80610 - GMF...,2008,"15,413.00",,"8,464.00",STG
4346,Befab Ltd,Loo - 80348 - Bef...,2008,"15,072.00",,0,STG
4350,Macspec Engineeri...,Loo - 80404 - Mac...,2008,"15,038.00",,0,STG
4351,Brian Atkinson & ...,Loo - 80370 - Bri...,2008,"14,979.00",,"9,240.00",STG
4358,Camco Group Ltd,Loo - 70456 - Cam...,2007,"14,906.00",,"12,287.00",STG
4361,Envirowise 08/09,Envirowise 08/09,2007,"626,000.00",,"601,407.60",STG
4362,Jacqueline Bohill...,Loo - 80248 - Jac...,2008,"14,825.00",,"6,275.00",STG
4364,Palmer Agencies L...,Loo - 80619 - Pal...,2008,"14,754.00",,"14,754.00",STG
4370,MIS FOREVER WARM ...,FOREVER WARM HOME...,2008,"14,213.00",,0,STG
4372,Fin Engineering G...,Loo - 80933 - Fin...,2008,"14,621.00",,0,STG
4374,Hammer & Tongs (S...,Loo - 81160 - Ham...,2009,"14,179.00",,0,STG
4390,Datum Tool Design...,Loo 8134 - Datum ...,2008,"14,168.00",,"1,350.00",STG
4391,Mammoth Design Co...,Loo - 70234 -Mamm...,2007,"14,163.00",,"10,296.00",STG
4393,Porta-fill Intern...,Loo - 81106 - Por...,2008,"14,093.00",,"14,093.00",STG
4398,HOME DESIGN CENTR...,HOME DESIGN CENTR...,2008,"14,043.00",,"12,843.00",STG
399,A Diamond & Son (...,Loo - 70375 - A D...,2007,"14,062.00",,"14,062.00",STG
4401,Corlin Developmen...,Loo 80384 - Corli...,2008,"13,965.00",,"8,355.00",STG
4402,Cloughorr Investm...,Loo - 81016 - Clo...,2008,"13,640.00",,"5,183.00",STG
4405,'DENROY PLASTICS ...,DENROY PLASTICS L...,2008,"13,669.00",,"13,515.00",STG
4407,James Harkness tr...,Loo - 81078 - Jam...,2008,"13,518.00",,"11,731.00",STG
4409,Valpar Industrial...,Loo - 70350 - Val...,2007,"13,375.00",,"6,145.00",STG
4410,Asset Management ...,Loo 80904 - Asset...,2008,"13,250.00",,"9,983.00",STG
4411,Campsie Cleaning ...,Loo - 71103 - Cam...,2008,"13,200.00",,0,STG
4417,Electronic & Secu...,Loo 80987 - Elect...,2008,"13,092.00",,"11,022.00",STG
4453,SKU Limited,SKU Limited,2008,"13,080.00",,995,STG
4479,Safety Solutions ...,Loo No: 70631 - S...,2007,"13,089.00",,"1,238.00",STG
4482,MIS 'BIZNET SOLUT...,BIZNET SOLUTIONS ...,2009,"13,031.00",,0,STG
4501,MIS 'NORTHERN HYD...,NORTHERN HYDRAULI...,2008,"12,901.00",,0,STG
4503,Travel Print Dire...,Loo - 70607 - Tra...,2007,"12,738.00",,0,STG
4505,The Elevate Group...,Loo - 80608 - The...,2008,"12,720.00",,"12,720.00",ST
,Trunk Flooring Li...,Loo - 80898 - Tru...,2008,"12,578.00",,"4,025.00",STG
4534,Yellow Moon Post ...,Loo - 80718 - Yel...,2008,"12,518.00",,0,STG
4539,Business Informat...,Business Informat...,2007,"2,176,503.00",,"630,385.40",STG
4545,John C Brow Ltd,Loo - 81027 - Joh...,2008,"12,500.00",,"12,500.00",STG
4552,Waddell Media Lim...,Loo - 70588 - Wad...,2007,"12,421.00",,0,STG
4555,Adman Publishing ...,Loo No - 70890 - ...,2007,"12,205.00",,"7,719.00",STG
4559,CMM Electrics Ltd...,CMM Electrics Ltd...,2008,"11,753.00",,0,STG
4560,Outsource Solutio...,Loo - 81422 - Out...,2009,"11,880.00",,"2,700.00",STG
4561,MICHAEL MACMILLAN...,MICHAEL MACMILLAN...,2007,"11,908.00",,"4,672.00",STG
4563,Lagan Technologie...,Lagan Technologie...,2007,"11,602.00",,0,STG
4564,Reprographic Syst...,Loo - 80051 - Rep...,2008,"11,681.00",,0,STG
4565,KITTLE OF TOYE LI...,KITTLE OF TOYE LI...,2008,"6,371.00",,"1,242.00",STG
4566,Frankie O' Donnel...,Frankie O' Donnel...,2007,"11,504.00",,"11,341.00",STG
4567,Semple & McKillop...,Loo - 81270 - Sem...,2009,"11,535.00",,0,STG
4571,Arthur Greenlee T...,Arthur Greenlee (...,2008,"11,341.00",,0,STG
72,Empire Meats Ltd,Loo - 80237 - Emp...,2008,"11,388.00",,"11,388.00",STG
4573,Bernard Dinsmore,Bernard Dinsmore ...,2008,"11,197.00",,"1,109.00",STG
4575,DOUGLAS ARCHITECT...,DOUGLAS ARCHITECT...,2008,"11,117.00",,0,STG
4577,BEFAB Ltd,BEFAB Ltd (LoO: 7...,2007,"11,093.00",,"11,093.00",STG
4598,MCC Buildings Sys...,Loo - 70632 - tra...,2007,"11,250.00",,0,STG
4599,EEIPs - Enterpris...,EEIPs - Enterpris...,2007,"12,180,000.00",,"3,877,904.07",STG
4601,Dixons Contractor...,Dixons Contractor...,2009,"10,945.00",,0,STG
4602,Legal Island Ltd,Loo - 80595 - Leg...,2008,"10,778.00",,"10,527.00",STG
4607,Luxury Tours (Ire...,Loo - 80602 - Lux...,2008,"10,450.00",,"4,149.00",STG
4608,The Corporate War...,The Corporate War...,2008,"10,372.00",,"9,576.00",STG
4610,Copas Tool & Die ...,Loo - 80878 - Cop...,2008,"10,389.00",,0,STG
4611,ULSTER JOURNALS L...,ULSTER JOURNALS L...,2008,"10,304.00",,"9,144.00",STG
4615,ATC Systems Ltd,Loo - 70493 - ATC...,2007,"10,249.00",,"10,249.00",STG
4617,MR PAUL DOHERTY L...,MR PAUL DOHERTY,2007,"10,027.00",,"7,958.00",STG
4618,Biznet IIS Ltd,Biznet IIS (LoO: ...,2009,"9,891.00",,0,STG
619,Shane Nugent & Ca...,Loo - 80678 - Sha...,2008,"10,122.00",,"4,551.00",STG
4620,Alan Little Limit...,Loo - 71128 - Ala...,2008,"9,767.00",,0,STG
4628,U.M.E. (NI) Ltd,Loo - 80645 - U.M...,2008,"9,761.00",,"6,002.00",STG
4633,P W S Ireland Ltd...,Loo - 70821 - P W...,2007,"9,742.00",,"6,868.00",STG
4636,Moyfab Tool Compn...,Loo - 80342 - Moy...,2008,"9,558.00",,0,STG
4638,TIMBERTONE DESIGN...,TIMBERTONE DESIGN...,2008,"9,555.00",,"8,194.00",STG
