organisation_name,project_title,indicative_award,fund,duration_recommended,project_reference,priority
Dumfries and Galloway Council,South of Scotland Creative Clusters Project,"245,319.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0007,Priority 1: Progressing Into Employment
Scottish Enterprise,RURAL Business Property Support (South )," 320,000.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0011,Priority 1: Progressing Into Employment
Scottish Historic Buildings Trust,Greenlaw Town Hall - Office development,"512,549.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0008,Priority 1: Progressing Into Employment
SEStran,Regional Real Time Bus Passenger Inforamation System - Borders," 199,719.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0014,Priority 1: Progressing Into Employment
The South West of Scotland Transport, TravelSmart Dumfries and Galloway,"1,280,355.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0010,Priority 1: Progressing Into Employment
University of the West of Scotland, South of Scotland Knowledge Transfer Hub," 508,929.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0016,Priority 1: Progressing Into Employment
Visit Scotland, Homecoming and the Development of the Diaspora Market,"439,115.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0009,Priority 1: Progressing Into Employment
Visit Scotland, Green Tourism Consumer Promotions - South of Scotland,"569,623.00",European Regional Development Fund,,LUPS/ERDF/2009/1/6/0006,Priority 1: Progressing Into Employment
LUPS/ERDF/2009/1/6/0012,Scottish Borders Council, Innerleithen Childcare Project,European Regional Development Fund,,,Priority 1: Progressing Into Employment
Organisation Name, Project Title, Indicative Award,European Regional Development Fund,,,Priority 1: Progressing Into Employment
Farm Animal Genetics & Genomics Faraday Partnership, Animal Health and Animal Genetics KTN,"378,008",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Genomia Management Ltd,Genomia Pre-investment Seed Development Fund," 812,475",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Midlothian Council,Edinburgh Science Triangle," 654,887",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Scottish Health Innovations Limited, Scottish Health Innovations Limited,"534,035",European Regional Development Fund,,,Priority 1: Progressing Into Employment
The Robert Gordon University,Innovation and Design Management," 330,990",European Regional Development Fund,,,Priority 1: Progressing Into Employment
University of Dundee,Scottish Construction Centre," 708,904",European Regional Development Fund,,,Priority 1: Progressing Into Employment
University of Glasgow, The Nexxus Scotland Bioscience Network," 513,749",European Regional Development Fund,,,Priority 1: Progressing Into Employment
University of Glasgow, SIGMA (Scottish Innovation in Global Market Applications),"927,400",European Regional Development Fund,,,Priority 1: Progressing Into Employment
University of Strathclyde, SUPA - Knowledge Transfar to Aid Company Growth,"354,847",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Genecom Ltd, Health and Life Science Sector," 436,824",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Napier University, National Technology Centre," 598,880",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Scottish Enterprise Fife,Transfer," 1,469,885",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Scottish Government, SMART: Scotland,"6,031,040",European Regional Development Fund,,,Priority 1: Progressing Into Employment
University of Edinburgh, Clinical Research Imaging Centre," 1,500,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment
University of Edinburgh, Prospekt," 3,693,559",European Regional Development Fund,,,Priority 1: Progressing Into Employment
University of Edinburgh, Scottish Centre for Regenerative Medicine,"6,000,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment
University of Strathclyde, Knowledge Transfer (and Commercialisation) to Aid Company Growth," 295,196",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Roslin Institute,ARK Genomics SME Service," 769,956",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Roslin Institute,ARK Genomics SME Service Key Equipment," 187,508",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Organisation Name, Project Title,Indicative Award,European Regional Development Fund,,,Priority 1: Progressing Into Employment
CEIS,Investing In Enterprise,"244,515",European Regional Development Fund,,,Priority 1: Progressing Into Employment
DSL, Scottish Micro Lending Project - Loan Capital,"831,600",European Regional Development Fund,,,Priority 1: Progressing Into Employment
DSL, Scottish Micro Lending Project - Guarantee Fund,"279,418",European Regional Development Fund,,,Priority 1: Progressing Into Employment
DSL, Scottish Micro Lending Project - Investor Readiness,"274,460",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Dundee City Council, E-Zone (Enterprise Zone)," 198,612",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Forestry Commission Scotland,Regional Biomass Advice Network,"261,400",European Regional Development Fund,,,Priority 1: Progressing Into Employment
LINC Scotland, Scottish Angel Capital Programme,"1,411,316",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Napier University, Ebusiness Innovation in Eastern Scotland," 244,999",European Regional Development Fund,,,Priority 1: Progressing Into Employment
North Ayrshire Council,North Ayrshire Business Growth Programme," 517,561",European Regional Development Fund,,,Priority 1: Progressing Into Employment
North Lanarkshire Council, Gateway to Growth,"254,743",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Princes Scottish Youth Business Trust, Supporting Youth Enterprise in Scotland,"847,655",European Regional Development Fund,,,Priority 1: Progressing Into Employment
ReGenerate Glasgow,Social Economy,"1,079,244",European Regional Development Fund,,,Priority 1: Progressing Into Employment
ReGenerate Glasgow,Enterprise Development in Glasgow's Communities,"847,274",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Scottish Enterprise, Investor Readiness Support," 552,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Scottish Enterprise, Edinburgh Pre-incubation Scheme,"748,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Scottish Enterprise, Scottish Co-investment Fund,"32,000,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment
South Lanarkshire Council, Lanarkshire Sustainable Business Programme," 778,851",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Stirling Enterprise Park/Ceteris,IT and E-Commerce Business Strategy Programme,"411,854",European Regional Development Fund,,,Priority 1: Progressing Into Employment
University of Abertay Dundee,Industrial Ecoparks,"451,172",European Regional Development Fund,,,Priority 1: Progressing Into Employment
University of Strathclyde, Strathclyde Entrepreneurial Network,"399,550",European Regional Development Fund,,,Priority 1: Progressing Into Employment
VisitScotland, Green Tourism Initiatives for Business Growth,"401,362",European Regional Development Fund,,,Priority 1: Progressing Into Employment
VisitScotland, New Tourism Growth Fund,"374,560",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Organisation Name, Project Title,Indicative Award,European Regional Development Fund,,,Priority 1: Progressing Into Employment
Glasgow South West Regeneration Agency,South West Glasgow Employability Centre Cluster,"88,672",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Maryhill Burgh Halls Trust,Maryhill Burgh Halls,"1,100,000",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Organisation Name,Project Title,Indicative Award,European Regional Development Fund,,,Priority 1: Progressing Into Employment
Forestry Commission Scotland, Regional Biomass Advice Network,"380,860",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Perth and Kinross Council,Unlocking economic potential in Perthshire/Angus," 416,185",European Regional Development Fund,,,Priority 1: Progressing Into Employment
VisitScotland,Green Tourism Consumer Promotion," 991,379",European Regional Development Fund,,,Priority 1: Progressing Into Employment
VisitScotland,Homecoming Scotland 2009,"1,335,338",European Regional Development Fund,,,Priority 1: Progressing Into Employment
Organisation Name, Project Title, Indicative Award,European Social Fund, Recommended,,Priority 1: Progressing Into Employment
Anniesland College,Community Based Training for Employment,"302,227",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Anniesland College,Employment Training for those whose 1st Language is,"248,799",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Ayr College, Sustainable Training & Employability Partnership - STEP," 1,184,731",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Barnardos Scotland,Youthbuild Paisley," 260,980",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
BRAG Enterprises Ltd,Ready Steady Work,"89,232",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Cardonald College, Building Glasgow's Young People," 875,181",European Social Fund," 1 Year, 10 Months",,Priority 1: Progressing Into Employment
Cardonald College, Opening Employability Options," 127,513",European Social Fund," 1 Year, 1 Month",,Priority 1: Progressing Into Employment
Cardonald College, Supported Pathways," 114,181",European Social Fund,"1 Year, 1 Month",,Priority 1: Progressing Into Employment
"Careers Scotland, Scottish Enterprise", Flexible Support Project,"939,694",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Central College of Commerce, Central IT," 187,888",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
City Building (Glasgow) LLP, City Building Adult Trainee Construction Programme," 267,986",European Social Fund,"2 Years, 4 Months",,Priority 1: Progressing Into Employment
CSV Media E Force Scotland,CSV Media Action Scotland," 213,272",European Social Fund, 2 Years,,Priority 1: Progressing Into Employment
ENABLE Scotland, learning disabilities," 317,193",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Ethnic Minority Enterprise Centre, EMAS,"104,466",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Fairbridge in Scotland,Bridging the Gap,"1,386,654",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Forth Sector,WorkingWell," 550,147",European Social Fund, 2 Years,,Priority 1: Progressing Into Employment
Glasgow Centre for Inclusive Living, New Jobs for Disabled People 7 (NJDP7),"207,843",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Glasgow City Council,Supported & Enhanced Vocational Training,"276,005",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Glasgow College of Nautical Studies, Positive Pathways to Employment,"182,843",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Glasgow East Regeneration Agency,Routes To and Sustaining Employment,"164,632",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Glasgow East Regeneration Agency,East Works - ILM & Vocational Training Project,"174,391",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Glasgow Metropolitan College,Women Into Construction@GlasgowMET,"91,839",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Glasgow Metropolitan College,Employability Skills@GlasgowMET,"315,278",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Glasgow Metropolitan College,Employability Skills for Minority Ethnic Groups,"144,204",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Glasgow North Regeneration Agency, North Glasgow Employer Led Training/Modern Apprenticeship Project,"350,163",European Social Fund, 2 Years,,Priority 1: Progressing Into Employment
Glasgow North Regeneration Agency, North Glasgow Employability Pathway Programme," 320,987",European Social Fund, 2 Years,,Priority 1: Progressing Into Employment
Glasgow South East Regeneration Agency,Active Client Progression," 266,718",European Social Fund, 2 Years,,Priority 1: Progressing Into Employment
Glasgow South West Regeneration Agency,South West Glasgow Youth Employability & Transition Support,"214,032",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Glasgow South West Regeneration Agency,South West Glasgow Progression to Work,"228,606",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Glasgow South West Regeneration Agency,South West Glasgow Bridging Service," 312,545",European Social Fund, 2 Years,,Priority 1: Progressing Into Employment
Glasgow West Regeneration Agency,First Steps to Employability in Glasgow West," 488,014",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
Kibble Education and Care Centre,Connect 4 Employment," 412,673",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Momentum Scotland Ltd, Glasgow Momentum Partnership,"2,456,854",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Momentum Scotland Ltd, Catalyst Programme," 276,726",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Momentum Scotland Ltd, Opportunities for People Through Employment and Learning (OPEL)," 317,938",European Social Fund, 3 Years,,Priority 1: Progressing Into Employment
National Autistic Society, NEET Avoidance," 243,673",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
NCH Scotland,Youthbuild National,"274,505",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Nisus Scotland,Nisus Scotland,"199,261",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Paisley & Johnstone Training Group,Make Training WORK,"92,422",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Project Scotland,Chance for Change,"246,960",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Quarriers, Sommervilles Training Work," 256,877",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Right Track Scotland Ltd,Access to Administration,"90,506",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Right Track Scotland Ltd,Skills for the Future,"128,872",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Right Track Scotland Ltd,Focus,"149,817",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Right Track Scotland Ltd,Motivator,"132,475",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Scotland's Learning Partnership, Acting Up,"239,158",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Scottish Association for Mental Health (SAMH), Glasgow North," 876,504",European Social Fund, 3 Years,,Priority 1: Progressing Into Employment
Scottish Association for Mental Health (SAMH), Glasgow South," 927,596",European Social Fund, 3 Years,,Priority 1: Progressing Into Employment
Skillnet Edinburgh,Black Community Skills Project,"141,886",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
The Coach House Trust, Transitions to Inclusion,"194,845",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Organisation Name,Project Title, Indicative Award,European Social Fund,Recommended,,Priority 1: Progressing Into Employment
The GalGael Trust,Navigate Life,"128,081",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
The Prince's Trust, Life Working," 1,074,146",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
The Tullochan Trust,Fit to Work,"114,232",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
The Venture Trust,Venture Trust - Chance for Change,"200,998",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
The Wise Group, Transitional Employment," 464,709",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
The Wise Group, Routes out of Prison (ROOP)," 502,453",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
West Fife Enterprise Limited, Quest for Employment," 605,189",European Social Fund, 2 Years,,Priority 1: Progressing Into Employment
Women Onto Work,Women Onto Work," 463,210",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Workers' Education Association (WEA), JRT JobRotation (Ayrshire),"143,228",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Organisation Name, Project Title,Indicative Award,European Social Fund, Recommended,,Priority 1: Progressing Into Employment
Aberdeenshire Council, North East Work Skills,"280,346",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Angus College, Working Together: Developing Skills for Migrant Workers,"206,155",European Social Fund, 2 Years,,Priority 1: Progressing Into Employment
Ayr College, Upskilling the Ayrshire Workforce," 141,039",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Cardonald College, Up-skill in Care,"239,186",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
Central College of Commerce, Instep into Sustainable Employment,"484,614",European Social Fund,"2 Years, 6 Months",,Priority 1: Progressing Into Employment
Dundee College,Learning Networks for SMEs,"225,647",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
ENABLE Scotland, Moving forward in Employment for People with Learning Disabilities,"780,666",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Forestry Commission Scotland,Modern Apprenticeship Scheme,"433,454",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Glasgow City Council,Metro West Business Subsidy," 632,987",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Glasgow South East Regeneration Agency,"Retention, Aftercare and Process (RAP)","311,296",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Glasgow South West Regeneration Agency,South West Glasgow Progression in Work,"685,817",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Kibble Education and Care Centre,Men Care 2,"439,735",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Kilmarnock College,Workforce Plus," 106,918",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Midlothian Council (New Leaf Adult Guidance Service),Employment Development and Upskilling Project,"275,218",European Social Fund, 3 Years,,Priority 1: Progressing Into Employment
Momentum Scotland Ltd, Pathways - Early Intervention / Job Retention Project," 91,140",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
North Ayrshire Council,Skills for Growth,"277,801",European Social Fund, 3 Years,,Priority 1: Progressing Into Employment
Perth College, CfE - Growing Enterprise and Management Skills," 85,581",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Renfrewshire Council,West Central Job Rotation (Workforce Development),"168,634",European Social Fund, 2 Years,,Priority 1: Progressing Into Employment
Scottish Chambers of Commerce, Business Mentoring Scotland,"846,493",European Social Fund, 3 Years,,Priority 1: Progressing Into Employment
Scottish Council for Voluntary Organisations,Moving On," 272,363",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Scottish Council for Voluntary Organisations,Women and Leadership,"217,187",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
Scottish Enterprise, Delivering Business Improvement Techniques with Scotland's Manufacturing Sector,"907,200",European Social Fund, 2 Years,,Priority 1: Progressing Into Employment
Stow College,Lowlands & Uplands Trade Union Education," 88,453",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
The Action Group,Progressing to Better Real Jobs,"410,929",European Social Fund, 3 Years,,Priority 1: Progressing Into Employment
The Adam Smith College,Skills for Scotland," 2,895,545",European Social Fund, 3 Years,,Priority 1: Progressing Into Employment
The Robert Gordon University,Business Skills for Growth," 185,255",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
The Thistle Foundation,Ordinary People - Extraordinary Support,"989,457",European Social Fund," 2 Years, 11 Months",,Priority 1: Progressing Into Employment
The Wise Group,STEP UP (Workforce Development)," 235,842",European Social Fund, 3 Years,,Priority 1: Progressing Into Employment
Tourist Board Training Ltd,Increasing Skills in the Tourism Industry," 577,035",European Social Fund, 3 Years,,Priority 1: Progressing Into Employment
University of Abertay Dundee,Embreonix,"132,844",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
West Lothian College,West Lothian SME Workforce Development," 210,514",European Social Fund,"2 Years, 4 Months",,Priority 1: Progressing Into Employment
Workers' Educational Association (WEA),WEA Employee JobRotation (Ayrshire)," 304,347",European Social Fund," 2 Years, 2 Months",,Priority 1: Progressing Into Employment
Organisation Name, Project Title, Indicative Award,European Social Fund,Recommended,,Priority 1: Progressing Into Employment
Angus College, Virtual Learning for Angus,"120,683",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Coatbridge College,Learning for Employment for Migrants,"87,010",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Common Knowledge (CKCK), CK Works,"101,103",European Social Fund, 1 Year,,Priority 1: Progressing Into Employment
Dundee College,Employment Driver-Supporting Disabled People," 237,323",European Social Fund," 2 Years, 6 Months",,Priority 1: Progressing Into Employment
Edinburgh Business Development,Industry Alliance for Jobs Hubs Infrastructure," 742,400",European Social Fund, 3 Years,,Priority 1: Progressing Into Employment
Glasgow Metropolitan College,Accessible Learning@GlasgowMET,"91,839",European Social Fund," 1 Year, 6 Months",,Priority 1: Progressing Into Employment
Kibble Education and Care Centre,The Learning Zone," 298,422",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Motherwell College,E-Learning Skills for Offenders," 211,255",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
North Lanarkshire Council, Learning Pathways to Employment," 183,347",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
Reid Kerr College, Greater Opportunities and Access to Learning (GOAL)," 967,147",European Social Fund,2 Years,,Priority 1: Progressing Into Employment
Rosemount Lifelong Learning, Rosemount Lifelong Learning Demonstration Project," 460,712",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
Scottish Enterprise, Developing a Learning Infrastructure to support Scotland's Productivity Agenda," 213,750",European Social Fund, 2 Years,,Priority 1: Progressing Into Employment
Scottish Qualifications Authority, TranSET,"609,229",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Scottish Qualifications Authority, S4S (Skills for Scotland),"152,733",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
Scottish Trades Union Congress,Union Learning Programme for Scotland,"1,500,000",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
South Lanarkshire Council, Core Connex," 270,253",European Social Fund,3 Years,,Priority 1: Progressing Into Employment
The Adam Smith College,Creating Equal Access to Education (CREATE),"730,020",European Social Fund,1 Year,,Priority 1: Progressing Into Employment
