organisation_name,project_title,indicative_award,fund,duration_recommended,project_reference,priority
 The Coach House Trust, Transitions to Inclusion 2," 199,614",European Social Fund, 1.0,LUPS/ESF/2008/2/1/0317,Priority 1: Progressing Into Employment
 The Prince's Trust,Addressing disadvantage through Get Started," 142,907",European Social Fund,3.0,LUPS/ESF/2008/2/1/0427,Priority 1: Progressing Into Employment
 The Prince's Trust,Addressing disadvantage through Team," 1,327,186",European Social Fund, 3.0,LUPS/ESF/2008/2/1/0423,Priority 1: Progressing Into Employment
 The Prince's Trust,Addressing disadvantage through Get Into," 566,711",European Social Fund, 3.0,LUPS/ESF/2008/2/1/0419,Priority 1: Progressing Into Employment
 Venture Trust, Venture Trust - A Chance For Change," 233,155",European Social Fund,1.0,LUPS/ESF/2008/2/1/0446,Priority 1: Progressing Into Employment
 West Lothian College,Living Life," 545,453",European Social Fund,2.0,LUPS/ESF/2008/2/1/0382,Priority 1: Progressing Into Employment
 Work Track,Work Track Centraal," 189,000",European Social Fund,2.0,LUPS/ESF/2008/2/1/0470,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0338, Argyll and Bute Council," Project Craftwork, Enhancing Employability Skills, Clydebank",European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0268, Ayr College, STEP 2009,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0482, Clydebank College, Routes to Work,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0484, Clydebank College, EMBRACE,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0426, Enterprise Education Trust,Enterprise Education Trust,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0392, Glasgow City Council,Housing and Employment Service,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0400, Glasgow City Council,Commonwealth Apprenticeship Initiative,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0399, Glasgow City Council,LUV Social Firm,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0441, Glasgow College of Nautical Studies, Positive Pathways to Employment 2008,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0451, Glasgow College of Nautical Studies, The Roma Integration Project 2008,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0432, Glasgow College of Nautical Studies, Carers' Skills and Development Programme,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0456, Kilmarnock College,Prepare for Employment,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0454, Kilmarnock College,"More Choices, Better Chances",European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0295, Momentum Scotland, Starting Point,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0349, Oatridge College,Wanting to Work,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0449, Regenerate Glasgow,Regenerate Community Environmental Employability Project,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0469, Remploy Ltd, Remploy and Colleges Working Together,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0322, Scotland's Learning Partnerhsip, Acting Up,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0355, Skills Development Scotland, Flexible Support Project 2,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0418, Stevenson College Edinburgh, Directions into Employment,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/1/0244, yipworld.com,Men into Childcare,European Social Fund,,,Priority 1: Progressing Into Employment
 Adam Smith College, Catalyst for Productivity," 1,341,081",European Social Fund,3.0,LUPS/ESF/2008/2/2/0465,Priority 1: Progressing Into Employment
 Ayr College,Upskilling the Ayrshire Workforce 2009 Programme," 141,039",European Social Fund, 1.0,LUPS/ESF/2008/2/2/0269,Priority 1: Progressing Into Employment
 Coatbridge College, Sustainable Employment for the Care Sector,"84,115",European Social Fund, 1.0,LUPS/ESF/2008/2/2/0342,Priority 1: Progressing Into Employment
 Forth Valley College, Skills Go Forth,"90,515",European Social Fund,1.0,LUPS/ESF/2008/2/2/0363,Priority 1: Progressing Into Employment
 Momentum Scotland,The Academy,"84,078",European Social Fund,1.0,LUPS/ESF/2008/2/2/0356,Priority 1: Progressing Into Employment
 Momentum Scotland,Pathways Aberdeen - Early Intervention/Job Retention Project," 167,128",European Social Fund, 2.0,LUPS/ESF/2008/2/2/0293,Priority 1: Progressing Into Employment
 Napier University,Scottish Resource Centre for Women in SET," 216,761",European Social Fund,2.3,LUPS/ESF/2008/2/2/0464,Priority 1: Progressing Into Employment
 Scottish Bakery Training Council, Skills for Employees in Baking and Food Manufacture (LUPS)," 274,309",European Social Fund, 2.0,LUPS/ESF/2008/2/2/0308,Priority 1: Progressing Into Employment
 Scottish Federation of Meat Traders,Cut it in Scotland," 293,060",European Social Fund, 3.0,LUPS/ESF/2008/2/2/0273,Priority 1: Progressing Into Employment
 Scottish Trades Union Congress, Training for the Union Learning Programme 2009-11," 321,349",European Social Fund,2.0,LUPS/ESF/2008/2/2/0386,Priority 1: Progressing Into Employment
 Skills Development Scotland,Responding To Redundancy," 1,363,861",European Social Fund, 1.0,LUPS/ESF/2008/2/2/0514,Priority 1: Progressing Into Employment
 Stirling Council, The ASPIRE Project," 327,847",European Social Fund, 2.0,LUPS/ESF/2008/2/2/0431,Priority 1: Progressing Into Employment
 Stow College, TU Education:Increasing Core Skills in the Workplace,"98,949",European Social Fund, 1.0,LUPS/ESF/2008/2/2/0442,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0481, Clydebank College,iNETs (Interactive Networkss for SME's),European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0328, CVS Clackmannanshire, CsVS Upskilling,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0387, Edinburgh Business Development, Group Based Aftercare Improving Enterpreneurial Skills,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0435, Edinburgh Business Development, Joined Up for Jobs In Work Training,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0393, Edinburgh Business Development, Internationalisation of SMEs,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0360, Forth Valley College, Upskilling Forth Valley Economic Communities,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0396, Glasgow City Council, Metro West Business Skills Subsidy,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0457, Kilmarnock College, Upskill the Workforce,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0296, Momentum Scotland,Employment Support Team,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0410, Perth College,Upskilling the Workforce,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0487, Scottish Borders Council, Scottish Borders Progression In Employment,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0350, Scottish Enterprise,Business Improvement Techniques,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0474, Skillfast - UK, Women Into Work,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0376, University of Abertay Dundee, embreonix 2009,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/2/0379, West Lothian College, Hands On,European Social Fund,,,Priority 1: Progressing Into Employment
 Adam Smith College,CREATE-2,"943,580",European Social Fund, 1.0,LUPS/ESF/2008/2/3/0461,Priority 1: Progressing Into Employment
 Angus College, ELE - Enhancing the Learning Environment Programme,"222,850",European Social Fund, 2.0,LUPS/ESF/2008/2/3/0266,Priority 1: Progressing Into Employment
 Coatbridge College,Improving Access to Science,"116,852",European Social Fund,1.0,LUPS/ESF/2008/2/3/0346,Priority 1: Progressing Into Employment
 Common Knowledge,CK Works,"237,704",European Social Fund, 2.0,LUPS/ESF/2008/2/3/0471,Priority 1: Progressing Into Employment
 Dundee College,Microgeneration Skills,"228,098",European Social Fund, 2.0,LUPS/ESF/2008/2/3/0248,Priority 1: Progressing Into Employment
 Dundee College,Creative Enterprise,"231,323",European Social Fund,2.0,LUPS/ESF/2008/2/3/0247,Priority 1: Progressing Into Employment
 Dundee College,New Approaches to ESOL,"207,062",European Social Fund, 2.0,LUPS/ESF/2008/2/3/0249,Priority 1: Progressing Into Employment
 Forth Valley College,Forth Valley Access to Lifelong Learning Project,"188,950",European Social Fund, 2.0,LUPS/ESF/2008/2/3/0364,Priority 1: Progressing Into Employment
 Glasgow City Council,National Progression Award - Preparing For Work and Business,"128,052",European Social Fund, 1.5,LUPS/ESF/2008/2/3/0390,Priority 1: Progressing Into Employment
 Glasgow Metropolitan College,Accessible Learning @ GlasgowMet Phase 2:Improving Access," 61,533",European Social Fund,1.0,LUPS/ESF/2008/2/3/0307,Priority 1: Progressing Into Employment
 Glasgow South West Regeneration Agency,Innovating Financial Literacy Skills in Scotland,"186,889",European Social Fund, 2.0,LUPS/ESF/2008/2/3/0391,Priority 1: Progressing Into Employment
 Remploy Ltd, Upskilling Disability Employment Programme Delivery,"238,211",European Social Fund,1.0,LUPS/ESF/2008/2/3/0472,Priority 1: Progressing Into Employment
 Scotland's Learning Partnerhsip, Learning Support Network,"656,543",European Social Fund, 3.0,LUPS/ESF/2008/2/3/0325,Priority 1: Progressing Into Employment
 Scotland's Learning Partnerhsip, The 3 R's Campaign,"2,163,058",European Social Fund, 3.0,LUPS/ESF/2008/2/3/0318,Priority 1: Progressing Into Employment
 Scottish Qualifications Authority, TranSETT 2,"1,223,878",European Social Fund, 2.0,LUPS/ESF/2008/2/3/0330,Priority 1: Progressing Into Employment
 Scottish Qualifications Authority, S4S2,"328,412",European Social Fund, 2.0,LUPS/ESF/2008/2/3/0331,Priority 1: Progressing Into Employment
 Scottish Qualifications Authority, TSOL Innovation,"184,582",European Social Fund,2.0,LUPS/ESF/2008/2/3/0453,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/3/0483, Clydebank College, EDGE (Engaging Disadvantage Groups Electronically),European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/3/0263, FABLEVISION, Lifelong learning - how to engage the excluded and alienated,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/3/0294, Momentum Scotland, learning2work,European Social Fund,,,Priority 1: Progressing Into Employment
LUPS/ESF/2008/2/3/0466, Napier University, Better Health Through LifeLongLearning,European Social Fund,,,Priority 1: Progressing Into Employment
 Dundee University,Innovation Pipeline for Translational Science," 2,100,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0429,Priority 1: Progressing Into Employment
 Dundee University,Photonic Ultrasonic Pre-clinical MRI Intervention Centre-CAP,"780,000.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0509,Priority 1: Progressing Into Employment
 Dundee University,The Bioportal," 676,068.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0447,Priority 1: Progressing Into Employment
 Glasgow Caledonian University,CIC Start On-line," 400,757.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0237,Priority 1: Progressing Into Employment
 Glasgow Caledonian University,Kit Out,"77,008.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0267,Priority 1: Progressing Into Employment
 Glasgow Caledonian University,Supporting SMEs within Scotland's Food & Drink Sector," 333,850.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0380,Priority 1: Progressing Into Employment
 Glasgow Opportunities,John Logie Baird Innovation Village Capital," 2,366,876.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0450,Priority 1: Progressing Into Employment
 Heriot-Watt University, HWUKT," 3,849,636.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0388,Priority 1: Progressing Into Employment
 Napier University,2KT+,"581,785.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0439,Priority 1: Progressing Into Employment
 Napier University,Butanol Innovation into Business,"212,120.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0463,Priority 1: Progressing Into Employment
 Napier University,TIPD- Technology Innovation and Product Development," 308,594.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0476,Priority 1: Progressing Into Employment
 Roslin Institute, Roslin Stem Cell Partnership,"1,185,854.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0438,Priority 1: Progressing Into Employment
 Scottish Agricultural College,Green Cow," 379,921.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0323,Priority 1: Progressing Into Employment
 Scottish Enterprise,Translational Medicine Research Collaboration Programme," 5,260,999.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0477,Priority 1: Progressing Into Employment
 Scottish Stem Cell Network Ltd, Scottish Stem Cell Network,"501,500.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0445,Priority 1: Progressing Into Employment
 Stirling University Innovation Park,Sporting Chance Initiative,"647,298.00",European Regional Development Fund,,LUPS/ERDF/2008/2/1/0480,Priority 1: Progressing Into Employment
