"Project","Applicant","Project Approval Date","Priority","Budget Approved AWM","Budget Approved ERDF","Budget Approved Other Public","Budget Approved Private"
"Birmingham SUD Package Management  (Phase I)  ","Birmingham City Council   ",27/11/08,"3.5-Birmingham  Eastside  ",,125000,125002,
"North Solihull SUD Package Management  (Phase I)  ","Solihull MBC   ",24/07/08,"3.6-North Solihull   ",,125000,125000,
"Bridging the Opportunity Gap ","AWM ",07/05/09,"4.1-Priority Axis 1 ",124886,124886,,
"Photonics Inter-regional Networking  Project  ","Aston University   ",09/07/09,"4.1-Priority Axis 1   ",,50000,50000,
"Technology Networks   ","Coventry University  Enterprises  ",17/09/09,"4.1-Priority Axis 1   ",,234500,234500,
"Bridge to Growth Europe ","AWM ",23/07/09,"4.2-Priority Axis 2 ",164200,105000,,
"Collaborating Automotive Regions (CAR)   ","Birmingham COC   ",23/07/09,"4.2-Priority Axis 2   ",,200000,200000,
"Interiors and Lifestyle Networks (ERDF 4) ","University of Birmingham ",25/06/09,"4.2-Priority Axis 2 ",142502,142502,,
"ERDF 2007-2013 - Programe  Administration ","AWM  ",09/10/08,"5.1-Programme  Administration ",1500000,1500000,,
"EU Connects Phase 2     ","West Midland Regional  Assembly    ",18/12/08,"5.2-Development  and Capacity  Building   ",515910,750962,235051,
"RegenWM 2nd Phase Funding - ERDF  2007-2013 ","Regen WM  ",04/11/08,"5.2-Development  and Capacity  Building",95544,95544,,
"WMEN - Building Capacity of the Third  Sector ","West Midlands European  Network (WMEN) ",06/08/09,"5.2-Development  and Capacity  Building",197500,197500,,
"WMRO ERDF 2009 to 2011  ","West Midlands Regional  Observatory ",20/03/08,"5.3-Research,  Evaluation and  Monitoring",435000,435000,,
"EU Communications  ","AWM  ",07/08/08,"5.4-Publicity and  Communications ",72961,72961,,
