Provider,Project Title,Funding,Subcontractor,Contract Start Date
A4e Ltd,Mentoring for Lone Parents and IB Customers,"ﾣ1,268,553",,23/06/08
A4e Ltd,New Deal,"ﾣ3,402,000",,1/10/12
A4e Ltd,PL Pathways,"ﾣ11,117,078",,28/04/08
CDG,New Deal,"ﾣ3,100,000",,1/10/12
CDG,New Deal,"ﾣ3,205,000",,2/7/12
In Training (ESD) Ltd,Flexible New Deal,"ﾣ5,344,000",,1/13/13
Maximus Employment UK Ltd,Flexible New Deal,"ﾣ32,900,000",,5/11/13
RBLI,PL Pathways,"ﾣ30,495,000",,1/7/12
RBLI,PL Pathways,"ﾣ19,100,000",,1/10/12
Scout Enterprises,Sector Skills,"ﾣ3,497,042",,4/9/12
Shaw Trust,Hardest to Help,"ﾣ4,800,000",,14/07/08
Shaw Trust,PL Pathways,"ﾣ18,260,000",,1/3/14
Shaw Trust,PL Pathways,"ﾣ16,599,989",,1/3/14
Skills Training UK Ltd,Flexible New Deal,"ﾣ134,368,465",,5/11/13
TBG,New Deal,"ﾣ4,398,000",,2/7/12
TNG Ltd,Pre-Employment Training Programme,"ﾣ6,300,000",,28/07/08
VT Southern Careers Ltd,Community Outreach Service,"ﾣ5,454,445",,23/06/08
Working Links,Stepping Stones,"ﾣ2,750,878",,14/07/08
