"Round","Priority","Organisation","Project Title","Indicative ESF Award"
3,3,"Scottish Council for Voluntary Organisation","3rd Sector Skills and Workforce Centre","ﾣ52,995"
3,2,"Orkney Islands Council","Orkney CPP Plan (ESF Component)","ﾣ58,500"
3,1,"Shetland Islands Council","Shetland CPP Plan (ESF Component)","ﾣ183,414"
3,2,"Skills Development Scotland","Responding to Redundancy (H and I)","ﾣ251,581"
4,1,"The Highland Council","Highland CPP Plan (ESF Component)","ﾣ700,000"
4,1,"Scottish Government","Training for Work in Highlands & Islands 2009/2010","ﾣ178,880"
4,2,"Scottish Government","Support for Redundant MAs in Highlands & Islands","ﾣ124,030"
4,1,"Speyside Trust","Job Connect @ Badaguish (4)","ﾣ75,000"
4,1,"Day1","Day1 Youth Mentoring towards Sustainable Employment","ﾣ118,480"
4,1,"The Highland Council","Deaf Communication Project Training Hub Initiative 2010","ﾣ63,500"
4,1,"The Highland Council","ESOL Skills for Life for Migrant Workers and their Families","ﾣ155,023"
4,1,"The Highland Council","Community Language Assistants 2010","ﾣ49,691"
4,,"North Highland College","Skills for the Energy Sector, SfES","ﾣ107,322"
4,1,"North Highland College","North Highland Horticulture Training Centre","ﾣ168,146"
4,1,"employability Orkney","Supported Employment","ﾣ175,820"
4,1,"North Highland College","Enterprise Sells","ﾣ153,195"
4,1,"Springboard Charitable Trust","Increasing the Workforce in Scotland's Highlands & Islands","ﾣ663,904"
4,1,"Comhairle nan Eilean Siar","Outer Hebrides Employability Support Programme","ﾣ1,029,820"
4,1,"Argyll & Bute Council","Argyll & Bute CPP Plan (ESF Element)","ﾣ103,406"
4,2,"Comhairle nan Eilean Siar","Vocational Assessment Support and Training","ﾣ90,000"
4,2,"North Highland College","Hospitality Training","ﾣ204,690"
4,2,"Moray Firth Media Trust","Digital Media","ﾣ227,089"
4,2,"Moray College","Customers First - skills for hospitality and tourism sector","ﾣ52,542"
4,2,"Comhairle nan Eilean Siar","THI Traditional Skills Devpt.","ﾣ39,050"
4,3,"The Highland Council","ESOL Tutor Training and e-Training Development","ﾣ77,500"
4,3,"Inverness College","Creating an On-line Highers Programme (Pilot Year)","ﾣ51,689"
4,3,"Inverness College","Promoting Enterprise and Innovation in Further Education","ﾣ21,759"
