"ERDF Beneficiary","Name and Description of Project-Operation","Date","ERDF  Investment £","Eligible Project Costs £","Priority"
"Codeworks","Codeworks Connect / Codeworks GameHorizon","Feb 2009",980000,2960000,"P2"
"Newcastle City Council","Newcastle Enterprise Package","Feb 2009",1560000,3130000,"P2"
"North Tyneside Council","Raising Enterprise North Tyneside","Feb 2009",750000,1500000,"P2"
"University of Teesside","Science to Business Hub","Feb 2009",1170000,2440000,"P1"
"Princes Trust","Business Growth & Support for Enterprising Young People","Feb 2009",380000,770000,"P2"
"Gateshead Council","Inspire Gateshead","Feb 2009",530000,1050000,"P2"
"RTC North Limited","R & D Globalisation Programme","Jan 2009",510000,1010000,"P2"
"Tarka","TARKA","Jan 2009",280000,560000,"P2"
"Centre for Process Innovation (CPI)","Energy & Environmental Technology Sector Support","Jan 2009",690000,1980000,"P1"
"University of Northumbria at Newcastle","Healthcare Technology Development Programme","Dec 2008",690000,1520000,"P1"
"Northumberland Business Service Limited","Enterprise Bridge Programme - Northumberland","Dec 2008",720000,1430000,"P2"
"Business & Enterprise North East","Supporting Business Resilience","Dec 2008",1110000,2210000,"P2"
"University of Teesside","Institute of Digital Innovation (DigitalCity)","Dec 2008",1900000,4600000,"P1"
"Codeworks","Digital Placement & Knowledge Transfer","Sept 2008",730000,2660000,"P1"
"Business & Enterprise North East","Business Link Branded IDB & Solutions Funding","Sept 2008",9050000,18100000,"P2"
"One North East","Flexible Families","Aug 2008",500000,1000000,"P2"
"One North East","Design Centre for the North East - Premium Lease","July 2008",3580000,7160000,"P1"
"Durham County Council","Durham SRP Capacity","Mar 2008",20000,40000,"P3"
"One North East","MAS/NEPA Service","Nov 2007",4230000,8450000,"P2"
