ERDF BENEFICIARY,NAME OF PROJECT/OPERATION,DATE,ERDF INVESTMENT (£m),PROJECT TOTAL (£m),P1/P2
59.) Generator,Building the business of music,10-Feb,£0.82m,£1.64m,P2
58.) County Durham Development Co,NETPark Net,10-Feb,£0.22m,£0.71m,P2
57.) Northern Film & Media Ltd,Northern Film & Media continuation,10-Jan,£1.22m,£3.06m,P2
56.) One North East,Angel facility refurbishment,10-Jan,£1.1m,£2.5m,P1
55.) North East Finance (Holdco) Ltd,JEREMIE investment fund capital,10-Jan,£44.25m,£125m,P1
55.) North East Finance (Holdco) Ltd,JEREMIE product fund management fees,10-Jan,£11m,£22m,P1
55.) North East Finance (Holdco) Ltd,JEREMIE holding company,10-Jan,£4m,£8m,P1
54.) Sustainable Enterprise Strategies ,Social & traditional enterprise,10-Jan,£0.9m,£1.8m,P2
53.) South Tyneside Council,Enterprise coaching in South Tyneside,10-Jan,£0.81m,£1.62m,P2
52.) New & Renewable Energy Centre,Business Support in Micro-renewables,10-Jan,£0.49m,£0.9m,P2
51.) Business & Enterprise North East,Regional start up finance,9-Dec,£2m,£4.63m,P2
50.) Newcastle University,Translational Research Building,9-Dec,£2.55m,£13m,P1
49.) Codeworks,Digital Evaluation Vehicle,9-Dec,£0.8m,£1.9m,P2
48.) One North East/Entrust,Coaching for high growth SMEs,9-Nov,£1.18m,£2.96m,P2
47.) New & Renewable Energy Centre,Incubation & inward investment,9-Nov,£0.5m,£2.4m,P2
46.) Business & Enterprise North East,Business & Enterprise North East IDB project 2,9-Oct,£1.48m,£18.1m,P2
45.) One North East,Logistics 2 project,9-Sep,£0.55m,£1.27m,P2
44.) University of Teesside,Northern Design Centre on-line business district,9-Sep,£0.5m,£1m,P1
43.) TWI Technology Centre,Renewable Energy Manufacturing Technology,9-Sep,£1m,£2m,P1
42.) Newcastle University,CHP Trigeneration & Energy storage,9-Sep,£0.8m,£1.6m,P1
41.) Centre for Process Innovation (CPI),PETEC Displays and Photonics Technology Centre,9-Sep,£8.5m,£20.5m,P1
40.) Regional International Trade Office,Enhancing International Trade,9-Sep,£6m,£12m,P2
39.) Northumberland County Council,Berwick Workspace,9-Aug,£0.13m,£0.27m,P2
38.) MAS North East,Resource efficiency,9-Aug,£0.64m,£1.5m,P2
37.) Durham County Council,NETPark grow on space,9-Jul,£5m,£10m,P1
36.) University of Sunderland,Digital Factory,9-Jul,£0.5m,£6m,P2
35.) Durham County Council,NETPark servicing of additional land,9-May,£0.24m,£0.48m,P1
34.) County Durham LEGI,Be Enterprising programme,9-May,£4.1m,£8.5m,P2
33.) University of Teesside,North East Industrial Symbiosis Network,9-May,£0.62m,£1.24m,P2
32.) Newcastle City Council,Newcastle Science City community engagement,9-May,£0.88m,£1.77m,P1
31.) Durham University,NETPark Embedding benefits/community engagement,9-May,£0.49m,£1m,P1
30.) Newcastle Science City,The Newcastle Innovation Machine,9-May,£3m,£6.6m,P1
29.) Centre for Process Innovation (CPI),Process Industries New Business Opportunity Hub,9-Apr,£1.73m,£4.5m,P1
28.) University of Sunderland,Sunderland Software City – Education & Innovation,9-Apr,£0.95m,£2.9m,P1
27.) Gateshead Council,Inspire Gateshead,9-Apr,£0.5m,£1m,P2
26.) Centre for Process Innovation (CPI),PETEC LACE electronics technology support,9-Apr,£2m,£4m,P1
25.) Tarka Limited,Tarka (ERDF) childcare sector business support,9-Apr,£0.28m,£0.56m,P2
24.) Business & Enterprise North East,Innovation Vouchers – Solutions for Business,9-Apr,£1.2m,£2.4m,P2
23.) One North East,Developing SME expertise,9-Apr,£0.6m,£1.2m,P2
22.) One North East/UKTI,Horizons – export business support,9-Mar,£0.5m,£1m,P2
21.) One North East,Grant for Business Investment (GBI),9-Mar,£1m,£2m,P2
20.) NE Business & Innovation Centre,Sunderland Software City - Enterprise,9-Mar,£0.85m,£2.1m,P1
19.) Entrust,Graduates for business,9-Mar,£0.72m,£3.1m,P2
18.) One North East/RTC North Ltd,Design Network North,9-Mar,£0.86m,£2.26m,P1
17.) NHS Innovations North,NHS Innovations North (ERDF),9-Mar,£0.8m,£1.8m,P1
16.) The Prince’s Trust,Enterprising Young People,9-Mar,£0.38m,£1.3m,P2
15.) University of Teesside,Science to business hub,9-Mar,£1.17m,£3.44m,P1
14.) Northumbria University,Healthcare Technology Development Programme,9-Mar,£0.75m,£1.6m,P1
13.) Newcastle City Council,Newcastle Enterprise package,9-Feb,£1.56m,£3.5m,P2
12.) Codeworks,Codeworks Connect/GameHorizon,9-Feb,£0.98m,£1.97m,P2
11.) North Tyneside Council,Raising Enterprise North Tyneside,9-Feb,£0.75m,£1.5m,P2
10.) RTC North Limited,R&D Globalisation programme,9-Jan,£0.5m,£1m,P2
9.) Centre for Process Industries (CPI),Energy & Environmental technology sector support,9-Jan,£0.7m,£1.4m,P1
8.) Tees Valley Unlimited,Tees Valley integrated business support activity,9-Jan,£3.6m,£8.6m,P2
7.) Northumberland Business Service Ltd,Northumberland Enterprise Bridge,9-Jan,£0.71m,£1.43m,P2
6.) University of Teesside,Institute of Digital Innovation (IDI) phase 2,8-Dec,£1.9m,£5.3m,P1
5.) Codeworks,Digital placements & knowledge transfer,8-Dec,£0.7m,£1.40m,P1
4.) Business & Enterprise North East,Supporting business resilience,8-Nov,£1.1m,£2.49m,P2
3.) One North East,The Flexible Families project,8-Oct,£0.5m,£1m,P2
2.) Business & Enterprise North East,Business & Enterprise North East IDB project,8-Oct,£9.05m,£18.1m,P2
1.) MAS-NEPA,The MAS-NEPA service,8-Jul,£4.2m,£33.6m,P2
,,APPROX,£146.03m,£384.67m,
,,TOTALS,,,
