"No of Agreements","Project Ref. No.","Name of Beneficiaries","Name of Operation","Year of Allocation","Amounts Committed","Co-financing Rate [European Social Fund]",,,,,,,,,,,
1,"TAF/234","Camray Contracts Ltd","Team Building",2009,"€ 4,546.98",80.00%,,,,,,,,,,,
1,"TAF/236","Brian Tonna & Co","Audit Methodology",2009,"€ 15.72",45.00%,,,,,,,,,,,
1,"TAF/237","Brian Tonna & Co","Taxation Principles & Tax Returns",2009,"€ 15.72",45.00%,,,,,,,,,,,
1,"TAF/238","Methode Electronics Malta Ltd","Logistics Support on Parts",2009,"€ 118.63",25.00%,,,,,,,,,,,
1,"TAF/239","Foundation for Human Resources Development","IMPACT - Job Effectiveness Training Certificate",2009,"€ 793.15",45.00%,,,,,,,,,,,
1,"TAF/240","Foundation for Human Resources Development","Impact - Personal Effectiveness Training Certificate",2009,"€ 1,057.54",45.00%,,,,,,,,,,,
1,"TAF/242","Simon J Camilleri Holdings Ltd","ACCA - F5 Performance Management",2009,"€ 300.00",80.00%,,,,,,,,,,,
1,"TAF/243","Exigy Ltd","ISEB Foundation Certificate in Software Testing",2009,"€ 856.67",70.00%,,,,,,,,,,,
1,"TAF/244","Alberta Fire and Security Limited","Diploma in Management",2009,"€ 2,450.00",70.00%,,,,,,,,,,,
1,"TAF/245","Bavarian Technology Systems","Pure Maths - Advanced First Year",2009,"€ 32.61",70.00%,,,,,,,,,,,
1,"TAF/248","P J Sutters (Marketing) Ltd","Learn, Network & Share Your Success",2009,"€ 1,018.40",80.00%,,,,,,,,,,,
1,"TAF/249","Actavis Malta Limited","Basic First Aid  ",2009,"€ 56.00",80.00%,,,,,,,,,,,
1,"TAF/250","Actavis Limited","Basic First Aid",2009,"€ 630.00",60.00%,,,,,,,,,,,
1,"TAF/251","CCA Interserv Ltd","B.Sc. Information Systems & Management",2010,"€ 9,064.80",80.00%,,,,,,,,,,,
1,"TAF/252","P and A Sullivan Limited","Employment Law Course",2010,"€ 179.20",80.00%,,,,,,,,,,,
1,"TAF/253","CCA Interserv Ltd","Diploma in Business Management / Administration",2010,"€ 256.00",80.00%,,,,,,,,,,,
1,"TAF/254","Neriku Confectionery Ltd","Quality Management",2010,"€ 11,158.08",80.00%,,,,,,,,,,,
1,"TAF/255","Shireburn Software Limited","Top-up BSc (Hons) Degree",2010,"€ 3,932.00",80.00%,,,,,,,,,,,
1,"TAF/256","Mizzi Holdings Limited","The Lean Enterprise (Lean Thinking)",2010,"€ 445.00",25.00%,,,,,,,,,,,
1,"TAF/257","St Martin's Institute of I.T","Lecturing Methodologies at MBA Level",2010,"€ 2,070.45",45.00%,,,,,,,,,,,
1,"TAF/258","Methode Electronics (Hetronics Division) Malta Ltd","Stock Management - Inventory Control",2010,"€ 355.90",60.00%,,,,,,,,,,,
1,"TAF/259","Methode Electronics (Hetronics Division) Malta Ltd","Executive MBA - University of Malta",2010,"€ 3,960.00",60.00%,,,,,,,,,,,
1,"TAF/260","Methode Electronics (Hetronics Division) Malta Ltd","IMC - IMC & Software on Boards",2010,"€ 183.51",25.00%,,,,,,,,,,,
1,"TAF/261","Methode Electronics (Hetronics Division) Malta Ltd","Admin Reporting",2010,"€ 232.93",25.00%,,,,,,,,,,,
1,"TAF/262","Foundation for Human Resources Development","IMPACT - Management Skills Training",2010,"€ 1,057.54",45.00%,,,,,,,,,,,
1,"TAF/263","Patrick Camilleri","Diploma in VAT Compliance",2010,"€ 980.00",80.00%,,,,,,,,,,,
1,"TAF/264","Trelleborg Sealing Solutions Malta Limited","Foundation Diploma in Purchasing and Supply",2010,"€ 1,860.00",60.00%,,,,,,,,,,,
1,"TAF/265","Computime Limited","The Psychology of Authority and Discipline",2010,"€ 336.00",70.00%,,,,,,,,,,,
1,"TAF/266","Simonds Farsons Cisk Plc","Lean Maintenance and Lean Plant Management",2010,"€ 1,423.20",60.00%,,,,,,,,,,,
1,"TAF/267","Baxter Limited","Lean Enterprise Training",2010,"€ 230.50",25.00%,,,,,,,,,,,
1,"TAF/268","Philip Toledo Limited","ISEB Software Testing Foundation",2010,"€ 1,768.53",70.00%,,,,,,,,,,,
1,"TAF/269","Richmond Foundation","Service User Involvement",2010,"€ 1,764.29",80.00%,,,,,,,,,,,
1,"TAF/270","Travel Trade Ltd","Comprehensive Workshop on GAPSE",2010,"€ 104.00",80.00%,,,,,,,,,,,
1,"TAF/272","Care Malta Limited","ECDL Training",2010,"€ 4,681.20",60.00%,,,,,,,,,,,
1,"TAF/273","Bavarian Technology Systems ","Computer Aided Draughting Design - C & G 4353D",2010,"€ 81.52",70.00%,,,,,,,,,,,
1,"TAF/274","Faces Displays","Microsoft Excel Course   ",2010,"€ 128.33",25.00%,,,,,,,,,,,
1,"TAF/275","Fino Manufacturing Ltd / C. Fino and Sons Ltd","Selling Techniques",2010,"€ 504.00",70.00%,,,,,,,,,,,
1,"TAF/276","Alf. Mizzi and Sons (HR) Ltd","Executive Distance Learning MBA",2010,"€ 7,872.00",60.00%,,,,,,,,,,,
1,"TAF/277","Vodafone Malta Ltd","CCNA Exploration",2010,"€ 1,164.00",60.00%,,,,,,,,,,,
1,"TAF/278","Farrugia Textiles","Microsoft Excel Course - Beginners/Intermediate",2010,"€ 171.11",70.00%,,,,,,,,,,,
1,"TAF/279","Consolidated Biscuit Co. Ltd","Key Performance Indicators",2010,"€ 485.91",25.00%,,,,,,,,,,,
1,"TAF/280","Seaport Franchising Ltd","Hard Rock Worldwide Training Course",2010,"€ 227.77",25.00%,,,,,,,,,,,
1,"TAF/281","Bodesr Limited","MBA in Hospitality with Marketing",2010,"€ 10,000.00",80.00%,,,,,,,,,,,
1,"TAF/283","Deloitte","Diploma in Fund Administration",2010,"€ 3,430.00",70.00%,,,,,,,,,,,
1,"TAF/284","Bavarian Technology Sytems","Electrical Licence A - Domestic",2010,"€ 221.20",70.00%,,,,,,,,,,,
1,"TAF/285","1 Stop Properties","Diploma in Management",2010,"€ 3,328.00",80.00%,,,,,,,,,,,
1,"TAF/286","Outlook Management and Communications Cooperative  Society","Production Techniques for Designers with Adobe Creative Suite",2010,"€ 398.70",45.00%,,,,,,,,,,,
1,"TAF/287","Gozo Express Services Limited","CIMS Reporting",2010,"€ 816.92",45.00%,,,,,,,,,,,
1,"TAF/288","Bank of Valletta p.l.c.","Microsoft Word 2003",2010,"€ 2,430.00",60.00%,,,,,,,,,,,
1,"TAF/289","APS Bank Ltd","Loan Processing System",2010,"€ 242.50",25.00%,,,,,,,,,,,
1,"TAF/290","APS Bank Ltd","Loan Processing System",2010,"€ 242.50",25.00%,,,,,,,,,,,
1,"TAF/291","Island Hotels Group Ltd","Executive Master of Business Administration",2010,"€ 2,236.20",60.00%,,,,,,,,,,,
1,"TAF/292","Lufthansa Technik Malta","Magnetic Particle Level 2",2010,"€ 343.25",25.00%,,,,,,,,,,,
1,"TAF/293","Alberta Fire and Security Equipment Ltd","Electrical Licence A",2010,"€ 1,655.50",35.00%,,,,,,,,,,,
1,"TAF/294","Smart Supermarket Ltd","Diploma in Management",2010,"€ 2,450.00",70.00%,,,,,,,,,,,
1,"TAF/295","Eugenia Cachia","JAVA Programming Language",2010,"€ 948.25",80.00%,,,,,,,,,,,
1,"TAF/296","Atlas Insurance PCC Ltd","Lean Thinking ",2010,"€ 1,202.08",70.00%,,,,,,,,,,,
1,"TAF/297","De La Rue Currency & Security Print Ltd","BSC Human Resources Management Hounours Degree",2010,"€ 1,634.95",60.00%,,,,,,,,,,,
1,"TAF/298","First United Insurance Management Limited","PO5 Insurance Law",2010,"€ 249.20",70.00%,,,,,,,,,,,
1,"TAF/299","Playmobil Malta Ltd","Risk Assessment",2010,"€ 216.00",60.00%,,,,,,,,,,,
1,"TAF/300","Playmobil Malta Ltd","Risk Assessment",2010,"€ 216.00",60.00%,,,,,,,,,,,
1,"TAF/301","GlaxoSmithKline (Malta) Ltd","High Performance Behaviours",2010,"€ 4,315.50",25.00%,,,,,,,,,,,
1,"TAF/302","Toly Products","Diploma Cours in Taxation 2009/2010
Modules A & D",2010,"€ 360.75",25.00%,,,,,,,,,,,
1,"TAF/303","Airmode Limited","Microsoft Excel Course - Beginners/Intermediate",2010,"€ 85.55",70.00%,,,,,,,,,,,
1,"TAF/304","Vodafone Malta Ltd","Microsoft Access Intermediate",2010,"€ 148.97",60.00%,,,,,,,,,,,
1,"TAF/305","Alberta Fire and Securuity Limited","CIPS - Level 3",2010,"€ 1,016.78",70.00%,,,,,,,,,,,
1,"TAF/306","Chantal Stagno Navarra","Msc Architecture Advanced Environmental and Energy Studies",2010,"€ 5,345.04",80.00%,,,,,,,,,,,
1,"TAF/308","Seabank Hotel and Catering Limited","Train the Trainer",2010,"€ 535.80",60.00%,,,,,,,,,,,
1,"TAF/309","Francis Busuttil & Sons (Marketing) Limited","Management skills for Impact Training Programme",2010,"€ 9,437.42",60.00%,,,,,,,,,,,
1,"TAF/310","Methode Electonics (Hetronic Division) Malta Ltd","PC - Function on V2C2,  CIFA & RX-ES Prof",2010,"€ 148.29",25.00%,,,,,,,,,,,
1,"TAF/311","Methode Electonics (Hetronic Division) Malta Ltd","HOCC - Wire Preparation",2010,"€ 100.10",25.00%,,,,,,,,,,,
1,"TAF/312","Playmobil Malta Ltd","Pick Vision Handling",2010,"€ 203.21",25.00%,,,,,,,,,,,
1,"TAF/314","Foster Clark Products Ltd","Electrical Licence A   ",2010,"€ 1,117.65",60.00%,,,,,,,,,,,
1,"TAF/318","Combino Pharm (Malta) Ltd","Internal Auditing Course",2010,"€ 288.51",70.00%,,,,,,,,,,,
1,"TAF/320","Seaport Franchising Ltd","Guide 2 Greatness",2010,"€ 875.30",25.00%,,,,,,,,,,,
1,"TAF/321","CareMalta Mellieha Ltd","Supervisory Skills Course",2010,"€ 264.33",60.00%,,,,,,,,,,,
1,"TAF/322","Vodafone Malta Ltd","Telephone Techniques",2010,"€ 428.19",25.00%,,,,,,,,,,,
1,"TAF/323","CareMalta Ltd","Supervisory Skills Course",2010,"€ 780.80",60.00%,,,,,,,,,,,
1,"TAF/324","Toly Products Ltd","Lead Auditor Course - Quality Management System",2010,"€ 2,035.80",60.00%,,,,,,,,,,,
1,"TAF/325","Tumas Group Management","Audit and Assurance (Global) (Part of ACCA Qualification)",2010,"€ 230.83",60.00%,,,,,,,,,,,
1,"TAF/326","Toly Products Ltd","FMEA (Failure Modes & Effects Analysis)",2010,"€ 576.00",60.00%,,,,,,,,,,,
1,"TAF/328","Baxter Limited","Diploma in Management",2010,"€ 558.82",60.00%,,,,,,,,,,,
1,"TAF/329","Baxter Trading Co Limited","Excellence in Customer Care",2010,"€ 155.63",60.00%,,,,,,,,,,,
1,"TAF/330","Baxter Limited","Introduction to PLC",2010,"€ 2,450.77",60.00%,,,,,,,,,,,
1,"TAF/331","Ms Christabelle Cristina Tabone","Certificate Level 1 - Higher Education in Clinical Hypnosis",2010,"€ 3,394.22",80.00%,,,,,,,,,,,
1,"TAF/332","Tumas Group Management","Financial ACCA (INT) - Part of ACCA Qualification",2010,"€ 244.97",60.00%,,,,,,,,,,,
1,"TAF/333","Lufthansa Technik Malta","Thermography Level 2",2010,"€ 1,792.64",60.00%,,,,,,,,,,,
1,"TAF/335","FTI Accounting Services Limited","MBA Distance Learning X 3",2010,"€ 16,854.89",60.00%,,,,,,,,,,,
1,"TAF/336","Vodafone Malta Ltd","The Psychology of Managing People",2010,"€ 3,024.00",60.00%,,,,,,,,,,,
1,"TAF/337","Bonnici Insurance Agency Ltd","Cold Calling Training and Mentoring",2010,"€ 648.00",80.00%,,,,,,,,,,,
1,"TAF/338","Deloitte","ITIL - IT Services Management V3 Foundation Course",2010,"€ 595.00",70.00%,,,,,,,,,,,
1,"TAF/339","Actavis Limited","Regulatory and Quality Management Update for Manager",2010,"€ 8,660.40",60.00%,,,,,,,,,,,"t"
1,"TAF/340","Salon Services Limited","Team Building",2010,"€ 2,110.59",80.00%,,,,,,,,,,,
1,"TAF/341","Virty Ferries Limited","Managing Freight and Logistics",2010,"€ 1,641.50",70.00%,,,,,,,,,,,
1,"TAF/342","Seaport Franchising Ltd","Guide 2 Greatness",2010,"€ 267.00",25.00%,,,,,,,,,,,
1,"TAF/343","Exigy Ltd","F3 Financial Accounting",2010,"€ 287.15",70.00%,,,,,,,,,,,
1,"TAF/344","Care Malta Limited","Dementia Awarness Training Programme",2010,"€ 280.00",60.00%,,,,,,,,,,,
1,"TAF/345","Vodafone Malta Ltd","Automatic Frequency Planning Module",2010,"€ 634.22",60.00%,,,,,,,,,,,
1,"TAF/346","Vodafone Malta Ltd","Competitive Excellence",2010,"€ 982.40",25.00%,,,,,,,,,,,
1,"TAF/347","Studio 7 Company Limited","PAT Testing",2010,"€ 609.85",80.00%,,,,,,,,,,,
1,"TAF/348","Lufthansa Technik Malta","A340 B2 Type Course: Trent 500 Engine",2010,"€ 4,233.60",60.00%,,,,,,,,,,,
1,"TAF/349","Globe Ground Malta Limited","Train the Trainer",2010,"€ 2,520.00",70.00%,,,,,,,,,,,
1,"TAF/334","Fire & Security Engineering","Basic Fire Awareness Training Course",2010,"€ 208.38",80.00%,,,,,,,,,,,
1,"TAF/350","General Workers Union","Current Affairs Training Programme",2010,"€ 1,324.80",45.00%,,,,,,,,,,,
1,"TAF/351","Multipackaging Limited","Supervising and Managing People for Front Liners",2010,"€ 229.59",60.00%,,,,,,,,,,,
1,"TAF/352","Jugs @ Malta Ltd","Management and Staff Development Programme",2010,"€ 2,877.16",70.00%,,,,,,,,,,,
1,"TAF/353","Jugs @ Malta Ltd","Management and Staff Development Programme",2010,"€ 4,216.18",70.00%,,,,,,,,,,,
1,"TAF/354","Exigy Ltd","F2 Management Accounting",2010,"€ 267.34",70.00%,,,,,,,,,,,
1,"TAF/355","Exigy Ltd","F1 Accountant in Business ",2010,"€ 242.14",70.00%,,,,,,,,,,,
1,"TAF/356","St Martin's Institute of I.T","Management Development Training",2010,"€ 2,246.65",45.00%,,,,,,,,,,,
1,"TAF/357","Studio 7 Productions Limited","CIEH - Level 2 Manual Handling Principles and Practice",2010,"€ 76.59",80.00%,,,,,,,,,,,
1,"TAF/358","Studio 7 Company Limited","CIEH - Level 2 Award in Principles Manual Handling",2010,"€ 2,028.23",80.00%,,,,,,,,,,,
1,"TAF/359","Lufthansa Technik Malta","Nebosh National Security in Env Management",2010,"€ 648.77",60.00%,,,,,,,,,,,
1,"TAF/360","Studio 7 Productions Limited","CIEH - Level 2 Award in Principles Manual Handling",2010,"€ 369.18",80.00%,,,,,,,,,,,
1,"TAF/361","MPS Ltd","ACCA - F5 Performance Management",2010,"€ 258.30",70.00%,,,,,,,,,,,
1,"TAF/362","Studio 7 Company Limited","CIEH Level 2 Manual Handling Principles and Practice",2010,"€ 1,161.54",80.00%,,,,,,,,,,,
1,"TAF/363","Jani Ltd","Basic First Aid Training",2010,"€ 264.00",80.00%,,,,,,,,,,,
1,"TAF/364","Playmobil Malta Ltd","Employment Case Law Update",2010,"€ 155.49",60.00%,,,,,,,,,,,
1,"TAF/365","TG Services Company Limited","Shireburn Payroll System - Training Programme",2010,"€ 147.08",60.00%,,,,,,,,,,,
1,"TAF/366","Dolmen Complex Limited","Shireburn Payroll System - Training Programme",2010,"€ 229.09",60.00%,,,,,,,,,,,
1,"TAF/367","Tumas Group Management","Shireburn Payroll System - Training Programme",2010,"€ 87.67",60.00%,,,,,,,,,,,
1,"TAF/368","Gasan Enterprises Management Limited ","Nebosh National Cert in Environmental Cert",2010,"€ 716.09",60.00%,,,,,,,,,,,
1,"TAF/369","Playmobil Malta Ltd","Industrial Audiometry",2010,"€ 475.10",60.00%,,,,,,,,,,,
1,"TAF/370","CCA Interserv Ltd","Diploma in Management",2010,"€ 1,671.20",80.00%,,,,,,,,,,,
1,"TAF/371","Simonds Farsons Cisk Plc Management","Effective Sales Management",2010,"€ 850.20",60.00%,,,,,,,,,,,
1,"TAF/372","Dragonara Resort Limited","HACCP Awareness Seminar",2010,"€ 509.66",60.00%,,,,,,,,,,,
1,"TAF/373","De La Rue Currency & Security Print Ltd","First Aid Course",2010,"€ 522.00",60.00%,,,,,,,,,,,
1,"TAF/374","Baxter Limited","Introduction to PLC",2010,"€ 3,540.00",60.00%,,,,,,,,,,,
1,"TAF/375","B and S Manufacturing Limited","Electrical Licence A",2010,"€ 298.04",80.00%,,,,,,,,,,,
1,"TAF/376","Foster Clark Products Ltd","Executive Distance Learning MBA",2010,"€ 6,000.00",60.00%,,,,,,,,,,,
1,"TAF/377","Malta Dairy Products Ltd","Certificate in Training Practice & HRM",2010,"€ 1,236.90",70.00%,,,,,,,,,,,
1,"TAF/379","Engineering Services Limited","CFPA Europe Diploma in Fire Prevention",2010,"€ 4,064.80",80.00%,,,,,,,,,,,
1,"TAF/380","Pentasia Malta Limited","APEX  Leadership Driver",2010,"€ 1,040.00",80.00%,,,,,,,,,,,
1,"TAF/381","Delta Malta Ltd","Using Your Mind for a Change",2010,"€ 2,737.44",45.00%,,,,,,,,,,,
1,"TAF/382","Carlo Gavazzi","Diploma in Manufacturing Excellance",2010,"€ 3,072.00",60.00%,,,,,,,,,,,
1,"TAF/383","Mr Mark Causon","Train the Trainer Course  ",2010,"€ 536.00",80.00%,,,,,,,,,,,
1,"TAF/384","Methode Electronics (Hetronics Division) Malta Ltd","Diploma in Manufacturing Excellance",2010,"€ 3,072.00",60.00%,,,,,,,,,,,
1,"TAF/385","ICON ","Train the Trainer",2010,"€ 568.00",80.00%,,,,,,,,,,,
1,"TAF/386","Technoline Ltd","ACCA",2010,"€ 674.18",80.00%,,,,,,,,,,,
1,"TAF/387","Attard Brothers Co Ltd","ACCA P1 - Professional Accountant",2010,"€ 238.77",70.00%,,,,,,,,,,,
1,"TAF/388","Sanofi Aventis Malta Ltd","Sales Development Programme",2010,"€ 7,962.55",60.00%,,,,,,,,,,,
1,"TAF/389","MPS Ltd","ACCA - F8 Audit & Assurance",2010,"€ 245.70",70.00%,,,,,,,,,,,
1,"TAF/390","Jacksons Co Ltd","Online Marketing & Search Engine Optimization",2010,"€ 1,720.83",80.00%,,,,,,,,,,,
1,"TAF/391","J Piccinino Ltd","Online Marketing & Search Engine Optimization",2010,"€ 1,047.55",80.00%,,,,,,,,,,,
1,"TAF/392","Doublesin & Zammit Limited","Online Marketing & Search Engine Optimization",2010,"€ 819.01",80.00%,,,,,,,,,,,
1,"TAF/393","Rausi Co Ltd","Nebosh International General Certificate",2010,"€ 915.26",80.00%,,,,,,,,,,,
1,"TAF/394","Health Plaza Ltd","Online Marketing & Search Engine Optimization",2010,"€ 837.25",80.00%,,,,,,,,,,,
1,"TAF/395","FTI Accounting Services Limited","Reception Operations",2010,"€ 277.20",60.00%,,,,,,,,,,,
1,"TAF/396","Ms Lucienne Cassar","Online Marketing & Search Engine Optimization",2010,"€ 768.00",80.00%,,,,,,,,,,,
1,"TAF/397","FTI Accounting Services Limited","Credit Control For Suppliers",2010,"€ 154.80",60.00%,,,,,,,,,,,
1,"TAF/398","Malta Dairy Products Ltd","Online Marketing & Search Engine Optimization",2010,"€ 672.00",70.00%,,,,,,,,,,,
1,"TAF/399","Elektra Ltd","APEX  Leadership Driver",2010,"€ 694.40",80.00%,,,,,,,,,,,
1,"TAF/400","Design Solutions Limited","MSc Environmental Design and Engineering",2010,"€ 5,717.60",80.00%,,,,,,,,,,,
1,"TAF/402","Mahoney & Co","Employment Law",2010,"€ 163.80",45.00%,,,,,,,,,,,
1,"TAF/403","FGL Group Services Ltd","HP BL860c/BL70c c-Class BladeSystem Solutions 1",2010,"€ 1,081.04",70.00%,,,,,,,,,,,
1,"TAF/404","Computime Limited","The Psychology of Authority and Discipline",2010,"€ 288.00",70.00%,,,,,,,,,,,
1,"TAF/405","Computime Software Int Ltd","The Psychology of Authority and Discipline",2010,"€ 48.00",70.00%,,,,,,,,,,,
1,"TAF/406","Methode Electronics (Hetronics Division) Malta Ltd","Plant, Utilities, Disposals and H & S",2010,"€ 179.81",25.00%,,,,,,,,,,,
1,"TAF/407","Methode Electronics (Hetronics Division) Malta Ltd","TX - WP3",2010,"€ 113.07",25.00%,,,,,,,,,,,
1,"TAF/409","Methode Electronics (Hetronics Division) Malta Ltd","HOCC - Wire Preparation",2010,"€ 98.24",25.00%,,,,,,,,,,,
1,"TAF/410","Atlas Insurance PCC Ltd","Mater of Arts in Financial Services",2010,"€ 1,915.90",70.00%,,,,,,,,,,,
1,"TAF/411","Island Hotels Group Ltd","Employment Law Training",2010,"€ 134.90",60.00%,,,,,,,,,,,
1,"TAF/412","First Gemini plc","Master of Science in Marketing",2010,"€ 4,404.00",80.00%,,,,,,,,,,,
1,"TAF/413","Design Solutions Limited","MSE General Structural Engineering",2010,"€ 9,644.80",80.00%,,,,,,,,,,,
1,"TAF/414","Exco Services Limited","Company Law Course",2010,"€ 236.80",80.00%,,,,,,,,,,,
1,"TAF/415","Care Malta Limited","Dementia Course",2010,"€ 1,504.43",60.00%,,,,,,,,,,,
1,"TAF/416","PJ Sutters (Marketing) Ltd","Sales and Negotiation Skills",2010,"€ 2,343.31",80.00%,,,,,,,,,,,
1,"TAF/417","Lewis Press Ltd","Diploma in Manafacturing Excellance",2010,"€ 2,056.00",80.00%,,,,,,,,,,,
1,"TAF/418","Actavis Limited","Human Resources Development Conference 2009",2010,"€ 213.00",60.00%,,,,,,,,,,,
1,"TAF/419","Actavis Limited","Training in Microbiology",2010,"€ 210.00",25.00%,,,,,,,,,,,
1,"TAF/421","FGL Group Services Ltd","Implementing HP Storage Works Enterprise EVA",2010,"€ 815.71",70.00%,,,,,,,,,,,
1,"TAF/423","D Consulta Ltd","Train the Trainer",2010,"€ 1,462.88",80.00%,,,,,,,,,,,
1,"TAF/424","FGL Group Services Ltd","CCNA Exploration",2010,"€ 2,019.02",70.00%,,,,,,,,,,,
1,"TAF/425","FGL Group Services Ltd","HP Storage Essentials SRM Standard",2010,"€ 1,040.73",70.00%,,,,,,,,,,,
1,"TAF/426","Combino Pharm (Malta) Ltd","Ergonomics in the Workplace",2010,"€ 608.00",80.00%,,,,,,,,,,,
1,"TAF/427","Microtek Medical Malta Ltd","CILT (UK) Diploma in Logistics Management",2010,"€ 1,420.80",60.00%,,,,,,,,,,,
1,"TAF/428","CCA Interserv Ltd","ACCA F6 Taxation",2010,"€ 900.00",80.00%,,,,,,,,,,,
1,"TAF/429","Alert Communications Limited","Prince 2",2010,"€ 2,804.69",80.00%,,,,,,,,,,,
1,"TAF/430","Aspider Solutions Networks Ltd","CCNA Security Course",2010,"€ 1,108.40",80.00%,,,,,,,,,,,
1,"TAF/432","Rizzo, Farrugia & Company Stockbrokers Ltd","Online Marketing & Search Engine Optimization",2010,"€ 1,680.77",80.00%,,,,,,,,,,,
1,"TAF/434","Ms Cheryl Williams","Train the Trainer",2010,"€ 736.00",80.00%,,,,,,,,,,,
1,"TAF/435","Al-Nibras For Science & Technology Limited","FTIR New Hire Class Syllabus",2010,"€ 788.88",45.00%,,,,,,,,,,,
1,"TAF/436","BPO Services Ltd","Prince 2 Foundation & Practitioner Course",2010,"€ 973.93",60.00%,,,,,,,,,,,
1,"TAF/437","CCA Interserv Ltd","ACCA P3 Business Analysis",2010,"€ 320.00",80.00%,,,,,,,,,,,
1,"TAF/438","Playmobil Malta Ltd","Internal Auditing Course",2010,"€ 201.60",60.00%,,,,,,,,,,,
1,"TAF/439","Shireburn Software Limited","Train the Trainer",2010,"€ 164.00",80.00%,,,,,,,,,,,
1,"TAF/440","BT Fiduciaire Limited","People Management",2010,"€ 64.24",80.00%,,,,,,,,,,,
1,"TAF/441","Gozo Express Services Limited","Train the Trainer",2010,"€ 398.12",80.00%,,,,,,,,,,,
1,"TAF/442","Malta Dairy Products Ltd","Forklift Operator",2010,"€ 1,041.88",70.00%,,,,,,,,,,,
1,"TAF/444","Bavarian Technology Systems","Basic Welding",2010,"€ 101.50",70.00%,,,,,,,,,,,
1,"TAF/445","Atlas Insurance PCC Ltd","Workers' Health and Safety Representative",2010,"€ 378.00",70.00%,,,,,,,,,,,
1,"TAF/446","FGL Group Services Ltd","Implementing HP Proliant ML/DL Servers",2010,"€ 1,563.10",70.00%,,,,,,,,,,,
1,"TAF/447","Carlo Gavazzi Ltd","Employment Law Course",2010,"€ 203.94",60.00%,,,,,,,,,,,
1,"TAF/449","FGL Group Services Ltd","HP Intergrity Entry Level Server",2010,"€ 1,386.00",70.00%,,,,,,,,,,,
1,"TAF/450","Ernst & Young","ACCA P1 - Professional Accountant",2010,"€ 101.69",60.00%,,,,,,,,,,,
1,"TAF/451","Supermarkets (1960) Ltd","Online Marketing & Search Engine Optimization",2010,"€ 720.66",70.00%,,,,,,,,,,,
1,"TAF/452","Camilleri Holdings Ltd","Online Marketing & Search Engine Optimization",2010,"€ 880.00",80.00%,,,,,,,,,,,
1,"TAF/453","Computime Limited","Business Environmental and Accounts",2010,"€ 280.00",70.00%,,,,,,,,,,,
1,"TAF/454","Atlas Insurance PCC Ltd","MCSA (Microsoft Certified System Administrator",2010,"€ 1,480.50",70.00%,,,,,,,,,,,
1,"TAF/458","Malta Dairy Products Ltd","Equal Skills",2010,"€ 99.75",70.00%,,,,,,,,,,,
1,"TAF/459","Lufthansa Technik Malta","Engine Borescope Inspection",2010,"€ 1,072.50",25.00%,,,,,,,,,,,
1,"TAF/460","Malta Dairy Products Ltd","Team Building",2010,"€ 472.11",70.00%,,,,,,,,,,,
1,"TAF/461","St James Hospital","Supervisory Management",2010,"€ 415.58",60.00%,,,,,,,,,,,
1,"TAF/462","Gasan Enterprises Management Limited ","Internal Auditing  ",2010,"€ 300.00",500.00%,,,,,,,,,,,
1,"TAF/465","Sepco Ltd","Effective Warehouse Management",2010,"€ 198.90",45.00%,,,,,,,,,,,
1,"TAF/468","Market Intelligence Services Company Limited","Certificate in Recruitment Practice",2010,"€ 967.74",80.00%,,,,,,,,,,,
1,"TAF/469","St Martin's Institute of I.T","Doctor of Business Administration",2010,"€ 4,084.93",80.00%,,,,,,,,,,,
1,"TAF/470","Dragonara Resort Limited","First Aid Course",2010,"€ 554.40",60.00%,,,,,,,,,,,
1,"TAF/471","Care Malta Limited","City & Guilds IVQ Specialist Diploma in Health Care",2010,"€ 4,496.63",60.00%,,,,,,,,,,,
1,"TAF/472","St James Hospital","Compucare Hospital Information System Training",2010,"€ 536.46",25.00%,,,,,,,,,,,
1,"TAF/473","Atlas Insurance PCC Ltd","Certificate in Business Intelligence",2010,"€ 3,364.74",70.00%,,,,,,,,,,,
1,"TAF/479","St James Hospital","Compucare Hospital Information System Training",2010,"€ 2,154.24",25.00%,,,,,,,,,,,
1,"TAF/480","Multigas Ltd","Employment Law",2010,"€ 322.17",80.00%,,,,,,,,,,,
