"No of Agreements","Project Ref. No.","Name of Beneficiaries","Name of Operation","Year of Allocation","Amounts Committed","Co-financing Rate [European Social Fund]",,,,,,,,,,,
1,"TAF/052","Tuning Fork Ltd","Lead Auditor Course",2009,"€ 1,111.04",80.00%,,,,,,,,,,,
1,"TAF/053","Konnekt Limited","Certificate in Recruitment Practice",2009,"€ 1,018.53",80.00%,,,,,,,,,,,
1,"TAF/056","Piltz Limited","CIEH - Risk Assessment Principles and Practice",2009,"€ 256.54",80.00%,,,,,,,,,,,
1,"TAF/059","Actavis Ltd","Drug Product Stability & Shelf Life",2009,"€ 1,595.20",60.00%,,,,,,,,,,,
1,"TAF/060","Galea Curmi Engineering Services Ltd","Assessors Course for Energy Performance ",2009,"€ 768.77",70.00%,,,,,,,,,,,
1,"TAF/061","Gutenberg Press Ltd","Print Room Personnel",2009,"€ 1,827.84",70.00%,,,,,,,,,,,
1,"TAF/062","Gutenberg Press Ltd","Heidelberg DWS-Image Control",2009,"€ 1,079.12",70.00%,,,,,,,,,,,
1,"TAF/063","Gutenberg Press Ltd","Application of Heidelberg I.C.S",2009,"€ 2,021.88",70.00%,,,,,,,,,,,
1,"TAF/064","Gutenberg Press Ltd","Application of Heidelberg Pre Press Interface",2009,"€ 1,218.00",70.00%,,,,,,,,,,,
1,"TAF/065","World Aviation Group","Train  the  Trainer",2009,"€ 63.30",70.00%,,,,,,,,,,,
1,"TAF/066","Galea Curmi Engineering Services Ltd","Assessor's Course for Energy Performance of Buildings",2009,"€ 736.66 ",70.00%,,,,,,,,,,,
1,"TAF/067","CentreCom Ltd.","Train the Trainer ",2009,"€ 189.90",70.00%,,,,,,,,,,,
1,"TAF/068","Jani Ltd","HIS Level 2: H&S at the Workplace",2009,581.81,80.00%,,,,,,,,,,,
1,"TAF/069","Actavis Ltd","PSE Colorcon Formulation School 2009",2009,"€ 970.20",60.00%,,,,,,,,,,,
1,"TAF/070","TUV Malta Ltd","Final Insperation of Lifts",2009,"€ 8,000.00",60.00%,,,,,,,,,,,
1,"TAF/071","Methode","Test Equipment 1",2009,"€ 449.33",60.00%,,,,,,,,,,,
1,"TAF/072","Actavis Ltd","Course Excel Advanced Group 3",2009,"€ 720.00",60.00%,,,,,,,,,,,
1,"TAF/073","Actavis Ltd","Excel Advanced Group 1",2009,"€ 970.20",60.00%,,,,,,,,,,,
1,"TAF/074","Methode (Electronics) Malta Ltd","Methode EPM Proficiency Training",2009,"€ 1,643.92",60.00%,,,,,,,,,,,
1,"TAF/075","Waldorf Auto Services Co. Ltd","H & S Manual Handling",2009,"€ 258.40",80.00%,,,,,,,,,,,
