Toetuse saaja,Registrikood,Juriidilise isiku vorm,Projekti nimi,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,RakendusŸksus,Programmperiood
Rakke Vallavalitsus ,75025064,Kohaliku omavalituseŸksused ,Rakvere UssimŠe prŸgila sulgemine ,26 526 213 ,19.06.2009 ...  ,LŠŠne-Viru maakond ,2.1.2 N›uetele mittevastavate tavajŠŠtmeprŸgilate sulgemine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Rakke Valla Kommunaalasutus ,75010003,Kohaliku omavalituseŸksused ,Rakke prŸgila sulgemine ,3 120 236 ,19.06.2009 ... 30.12.2009 ,LŠŠne-Viru maakond ,2.1.2 N›uetele mittevastavate tavajŠŠtmeprŸgilate sulgemine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
P›ltsamaa Varahalduse O† ,75010016,Kohaliku omavalituseŸksused ,Rakke vallaŸhisveevŠrgi ja kanalisatsioonisŸsteemide rekonstrueerimine ,18 244 231 ,18.11.2009 ...  ,LŠŠne-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
P›ltsamaa Vallavara O† ,1098518,OsaŸhing ,P›ltsamaa linna ning selle lŠhiŸmbruse ŸhisveevŠrgi ja kanalisatsioonisŸsteemide rekonstrueerimine ja laiendamine ,91 952 990 ,18.12.2008 ...  ,J›geva maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Pandivere Vesi O† ,10291205,OsaŸhing ,"P›ltsamaa, Kolga-Jaani ja Pajusi valla ŸhisveevŠrgi ja kanalisatsioonisŸsteemide rekonstrueerimine ",74 630 884 ,27.11.2009 ...  ,Maakondade koostššprojekt ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Paldiski Linnahoolduse O† ,10054126,OsaŸhing ,VŠike-Maarja veemajandusprojekt ,37 053 996 ,23.12.2008 ...  ,LŠŠne-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Paikre O† ,10504753,OsaŸhing ,Paldiski linnaŸhisveevarustuse ja -kanalisatsiooni parendamise projekt ,60 395 099 ,26.02.2009 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Paide Vesi AS ,10836969,OsaŸhing ,PŠrnu RŠŠma prŸgila sulgemine ,127 185 174 ,21.11.2008 ...  ,PŠrnu maakond ,2.1.2 N›uetele mittevastavate tavajŠŠtmeprŸgilate sulgemine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Padise Vallavalitsus ,10464290,Aktsiaselts ,"Ambla, Imavere, Kareda, Koigi, Paide ja Roosna-Alliku valla ning Paide linnaŸhisveevŠrgi ja kanalisatsioonisŸsteemide rekonstrueerimine ",188 707 443 ,23.12.2009 ...  ,JŠrva maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
O† Velko AV ,75020167,Kohaliku omavalituseŸksused ,Tuudin›mme prŸgila sulgemine ,1 699 465 ,19.06.2009 ... 30.12.2009 ,Harju maakond ,2.1.2 N›uetele mittevastavate tavajŠŠtmeprŸgilate sulgemine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
O† Torma Soojus ,10348690,OsaŸhing ,Kehra reovee kogumisala veevarustuse ja kanalisatsioonisŸsteemide rekonstrueerimine ja laiendamine ,165 262 900 ,19.12.2008 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
O† Sindi Vesi ,10663316,OsaŸhing ,Torma ja Sadala alevikeŸhisveevŠrgi ja kanalisatsioonisŸsteemide rekonstrueerimine ,18 474 400 ,18.11.2009 ...  ,J›geva maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
O† Raven ,10356904,OsaŸhing ,Sindi linnaŸhisveevŠrgi ja kanalisatsioonisŸsteemi kaasajastamine ,123 058 275 ,22.01.2009 ...  ,PŠrnu maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
O† Loo Vesi ,10307716,OsaŸhing ,Raasiku valla veemajandusprojekt ,19 792 188 ,02.02.2010 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
O† Kose Vesi ,10451270,OsaŸhing ,J›elŠhtme valla Loo ja Iru asula Ÿhisveevarustus- ja kanalisatsioonisŸsteemi kaasajastamine ,43 283 642 ,18.12.2008 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
O† Kohila Maja ,10917886,OsaŸhing ,Kose valla Kose reoveekogumisala veemajandusprojekt ,95 185 528 ,11.02.2009 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
O† Kiili KVH ,10407814,OsaŸhing ,Kohila reoveekogumisala veemajandusprojekt ,142 763 895 ,23.12.2008 ...  ,Rapla maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
O† J›geva VeevŠrk ,10782274,OsaŸhing ,Kiili valla†htekuuluvusfondi veemajandusprojekt ,225 335 699 ,19.01.2009 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
O† Aseri Kommunaal ,11548949,OsaŸhing ,J›geva linna ja J›geva aleviku ŸhisveevŠrgi ja kanalisatsioonisŸsteemide rekonstrueerimine ja laiendamine: J›geva linn ,32 450 725 ,11.03.2009 ...  ,J›geva maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
OtepŠŠ VeevŠrk AS ,10294913,OsaŸhing ,Aseri reoveekogumisalaŸhisveevŠrgi ja -kanalisatsiooni ehitamise ja rekonstrueerimise projekt ,90 618 908 ,23.12.2008 ...  ,Ida-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
OsaŸhing Strantum ,10273845,Aktsiaselts ,OtepŠŠ linna veemajandusprojekt ,37 271 330 ,23.12.2008 ...  ,Valga maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
OsaŸhing J€RVE BIOPUHASTUS ,10731164,OsaŸhing ,Harku valla†htekuuluvusfondi veemajandusprojekt ,422 408 290 ,11.02.2009 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
N›o Vallavalitsus ,10854476,OsaŸhing ,Kohtla-JŠrve piirkonna veevarustussŸsteemide rekonstrueerimine ,480 735 855 ,12.03.2009 ...  ,Ida-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Maasi JŠŠtmehoolduse O† ,75007942,Kohaliku omavalituseŸksused ,Laguja prŸgila sulgemine II etapp ,4 292 352 ,08.01.2010 ...  ,Tartu maakond ,2.1.2 N›uetele mittevastavate tavajŠŠtmeprŸgilate sulgemine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Maanteeamet ,11103588,OsaŸhing ,Neemi prŸgila korrastamine ,441 000 ,22.12.2008 ... 14.12.2009 ,Saare maakond ,2.1.2 N›uetele mittevastavate tavajŠŠtmeprŸgilate sulgemine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Maanteeamet ,70001490,RiiklikudŸksused ,E263 Tallinn-Tartu-V›ru-Luhamaa p›himaantee Aruvalla-Kose teel›igu ja MŠo mššdas›idu projekteerimine ja ehitus ,1 356 100 000 ,10.08.2009 ...  ,†leriiklikud/maakondade vahelised projektid ,3.3.1 Transpordi infrastruktuuri arendamine (†F) ,CF ,Maanteeamet ,2007-2013 
Maanteeamet ,70001490,RiiklikudŸksused ,PŠrnu Ÿmbers›idu ehitus ,640 000 000 ,05.06.2009 ...  ,PŠrnu maakond ,3.3.1 Transpordi infrastruktuuri arendamine (†F) ,CF ,Maanteeamet ,2007-2013 
Maanteeamet ,70001490,RiiklikudŸksused ,VŠo-Maardu teel›igu ehitus ,1 120 000 000 ,05.06.2009 ...  ,Harju maakond ,3.3.1 Transpordi infrastruktuuri arendamine (†F) ,CF ,Maanteeamet ,2007-2013 
Laekvere Vallavalitsus ,70001490,RiiklikudŸksused ,Valgej›e-R›meda teel›igu ehitus ja remont ,579 840 318 ,29.07.2009 ...  ,Maakondade koostššprojekt ,3.3.1 Transpordi infrastruktuuri arendamine (†F) ,CF ,Maanteeamet ,2007-2013 
KŠina Vallavalitsus ,75010803,Kohaliku omavalituseŸksused ,Laekvere aleviku veevarustus- ja kanalisatsioonisŸsteemide rekonstrueerimine ,14 786 150 ,27.11.2009 ...  ,LŠŠne-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Kuremaa Enveko AS ,75011211,Kohaliku omavalituseŸksused ,KŠina prŸgila sulgemine ,1 118 692 ,21.11.2008 ...  ,Hiiu maakond ,2.1.2 N›uetele mittevastavate tavajŠŠtmeprŸgilate sulgemine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Kuremaa Enveko AS ,10320390,Aktsiaselts ,J›geva linna ja J›geva aleviku ŸhisveevŠrgi ja kanalisatsioonisŸsteemide rekonstrueerimine ja laiendamine: J›geva vald ,36 879 169 ,11.03.2009 ...  ,J›geva maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Koeru Kommunaal AS ,10320390,Aktsiaselts ,J›geva ja Puurmani valla ŸhisveevŠrgi ja kanalisatsioonisŸsteemide rekonstrueerimine ,56 817 010 ,27.11.2009 ...  ,J›geva maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Koeru Kommunaal AS ,10117967,Aktsiaselts ,Ervita ja Vao kŸlade ŸhisveevŠrgi ja kanalisatsioonisŸsteemide rekonstrueerimine ,14 249 688 ,02.12.2009 ...  ,JŠrva maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Keskkonnaministeeriumi Info- ja Tehnokeskus ,10117967,Aktsiaselts ,Koeru alevikuŸhisveevŠrgi ja kanalisatsioonisŸsteemide rekonstrueerimine ja laiendamine ,44 971 318 ,22.01.2009 ...  ,JŠrva maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Keskkonnaministeeriumi Info- ja Tehnokeskus ,70003112,RiiklikudŸksused ,Vooluveekogude seisundi parandamine ,78 020 000 ,21.12.2009 ...  ,†leriiklikud/maakondade vahelised projektid ,2.1.4 Vooluveekogude seisundi parandamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Keskkonnaministeerium ,70003112,RiiklikudŸksused ,JŠŠkreostuse likvideerimine endistel s›javŠe- ja tššstusaladel ,212 000 000 ,29.10.2009 ...  ,Maakondade koostššprojekt ,2.1.5 JŠŠkreostuse likvideerimine endistel s›javŠe- ja tššstusaladel ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Keskkonnaministeerium ,70001231,RiiklikudŸksused ,Kivi›li p›levkivitššstuse ohtlike jŠŠtmete keskkonnan›uetele ,99 978 432 ,15.06.2009 ...  ,Ida-Viru maakond ,2.1.3 P›levkivitššstuse n›uetele mittevastavate prŸgilate sulgemine ja korrastamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
JŠrva-Jaani Teenus O† ,70001231,RiiklikudŸksused ,Kohtla-JŠrve p›levkivitššstuse ohtlike jŠŠtmete keskkonnan›uetele ,373 195 664 ,15.06.2009 ...  ,Ida-Viru maakond ,2.1.3 P›levkivitššstuse n›uetele mittevastavate prŸgilate sulgemine ja korrastamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
,10492501,OsaŸhing ,JŠrva-Jaani alevi Ÿhisvee- ja kanalisatsiooniv›rgu rekonstrueerimise ja laiendamise projekt ,34 756 027 ,18.12.2008 ...  ,JŠrva maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Elektriraudtee AS ,10520953,Aktsiaselts ,Uue veeremi soetamine ,1 104 999 998 ,02.07.2009 ...  ,Harju maakond ,3.3.1 Transpordi infrastruktuuri arendamine (†F) ,CF ,Tehnilise JŠrelevalve Amet ,2007-2013 
AS Valga Vesi ,10210129,Aktsiaselts ,Valga maakonna veemajandusprojekt - Valga linn ,127 832 127 ,18.12.2008 ...  ,Valga maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Tartu VeevŠrk ,10151668,Aktsiaselts ,Tartu reoveepuhasti settekŠitluskompleksi rekonstrueerimise projekt ,75 546 529 ,28.12.2009 ...  ,Tartu maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Tapa Vesi ,10293718,Aktsiaselts ,Tapa linna reoveekogumisala veemajandusprojekt ,91 853 729 ,18.12.2008 ...  ,LŠŠne-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Tamsalu Vesi ,10245932,Aktsiaselts ,Tamsalu reovee kogumisala veemajandusprojekt ,61 779 833 ,19.01.2009 ...  ,LŠŠne-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Sauga Varahaldus ,10374262,Aktsiaselts ,Sauga valla Tammiste kŸla ŸhisveevŠrgi ja kanalisatsioonisŸsteemi kaasajastamine ,52 173 632 ,22.01.2009 ...  ,PŠrnu maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Saku Maja ,10344321,Aktsiaselts ,Saku alevikuŸhisveevŠrgi ja -kanalisatsiooni ehitamise ja rekonstrueerimise projekt ,179 558 578 ,22.01.2009 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Rakvere Vesi ,10268413,Aktsiaselts ,Rakvere linna reoveekogumisala veemajandusprojekt ,207 122 106 ,18.12.2008 ...  ,LŠŠne-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS PŠrnu Vesi ,10120395,Aktsiaselts ,"PŠrnu Kesklinna, †lej›e ja RŠŠma linnaosade ŸhisveevŠrgi ja -kanalisatsiooni rekonstrueerimine ja laiendamine ",262 226 274 ,18.12.2008 ...  ,PŠrnu maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Narva Vesi ,1036973,Aktsiaselts ,Narva veevarustus- ja kanalisatsioonisŸsteemide rekonstrueerimise projekt ,447 303 327 ,18.12.2008 ...  ,Ida-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Maardu Vesi ,10807888,Aktsiaselts ,Maardu linna veemajandusprojekt ,264 780 325 ,19.01.2009 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Kovek ,10395123,Aktsiaselts ,Saue valla Tallinna reoveekogumisalaŸhisveevŠrgi ja -kanalisatsiooni projekt ,89 918 134 ,18.12.2008 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Keila Vesi ,10221854,Aktsiaselts ,Keila linna reoveekogumisala veemajandusprojekt ,48 698 788 ,18.12.2008 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Kadrina Soojus ,10338177,Aktsiaselts ,Kadrina aleviku veevarustuse ja kanalisatsioonisŸsteemide rekonstrueerimine ,18 478 705 ,23.12.2008 ...  ,LŠŠne-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Haljala Soojus ,10247300,Aktsiaselts ,Haljala veemajandusprojekt ,55 652 874 ,18.12.2008 ...  ,LŠŠne-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS EVR Infra ,11575838,Aktsiaselts ,ReisiplatvormideŸleviimine eurok›rgusele ,120 895 383 ,02.04.2009 ...  ,Harju maakond ,3.3.1 Transpordi infrastruktuuri arendamine (†F) ,CF ,Tehnilise JŠrelevalve Amet ,2007-2013 
AS EVR Infra ,11575838,Aktsiaselts ,Raudtee rekonstrueerimine Rail Baltica trassil (Tallinna-Tartu l›ik) ,553 617 750 ,02.04.2009 ...  ,†leriiklikud/maakondade vahelised projektid ,3.3.1 Transpordi infrastruktuuri arendamine (†F) ,CF ,Tehnilise JŠrelevalve Amet ,2007-2013 
AS Emaj›e VeevŠrk ,11044696,Aktsiaselts ,Elva vee- ja kanalisatsioonisŸsteemide rekonstrueerimine II etapp ,91 847 371 ,11.03.2009 ...  ,Tartu maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
AS Elveso ,10096975,Aktsiaselts ,Rae valla Pirita j›e reoveekogumisala veemajandusprojekt ,157 339 793 ,23.12.2008 ...  ,Harju maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
aktsiaselts Suure-Jaani Haldus ,11351613,Aktsiaselts ,Suure-Jaani valla veemajandusprojekt ,61 842 925 ,12.02.2010 ...  ,Viljandi maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
