Toetuse saaja,Registrikood,Juriidilise isiku vorm,Projekti nimi,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,RakendusŸksus,Programmperiood
V›ru Vallavalitsus ,75001572,Kohaliku omavalituseŸksused ,VŠndra alevi Ÿhisvee- ja kanalisatsiooniv›rgu rekonstrueerimise ja laiendamise projekt ,72 956 489 ,19.01.2009 ...  ,PŠrnu maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Viljandi Linnavalitsus ,75021340,Kohaliku omavalituseŸksused ,RŠpo prŸgila sulgemine ,10 038 342 ,19.06.2009 ...  ,V›ru maakond ,2.1.2 N›uetele mittevastavate tavajŠŠtmeprŸgilate sulgemine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
TŸri Vallavalitsus ,75005222,Kohaliku omavalituseŸksused ,Viljandi tavaprŸgila sulgemine ,26 422 762 ,19.06.2009 ...  ,Viljandi maakond ,2.1.2 N›uetele mittevastavate tavajŠŠtmeprŸgilate sulgemine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
T›rva Linnahoolduse Asutus ,75033460,Kohaliku omavalituseŸksused ,TŸri linna Ÿhisvee- ja kanalisatsiooniv›rgu rekonstrueerimise ja laiendamise projekt ,107 376 869 ,19.01.2009 ...  ,JŠrva maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Tartu Linnavalitsus ,75005794,Kohaliku omavalituseŸksused ,Valga maakonna veemajandusprojekt - T›rva linn ,101 860 469 ,23.12.2008 ...  ,Valga maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Tallinna Sadam AS ,75006546,Kohaliku omavalituseŸksused ,Aardlapalu prŸgila sulgemine ,142 799 591 ,19.06.2009 ...  ,Tartu maakond ,2.1.2 N›uetele mittevastavate tavajŠŠtmeprŸgilate sulgemine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Tallinna Kommunaalamet ,10137319,Aktsiaselts ,Muuga sadamaŸhendusteed: idaosa ja tššstusparki Ÿhendava viadukti ning raudteejaama laienduse ja manššverpargi ehitamine ,201 000 000 ,31.08.2009 ...  ,Harju maakond ,3.3.1 Transpordi infrastruktuuri arendamine (†F) ,CF ,Veeteede Amet ,2007-2013 
SillamŠe-VeevŠrk AS ,75014913,RiiklikudŸksused ,†lemiste liikluss›lme rekonstrueerimine Tallinnas ,750 000 000 ,06.01.2010 ...  ,Harju maakond ,3.3.1 Transpordi infrastruktuuri arendamine (†F) ,CF ,Maanteeamet ,2007-2013 
Saarte Liinid AS ,10339515,Aktsiaselts ,SillamŠe linna veevarustus- ja kanalisatsioonisŸsteemide rekonstrueerimine ,182 128 559 ,18.12.2008 ...  ,Ida-Viru maakond ,2.1.1 Veemajanduse infrastruktuuri arendamine ,CF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Rakvere Linnavalitsus ,10216057,Aktsiaselts ,"Kuivastu, Virtsu, Heltermaa ja RohukŸla sadamate rekonstrueerimine ",451 200 000 ,15.10.2008 ...  ,Maakondade koostššprojekt ,3.3.1 Transpordi infrastruktuuri arendamine (†F) ,CF ,Veeteede Amet ,2007-2013 
