Toetuse saaja,,Juriidilise isiku vorm,Projekti nim,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,RakendusŸksus,
Tallinna TehnikaŸlikool,74000323,Muud,"Tallinna TehnikaŸlikooli ja Tartu †likooli Ÿhismagistri›ppekava ""Tuumaelektrijaamad""",3 764 595,30.06.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.2.4 K›rgkoolide koostšš ja innovatsiooni arendamine,ESF,Sihtasutus Archimedes,2007-2013
Tallinna TehnikaŸlikool,74000323,Muud,"Kvalifitseeritud tššj›u pakkumise suurendamine autode mŸŸgi-ja teenindusettev›tetele ning tehnoŸlevaatuspunktidele, lisaeesmŠrgiga ennetada tšštavate noorte ja vanemaealiste tšštajate tššturult vŠljalangemist",3 013 656,18.05.2009 ... ,Harju maakond,1.3.1 Kvalifitseeritud tššj›u pakkumise suurendamine,ESF,Sihtasutus INNOVE,2007-2013
Tallinna Spordi-ja Noorsooamet,75015195,Muud,Tallinna linna noorsootšštajate ja noorsootšš ametnike kommunikatsiooni- ja kvaliteedijuhtimise oskuste t›stmine,173 710,24.01.2010 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Tallinna Sadam AS,10137319,Aktsiaselts,ASi Tallinna Sadam tšš analŸŸsi lŠbiviimine,287 280,05.02.2009 ... 12.08.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tallinna Sadam AS,10137319,Aktsiaselts,ASi Tallinna Sadam tšštajate arendamine rahvusvahelistel erialakonverentsidel osalemise kaudu 2009. aasta I poolel,85 966,07.04.2009 ... 28.10.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tallinna Sadam AS,10137319,Aktsiaselts,ASi Tallinna Sadam tšštajate arendamine rahvusvahelistel erialakonverentsidel osalemise kaudu 2009. aasta II poolel,55 507,12.01.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
TALLINNA PUUETEGA INIMESTE KODA,80010550,MittetulundusŸhing,Tššotsija tššriistakast - abiks puudega inimesele ja puudega lapse vanemale,1 363 560,17.11.2009 ... ,Harju maakond,1.3.3 Tššlesaamist toetavad hoolekandemeetmed,ESF,Sihtasutus INNOVE,2007-2013
TALLINNA PUUETEGA INIMESTE KODA,80010550,MittetulundusŸhing,Puuetega inimeste arvuti›pe ja internetipunkt,2 065 148,27.04.2009 ... ,Harju maakond,1.3.1 Kvalifitseeritud tššj›u pakkumise suurendamine,ESF,Sihtasutus INNOVE,2007-2013
Tallinna Pedagoogiline Seminar,70004206,RiiklikudŸksused,Lapsehoidjate pilootprojekt,3 138 746,12.06.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.3.1 Kvalifitseeritud tššj›u pakkumise suurendamine,ESF,Sihtasutus INNOVE,2007-2013
Tallinna Lennujaam AS,10349560,Aktsiaselts,AS-i Tallinna Lennujaam juhtide arenguprogramm_I,51 515,16.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tallinna Lennujaam AS,10349560,Aktsiaselts,AS Tallinna Lennuajaam pŠdevuskoolitused_I,51 205,29.09.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tallinna Haridusamet,75014289,Kohaliku omavalituseŸksused,Tallinna Haridusameti ametnike juhtimis- ja n›ustamisalase professionaalsuse t›stmine,157 980,09.05.2008 ... 22.12.2008,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Tallinna Haridusamet,75014289,Kohaliku omavalituseŸksused,Tallinna Haridusameti hariduskorralduse teenistuse ametnike sta_eerimine Euroopa Liidu liikmesriikide hariduskorraldusasutuste juures,178 797,09.05.2008 ... 10.02.2009,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Tallinna Haridusamet,75014289,Kohaliku omavalituseŸksused,Tallinna Haridusameti allasutuste juhtide ja allasutuste kuraatorite juhtimisalase professionaalsuse t›stmine,467 089,24.01.2010 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Tallinna Farmaatsiatehase AS,10093221,Aktsiaselts,Tallinna Farmaatsiatehase AS-i m›jususe ja t›hususe t›stmine,30 000,02.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tallinna Ettev›tlusinkubaatorid SA,90009231,Sihtasutus,Asukas-ja eelinkubatsiooni ettev›tete arenguprogramm,65 444,13.11.2008 ... 26.03.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tallinna Ettev›tlusinkubaatorid SA,90009231,Sihtasutus,"Asukasettev›tete, alustavate ettev›tete ja koostššpartnerite arendusprogramm 2009",143 805,26.05.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tallinna Diagnostikakeskus AS,10890526,Aktsiaselts,AS Tallinna Diagnostikakeskuse tšštajate koolitamine uute innovatiivsete uurimismeetodite rakendamiseks ja tervishoiuteenuste kvaliteedi t›stmiseks,160 446,19.05.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tallinn Airport GH AS,11206785,Aktsiaselts,"Teeninduskvaliteedi taseme t›stmine Tallinna lennujaamas, II projekt",84 651,03.09.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tallinn Airport GH AS,11206785,Aktsiaselts,Teeninduskvaliteedi taseme t›stmine Tallinna lennujaamas,57 000,26.05.2009 ... 17.08.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Taimetoodangu Inspektsioon,70000071,RiiklikudŸksused,"Taimetoodangu Inspektsiooni ametnike sta_eerimine Poola Sordikatsetuse Uuringute Keskuses (The Research Centre for Cultivar Testing, lŸhendina COBORU)",85 574,21.11.2008 ... 17.12.2009,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Taimetoodangu Inspektsioon,70000071,RiiklikudŸksused,Taimetoodangu Inspektsiooni seemnevaldkonna ametnike sta_eerimine _otimaa P›llumajandusteaduste Agentuuri (Scottish Agricultural Science Agency) seemnete sertifitseerimise osakonna juures,188 666,28.01.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Taili Konsult O†,10873752,OsaŸhing,Siseaudit. Tase 1ÇProfessionaalne siseaudiitorÈ,9 800,10.09.2009 ... 10.12.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tahe Marine O†,11508210,OsaŸhing,Kanuude tootmise kŠivitamine Tartus,500 000,26.01.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tahe Kayaks O†,10235750,OsaŸhing,Tahe kayaks juhtimissŸsteemi vŠljatšštaine ja juurutamine ning juhtkonna ja tššliste koolitamine protsessijuhtimise kontseptsiooni edukaks rakendamiseks,235 500,01.09.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Tafrix O†,10497964,OsaŸhing,OHSAS 18001: 1999 Tšštervishoiu ja tššohutuse juhtimissŸsteemi vŠljatšštamine ja rakendamine,49 500,14.01.2010 ... ,JŠrva maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Taavi Pirk FIE,11497475,FŸŸsilisest isikust ettev›tja,Aktiivne ja atraktiivne puhkus Peipsi jŠrvel,50 000,15.07.2008 ... 12.12.2008,J›geva maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Taastusravikeskus Estonia AS,10275471,Aktsiaselts,'TRK Estonia turundusstrateegia',49 500,25.06.2009 ... 07.09.2009,PŠrnu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Taalri Varahaldus AS,10238323,Aktsiaselts,Teedeinseneride kompetentsi t›stmine lŠbi teehoiutššde jŠrelevalve koolituse,15 000,27.11.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Taali Mesila O†,11436278,OsaŸhing,…komee p›hised tooted turule,50 000,17.02.2009 ... 29.12.2009,LŠŠne-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
T.M.DWELLING O†,10881295,OsaŸhing,"Saavutama›ppimine. Tulude, kulude, rahakŠibe ja investeeringute juhtimine, eelarvestamine ja analŸŸs (mittefinants) juhile",15 000,05.11.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
T. Raudsepp O†,10023864,OsaŸhing,Finantsarvestuse kvaliteedi t›stmine,7 872,15.09.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
T-Tammer O†,10394201,OsaŸhing,Ettev›tte juhtimisprotsesside t›hustamine,37 200,21.04.2009 ... 07.08.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
T-Model O†,11270607,OsaŸhing,AutoCAD 2010 ja Civil 3D tŠiendkoolitus,14 950,28.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Zoroaster O†,11001126,OsaŸhing,"ISO 9001:2008, ISO14001:2004 ja OHSAS 18001:2007 standarditele vastava integreeritud juhtimissŸsteemi rakendamine ja juurutamine",59 075,13.08.2009 ... ,Ida-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Zoovetvaru O†,10498372,OsaŸhing,"Veterinaarravimite registreerimine (n›uded dokumentatsioonile, dokumentatsiooni ettevalmistamine, kliiniliste ja keemiliste uuringute lŠbiviimine), mŸŸgilubade hoidmine, ravimiohutuse sŸsteemi loomin",30 988,06.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Zoovetvaru O†,10498372,OsaŸhing,MŸŸgiesindajate mŸŸgioskuste t›stmine,15 000,29.09.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
ZIZI&YOYO O†,11077158,OsaŸhing,O† Zizi&Yoyo veebidisaini programmeerimise tarkvara kasutamise tŠiendkoolitus,15 000,08.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Zev Motors oŸ,11399548,OsaŸhing,"Akutoitega elektriajamiga vŠikes›iduki vŠljaarendamise ja hoolduse p›hivahendite hange, disainilahenduse vŠljatšštamine ja s›idukite vastavushindamine",200 000,18.08.2009 ... ,Rapla maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Z-Module O†,11656229,OsaŸhing,Puitmoodulite tootmist kŠivitavale ja arendavale ettev›ttele tŠiendava p›hivara soetamine,100 000,05.02.2010 ... ,LŠŠne-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
_urf O†,11540366,OsaŸhing,Salvkaevud,50 000,07.04.2009 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sysmatic O†,11400151,OsaŸhing,Sysmatic O† raamatupidaja tŠiendkoolitus,15 000,24.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
S†G Sihtasutus,90004556,Sihtasutus,Saaremaa Teadus- ja Huvikooli loomine,1 790 000,18.09.2009 ... ,†leriiklikud/maakondade vahelised projektid,"1.1.7 Kooli poolelijŠtmise vŠhendamine, haridusele juurdepŠŠsu suurendamine ning ›ppe kvaliteedi parandamine",ESF,Sihtasutus INNOVE,2007-2013
Sššdi Talu O†,11652314,OsaŸhing,Sššdi Talu O†,9 700,24.11.2009 ... ,Viljandi maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SŠŠstvad Ehituslahendused O†,11358064,OsaŸhing,SE tŠiendkoolituse projekt,42 999,11.12.2008 ... 07.09.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
S››rikumeistrid O†,11653596,OsaŸhing,€riplaan s››rikupunkti avamiseks. S››rikute valmistamise masina soetamine,50 000,04.08.2009 ... 27.08.2009,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
S››rikumeistrid O†,11653596,OsaŸhing,"€riplaan S››rikumeistrid O† kasvuks, S››rikutevalmistamise punkti arendamiseks ja Nestle jŠŠtisekohvikute avamiseks",493 449,02.02.2010 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
S›na ja Tegu O†,10949099,OsaŸhing,Siseaudiitorite koolitus,11 760,15.09.2009 ... 19.11.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Swemit O†,11013320,OsaŸhing,Projekti- ja hankejuhtimisteenuste oskuslik pakkumine eesmŠrgiga kaasata kliendiportfelli uusi ja maksuj›ulisis kliente,9 900,06.10.2009 ... 21.01.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Swedoil O†,11571800,OsaŸhing,Tegevusloa taotlemine,3 500,30.12.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Swedest Motel Group AS,10056444,Aktsiaselts,Roosta PuhkekŸla arendamine Roosta Konverentsi- ja PuhkekŸlaks,59 500,26.08.2008 ... 18.03.2009,LŠŠne maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Svetlana Belgoray FIE,11759490,FŸŸsilisest isikust ettev›tja,Kvalifikatsiooni t›stmine raamatupidajale,3 100,28.12.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sverresson O†,11260520,OsaŸhing,Personali kompententsi t›stmine Sverresson O†.s,15 000,22.09.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Svarmil AS,10032567,Aktsiaselts,JuhtimissŸsteemi juurutamine,49 800,26.11.2009 ... ,Ida-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SV-Heisi O†,11436982,OsaŸhing,Siseaudit Tase 1 'Professionaalne siseaudiitor',11 760,10.09.2009 ... 03.12.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SV Teenindus O†,11369091,OsaŸhing,Osalemine kursustel,15 000,03.09.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Suwem AS,10081904,Aktsiaselts,AS Suwem arendusstrateegia koostamine,63 000,16.10.2008 ... 09.02.2010,P›lva maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Suuvere O†,11538056,OsaŸhing,P›hivara soetamine pottsepatššde teostamiseks,43 829,24.03.2009 ... 15.02.2010,P›lva maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Suurmets O†,11500473,OsaŸhing,Kosmeetikas kasutatava multifunktsionaalse nŠohoolduse aparaadi soetamine,50 000,21.07.2009 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Suure-Jaani Vallavalitsus,75033448,Kohaliku omavalituseŸksused,Arenguprogramm juhtimis- ja koostššv›imekuse t›stmiseks Suure-Jaani Vallavalitsuses,138 864,09.05.2008 ... 04.02.2009,Viljandi maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Sushi Pro O†,11690545,OsaŸhing,JaapanipŠrase restorani Sushihouse avamine,100 000,20.01.2010 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SUPPORT XXL O†,10764796,OsaŸhing,Elektriprojekteerimise ja elektrikŠidu alased koolitused,6 723,02.11.2009 ... ,Viljandi maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sunorek AS,10042896,Aktsiaselts,Sunoreki arenguprogramm 2008,284 125,16.04.2009 ... 16.02.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sunny Turundus O†,11549545,OsaŸhing,Juhtimisoskuste arendamise programm,14 760,08.01.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sunny IT Teenused O†,10811538,OsaŸhing,Kliendisuhete arendamine professionaalse mŸŸgitegevuse kaudu,12 420,04.01.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sun Timber O†,10482784,OsaŸhing,Trendgardens kaubamŠrgi toodete arendus ja tarnimine kogu Euroopa aiakeskustesse,25 000,05.11.2009 ... 16.02.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sukeldumisklubi O†,11407437,OsaŸhing,IANTD tehnilise sukeldumise koolitus,94 400,24.09.2009 ... 14.10.2009,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Submit O†,11079370,OsaŸhing,Holistic Therapy Institute O† enesearengukoolitus 'Holistiline treening' Pille Kannistole,15 000,17.12.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Struktuur Varahaldus O†,11580101,OsaŸhing,O† Struktuur Varahaldus mŸŸgitegevuse ja kliendisuhete juhtimise arendus,12 800,12.10.2009 ... 15.02.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Striimer O†,11460294,OsaŸhing,O† Striimer laienemise projekt,50 000,06.05.2008 ... ,JŠrva maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Stivberg O†,10507295,OsaŸhing,Ostu- ja planeerimisvaldkondade konsultatsioonid,15 000,08.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Stilnex Trade O†,11680742,OsaŸhing,Mobiilse kiirtoidu teenuse pakkumine ja arendamine,100 000,20.10.2009 ... ,Ida-Viru maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Stik-Elekter AS,10312717,Aktsiaselts,Insenertehnilise resursi arendusprojekt,15 000,01.10.2009 ... 04.02.2010,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Stenelt O†,11652272,OsaŸhing,Michell ilusalongi protseduuritšškoha soetamine ja kodulehe valmistamine,50 000,29.07.2009 ... 02.11.2009,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Stella Borealis O†,11556172,OsaŸhing,Koolitus 'N›uandlik mŸŸk',9 900,11.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Steelroof Plekikoda O†,11469208,OsaŸhing,Metallitšštlusettev›tte tootmisliku p›hivara soetamine,177 932,05.08.2008 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Steelman O†,10725023,OsaŸhing,JuhtimissŸsteemi juurutamine,49 500,20.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Statistikaamet,70000332,RiiklikudŸksused,Statistikaameti juhtide ja spetsialistide sta_eerimine Soome Statistikaameti juures,77 928,28.01.2010 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Statistikaamet,70000332,RiiklikudŸksused,"SŠŠstev Eesti 21 nŠitajate metoodiliste lehtede koostamine ja arengu visualiseerimine jŠtkusuutlikkuse nŠidikulaua abil - riigi, maakonna ja kohaliku omavalitsuse tasandil",412 000,16.10.2008 ... 15.02.2010,Harju maakond,1.5.1 Avaliku sektori asutuste ja mittetulundusŸhingute strateegilise juhtimise t›stmine,ESF,Riigikantselei,2007-2013
Statistikaamet,70000332,RiiklikudŸksused,VŠŠrtuste juurutamine Statistikaametis: vŠŠrtusp›hine juhtimine ja vŠŠrtuspŠev,380 137,26.11.2008 ... 03.08.2009,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Statistikaamet,70000332,RiiklikudŸksused,Muutuste juhtimine Statistikaametis lŠhtudes Statistikaameti vŠŠrtustest ja strateegiast,76 823,24.01.2010 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Statistikaamet,70000332,RiiklikudŸksused,Statistikaameti protsessijuhtimise tššgrupi sta_eerimine Itaalia Piedmonte maakonna statistikaorganisatsiooni CSI-Piedmonte juures,251 461,09.05.2008 ... 04.11.2008,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Starman AS,10069659,Aktsiaselts,Starman teenindusdivisjoni v›tmeisikute koostšštreening,49 450,30.04.2009 ... 29.12.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Starman AS,10069659,Aktsiaselts,Starman teenindusdivisjoni koostšškoolitus,90 000,21.05.2009 ... 06.08.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Standoor Eesti O†,10542512,OsaŸhing,EBS Juhtimiskoolituse Keskuse poolt korraldatav kursus ' Finantsid mittefinantsistile',15 000,01.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Stako Diler O†,10160503,OsaŸhing,KvaliteedijuhtimissŸsteemi vŠljatšštamine ja juurutamine ISO 9001:2008 standardi baasil,84 600,10.12.2009 ... ,Ida-Viru maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
STAGECRAFT MANAGEMENT O†,11767472,OsaŸhing,PÍHIVARA (ÍMBLUST……KOJA SISSESEADE) SOETAMINE,100 000,31.12.2009 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SRC Laevateenindus O†,10819238,OsaŸhing,SRC Laevateenindus turundusstrateegia ja turu-uuringu lŠbiviimine,35 000,07.05.2009 ... 03.09.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SRC Group AS,10705931,Aktsiaselts,SRC Group AS-i eksporditurgude analŸŸsimine ja ettev›tte senise ekspordistrateegia kaasajastamine,25 000,08.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
SPS Grupp O†,11394806,OsaŸhing,Eristuv mŸŸk,10 470,12.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Spero Meliora O†,11100710,OsaŸhing,Giiditššalane Eesti turismimarsruute tutvustav enesearendamine,14 830,28.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Space Productions O†,11549924,OsaŸhing,O† Space Productions p›hivara tŠiendamine,100 000,17.12.2009 ... ,Harju maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Sotsiaalministeerium,70001952x,RiiklikudŸksused,Sotsiaalministeerium Inimres. OP TA 2008,96 000,21.04.2008 ... 03.03.2009,†leriiklikud/maakondade vahelised projektid,1.6.1 Tehniline abi,ESF,Rahandusministeerium,2007-2013
