Toetuse saaja,Registrikood,Juriidilise isiku vorm,Projekti nimi,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,Rakendusüksus,Programmperiood
Võrumaa Tehnoloogiainkubaator MTÜ ,80240942,Mittetulundusühing ,Kagu-Eesti Puiduklastri väljaarendamine ,299 000 ,01.12.2009 ...  ,Võru maakond ,3.1.15 Klastrite arendamise toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Võrumaa Kutsehariduskeskus ,70005542,Muud ,Puidutöötlemise tehnoloogia ja tootearenduse kompetentsikeskus ,0,28.01.2010 ...  ,Võru maakond ,2.4.5 Kompetentsikeskuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Võrumaa Kutsehariduskeskus ,70005542,Muud ,"Võrumaa Kutsehariduskeskuse tehnomaja-laboratooriumi õppebaasi osaline rekonstrueerimine, puidu- ja metallitöökodade juurdeehitus, tehnomaja-laboratooriumi terve kompleksi sisustamine õppevahendite ja -seadmetega ",90 000 000 ,18.11.2008 ...  ,Võru maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Võru Vallavalitsus ,75021340,Kohaliku omavalituseüksused ,Parksepa Keskkooli renoveerimine ,13 797 312 ,27.02.2009 ...  ,Võru maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Võru Soojus AS ,10351812,Aktsiaselts ,Võru kaugküttevõrgu rekonstrueerimine Vabaduse-Vilja tn piirkonnas ,8 000 000 ,16.11.2009 ...  ,Võru maakond ,2.3.4 Taastuvenergiaallikate laialdasem kasutamine energia tootmiseks ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Võru Linnavalitsus ,75019980,Kohaliku omavalituseüksused ,Võru Laste- ja Pereabikeskuse renoveerimine ja keskuse töö käivitamine ,3 481 538 ,21.04.2009 ...  ,Võru maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Võru Linnavalitsus ,75019980,Kohaliku omavalituseüksused ,Võru Muusikakooli hoone rekonstrueerimine ,4 989 037 ,30.09.2009 ...  ,Võru maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Võru Linnavalitsus ,75019980,Kohaliku omavalituseüksused ,Võrusoo piirkonnas ettevõtluse arendamiseks vajaliku tugiinfrastruktuuri arendamine (Jaama ja Pika tänava rekonstrueerimine) ,11 746 204 ,05.03.2009 ...  ,Võru maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Võru Linnavalitsus ,75019980,Kohaliku omavalituseüksused ,Võru Linnavalitsuse ja hallatavate asutuste ühise dokumendihaldussüsteemi loomine ,411 623 ,28.07.2009 ...  ,Võru maakond ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Võru Linnavalitsus ,75019980,Kohaliku omavalituseüksused ,Tamula rannapromenaadi väljaarendamine ,13 898 126 ,30.09.2008 ...  ,Võru maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Võrtsjärve SA ,90001813,Sihtasutus ,Võrtsjärve Väravate väljaarendamine - II etapp ,13 679 138 ,12.09.2008 ...  ,Tartu maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Võnnu Vallavalitsus ,75010140,Kohaliku omavalituseüksused ,Võnnu kultuurimaja rekonstrueerimine ,4 682 285 ,30.04.2009 ... 02.12.2009 ,Tartu maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Võhma Linnavalitsus ,75022580,Kohaliku omavalituseüksused ,Võhma Gümnaasiumi spordikompleksi rekonstrueerimine ,5 000 000 ,02.09.2009 ...  ,Viljandi maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Volume Design OÜ ,10463528,Osaühing ,Volume Design OÜ ekspordiplaani elluviimine ,2 212 096 ,02.02.2010 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Volta AS ,10175210,Aktsiaselts ,VoltaLumen tootemärgi innoveerimine ,49 700 ,15.09.2009 ... 13.11.2009 ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
