Toetuse saaja,Registrikood,Juriidilise isiku vorm,Projekti nimi,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,Rakendusüksus,Programmperiood
Rapla Spordirajatised SA ,90005047,Sihtasutus ,Rapla Vesiroosi Spordihoone ehitamine ,25 516 960 ,12.12.2008 ...  ,Rapla maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Rapla Maavalitsus ,7002880,Riiklikudüksused ,Raplamaa Karjääri- ja nõustamiskeskuse loomine ja võrgustiku arendamine(keskuse ruumide renoveerimine ja laiendamine) ,2 830 000 ,24.08.2009 ...  ,Rapla maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Rantelon OÜ ,10496551,Osaühing ,OÜ Rantelon tootmisseadmete ja immateriaalse põhivara soetamine ,462 048 ,29.07.2009 ... 28.12.2009 ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Rantelon OÜ ,10496551,Osaühing ,Piiratud levialas RF teenuste edastamise parandamise uued tehnoloogiad - rakendusuuring ,9 681 456 ,26.05.2009 ...  ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Rakvere Loomakliinik OÜ ,11234712,Osaühing ,Rahvusvahelise biotehnoloogia projekti rakendusuuringut ettevalmistav eeluuring ,280 000 ,06.01.2009 ... 07.04.2009 ,Lääne-Viru maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Rakvere Linnavalitsus ,75025064,Kohaliku omavalituseüksused ,Rakvere Muusikakooliõppehoone rekonstrueerimine ,6 857 587 ,12.02.2009 ...  ,Lääne-Viru maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Rakvere Ametikool ,70003840,Riiklikudüksused ,Praktikabaasõppehoones ja töökoja hoone ning ruumid täiendõppele ,30 660 897 ,16.12.2008 ...  ,Lääne-Viru maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Rajame Solutions OÜ ,11301163,Osaühing ,Kolm veeäravoolu lahendust ,50 000 ,16.06.2009 ... 07.10.2009 ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Rahvusarhiiv ,70001946,Riiklikudüksused ,Rahvusarhiivi digitaalarhiivi dokumentide vastuvõtmise infosüsteem ,7 000 000 ,01.09.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.3 Infoühiskonna edendamine investeeringute kavade kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Rahandusministeerium ,70000272,Riiklikudüksused ,Rahandusministeerium 2009 HTA ,20 932 734 ,05.02.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,4.1.1 Horisontaalne tehniline abi (arvestuslik) ,ERDF ,Rahandusministeerium ,2007-2013 
Rahandusministeerium ,70000272,Riiklikudüksused ,Rahandusministeerium HOR TA ,2 558 500 ,22.11.2007 ... 14.02.2008 ,Üleriiklikud/maakondade vahelised projektid ,4.1.1 Horisontaalne tehniline abi (arvestuslik) ,ERDF ,Rahandusministeerium ,2007-2013 
Rahandusministeerium ,70000272,Riiklikudüksused ,Rahandusministeerium 2010 HTA ,21 862 076 ,13.01.2010 ...  ,Üleriiklikud/maakondade vahelised projektid ,4.1.1 Horisontaalne tehniline abi (arvestuslik) ,ERDF ,Rahandusministeerium ,2007-2013 
Rahandusministeerium ,70000272,Riiklikudüksused ,E-riigihangete keskkonna arendamine ,7 804 500 ,04.12.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.3 Infoühiskonna edendamine investeeringute kavade kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Rahandusministeerium ,70000272,Riiklikudüksused ,Rahandusministeerium 2008 HTA ,11 670 500 ,15.02.2008 ... 13.03.2009 ,Üleriiklikud/maakondade vahelised projektid ,4.1.1 Horisontaalne tehniline abi (arvestuslik) ,ERDF ,Rahandusministeerium ,2007-2013 
Raasiku Vallavalitsus ,75010708,Kohaliku omavalituseüksused ,Aruküla Põhikooli renoveerimine ja juurdeehitus ,17 670 617 ,28.05.2009 ...  ,Harju maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
RA Looming OÜ ,11373520,Osaühing ,Reet Ausi kaubamärgiga välisturgudele sisenemine ,1 059 500 ,17.03.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Quretec OÜ ,11043739,Osaühing ,Evolution Summit ,265 787 ,08.09.2009 ...  ,Tartu maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Quattromed HTI Laborid OÜ ,11107913,Osaühing ,Biotehnoloogilistel platvormidel baseeruva kompleksdiagnostika arendamine rakendamiseks tervishoiusüsteemis ,15 066 404 ,26.01.2010 ...  ,Tartu maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Quattromed HTI Laborid OÜ ,11107913,Osaühing ,Patogeenide genotüpeerimine ,50 000 ,17.09.2009 ... 15.02.2010 ,Tartu maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Quantum Eesti AS ,10832463,Aktsiaselts ,Gaasikromatograafial põhineva reaalajas töötava utte ja põlemisgaaside analüüsi seadme väljatöötamine ,50 000 ,22.09.2009 ...  ,Tartu maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Qcell OÜ ,11203663,Osaühing ,Biomassi mahuvähendamine ,267 814 ,12.05.2009 ... 27.10.2009 ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Q-haus Baltic OÜ ,11276805,Osaühing ,Innovatsiooniosakud ,50 000 ,17.09.2009 ...  ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Püssi Linnavalitsus ,75008440,Kohaliku omavalituseüksused ,Püssi tööstusala juurdepääsuteede rekonstrueerimine ,12 132 872 ,21.12.2009 ...  ,Ida-Viru maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Püssi Linnavalitsus ,75008440,Kohaliku omavalituseüksused ,Püssi lasteaed MARJAKE renoveerimine ,11 750 436 ,25.06.2009 ...  ,Ida-Viru maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pühalepa Vallavalitsus ,75019841,Kohaliku omavalituseüksused ,Pühalepa valla Kultuuri- ja Noortekeskuse laiendamine ja köögi renoveerimine ,6 460 000 ,31.07.2009 ...  ,Hiiu maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Pühajärve Puhkekodu AS ,10149335,Aktsiaselts ,Päikeseenergia kasutamine AS Pühajärve Puhkekodus ,50 000 ,27.10.2009 ...  ,Valga maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pühajärve Puhkekodu AS ,10149335,Aktsiaselts ,Pühajärve Puhkekodu AS turuosa suurendamine eksportturgudel ,1 498 833 ,30.10.2008 ...  ,Valga maakond ,3.1.5 Ettevõtja turismiturunduse toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Päästeamet ,70000585,Riiklikudüksused ,"Naftareostuse (rannik, maismaa ning siseveekogud) korjetööde varustuse ja vahendite soetamine ",19 592 500 ,23.01.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,2.2.2 Keskkonna hädaolukordadeks valmisoleku parandamine ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Päästeamet ,70000585,Riiklikudüksused ,Keskkonnaalasteõnnetuste logistilise ja juhtimise võimekuse tõhustamiseks vajaliku varustuse ja vahendite soetamine ning infrastruktuuri väljaehitamine ,58 887 881 ,23.01.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,2.2.2 Keskkonna hädaolukordadeks valmisoleku parandamine ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Päästeamet ,70000585,Riiklikudüksused ,Ohtlike aineteõnnetuste lokaliseerimise ning likvideerimise varustuse soetamine ,12 750 000 ,23.01.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,2.2.2 Keskkonna hädaolukordadeks valmisoleku parandamine ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Päästeamet ,70000585,Riiklikudüksused ,Loodusõnnetuste poolt tekitatud tagajärgede likvideerimise varustuse ja vahendite soetamine ,3 816 024 ,23.01.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,2.2.2 Keskkonna hädaolukordadeks valmisoleku parandamine ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Päästeamet ,70000585,Riiklikudüksused ,"Metsa-, maastiku-, pinnase-, ning naftasaaduste tulekahjude likvideerimise varustuse ja vahendite soetamine ",64 953 583 ,23.01.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,2.2.2 Keskkonna hädaolukordadeks valmisoleku parandamine ,ERDF ,Sihtasutus Keskkonnainvesteeringute Keskus ,2007-2013 
Pärsti Vallavalitsus ,75005564,Kohaliku omavalituseüksused ,Raudna Põhikooli renoveerimine ,13 959 541 ,20.02.2009 ...  ,Viljandi maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pärnumaa Turism SA ,90004970,Sihtasutus ,Lääne-Eesti Külastuskeskus ,3 671 234 ,24.11.2009 ...  ,Pärnu maakond ,3.1.18 Turismiinfo jaotuskanalite toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pärnumaa Turism SA ,90004970,Sihtasutus ,PÄRNUMAA TURISMITURUNDUSPROJEKT NR. 1 ,1 499 999 ,24.03.2009 ...  ,Pärnu maakond ,3.1.6 Avaliku ja kolmanda sektori turismi turundustegevuste toetamise tingimused ja kord ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pärnumaa Turism SA ,90004970,Sihtasutus ,Pärnumaa sihtkoha turundamise klaster ,277 200 ,01.12.2009 ...  ,Pärnu maakond ,3.1.15 Klastrite arendamise toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pärnumaa Kutsehariduskeskus ,70006369,Riiklikudüksused ,"Toitlustus-teenindusõppe praktikabaas, tugistruktuurid ja sisseseaded ",70 150 001 ,02.12.2008 ...  ,Pärnu maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Pärnumaa Kutsehariduskeskus ,70006369,Riiklikudüksused ,Auto- ja metallitöö erialade praktikabaas koos seadmetega ning õppesõidu harjutusväljak ,36 309 322 ,21.10.2009 ...  ,Pärnu maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Pärnu Muuseum ,70001811,Riiklikudüksused ,Pärnu Muuseumi aidahoone rekonstrueerimine ning arendamine kaasaegseks ja atraktiivseks muuseumiks ,33 606 334 ,09.07.2009 ...  ,Pärnu maakond ,2.4.3 Piirkondade konkurentsivõime tugevdamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pärnu Linnavalitsus ,75000064,Kohaliku omavalituseüksused ,Huvikooli Pärnu Tehnika- ja Tööõpetusmaja infrastruktuuri väljaarendamine ,13 521 315 ,22.10.2009 ...  ,Pärnu maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Pärnu Linnavalitsus ,75000064,Kohaliku omavalituseüksused ,Pärnu Rannapargi rekonstrueerimine ,17 929 667 ,06.10.2009 ...  ,Pärnu maakond ,2.4.2 Linnaliste piirkondade arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pärnu Linnavalitsus ,75000064,Kohaliku omavalituseüksused ,Vallikääru taastamine atraktiivseks puhkekeskkonnaks ,62 977 341 ,29.12.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,2.4.2 Linnaliste piirkondade arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pärnu Linnavalitsus ,75000064,Kohaliku omavalituseüksused ,Pärnu LV infosüsteemide turvalisuse tõstmine ISKE-st lähtuvate tüüpmoodulite meetmete rakendamisel ,684 059 ,12.11.2009 ...  ,Pärnu maakond ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Pärnatamme ,80241976,Mittetulundusühing ,KÜ Pärnatamme ,4 950 ,30.03.2009 ... 06.05.2009 ,Pärnu maakond ,2.3.2 Energiaauditi ja ehitise ekspertiisi tegemise ning ehitusprojekti koostamise toetamine ,ERDF ,Krediidi ja Ekspordi Garanteerimise Sihtasutus KredEx ,2007-2013 
Päinurme Internaatkool ,70001202,Riiklikudüksused ,Päinurme Internaatkooli õpilaskodu Tuulepesa renoveerimine ,3 912 920 ,18.09.2009 ...  ,Järva maakond ,2.5.3 Hariduslike erivajadustegaõpilaste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Päinurme Internaatkool ,70001202,Riiklikudüksused ,Päinurme Internaatkooli pumbajaama renoveerimine ja sisustuse uuendamine ,1 914 800 ,26.08.2009 ...  ,Järva maakond ,2.5.3 Hariduslike erivajadustegaõpilaste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Päevasaare OÜ ,10109595,Osaühing ,Paadiehitusklastri väljaarendamine Hiiumaal ,288 315 ,20.11.2008 ...  ,Hiiu maakond ,3.1.15 Klastrite arendamise toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Põlva Linnavalitsus ,75009183,Kohaliku omavalituseüksused ,Põlva Ühisgümnaasiumi rekonstrueerimine ,13 997 156 ,10.02.2009 ... 09.11.2009 ,Põlva maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Põlva Linnavalitsus ,75009183,Kohaliku omavalituseüksused ,Põlva Avatud Noortekeskuse rekonstrueerimine ,5 184 332 ,14.10.2009 ...  ,Põlva maakond ,"2.5.1 Avatud noortekeskuste, teavitamis- ja nõustamisekeskuste ning huvikoolide kaasajastamine ",ERDF ,Sihtasutus INNOVE ,2007-2013 
Põltsamaa Linnavalitsus ,75003045,Kohaliku omavalituseüksused ,Põltsamaa Ühisgümnaasiumi Veski tn 5 õppehoone renoveerimine ,19 151 511 ,02.04.2009 ...  ,Jõgeva maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Põltsamaa Ametikool ,70004821,Riiklikudüksused ,Katlamaja ja küttetrasside renoveerimine ,21 260 668 ,07.11.2008 ...  ,Jõgeva maakond ,2.5.2 Kutseõppeasutuste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Põllumajanduse Registrite ja Informatsiooni Amet ,70005967xx ,Riiklikudüksused ,PRIA infoturbesüsteemi ISKE v4.0 vastavuse saavutamine ,2 037 811 ,31.12.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Põllumajanduse Registrite ja Informatsiooni Amet ,70005967x ,Riiklikudüksused ,PRIA efektiivne ja läbipaistev dokumendihaldus ,3 508 000 ,29.07.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Põhja-Eesti Regionaalhaigla SA ,90006399,Sihtasutus ,"SA Põhja-Eesti Regionaalhaigla juurde-, ümberehitus ",1 034 880 000 ,13.08.2009 ...  ,Harju maakond ,2.6.1 Kesk- ja piirkondlike haiglate infrastruktuuri optimeerimine ,ERDF ,Sotsiaalministeerium ,2007-2013 
Põdrala vald ,75004607,Kohaliku omavalituseüksused ,Riidaja Põhikooli hoone rekonstrueerimine ,5 288 905 ,02.09.2009 ...  ,Valga maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
PW Partners AS ,10346219,Aktsiaselts ,Tuuliku rootori tootearenduse eeluuring ,300 000 ,19.02.2009 ...  ,Harju maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Purutuli OÜ ,10945474,Osaühing ,Purutuli OÜ puidugraanulitehase masinate soetamine ,20 083 968 ,29.12.2009 ...  ,Järva maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Punane Koer OÜ ,11161924,Osaühing ,OÜ Punane Koer mereelektroonika alase eksporttegevuse laiendamine ,1 171 000 ,08.07.2008 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pult OÜ ,11118093,Osaühing ,PointEstonia turundamine Soome ettevõtjatele ,274 000 ,18.08.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.1.10Ühisturunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pulp OÜ ,11059539,Osaühing ,Incentive teenuste turundusplaan ,956 000 ,22.11.2008 ...  ,Harju maakond ,3.1.5 Ettevõtja turismiturunduse toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Puidukoda OÜ ,10207067,Osaühing ,Tootmisliini rekonstrueerimine ,3 645 836 ,31.12.2008 ...  ,Viljandi maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Puhja vallavalitsus ,75021600,Kohaliku omavalituseüksused ,Puhja Gümnaasiumi põhiõppekorpuse rekonstrueerimine ,11 119 030 ,09.07.2009 ... 04.02.2010 ,Tartu maakond ,2.4.1 Kohalike avalike teenuste arendamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
PTA Grupp AS ,11405208,Aktsiaselts ,Välismessi külastus ,33 000 ,29.09.2009 ...  ,Harju maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Protobios OÜ ,10981915,Osaühing ,Peptiidide disain ja süntees vähiraviks ,50 000 ,31.03.2009 ...  ,Harju maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Promet Baltic OÜ ,10732566,Osaühing ,Zakaarkangaste kollektsiooni ja tehniliste lahenduste väljatöötamine ,50 000 ,21.01.2010 ...  ,Ida-Viru maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Promet Baltic OÜ ,10732566,Osaühing ,Välismessides osalemine ja külastamine ,494 390 ,26.01.2010 ...  ,Ida-Viru maakond ,3.1.11 Välismessitoetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Prolexplast AS ,10409167,Aktsiaselts ,AS Prolexplast Eksporditurunduse programm aastateks 2009-2013 ,446 856 ,21.04.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Profeld Ehitus OÜ ,11099007,Osaühing ,Veebi-põhise tellimuste ja kliendisuhete haldussüsteemi prototüübi loomine ,50 000 ,12.11.2009 ...  ,Rapla maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Proekspert AS ,10331577,Aktsiaselts ,Eksporditurunduse plaan Proekspert AS-le ,1 726 650 ,27.10.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Produktsioonigrupp OÜ ,10670181,Osaühing ,Meediaklastri rajamise ja infrastruktuuri arendamise eeluuring ,400 000 ,20.11.2008 ... 07.01.2010 ,Harju maakond ,3.1.15 Klastrite arendamise toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pro Fiksum OÜ ,10962094,Osaühing ,Innovaatiline puidukuivati ,50 000 ,04.08.2009 ... 21.10.2009 ,Valga maakond ,3.1.17 Innovatsiooniosakute toetusmeede ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Printon Trükikoda AS ,10671126,Aktsiaselts ,Liim+volt ,2 592 228 ,31.12.2008 ...  ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Printcenter Eesti AS ,10426272,Aktsiaselts ,Printcenter Eesti AS tehnoloogiainvesteering ,2 120 800 ,31.12.2008 ...  ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Printcenter Eesti AS ,10426272,Aktsiaselts ,Printcenter Eesti AS ekspordiplaan ,562 720 ,08.09.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,
Printall AS ,10092701,Aktsiaselts ,Kõrgtehnoloogiliste seadmete soetamine põhiprotsessi võimsuse suurendamiseks ning abiprotsesside automatiseerimiseks eesmärgiga suurendada eksporti. ,23 437 653 ,20.07.2009 ...  ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Printall AS ,10092701,Aktsiaselts ,AS Printall ekspordiplaan ,1 425 900 ,20.01.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Print House OÜ ,10553591,Osaühing ,Print House Soome turule ,519 000 ,16.02.2010 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Print Best Trükikoda OÜ ,10842489,Osaühing ,Print Best Trükikoda eksporditurundusplaan 2009-2011 ,1 483 750 ,13.10.2009 ...  ,Viljandi maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Positium LBS OÜ ,10883762,Osaühing ,Positiumi mobiilsusuuringute metoodika rakendusuuring ,5 046 016 ,30.07.2009 ...  ,Tartu maakond ,3.1.7 Teadus- ja arendustegevuse projektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Porkuni kool ,70005677,Riiklikudüksused ,Vahendidõppekeskkonna loomiseks mõõdukate ja raskete puuetega lastele õpetamisel ,1 313 400 ,08.07.2009 ...  ,Lääne-Viru maakond ,2.5.3 Hariduslike erivajadustegaõpilaste õppekeskkonna kaasajastamine ,ERDF ,Sihtasutus INNOVE ,2007-2013 
Polven Foods OÜ ,11481468,Osaühing ,Polven Foods OÜ ekspordiplaani elluviimine 2008-2010 ,1 061 450 ,04.11.2008 ...  ,Ida-Viru maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Politseiamet ,70000728,Riiklikudüksused ,Politsei põhitegevuse andmekogu „Infosüsteemi POLIS“ keskse juurdepääsupiirangute ja ühtse arhiveerimise ning kustutamise funktsionaalsuse loomine ,1 981 500 ,31.12.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Politseiamet ,70000728,Riiklikudüksused ,Politsei põhitegevuse infosüsteemi POLIS turvaaudit (turvatestimine) ,482 100 ,11.11.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Politseiamet ,70000728,Riiklikudüksused ,Lõppkasutajate andmeturbealane koolitus ,1 957 980 ,29.10.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Politseiamet ,70000728,Riiklikudüksused ,Digitaalne jälitustoimik ,1 500 000 ,29.07.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Politseiamet ,70000728,Riiklikudüksused ,Politsei menetlussüsteemi (MIS) arendus ja E-Toimikuga liidestamine ,6 931 920 ,29.07.2009 ...  ,Üleriiklikud/maakondade vahelised projektid ,3.5.2 Infoühiskonna edendamine avatud taotluste kaudu ,ERDF ,Riigi Infosüsteemide Arenduskeskus ,2007-2013 
Polar Sun Products OÜ ,10584218,Osaühing ,Eksporditurundustoetus uute toodete lanseerimiseks ,245 769 ,26.05.2009 ...  ,Harju maakond ,3.1.4 Eksporditurunduse toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Plekitööde Keskus OÜ ,10300683,Osaühing ,Lehetöötlemiskeskus ,600 000 ,29.07.2009 ...  ,Harju maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
PJK Haldus OÜ ,11423137,Osaühing ,Pärnu Merenduskeskuse arendamine ,5 000 000 ,21.07.2009 ...  ,Pärnu maakond ,3.1.14 Turismitoodete arendamise väikeprojektide toetamine ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
Pixner OÜ ,10246222,Osaühing ,"OÜ Pixner""i viimistlustehnoloogia arendamise plaan ",540 121 ,29.07.2009 ...  ,Lääne-Viru maakond ,3.1.12 Tööstusettevõtja tehnoloogiainvesteeringu toetus ,ERDF ,Ettevõtluse Arendamise Sihtasutus ,2007-2013 
