Koodi,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
S11130,ESR,Kaivosalan työvoiman turvaaminen ja osaamisen parantaminen,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.11.2009,31.12.2011,Pohjois-Karjalan TE-keskus,103 783,9 190,51 117,0,154 900,9 190
S11135,ESR,Muuttuva Venäjä -hallintokoulutus,Programdelen för storområdet Östra Finland,3,Södra Savolax landskapsförbund,Verksamhet pågår,1.1.2010,31.8.2011,Helsingin kauppakorkeakoulu Pienyrityskeskus,62 775,0,30 920,0,205 975,0
S11146,ESR,Reiska - ratkaisuja rakennemuutokseen,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.12.2009,31.12.2011,Ylä-Savon Kehitys Oy,115 920,0,52 080,0,594 000,0
S11148,ESR,Yhteishankintakoulutuksen kehittämisprojekti,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2010,31.12.2011,Pohjois-Savon työ- ja elinkeinokeskus,34 000,0,16 000,0,352 688,0
S11149,ESR,Eurooppalaiset hyvät käytännöt Itä-Suomen ammatilliseen koulutukseen,Programdelen för storområdet Östra Finland,4,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.10.2009,31.12.2011,Pohjois-Karjalan koulutuskuntayhtymä,211 553,0,130 212,0,631 000,0
S11150,ESR,Liiketalouden saumaton urapolku aikuisoppijoille,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.10.2009,31.10.2011,Kajaanin kaupunki / Kajaanin ammattikorkeakoulu -liikelaitos,200 260,0,130 367,0,640 839,0
S11159,ESR,TUAS,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.6.2009,31.10.2010,Pelastusopisto,100 800,0,59 200,0,170 000,0
S11160,ESR,Äkillinen rakennemuutos Joensuu,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.11.2009,31.5.2011,Pohjois-Karjalan TE-keskus,319 000,0,231 000,0,550 000,0
S11164,ESR,"Työvoimapolittisten toimien hallinnointihanke, Pohjois-Savo",Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2010,31.12.2011,Pohjois-Savon TE-keskus,75 000,0,75 000,0,223 700,0
S11166,ESR,Innovaatioassistentti - korkeakoulupohjaista osaamista yrityksiin ja työorganisaatioihin,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.11.2009,31.7.2012,Pohjois-Karjalan ammattikorkeakoulu -liikelaitos,142 000,0,69 932,0,567 500,0
S11169,ESR,Koordinaatio,Programdelen för storområdet Östra Finland,5,Undervisningsministeriet,Verksamhet pågår,1.1.2007,31.12.2013,Opetusministeriö,88 000,21 959,60 960,15 212,297 960,37 171
S11171,ESR,Tiedotus ja viestintä,Programdelen för storområdet Östra Finland,5,Undervisningsministeriet,Verksamhet pågår,1.1.2007,31.12.2013,Opetusministeriö,28 000,0,19 040,0,47 040,0
S11178,ESR,Nuorille töitä,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.12.2009,31.12.2011,Pohjois-Savon TE-keskus,200 000,0,200 000,0,1 001 650,0
S11077,ESR,Ole aktiivinen Läpi Elämän,Programdelen för storområdet Östra Finland,4,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.6.2009,31.5.2012,"Kuopion kaupunki, hallinto- ja kehittämiskeskus, talous- ja strategiapalvelu",82 245,0,48 302,0,319 872,0
S11086,ESR,Työvalmennuskeskus Työsilta-hanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.8.2009,31.12.2012,Kuhmon Työttömien yhdistys ry,45 522,0,25 231,0,738 715,0
S11087,ESR,Työvalmennuskeskus Työsilta -hanke (S11086) /työvoimapoliittiset toimenpiteet,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.9.2009,31.12.2012,Kainuun TE-keskus,59 482,0,32 968,0,1 637 900,0
S11088,ESR,Töihin-hanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.8.2009,31.8.2011,Nakertaja-Hetteenmäen kyläyhdistys ry.,42 688,23 523,23 659,13 037,332 416,36 560
