Koodi,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,P‰‰ttymispvm,Toteuttajan nimi,Myˆnnetty EU-rahoitus,Toteutunut EU-rahoitus,Myˆnnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteens‰,Toteutunut julkinen rahoitus yhteens‰
A539180,EAKR,Toiminnan k‰ynnist‰minen Miktech-yrityshautomossa,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,1.5.2008,30.4.2009,TUOTANTOYHTI÷ OFF RECORDS FINLAND OY,832,209,678,170,1 510,379
A539205,EAKR,"Mustekolmio-yritys, Muste- ja laserkasettien t‰yttˆpalvelua tarjoavan yrityksen aloittaminen Savonlinnassa",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,5.5.2008,31.8.2008,SILLFORS TARJA,1 493,1 493,1 217,1 217,2 710,2 710
A539214,EAKR,Alkavan mittatilauskalusteita valmistavan yrityksen konehankinnat ja k‰ynnist‰mistoimenpiteet,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamheten har upphˆrt,5.5.2008,31.5.2009,ARTEPARI PUUSEPƒNLIIKE AY,10 365,9 556,6 655,6 136,17 020,15 692
A539255,EAKR,"toiminnan, rakenteen ja kannattavuuden sek‰ yritysyhteistyˆn ja tuotteistamisen kehitt‰minen",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,6.5.2008,29.5.2009,ILMARIA OY,6 091,2 468,4 309,1 745,10 400,4 213
A539263,EAKR,Tila- ja konehankinnat tuotannon kehitt‰miseksi.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,15.5.2008,31.12.2010,HESTEK OY,104 139,37 694,66 861,24 201,174 864,61 895
A538975,EAKR,Progenitor cells:promotion of mitocondrial transfer and  tissue repair,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,14.4.2008,28.2.2010,KUOPION YLIOPISTO,219 668,90 856,159 332,65 901,379 000,156 757
A538976,EAKR,Uusi l‰hestymistapa l‰‰keaineiden keskushermostokulkeutumisen parantamiseksi,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,14.4.2008,30.4.2010,KUOPION YLIOPISTO,176 778,121 330,128 222,88 004,305 000,209 334
A538977,EAKR,Hyvinvointia edist‰v‰t k‰yttˆliittym‰t ja palvelualustat matkailussa ja vapaa-ajassa,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,14.4.2008,28.2.2010,"KUOPION ROUVASVƒEN YHDISTYS RYKUOPION MUOTOILUAKATEMIA, TURO",98 532,28 912,71 468,20 970,170 000,49 882
A538983,EAKR,Palvelu- ja varustelutason kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,15.4.2008,31.12.2008,SAIMAAN LAIVAMATKAT OY,21 924,21 924,14 076,14 076,36 479,36 000
A538984,EAKR,Lametal 2010,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,15.4.2008,31.12.2009,LAMETAL OY,91 350,41 394,58 650,26 577,150 000,67 971
A538995,EAKR,Palvelutuotteen kehitt‰minen asiantuntijatyˆt‰ hyˆdynt‰en.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,16.4.2008,30.11.2009,ITƒ-SUOMEN HOITOKODIT OY,21 012,0,13 468,0,34 480,0
A539000,EAKR,Biomeettiset nanopinnoitteet ja nanokomponentit,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2008,31.12.2010,JOENSUUN YLIOPISTOKEMIAN LAITOS,655 200,68 210,394 800,41 100,1 050 000,109 310
A539017,EAKR,Muovi-vuolukivikomposiitin kehitt‰minen,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.3.2008,31.12.2009,JOENSUUN KAUPUNKI,70 512,48 855,42 488,29 439,113 000,78 294
A539018,EAKR,Kiinte‰ metallin leikkausasema,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamheten har upphˆrt,11.2.2008,31.12.2009,KAJAANIN ROMU OY,129 911,129 911,127 339,127 339,257 250,257 250
A539021,EAKR,Taloushallinnon palvelukeskus,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,17.4.2008,31.10.2009,SUOMEN TALOUSVERKKO OY,17 472,0,14 238,0,31 710,0
A539032,EAKR,"Pihkan mittaamisen sovelluskehitys ""PIMIKE""",÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2008,31.12.2009,OULUN YLIOPISTOMITTALAITELABORATORIO,203 737,129 030,74 213,47 001,277 950,176 031
A539034,EAKR,"Yhdyskuntien, maatalouden ja teollisuuden lietteiden mittaaminen optisilla menetelmill‰ ""LIEMI""",÷stra Finland,2,Tekes,Verksamheten har upphˆrt,1.1.2008,31.3.2009,OULUN YLIOPISTOMITTALAITELABORATORIO,61 145,61 145,22 272,22 272,83 417,83 417
A539036,EAKR,"Tuotannon kehitt‰miseen liittyv‰t konehankinnat, ohjelmistot ja n‰yttelytilojen rakentaminen.",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,21.4.2008,31.10.2009,KAAPPI & KALUSTE KLEMM,3 216,876,2 064,562,5 280,1 438
A539038,EAKR,Taidekehyst‰mˆn investoinnit,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,21.4.2008,31.5.2009,GALLERI ARI,4 628,3 039,3 772,2 476,8 400,5 515
A539059,EAKR,Tuotteiden jatkokehitys,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,22.4.2008,31.5.2009,TEKNOSAVO OY,9 698,9 698,7 902,7 902,17 600,17 600
A539060,EAKR,Continuous Atomic Layer Deposition Process,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2008,31.3.2010,LAPPEENRANNAN TEKNILLINEN YLIOPISTO,225 799,103 638,124 821,57 290,350 620,160 928
A539061,EAKR,PAT Sensors and Applications in Pharmaceutical and Manufactrung,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,22.4.2008,31.12.2009,VALTION TEKNILLINEN TUTKIMUSKESKUS VTT,463 680,302 548,336 320,219 446,800 000,521 994
A539062,EAKR,L‰‰keteollisuuden valmistusprosessien mittaus- ja sensoriteknologoiden tutkimus- ja kehitt‰mishanke,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,22.4.2008,31.12.2009,KUOPION YLIOPISTO,978 655,406 150,709 845,294 592,1 688 500,700 742
A539063,EAKR,Pielamet-hanke,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,22.4.2008,31.12.2010,PIELAMET OY,172 652,0,110 848,0,283 500,0
A539072,EAKR,Savonlinnan Teknologiapuisto Oy:n markkinointikonseptin ja vetovoimatekijˆiden kehitt‰minen,÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,23.4.2008,31.10.2011,SAVONLINNAN TEKNOLOGIAPUISTO OY,216 384,23 991,119 616,13 262,336 000,37 253
A539076,EAKR,Talotekniikan ja kiinteistˆnhoidon palveluportaali,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,23.4.2008,30.6.2009,SEEWIDE SERVICE OY,10 414,0,8 486,0,18 900,0
A539084,EAKR,Turvemaiden telasto.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,23.4.2008,23.4.2010,METSƒURAKOINTI PIIRAINEN OY,41 063,0,40 249,0,81 312,0
A541641,EAKR,U-Cont uusiutuvaan aikaan. Uusiutuvien ja uusien energia- ja polttoaineiden tuotannon laitosmodulien tuotantolinjan rakentaminen.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,23.12.2008,31.12.2011,OY U-CONT LTD,255 336,0,63 834,0,319 170,0
A541686,EAKR,"Yrityksen toiminnan laajentaminen, kehitt‰minen ja tehostaminen.",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,30.12.2008,31.12.2010,PIEKSƒMƒEN HITSAUS JA KONEISTUS OY,42 875,17 456,18 375,7 481,61 250,24 937
A541688,EAKR,David Sports Oy:n kansainv‰listymishanke,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,1.1.2009,30.6.2010,DAVID SPORTS OY,87 303,96 176,87 302,49 947,174 605,146 123
A541692,EAKR,Tuote- ja tuotannon kehitt‰minen sek‰ konehankinnat,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,30.12.2008,31.12.2009,PK-LEVY OY,6 925,5 465,6 925,5 465,13 850,10 930
A541704,EAKR,Kansainv‰listymishanke,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,31.12.2008,31.8.2010,MHG SYSTEMS OY,10 012,0,6 428,0,16 440,0
A541712,EAKR,Teknisen is‰nnˆinnin osaamiskeskus.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,30.12.2008,31.12.2009,ASUNTOPALVELU M. KULOMƒKI OY,13 610,0,13 340,0,26 950,0
A541738,EAKR,NTG avainhenkilˆ,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,5.1.2009,28.2.2011,NETTITIETO OY,43 176,0,59 624,0,102 800,0
A541766,EAKR,L‰mpˆk‰siitelykapasiteetin nosto,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,2.1.2009,30.4.2010,OY SWM-WOOD LTD,511 770,326 891,219 330,140 097,731 100,466 988
A541776,EAKR,Micron Flash Dryer-hanke.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,9.1.2009,31.12.2010,KULJETUSLIIKE SEPPO RISSANEN OY,180 873,124 846,116 127,80 156,310 803,232 608
A541790,EAKR,Rauhalahden kartanorakennusten saneeraushanke.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,12.1.2009,30.6.2010,KALLAHOVI OY,32 155,0,22 745,0,54 900,0
A541809,EAKR,Tuotantolinjan laajennus tyˆstˆkoneinvestoinneilla.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,13.1.2009,31.12.2010,OKUN KONEISTUSPALVELU OY,162 603,56 250,104 397,36 115,267 000,92 365
A541845,EAKR,Koneinvestoinnit,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,15.1.2009,31.12.2009,SORVAAMO MUSTONEN KY,24 500,15 177,24 500,15 176,49 000,30 353
A541429,EAKR,Pesulatoiminnan nykyaikaistaminen ja laajentaminen toimitila- ja laiteinvestointien avulla.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,8.12.2008,31.12.2009,RAK-SI-PE KY,16 905,0,7 245,0,24 150,0
A541441,EAKR,Kotimaiset marjat ja marjahunajat sek‰ niiden polyfenolit terapeuttisina yhdistein‰.,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.12.2008,1.7.2010,KUOPION YLIOPISTO,116 152,49 241,84 248,35 715,200 400,84 956
A541453,EAKR,Konekannan parantaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,9.12.2008,30.9.2009,T:MI AKI KORPELAINEN,12 250,2 889,5 250,1 238,17 500,4 127
A541460,EAKR,"T‰sm‰-l‰mmitin, jolla tuotetaan energiatehokkaasti betoniaseman tarpeisiin kuumaa ilmaa, l‰mmint‰ vett‰ ja hˆyry‰",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,10.12.2008,31.5.2010,STEAMRATOR OY,31 360,0,13 440,0,44 800,0
A541470,EAKR,TV-tuotantolinjan kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,15.12.2008,14.12.2009,KINOCOMPANY OY,12 210,0,7 830,0,20 092,0
A541471,EAKR,Audiovisuaalisen tuotannnon kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,10.12.2008,31.5.2010,MAT FUTUREVISION,4 263,1 195,2 737,768,7 000,1 963
A541500,EAKR,Ulkomaan messut 2009,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,11.12.2008,30.9.2009,SILVER CHASERS OY,8 471,2 242,6 629,1 755,15 100,3 997
A541506,EAKR,Pelakuun kotihoito- ja p‰iv‰toimintakonseptin kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,12.12.2008,30.6.2010,MIKKELIN HOIVAPALVELU PELAKUU OY,23 520,0,5 880,0,29 400,0
A541590,EAKR,Toiminnan k‰ynnist‰minen yrityshautomossa,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,19.12.2008,31.12.2010,CLUETAIL OY,17 539,10 474,11 261,6 726,28 800,17 200
A541609,EAKR,Magneettikuvauksen kehitysalusta,÷stra Finland,2,Tekes,Verksamhet pÂgÂr,1.1.2009,31.12.2010,KUOPION YLIOPISTO,278 890,0,202 286,0,481 176,0
A541635,EAKR,Vision kansainv‰list‰misprojekti,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,1.1.2009,31.12.2010,DATA PRISMA OY,47 428,0,37 112,0,84 540,0
A541182,EAKR,"Yrityksen teknisen ymp‰ristˆn kehitt‰minen, jossa kehit‰mme s‰hkˆpostipalveluamme ja teemme uusia tyˆpisteit‰.",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,20.11.2008,31.5.2009,RTG SALES OY,3 555,3 555,3 485,3 485,7 040,7 040
A541191,EAKR,"Koneiden ja laitteiden hankinta, tyˆvoiman lis‰ys",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,21.11.2008,31.12.2010,VT SYSTEMS OY,33 571,5 653,21 554,3 629,55 125,9 282
A541193,EAKR,Uppopuutuotteiden valmistaminen.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,21.11.2008,31.12.2009,LIEKSAN KELOMETSƒ OY,10 000,3 887,10 000,3 887,20 800,7 774
A541221,EAKR,S‰hkˆisen liiketoimintaymp‰ristˆn kehitt‰minen,÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,25.11.2008,31.12.2010,KARELIA EXPERT MATKAILUPALVELU OY,84 606,0,58 794,0,143 400,0
A541224,EAKR,Tuotannon konehankinnat,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,1.12.2008,30.11.2010,JUST ON STEEL OY,44 055,0,44 055,0,94 110,0
A541245,EAKR,Snowpolis GateWay-hanke.,÷stra Finland,2,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,26.11.2008,31.12.2010,SNOWPOLIS OY,250 000,0,250 000,0,500 000,0
A541247,EAKR,Tuotannon kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,26.11.2008,31.12.2010,SISUWOOD OY,38 123,14 735,24 477,9 460,62 600,24 195
A541248,EAKR,Lammen Helmi,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,26.11.2008,30.6.2010,JƒPPILƒN KIEVARI AVOIN YHTI÷,25 199,17 788,21 901,15 461,47 100,37 474
A541271,EAKR,Avainhenkilˆn palkkaus yrityksen kehitt‰miseen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,27.11.2008,26.11.2010,KONEISTAMO ALM OY,14 221,0,13 939,0,28 160,0
A541289,EAKR,Omistajan vaihdokseen liittyv‰ liiketoimintojen hallittu haltuunottaminen.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,28.11.2008,30.11.2009,DOKUMENT-TARRA OY,14 616,0,9 384,0,24 000,0
A541290,EAKR,Aineiston ker‰‰miseen ja k‰sittelyyn k‰ytett‰vien laitteiden hankinta,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,28.11.2008,30.6.2010,KONEPAJA M. PAPPINEN OY,2 450,0,1 570,0,4 020,0
A541292,EAKR,TefiSmart -tuotteiden kehitt‰misinvestoinnit,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,28.11.2008,30.6.2011,TEFI OY,54 614,0,23 406,0,78 020,0
A541294,EAKR,AKKE-tuotteen viennin aloitus Ven‰j‰lle ja sen l‰hialueille kansainv‰listymishanke.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,28.11.2008,27.11.2010,TIETO-OSKARI OY,49 889,0,48 901,0,98 790,0
A541319,EAKR,Uuuden liiketoiminta-alueen kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,1.6.2009,31.12.2010,MAINOSTOIMISTO GRAFICAL OY,13 348,0,11 602,0,24 950,0
A541322,EAKR,Konehankinnat,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,2.12.2008,30.9.2009,CERAMET OY,4 074,3 093,2 616,1 986,6 690,6 552
A541413,EAKR,Yrityksen kokonaisvaltainen laajennushanke.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamheten har upphˆrt,1.3.2009,31.12.2009,AUTOMAALAAMO MATIN FIKSAUS OY,61 893,44 485,60 667,43 605,122 560,88 090
A541426,EAKR,"Toiminnan laajennus; koneet ja laitteet, softatyˆkalut",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,8.12.2008,31.7.2010,JETECON OY,5 275,0,5 275,0,10 550,0
A541876,EAKR,Koulutus- ja hoitopalveluiden j‰rjest‰minen suomalaisille Espanjassa,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,19.1.2009,30.6.2009,FYSIOPPI AY,1 151,0,739,0,1 890,0
A541919,EAKR,Hotelli Jahtihovin laajennus.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,21.1.2009,31.12.2010,KIINTEIST÷ OY KUOPION SNELLMANINKATU 23,353 220,0,226 780,0,688 199,0
A541936,EAKR,Yrityksen ydinosaamisen vahvistaminen ja investoinnit.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,22.1.2009,31.5.2010,LUOVANET OY,13 004,0,12 746,0,25 750,0
A541941,EAKR,Palvelukonseptin laajentaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,9.1.2009,31.12.2009,JAMAPLAN OY,22 077,9 366,14 173,6 013,36 250,15 379
A541952,EAKR,Investoinnit tuotantolaitteisiin,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,23.1.2009,30.6.2010,VUOLUSET KY,18 636,7 768,11 964,4 987,30 600,12 755
A541971,EAKR,Toiminnanohjausj‰rjestelm‰n kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,21.1.2009,31.12.2009,POHJOIS-KARJALAN KTK OY,27 898,16 044,17 912,10 301,45 810,26 345
A541992,EAKR,"Hakasautomaatiokone, laiteinvestointi tuotannon ja kustannustehokkuuden parantamiseksi",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,31.1.2009,30.1.2011,MAR-RAUDOITE OY,37 673,0,36 927,0,74 600,0
A542005,EAKR,Matalaenergiasein‰n kehitt‰mishanke,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,27.1.2009,31.12.2009,FINE-TALOT OY,5 712,0,5 598,0,11 310,0
A542031,EAKR,Painoyrityksen investoinnit,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,29.1.2009,30.6.2009,IISALMEN ECO-PRINT OY,11 617,11 617,7 458,7 458,19 075,19 075
A542046,EAKR,Kivituotteita valmistavan yrityksen perustaminen.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,30.1.2009,30.6.2011,SUOMEN MUOTOKIVI OY,65 498,48 495,42 052,31 136,107 550,79 631
A542047,EAKR,Iisalmen Keilahallin rakentaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,1.2.2009,31.12.2010,SPORTTIIMI OY,50 490,32 358,39 510,25 321,90 000,57 679
A542093,EAKR,Betoniasemien viennin k‰ynnist‰minen L‰hi-Id‰n maihin,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,3.2.2009,31.12.2010,TECWILL OY,74 030,0,47 530,0,121 560,0
A542144,EAKR,Graniittiesiintymien hyˆtyk‰yttˆˆn saattaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,1.5.2009,31.10.2011,METSƒ- JA MAANSIIRTO KASTINEN OY,167 627,0,107 623,0,275 250,0
A542147,EAKR,Pesulatoiminnan aloittaminen Renforssin rannassa.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,15.2.2009,30.3.2010,KAINUUN KESKUSPESULA OY,327 246,0,320 764,0,648 010,0
A542149,EAKR,Maalaamoinvestointi,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,5.2.2009,30.6.2010,MAALAAMO LEHIKOINEN OY,20 694,0,13 286,0,33 980,0
A542161,EAKR,Business Park -tyyppinen  toimistotalo palveluyrityksille,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,5.2.2009,30.4.2010,KIINTEIST÷ OY MIKKELIN JƒƒKƒRI I,823 200,330 960,352 800,141 840,1 176 000,681 666
A542175,EAKR,Tuotannon monipuolistaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,28.1.2009,31.12.2009,SUOMEN ELEKTROPINTA OY,172 043,159 234,110 457,102 234,325 853,306 649
A542179,EAKR,Yrityksen liiketoiminnan kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,6.2.2009,31.3.2010,REINIKO OY,14 120,0,13 840,0,27 960,0
A542211,EAKR,tuotannon kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,9.2.2009,30.1.2010,PIICON OY,7 308,0,4 692,0,12 000,0
A542212,EAKR,Ter‰ksisen syv‰ker‰yss‰iliˆn kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,9.2.2009,31.12.2010,GREENPRO OY,28 014,9 330,17 986,5 990,46 000,15 320
A542251,EAKR,Hankkeen tavoitteena on kehitt‰‰ yrityksen valubetonituoteperhe vastaamaan vientimarkkinoiden vaatimuksia sek‰ kehitt‰‰ uusi kivipohjainen pihagrillituoteperhe.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,10.2.2009,30.4.2010,SUOMEN VALUGRILLI OY,17 564,0,11 276,0,28 840,0
A542271,EAKR,Uuden liiketoiminnan vaatimat koneinvestoinnit ja liiketoiminnan kehitt‰mistoimenpiteet,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,11.2.2009,30.6.2010,IIPPO OY,31 150,21 085,20 000,13 538,59 103,40 031
A542275,EAKR,Kehitt‰mishanke,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,4.2.2009,30.6.2010,FARMIPELI OY,19 977,0,17 363,0,37 340,0
A542276,EAKR,Tuotteiden kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,6.2.2009,30.6.2010,MIKKELIN HITSAUSPALVELU OY,9 202,3 001,7 998,2 609,17 200,5 610
