,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
A536523,EAKR,Arkkileikkuri,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,24.9.2007,30.6.2008,PAPERIX OY,30 000,25 952,45 000,38 929,75 000,64 881
A536550,EAKR,Ikkuna- ja ovituotteiden valmistuksen tehostaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,24.9.2007,30.9.2008,IKME OY,7 407,6 005,11 583,9 392,18 990,15 397
A536569,EAKR,T. Lehtinen Ky:n kansainvälistyminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,27.9.2007,30.9.2009,T. LEHTINEN KY,33 305,17 121,49 957,25 682,83 262,42 803
A536584,EAKR,Tuotekehityksen tehostaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,27.9.2007,31.12.2009,PEDRO OY,12 280,0,18 420,0,30 700,0
A536585,EAKR,Pintakäsittelyn automatisointi,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,27.9.2007,30.6.2009,EIMI KALUSTE OY,5 980,0,8 970,0,14 950,0
A536593,EAKR,Maalaamon rakentaminen.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,28.9.2007,30.3.2008,MALLIPUU OY,1 450,1 437,2 175,2 156,3 625,3 593
A536595,EAKR,hautomoyrityksen perustaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,28.9.2007,31.3.2009,NASKAMA OY,6 440,6 385,9 660,9 579,16 100,15 964
A536600,EAKR,Imatran kylpylän lomakylän laajentaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,28.9.2007,30.9.2008,UKONRANTA OY,147 400,142 547,221 100,213 822,368 500,356 369
A536601,EAKR,3D-mallinnuksen käyttöönottaminen ja kaluston hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,1.10.2007,31.5.2008,KULTATAIDE KARI LAUKKA,1 680,1 466,2 520,2 199,4 200,3 665
A536615,EAKR,Viennin kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,2.10.2007,30.6.2008,ANSTAR OY,7 500,6 038,11 250,9 058,18 750,15 096
