,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
A536468,EAKR,Menetelmä ja poistojärjestely pintalietteen poistossa,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,14.9.2007,28.11.2008,FINNCHAIN OY,11 854,11 854,17 782,17 782,29 636,29 636
A536474,EAKR,Parvekelasituotantolinjan rakentaminen.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamhet pågår,17.9.2007,31.12.2009,RIIKKU RAKENTEET OY,14 854,0,22 656,0,37 510,0
A536068,EAKR,Aamiaislähettitoiminnan aloittaminen Pirkanmaalla,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,20.8.2007,20.8.2008,SUOMEN AAMIAISPALVELU OY,6 800,6 800,10 200,10 200,17 000,17 000
A536164,EAKR,Toiminnanohjausjärjestelmän kartoitus,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,23.8.2007,31.8.2008,QUATTROLL OY,7 610,5 969,7 610,5 968,15 220,11 937
A536181,EAKR,Uuden sukupolven korjuulaitteet,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,23.8.2007,31.12.2008,MOISIO FOREST OY,18 745,18 745,18 745,18 745,37 490,37 490
A536183,EAKR,Honkarakenne Oyj:n Karstulan tehtaan toimintaedellytysten varmistaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,27.8.2007,15.11.2010,HONKARAKENNE OYJ,162 250,35 235,162 250,35 234,324 500,70 469
A536201,EAKR,Teollisuushallin lisäinvestoinnit,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,24.8.2007,15.2.2008,VIRTAIN YRITYSPALVELU OY,25 500,24 018,25 500,24 018,51 000,48 036
A536208,EAKR,Rantasauna Vilppulankosken matkailualueelle,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,28.8.2007,31.5.2008,RAVINTOLA RUOKOLAT OY,8 120,8 120,12 180,12 180,20 300,20 300
A536257,EAKR,Tuubituslinjaston hankinta,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,30.8.2007,31.12.2008,H-K GROUP OY,11 500,0,17 250,0,28 750,0
A536321,EAKR,Toimitilojen uudisrakentaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,1.9.2007,31.8.2009,JAT-ASENNUS OY,62 033,56 577,125 947,114 869,187 980,171 446
