,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
A541524,EAKR,Metsäenergian tehokkaaseen korjuuseen tarvittavan kaluston hankinta.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,15.12.2008,28.2.2010,KESKI-SUOMEN METSÄ-KYMPPI OY,16 752,8 307,25 128,12 460,41 880,20 767
A541525,EAKR,Laatujärjestelmän rakentaminen yritykselle,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,12.12.2008,30.10.2009,KARVIAN KONEPAJA OY,2 884,2 640,4 326,3 959,7 210,6 599
A541532,EAKR,"Silmälääketieteen tutkimus-, tuotekehitys- ja innovaatiokeskus (SILK)",Västra Finland,2,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,1.6.2009,30.11.2011,TAMPEREEN YLIOPISTOLÄÄKETIETEEN LAITOS,203 992,0,95 988,0,509 980,0
A541533,EAKR,Center for vaccine research and immunology-Vactia,Västra Finland,2,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,1.9.2009,31.8.2012,TAMPEREEN YLIOPISTOLÄÄKETIETEEN LAITOS,127 248,0,270 402,0,397 650,0
A541537,EAKR,"Ecore Oy keskittyy jalostamaan koneellisesti kerätyn mittaustiedon, kuten etäluetun sähkönkulutustiedon tai teollisuudesta syntyvien prosessitietojen, jalostamiseen tiedon hyödyntäjien haluamaan ja ymmärtämään muotoon.",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,1.1.2009,30.6.2010,ECORE OY,22 560,15 772,33 840,23 656,56 400,39 428
A541579,EAKR,Toimitilojen kunnostaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,18.12.2008,31.12.2010,TM-RAUTA OY,36 420,0,54 630,0,91 050,0
A541605,EAKR,Tulevaisuuden verkosto-ohjaus,Västra Finland,2,Tekes,Verksamhet pågår,1.12.2008,30.11.2010,VAASAN YLIOPISTO,77 326,0,65 474,0,142 800,0
A541606,EAKR,Terveelliset valinnat -räätälöidyt syömisen ja liikkumisen mallit,Västra Finland,2,Tekes,Verksamhet pågår,1.1.2009,31.12.2011,VAASAN YLIOPISTO,91 601,17 502,77 561,14 819,169 162,32 321
A541607,EAKR,Terveelliset valinnat -räätälöidyt syömisen ja liikkumisen mallit,Västra Finland,2,Tekes,Verksamhet pågår,1.1.2009,31.12.2011,TURUN YLIOPISTO,91 380,12 993,77 374,11 001,168 754,23 994
A541608,EAKR,Terveelliset valinnat -räätälöidyt syömisen ja liikkumisen mallit,Västra Finland,2,Tekes,Verksamhet pågår,1.1.2009,31.12.2011,SEINÄJOEN AMMATILLISEN KORKEAKOULUOPETUK,91 535,37 671,77 505,31 897,169 040,69 568
A541616,EAKR,CNC-työstökoneen hankinta,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,22.12.2008,28.2.2010,TM-TERÄS OY,34 592,0,40 608,0,75 200,0
A541624,EAKR,Tehdastilojen tuotannon tehostaminen uudella rakennusjärjestelyllä.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,22.12.2008,31.12.2010,AIRFIL OY,30 400,0,45 600,0,76 000,0
A541634,EAKR,Rauma Interior/International Operations,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,22.12.2008,31.3.2010,RAUMA INTERIOR GROUP OY,19 560,0,29 340,0,48 900,0
A541240,EAKR,Yksityisen liikunta- ja vapaa-ajankeskuksen rakentaminen Mänttään esiselvitys.,Västra Finland,2,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,1.1.2009,31.3.2010,MÄNTÄN KAUPUNKI,22 720,0,34 080,0,56 800,0
A541263,EAKR,Koneistuskapasiteetin kasvattaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,27.11.2008,31.12.2010,LEVY- JA TERÄSRAKENNE HORSMALAHTI OY,16 000,0,24 000,0,40 000,0
A541284,EAKR,Avainhenkilön palkkaaminen vastaamaan yrityksen tuotekehitystoiminnasta.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,28.11.2008,30.11.2009,CLS-ENGINEERING OY,10 800,0,16 200,0,27 000,0
A541394,EAKR,"Uusi aika- uudenlainen johtaminen; tavoitteena vahvistaa yrityksen liiketoiminta-, vuorovaikutus- ja johtamistaitoja entista tuotannollisemmiksi.",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamhet pågår,4.12.2008,30.6.2010,HÄRMÄ FOOD OY,3 627,0,5 533,0,9 160,0
A541411,EAKR,Lastujätepuristin,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamheten har upphört,8.10.2008,31.12.2009,KONEISTUS AUTIO OY,13 864,12 981,21 146,19 800,35 973,33 744
A541412,EAKR,Kehittämisinvestointi,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,2.10.2008,31.12.2010,PINTOS OY,123 108,0,184 662,0,307 770,0
A541420,EAKR,Flexolaaattojen valmistuslaitteiston ja flexonesteen tislauslaitteiston hankkiminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,8.12.2008,31.10.2010,VINSET OY,5 520,0,8 280,0,13 800,0
A541425,EAKR,Jalostusasteen nostaminen pinnoituslinjalla,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,8.12.2008,31.5.2010,HALLTEX OY,30 260,0,45 390,0,75 650,0
A541870,EAKR,Vientikaupan tehostaminen.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamhet pågår,16.1.2009,31.7.2010,REMU OY,29 763,0,45 397,0,75 160,0
A541878,EAKR,Fibratus -sellueristeen valmistuksen käynnistys Keski-Suomessa,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,15.1.2009,31.12.2010,KESKI-SUOMEN SELLUERISTE OY,14 400,0,21 600,0,36 000,0
A541946,EAKR,Tulevan jäteveden ohjainjärjestelmä,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,22.1.2009,31.12.2010,FINNCHAIN OY,15 664,0,23 496,0,39 160,0
A541983,EAKR,Koneistuskapasiteetin tehostaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,19.1.2009,31.8.2009,SORVAAMO KIVI OY,7 200,6 684,10 800,10 027,18 000,16 711
A541991,EAKR,Bioenergian valmistaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,23.1.2009,31.12.2009,PR SORA OY,35 240,35 240,52 860,52 860,88 100,88 100
A542012,EAKR,Hydrauliikkaletkuasennelmatuotannon kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,26.1.2009,31.12.2009,VIRHYDRO OY,8 300,6 496,12 450,9 744,20 750,16 240
A542013,EAKR,Viennin edistäminen Euroopan markkinoille.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamhet pågår,28.1.2009,30.9.2009,PINOMATIC OY,7 172,0,10 938,0,18 110,0
A542025,EAKR,MultiPick-keräilyjärjestelmän markkinaselvitys uusilla markkina-alueilla Keski-Euroopassa ja Pohjois-Amerikassa,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,29.1.2009,31.1.2010,CIMCORP OY,31 400,0,47 100,0,78 500,0
A542052,EAKR,"Markkinakartoitus Karhuvalu Oy:n takaiskuventtiilien vientimahdollisuuksista Euroopan, Venäjän ja IVY-maiden telakoille",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,30.1.2009,30.9.2010,KARHUVALU OY,8 800,0,13 200,0,22 000,0
A542061,EAKR,Koneistusteknologian kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,30.1.2009,28.2.2010,URJALA WORKS OY,24 624,0,36 936,0,61 560,0
A542072,EAKR,M-Files-ohjelmiston USA:n markkinoille tuloon liittyvät selvitykset ja valmiuksien luominen.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,30.1.2009,31.12.2010,MOTIVE SYSTEMS OY,24 716,0,37 074,0,61 790,0
A542083,EAKR,NEK-Future,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Österbotten, företagsstöd",Verksamhet pågår,3.2.2009,30.12.2009,NÄRPIÖN ERIKOISVAUNUT NEK OY,13 520,0,20 280,0,42 750,0
A542094,EAKR,Tuotannon tehostamishanke,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,29.1.2009,31.5.2010,KARTO OY,134 320,0,201 480,0,335 800,0
A542101,EAKR,Laitehankinnat metallitoimintaa varten,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,27.1.2009,31.5.2010,TEHOPAINE POLVILAMPI OY,4 460,0,6 690,0,11 150,0
A542206,EAKR,"Metallikylä, Vetovoimainen pohjoissatakuntalainen yrityskeskittymä",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,9.2.2009,31.12.2010,PRIZZTECH OY,76 000,0,84 000,0,190 000,0
A542210,EAKR,ENERSENSE GLOBAL,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,9.2.2009,30.6.2010,ENERSENSE OY,16 040,0,24 060,0,40 100,0
A542279,EAKR,Kansainvälistymisvalmuksien kehittäminen Venäjälle,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,11.2.2009,31.3.2010,TAM-SILK OY,7 320,0,10 980,0,18 300,0
A542280,EAKR,Puhdasilmaleipomon kehittämisprojekti,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,1.3.2009,31.12.2011,UOTILAN LEIPOMO OY,108 822,0,150 278,0,259 100,0
A542304,EAKR,Uusi tuotantotila Sateenkaarentaa,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,5.2.2009,1.9.2010,SATEENKAARENTAA,3 500,0,5 250,0,8 750,0
A542308,EAKR,Tuotantohallin laajennus,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,13.2.2009,15.3.2010,FP FINNPROFILES OY,30 740,0,46 110,0,76 850,0
A542465,EAKR,Tietotekniikan hyväksikäytön kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,23.2.2009,31.3.2010,OY TAMPEREEN KOVAKIVI -TAMMERFORS HÅRDSTEN AB,8 492,0,11 728,0,20 220,0
A542469,EAKR,Turvallisuusalan franchising-liiketoiminnan kehittämishanke,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,20.2.2009,31.12.2010,SATAVARTIO KY,15 000,0,22 500,0,37 500,0
A542480,EAKR,Liiketoiminnan suunnittelu ja kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,20.2.2009,31.3.2010,TEKMIL OY,15 580,7 580,23 370,11 370,38 950,18 950
A542499,EAKR,Yrittäjän tukiryhmä taloustaantumaa torjumassa,Västra Finland,2,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,1.3.2009,28.2.2011,PIRKANMAAN YRITTÄJÄT RY,73 059,0,100 891,0,173 950,0
A543057,EAKR,"Hakelämpölaitoksen rakentaminen, 1 MW.",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,18.3.2009,28.2.2010,BETSET OY,60 000,0,90 000,0,150 000,0
A543247,EAKR,Vipuvoimaa tuotekehityksestä,Västra Finland,2,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,26.3.2009,30.11.2011,SATAKUNNAN AMMATTIKORKEAKOULU,88 427,0,88 423,0,221 067,0
A543298,EAKR,Tuotannon tehostaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,27.3.2009,30.9.2009,PAINOTALO SILKKISIIPI OY,1 720,1 130,2 580,1 695,4 300,2 825
A543304,EAKR,Betonipainon kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,24.3.2009,28.2.2011,SEMENTTIVALIMO REIJO ARGILLANDER,12 624,0,18 936,0,31 560,0
A543313,EAKR,Karvian Konepaja Oy:n tuotantohallin laajennus,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,31.3.2009,30.9.2010,KARVIAN KUNTA,71 200,0,106 800,0,178 000,0
A543489,EAKR,Markkinakartoitus Latinalaiseen Amerikkaan,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,30.3.2009,31.12.2010,PRO MARK OY,16 120,0,24 180,0,40 300,0
A543492,EAKR,Eristekourun pinnoituskone QLM,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,25.3.2009,30.6.2010,QUATTROTEC OY,30 800,0,46 200,0,77 000,0
A543498,EAKR,Waltikan nykyaikaistaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,27.3.2009,31.12.2009,VALKEAKOSKEN WALTIKKA OY,8 200,0,12 300,0,20 500,0
A543499,EAKR,Ruotsin viennin kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,27.3.2009,31.12.2009,VS-HARJA OY,7 200,0,10 800,0,18 000,0
A543500,EAKR,Puolijohde- ja kuituteknologian kehittäminen,Västra Finland,2,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,30.3.2009,30.10.2010,TAMPEREEN TEKNILLINEN YLIOPISTO,98 524,0,147 786,0,246 310,0
A542863,EAKR,Työ- ja huototilojen rakentaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,13.3.2009,30.9.2010,KIINTEISTÖPALVELU NIEMELÄ,16 800,5 410,25 200,8 114,42 000,13 524
A542878,EAKR,Piharakenteiden vientimahdollisuuksien kartoitus Venäjällä,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,12.3.2009,31.3.2010,TAMMISTON PUU OY,15 100,0,22 650,0,37 750,0
A542944,EAKR,"Suomalaisen turvallisuus- ja ympäristöteknologian uusi vientiohjelma, jossa viedään suomalaista huipputeknologiaa ulkomaille yhdessä viranomaisten tai alan huippuasiantuntijoiden kanssa.",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,10.3.2009,9.3.2010,NAVARO 245 OY,10 000,4 200,15 000,6 300,25 000,10 500
A542946,EAKR,Uusitaan vanha öljylämmitys maalämpöön.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,13.3.2009,31.8.2009,KIINTEISTÖ OY VAAJAKOSKEN SULUNPERÄNTIE 21C/O RAKENNUSPALVELU P & P HEIKKINEN OY,2 640,2 640,3 960,3 960,6 600,6 600
A542948,EAKR,Jyväskylän Korpilahden vierassataman palvelutilojen uudisrakentaminen.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,4.3.2009,31.8.2010,SATAMAKAPTEENI OY,49 200,0,73 800,0,123 000,0
A542965,EAKR,Generic Product Design Optimization Environment with Knowledge Transfer Aspect,Västra Finland,2,Tekes,Verksamhet pågår,1.4.2009,31.3.2011,JYVÄSKYLÄN YLIOPISTO,163 910,0,254 440,0,418 350,0
A542992,EAKR,Liikkuva oppimisympäristö,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,1.9.2009,31.8.2011,PORIN AIKUISKOULUTUSSÄÄTIÖ,50 000,0,75 000,0,125 000,0
A543005,EAKR,Utveckling av laspallsspikmaskin,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Österbotten, företagsstöd",Verksamhet pågår,1.4.2009,1.4.2011,OY MIKROMETALLI AB,24 150,0,16 100,0,40 250,0
A543016,EAKR,Tuotantotilat ja konehankinnat,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamhet pågår,20.3.2009,31.12.2010,ATENO OY,179 150,0,273 250,0,452 400,0
A543019,EAKR,Lautasliinatuotannon tuotevalikoiman laajentaminen ja tuotannon volyymin nostaminen.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,19.3.2009,31.12.2011,OY FIBLON AB,192 000,0,288 000,0,480 000,0
A543031,EAKR,Skandinavian vientihanke,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,20.3.2009,31.12.2010,SATATUOTE OY,6 140,0,9 210,0,15 350,0
A542554,EAKR,Koneiden ja laitteiden hankinta,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,25.2.2009,31.8.2009,HALLIMESTARI OY MARKKINOINTI,4 800,4 311,7 200,6 467,12 000,10 778
A542638,EAKR,Uusiin maihin ja alueisiin kohdistuvat vientiprojektit v. 2009,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,27.2.2009,30.6.2010,NELOSTUOTE OY,24 768,0,37 152,0,61 920,0
A542649,EAKR,Kehittävät koneinvestoinnit,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Österbotten, företagsstöd",Verksamhet pågår,23.2.2009,30.9.2011,OY PUU-COMPONENT AB,68 000,0,102 000,0,170 000,0
A542650,EAKR,Mapromec-MT&A tutkimus.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Österbotten, företagsstöd",Verksamhet pågår,24.2.2009,28.2.2011,OY MAPROMEC AB,41 336,0,62 004,0,103 340,0
A542651,EAKR,Visualweb Prosessi 2009.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Österbotten, företagsstöd",Verksamhet pågår,24.2.2009,31.3.2010,VISUALWEB OY,12 560,6 484,18 840,9 727,31 400,16 211
A542652,EAKR,Microsoft-kumppanuushanke 2009-2010.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Österbotten, företagsstöd",Verksamheten har upphört,24.2.2009,31.3.2010,VISUALWEB OY,4 000,3 986,6 000,5 980,10 000,9 966
A542662,EAKR,Liiketoimintajohtajan palkkaaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,27.2.2009,30.4.2011,SAARIJÄRVEN SÄILIÖVALMISTE OY,32 420,0,48 630,0,81 050,0
A542676,EAKR,Viennin käynnistäminen Ruotsiin,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,4.3.2009,31.10.2010,W1TT GROUP OY,18 448,5 032,27 672,7 549,46 120,12 581
A542677,EAKR,Yrityksen aloitusinvestoinnit,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,27.2.2009,30.3.2010,FINRAUTA OY,4 400,0,6 600,0,11 885,0
A542678,EAKR,"KotiData kehitys. Hanke sisältää KotiData Oy:n liiketoiminnan vakiinnuttamisen, kehittämisen ja franchisekelpoisuuden varmistamisen.",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,21.2.2009,20.2.2011,KESKI-SUOMEN KOTIDATA OY,13 308,0,19 962,0,33 270,0
A542741,EAKR,Metalliosien pesu- jauhemaalauslinja.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,9.3.2009,31.12.2009,FINNPELTI OY,15 480,0,23 220,0,38 700,0
A540969,EAKR,Byggnadstekniska produkter i profilerad stål,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Österbotten, företagsstöd",Verksamhet pågår,31.10.2008,1.11.2010,OY PROCONS AB,32 400,0,48 600,0,81 000,0
A541063,EAKR,Energiapuun korjuuseen liittyvät investoinnit,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,5.11.2008,31.5.2009,T JA E PASANEN,11 701,11 227,28 099,26 962,39 800,38 189
A541077,EAKR,Tuotekehityshanke,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,11.11.2008,31.1.2010,KESKI-SUOMEN MEKATRONIIKKA OY,10 384,0,15 576,0,25 960,0
A541083,EAKR,Talousjohtamisen kehitysohjelma,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,11.11.2008,31.12.2009,CASATINO OY,10 800,5 175,16 200,7 762,27 000,12 937
A541119,EAKR,CNC-sorvin hankinta,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,13.11.2008,31.12.2009,AHO-MET OY,6 788,6 300,10 182,9 450,16 970,15 750
A541121,EAKR,Kansainvälistyminen 2009,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,13.11.2008,30.11.2010,STEERPROP OY,19 560,0,29 340,0,48 900,0
A541146,EAKR,Valmistuksen tehokkuus vastaamaan yrityksen kasvutavoitteita,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,14.11.2008,31.10.2010,EURAN HYDRAULIIKKA JA METALLIRAKENNE OY,10 960,0,16 440,0,27 400,0
A541162,EAKR,"Tikkakosken lämpökeskus, 2,5 MW:n pellettilämpökeskus.",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,12.11.2008,31.7.2009,VAPO OYLÄMPÖ JA SAHKÖ,9 858,8 896,23 902,21 570,33 760,30 466
A541168,EAKR,Tuotannon tehostaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamhet pågår,19.11.2008,31.12.2010,BJÖRNSTEEL OY,27 122,0,43 878,0,71 000,0
A540742,EAKR,100 kW:n pellettipoltin.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,8.10.2008,30.11.2010,ÄÄNEKOSKEN RK OY,1 668,0,2 502,0,4 170,0
A540758,EAKR,"Kymönkosken koulun lämmitysjärjestelmän muutos, pellettikattila 90 kW.",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,9.10.2008,31.3.2009,VIITASAAREN KAUPUNKI,1 196,1 185,1 794,1 778,14 979,14 815
A540759,EAKR,Hakelämpökeskus,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,13.10.2008,30.6.2010,KIINTEISTÖ OY TAKALANTIE 3 PUUPPOLAC/O TOMMI MÄKINEN,17 968,0,26 952,0,44 920,0
A540761,EAKR,"Toimitilojen rakentaminen, kone- ja laitehankinnat",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,14.10.2008,31.12.2015,STONEL OY,0,0,0,0,0,0
A540819,EAKR,Kone- ja laitehankinnat,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,17.10.2008,31.3.2010,VAHTI OY,40 500,0,60 750,0,101 250,0
A540826,EAKR,Prosessi-innovaatioiden tuottamisen teknologiat,Västra Finland,2,Tekes,Verksamheten har upphört,1.6.2008,31.12.2008,TAMPEREEN TEKNILLINEN YLIOPISTOPORIN YKSIKKÖ,63 592,63 592,80 575,80 575,144 167,144 167
A540834,EAKR,Automaattinen tasohiomakone,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,15.10.2008,30.10.2009,JYVÄSKYLÄN TERÄHUOLTO OY,8 692,8 385,13 038,12 577,21 730,20 962
A540855,EAKR,Tuotannon kehittämisinvestointi,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,20.10.2008,31.12.2009,SEAPACK OY,154 228,144 184,231 342,216 276,385 570,360 460
A540873,EAKR,Energiapuukorirakenteet,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,13.10.2008,31.12.2009,KULJETUSLIIKE ANO HEIKKILÄ OY,12 776,12 776,19 164,19 164,31 940,31 940
A540882,EAKR,Ohjelmistojen toimittaminen palveluina,Västra Finland,2,Tekes,Verksamhet pågår,1.1.2009,31.3.2010,JYVÄSKYLÄN YLIOPISTO,59 524,31 356,91 976,48 451,151 500,79 807
A540915,EAKR,Hyvinvointipalvelujen tarve Suupohjassa -esiselvitys,Västra Finland,2,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamhet pågår,28.10.2008,30.9.2009,SUUPOHJAN ELINKEINOTOIMEN KUNTAYHTYMÄ,12 281,0,14 129,0,26 410,0
A540928,EAKR,Strategian ja johdon työskentelyn kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamhet pågår,28.10.2008,30.9.2010,ADEA OY,15 484,0,23 616,0,39 100,0
A534817,EAKR,Utveckling av hydrokopter / Hydrokopterin kehittäminen.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Österbotten, företagsstöd",Verksamhet pågår,12.4.2007,30.4.2010,ARCTIC ANT LTD OY AB,19 712,0,29 568,0,49 280,0
A534843,EAKR,Infertiliteettihoitohin liittyvän laboratoriotoiminnan käynnistäminen,Västra Finland,2,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,1.6.2007,31.5.2008,OVUMIA OY,33 764,33 591,50 646,50 386,84 410,83 977
A534849,EAKR,Toimintajärjestelmä,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,10.4.2007,31.3.2008,WELLQUIP OY,9 420,9 420,14 130,14 130,23 550,23 550
