"Koodi","Rahasto","Projektin nimi","Ohjelma / osio","Tl","Viranomainen","Toiminnan tila","Aloituspvm","Päättymispvm","Toteuttajan nimi","Myönnetty,EU-rahoitus","Toteutunut,EU-rahoitus","Myönnetty,valtion,rahoitus","Toteutunut,valtion,rahoitus","Suunniteltu,julkinen,rahoitus,yhteensä","Toteutunut,julkinen,rahoitus,yhteensä"
"S11278","ESF","Nanotech North-Karelia","Itä-Suomen suuralueosio",3,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",11/09/09,31/12/10,"Joensuun Tiedepuisto Oy",74612,0,0,0,84529,0
"S11279","ESF","Nanotech South-Savo","Itä-Suomen suuralueosio",4,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",07/09/09,31/12/10,"Miktech Oy",74611,0,0,0,84528,0
"S11280","ESF","Kompassi, työvoimapoliittiset toimenpiteet","Pohjois-Suomen suuralueosio",2,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/12,"Lapin elinkeino-,liikenne- ja ympäristökeskus",123000,0,0,0,802600,0
"S11281","ESF","Innovaatioassistentti - korkeakoulupohjaista osaamista yrityksiin ja työorganisaatioihin / työvoimapoliittiset toimet","Itä-Suomen suuralueosio",2,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/11/09,31/07/12,"Pohjois-Karjalan TE-keskus",82000,0,0,0,209000,0
"S11282","ESF","Kerttu ja Kauko","Pohjois-Suomen suuralueosio",2,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,31/03/13,"Pudasjärven kaupunki",126574,0,0,0,476552,0
"S11283","ESF","VALO- projekti (välityömarkkinoilla olevien ammattitaidon lisääminen opetuksella)","Länsi-Suomen suuralueosio",2,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,31/08/13,"Rauman Seudun Katulähetys ry",430350,0,0,0,971750,0
"S11284","ESF","Upeeta 3 - Uutta palveluliiketoimintaa ennalta ehkäisyn ja työhyvinvoinnin avuksi","Etelä-Suomen suuralueosio",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/10,31/12/11,"Lahden Alueen Kehittämisyhtiö Oy",95667,0,0,0,202589,0
"S11285","ESF","Ammattikorkeakoulujen neloskierre","Valtakunnallinen osio",3,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/09,31/08/12,"HAAGA-HELIA ammattikorkeakoulu",405013,0,0,0,1291013,0
"S11286","ESF","Nuorten ammatinvalintaan ohjaava toiminta Kainuussa","Itä-Suomen suuralueosio",2,"Kainuun elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/02/10,31/12/12,"Spartak Kajaani Ry",181885,0,0,0,669549,0
"S11287","ESF","SITEB - Structures for International Technology Education Business","Länsi-Suomen suuralueosio",3,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,31/12/12,"Jyväskylän Ammattikorkeakoulu Oy",194455,0,0,0,415250,0
"S11288","ESF","SARANA - Työelämän moniammatillinen oppimis- ja kehittämisareena - sosiaalialan pilotoinnista visioita hyvinvointialalle","Länsi-Suomen suuralueosio",3,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,31/03/13,"Jyväskylän Ammattikorkeakoulu Oy",171945,0,0,0,414690,0
"S11289","ESF","Futurex - Future Experts","Valtakunnallinen osio",3,"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/03/10,31/12/12,"Turun yliopisto",312592,0,0,0,1174330,0
"S11290","ESF","Itä-Suomen Verkostoveturi","Itä-Suomen suuralueosio",1,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/10,31/12/11,"Teknologiateollisuus ry",203000,0,0,0,203000,0
"S11291","ESF","Työelämän koulutusneuvojat","Valtakunnallinen osio",3,"Työ- ja elinkeinoministeriö","Toiminnassa",01/01/10,31/12/13,"Työväen Sivistysliitto TSL ry",209100,0,0,0,658100,0
"S11292","ESF","Unelmia uudesta työstä","Valtakunnallinen osio",3,"Työ- ja elinkeinoministeriö","Toiminnassa",01/01/10,31/12/12,"TJS Opintokeskus",72769,0,0,0,202173,0
"S11293","ESF","Osaamisen ja asiantuntijuuden integroidut ratkaisut kansainvälisille markkinoille","Länsi-Suomen suuralueosio",3,"Keski-Suomen liitto","Toiminnassa",01/01/10,31/12/11,"Jyväskylän seudun kehittämisyhtiö Jykes Oy",93334,0,0,0,123334,0
"S11294","ESF","Kisällikoulu","Etelä-Suomen suuralueosio",2,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/03/10,29/02/12,"Päijät-Hämeen koulutuskonserni/Koulutuskeskus Salpaus",242703,0,0,0,527994,0
"S11295","ESF","LAPIN UUSIUTUVAN ENERGIAN TUOTANNON JA ENERGIATEHOKKUUDEN KOULUTUSJÄRJESTELMÄN KEHITTÄMINEN JA TOIMINNAN KÄYNNISTÄMINEN - ""LAPIN ENERGIAKOULU""","Pohjois-Suomen suuralueosio",3,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",04/01/10,31/12/12,"Rovaniemen koulutuskuntayhtymä",246038,0,0,0,719880,0
"S11296","ESF","Sosiaalisen työllistämisen strategia sekä työelämään kuntoutumisen polut Kemijärvellä ja Pelkosenniemellä","Pohjois-Suomen suuralueosio",2,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/02/10,31/12/11,"Kemijärven kaupunki",93900,0,0,0,286910,0
"S11297","ESF","Vesialan tutkimuksen ja koulutuksen yhteistoiminnan kehittäminen ja yhteisen toimintamallin määrittäminen","Itä-Suomen suuralueosio",3,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/10,30/06/12,"Savonia-ammattikorkeakoulun kuntayhtymä",55700,0,0,0,185551,0
"S11298","ESF","Työkuntovalmennus ja työllistymismallin kehittämis- ja pilotointihanke; TyöKuntoValmennus","Itä-Suomen suuralueosio",2,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,30/05/12,"Kruunupuisto Oy, Punkaharjun kuntoutuskeskus",235716,0,0,0,235716,0
"S11300","ESF","Työvoimakoulutusosio, TyöKuntoValmennus","Itä-Suomen suuralueosio",2,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,30/05/12,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus",311284,0,0,0,311284,0
"S11302","ESF","Semi-Open Innovation Net - SOINet","Etelä-Suomen suuralueosio",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,31/12/12,"Hämeen ammattillisen korkeakoulutuksen kuntayhtymä",138510,0,0,0,279000,0
"S11303","ESF","Lapin pk-yritysten liikkeenjohdon ja avainhenkilöiden kansainvälistymisvalmiuksien kehittäminen","Pohjois-Suomen suuralueosio",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/10,31/12/11,"Rovaniemen Kehitys OY",306289,0,0,0,612578,0
"S11304","ESF","Ukk - Uusi kasvu ja kansainvälistyminen","Etelä-Suomen suuralueosio",1,"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/05/10,31/10/12,"Yrityssalo Oy",490500,0,0,0,1205820,0
"S11305","ESF","OVET - VIE-osaajana työmarkkinoilla","Valtakunnallinen osio",3,"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,31/03/13,"Aleksanteri-instituutti, Helsingin yliopisto",149880,0,0,0,707540,0
"S11306","ESF","REKRY-AMARE","Etelä-Suomen suuralueosio",4,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/06/10,31/03/13,"Helsingin yliopisto Koulutus- ja kehittämiskeskus Palmenia",263205,0,0,0,620598,0
"S11307","ESF","Kerttu ja Kauko - TYÖVOIMAPOLIITTISET TOIMENPITEET","Pohjois-Suomen suuralueosio",2,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,31/03/13,"Pohjois-Pohjanmaan ELY-keskus",77384,0,0,0,343188,0
"S11308","ESF","TALAS- kehittämishanke(S11277)/Työvoimapoliittiset toimenpiteet","Itä-Suomen suuralueosio",2,"Kainuun elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",23/03/10,31/12/11,"Kainuun elinkeino-, liikenne- ja ympäristökeskus",622279,0,0,0,1244558,0
"S11309","ESF","Itä-Suomen kirjastohenkilöstön pätevöittämiskoulutus KIPA","Itä-Suomen suuralueosio",3,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/10,31/01/13,"Itä-Suomen yliopisto",137040,0,0,0,506800,0
"S11310","ESF","SOTEFO - Koulutuksen ja työelämän virtuaalinen oppimisfoorumi ja uudet teknologis-pedagogiset toimintamuodot sosiaali- ja terveysalan aikuiskoulutuksessa","Valtakunnallinen osio",3,"Opetushallitus","Toiminnassa",01/04/10,31/03/13,"Etelä-Karjalan koulutuskuntayhtymä",175927,0,0,0,863533,0
"S11311","ESF","Lähde työelämään","Valtakunnallinen osio",3,"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/05/10,30/04/13,"Turun yliopisto",214058,0,0,0,1294300,0
"S11312","ESF","Valtavirtaistaminen käytäntöön","Valtakunnallinen osio",1,"Sosiaali- ja terveysministeriö","Toiminnassa",01/03/10,28/02/12,"Sosiaalikehitys Oy",390281,0,0,0,428460,0
"S11313","ESF","KOMEE - Kone- ja metallitekniikan osaamis- ja koulutusverkosto","Itä-Suomen suuralueosio",3,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,30/06/12,"Pohjois-Karjalan ammattikorkeakoulu-liikelaitos",200202,0,0,0,500000,0
"S11314","ESF","Meriteollisuuden rakennemuutos - Meriteollisuusyritysten uusien liiketoimintakonseptien kehittäminen ja osaamisen varmistaminen","Etelä-Suomen suuralueosio",1,"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",17/05/10,30/10/12,"Koneteknologiakeskus Turku Oy",265050,0,0,0,471200,0
"S11315","ESF","MixMax - Polku työhön! Työvoimapoliittiset toimenpiteet","Länsi-Suomen suuralueosio",2,"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/10,31/01/13,"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus",147135,0,0,0,380670,0
"S11316","ESF","Työhyvinvoinnilla tulosta, työvoimapoliittiset toimenpiteet","Valtakunnallinen osio",2,"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/10,30/09/12,"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus",33750,0,0,0,33750,0
"S11317","ESF","Luonnontieteellisten kokoelmien digitointiosaamisen kehittämishanke","Itä-Suomen suuralueosio",3,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,31/12/12,"Itä-Suomen yliopisto",242800,0,0,0,1075500,0
"S11318","ESF","DIGIREGION - Digitaalisen sisältöliiketoiminnan kansainvälistämisen alueelliset kehittämis- ja tukipalvelut","Itä-Suomen suuralueosio",3,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/10,31/12/12,"Pohjois-Karjalan ammattikorkeakoulu-liikelaitos",92595,0,0,0,427122,0
"S11319","ESF","Työllistä välittäen - Välitä työllistäen","Valtakunnallinen osio",2,"Sosiaali- ja terveysministeriö","Toiminnassa",01/12/09,31/12/12,"VATES-säätiö",290263,0,0,0,1151090,0
"S11320","ESF","Venäläisille maahanmuuttajille suunnatun Mosaiikki-lehden julkaiseminen Pohjois-Savossa","Itä-Suomen suuralueosio",2,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/10,31/12/12,"Suomi-Venäjä-Seuran Itä-Suomen piirijärjestö ry.",44000,0,0,0,56500,0
"S11322","ESF","Eurooppalainen tasa-arvon peruskirja kuntien toiminnallisen tasa-arvon systemaattisen edistämisen välineenä","Valtakunnallinen osio",1,"Sosiaali- ja terveysministeriö","Toiminnassa",01/04/10,31/12/12,"Suomen Kuntaliitto ",187315,0,0,0,401430,0
"S11022","ESF","PYÖRRE","Länsi-Suomen suuralueosio",2,"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/07/09,30/06/12,"Valkeakosken seudun koulutuskuntayhtymä",169400,19043,180600,5026,423710,27385
"S11023","ESF","Työvoiman maahanmuutto - TE-toimiston palvelujen kehittäminen","Länsi-Suomen suuralueosio",4,"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/09,31/12/10,"Pirkanmaan TE-keskus",118840,17049,178260,4025,297100,21074
"S11024","ESF","Innovaatioista kasvuun - yrityksen innovaatiotoiminnan työkalut","Länsi-Suomen suuralueosio",3,"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/02/09,31/07/10,"Seinäjoen Teknologiakeskus Oy",24120,26478,30753,0,120600,26478
"S11025","ESF","Tehokas ja vaikuttava hyvinvointipalvelutuotanto","Itä-Suomen suuralueosio",3,"Etelä-Savon maakuntaliitto","Toiminnassa",01/10/09,31/07/12,"Diakonia-ammattikorkeakoulu",75125,0,50080,0,381949,0
"S11026","ESF","Art Hub - luovien alojen osaamisyhteisö","Valtakunnallinen osio",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/06/09,31/05/11,"Tampereen Seudun Uusyrityskeskus ry",132391,0,148940,0,439553,0
"S11027","ESF","Nainen johtajaksi","Valtakunnallinen osio",2,"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/11,"Itä-Suomen Yliopistoseura ry",103000,7504,112000,8160,258000,16164
"S11028","ESF","TE-kolmonen - työvoimapoliittiset toimenpiteet","Länsi-Suomen suuralueosio",1,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/07/09,31/12/11,"Keski-Suomen TE-keskus",920000,0,1380000,0,2300000,0
"S11029","ESF","Vankilaopetuksen hyvät käytännöt ja kehittäminen; Vakes Kainuu","Itä-Suomen suuralueosio",2,"Kainuun elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/07/12,"Siika-Pyhäjokialueen koulutuskuntayhtymä / Piippolan käsi- ja taideteollisuusopisto",57834,5769,43170,0,224548,6189
"S11030","ESF","Vankilaopetuksen hyvät käytännöt ja kehittäminen; Vakes P-P","Pohjois-Suomen suuralueosio",2,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/07/12,"Siika-Pyhäjokialueen koulutuskuntayhtymä / Piippolan käsi- ja taideteollisuusopisto",57863,5253,43141,0,224548,5689
"S11031","ESF","Luovien alojen yrittäjyys Etelä-Savon vahvuudeksi","Itä-Suomen suuralueosio",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/10/09,31/12/11,"Helsingin kauppakorkeakoulu Pienyrityskeskus",62437,0,48463,0,218100,0
"S11032","ESF","Uusi Silta Yrittäjyyteen","Valtakunnallinen osio",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/10,31/12/12,"Lahden alueen uusyrityskeskus ry",187872,0,117420,0,587100,0
"S11033","ESF","Alkavien yrittäjien neuvonta ja sen kehittäminen Kanta-Hämeessä","Valtakunnallinen osio",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/08/12,"Hämeen ammatillisen korkeakoulutuksen kuntayhtymä",185718,45311,181075,0,714300,57356
"S11034","ESF","Matkailijan ja matkailualan työntekijän suojautuminen ja turvallisuus, MatkaSuTu","Valtakunnallinen osio",3,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/05/09,30/04/12,"Työterveyslaitos, TY-osaamiskeskus",84070,22490,94579,0,376474,26459
"S11035","ESF","Hyvinvointialan yritysten liiketoiminnan ja johtamisen valmennusohjelma","Itä-Suomen suuralueosio",1,"Kainuun elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/09,30/12/10,"Kajaanin kaupunki / Kajaanin ammattikorkeakoulu",32318,6543,21752,0,61794,7228
"S11036","ESF","Creative Managers - Luovan talouden kansainvälinen erikoisosaaja- ja tuottajavalmennus","Itä-Suomen suuralueosio",1,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/11,"Pohjois-Karjalan ammattikorkeakoulu",187454,0,123673,0,599402,0
"S11037","ESF","Kiravo - kirjasto avoimena oppimisympäristönä / Biblär - biblioteket som ett öppet lärcentra","Valtakunnallinen osio",3,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/09,31/08/12,"Helsingin kaupunki / Helsingin kaupunginkirjasto",316049,0,311526,0,1012768,0
"S11038","ESF","TYÖMIELI","Länsi-Suomen suuralueosio",2,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/09,30/05/12,"Satakunnan ammattikorkeakoulu",41906,15778,46653,2083,235984,21376
"S11039","ESF","VERKKO HALTUUN! NÄTET I BESITTNING!","Valtakunnallinen osio",3,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/09,31/08/11,"Seinäjoen ammattikorkeakoulu Kulttuurialan yksikkö Kirjasto-ja tietopalvelun koulutusohjelma ",172343,0,180174,0,612900,0
"S11040","ESF","Forssan seudun aloittavien ja jatkavien yritysten neuvontapalvelut","Etelä-Suomen suuralueosio",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/09,31/08/12,"Forssan Seudun Kehittämiskeskus Oy",134880,33290,131508,0,337200,33290
"S11041","ESF","Punainen Talo","Länsi-Suomen suuralueosio",2,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/05/09,30/04/12,"Työvalmennussäätiö Tekevä",59259,5771,62718,0,294176,5771
"S11042","ESF","MONNI - Monikulttuurisempi koulu","Valtakunnallinen osio",2,"Opetushallitus","Toiminnassa",01/01/09,31/12/11,"Helsingin yliopisto, Koulutus- ja kehittämiskeskus Palmenia Kotka",133291,11247,149952,0,524040,12555
"S11043","ESF","Valtaväylä 1- Highway 1, työvoimapoliittiset toimenpiteet","Länsi-Suomen suuralueosio",2,"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",09/06/09,31/05/11,"Etelä-Pohjanmaan TE-keskus",47880,113,64620,542,119700,655
"S11044","ESF","Tervetuloa kotiin, Suupohjaan! työvoimapoliittiset toimenpiteet","Valtakunnallinen osio",4,"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",15/10/08,14/10/11,"Etelä-Pohjanmaan TE-keskus, työllisyys ja yrittäjyys vastuualue",40693,0,39379,0,80072,0
"S11045","ESF","YES-keskus - tukemaan Etelä-Savon oppilaitosten yrittäjyyskasvatusta -","Itä-Suomen suuralueosio",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/11,"Helsingin kauppakorkeakoulu Pienyrityskeskus",154504,0,91521,0,537500,0
"S11046","ESF","Henkilöstön osaamisen vahvistaminen muuttuneessa markkinatilanteessa ja tulevaisuuden uudet oppimismallit","Länsi-Suomen suuralueosio",1,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",14/05/09,17/09/10,"Saarijärven Seudun Yrityspalvelu Oy",184600,0,154600,0,366400,0
"S11047","ESF","Messi - meriteollisuuden sisustusvarustelun verkostokehitys","Valtakunnallinen osio",3,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/05/09,31/12/11,"Prizztech Oy",68887,11330,94030,0,273820,11330
"S11048","ESF","D2B - Uusiutuvan energian kansainvälisten liiketoimintamahdollisuuksien tunnistaminen ja hyödyntäminen energiateknologia-alan yrityksissä","Valtakunnallinen osio",3,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/11,"Hermia Oy",130547,0,169359,0,532851,0
"S11049","ESF","Osaamiskeskusten kansainvälisyysvalmiuksien kehittäminen ja vetovoimaisuuden hyödyntäminen","Valtakunnallinen osio",3,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/09,"TEKEL Oy ",68322,8979,102483,4162,170805,13141
"S11050","ESF","Pk-yritysten kansallinen kasvuohjelma","Valtakunnallinen osio",3,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/11,"TEKEL Oy",254600,34841,381900,0,1101500,34841
"S11051","ESF","NEO-SEUTU","Valtakunnallinen osio",4,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/05/09,31/12/11,"Helsingin kaupunki",283830,0,319309,0,1119833,0
"S11052","ESF","Miehittämättömien alusten koulutus- ja testauskeskuksen kehittämishanke","Pohjois-Suomen suuralueosio",3,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/09,31/12/10,"Kemijärven kaupunki, Itä-Lapin oppimiskeskus",118554,0,81714,0,235608,0
"S11053","ESF","KORSI - Korkeakoulutettujen osaaminen Keski-Suomen hyväksi","Länsi-Suomen suuralueosio",3,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/05/09,30/04/12,"Jyväskylän Ammattikorkeakoulu Oy",136269,6864,144685,0,601505,6864
"S11054","ESF","Pohjois-Pohjanmaan ProtekTuki -projektin työvoimapoliittiset toimenpiteet","Valtakunnallinen osio",1,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/07/09,30/06/11,"Pohjois-Pohjanmaan TE-keskus",354000,62617,346000,0,700000,62617
"S11055","ESF","AgroInka -Agroteknologian innovaatio- ja kasvuohjelma","Valtakunnallinen osio",3,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/11,"Seinäjoen Teknologiakeskus Oy",48060,0,64590,0,190200,0
"S11056","ESF","Nanotech Finland","Valtakunnallinen osio",3,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/06/09,31/12/10,"Jyväskylä Innovation Oy",52614,0,63488,0,427442,0
"S11057","ESF","Palkkastartti-hanke","Länsi-Suomen suuralueosio",2,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,28/02/11,"Keski-Suomen ELY-keskus",1255000,2457,1625000,3182,3865637,5639
"S11058","ESF","BALTIC SEA INTEGRATION -hanke","Valtakunnallinen osio",3,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/10/09,31/12/11,"HSE Pienyrityskeskus",102938,0,122458,0,461145,0
"S11059","ESF","Työtä ja tekijöitä","Valtakunnallinen osio",2,"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/07/09,31/12/11,"Kaakkois-Suomen TE-keskus",1601000,15471,1815000,17539,3559000,33010
"S11060","ESF","Välityömarkkinoiden kehittäminen -TYÖVOIMAPOLIITTISET TOIMENPITEET","Valtakunnallinen osio",2,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/10,"Pohjois-Pohjanmaan TE-keskus",491480,186896,482520,39463,1274000,371063
"S11061","ESF","Satakunnan Opin ovi","Länsi-Suomen suuralueosio",3,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/07/12,"Porin kaupunki/Satakunnan Oppisopimuskeskus",84600,0,62100,0,418150,0
"S11062","ESF","Maahanmuuttajien elintarvikeosaamisen parantaminen","Etelä-Suomen suuralueosio",3,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/02/09,31/12/10,"Agropolis Oy",74931,25506,25069,7528,114000,34840
"S11063","ESF","Työtä ja osaamista Hämeeseen","Valtakunnallinen osio",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/11,"Hämeen ELY-keskus",433480,5056,650220,8986,1440100,14042
"S11064","ESF","Työtä ja osaamista välityömarkkinoille","Valtakunnallinen osio",2,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/11,"Hämeen ELY-keskus",823520,35117,1172780,58585,2353385,98622
"S11065","ESF","IAV - Itsearviointijärjestelmä ja yritysten osaamisen kehittämisen vaikuttavuus","Länsi-Suomen suuralueosio",3,"Keski-Suomen liitto","Toiminnassa",01/06/09,31/12/10,"Jyväskylän yliopisto/ Koulutuksen tutkimuslaitos",58000,4536,45879,3588,146399,11606
"S11066","ESF","MAKU-HELMI","Pohjois-Suomen suuralueosio",1,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/09,31/12/12,"Siika-Pyhäjokialueen koulutuskuntayhtymä",55329,2489,41739,0,180915,2489
"S11067","ESF","HARKAT 1 - Harjoittelutoiminnan kehittämishanke, vaihe 1","Pohjois-Suomen suuralueosio",2,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/05/09,30/04/10,"Kemi-Tornionlaakson koulutuskuntayhtymä Lappia, Kemi-Tornion Ammattikorkeakoulu",93450,0,56070,0,186900,0
"S11068","ESF","Kompassi - Ammatillisesta kuntoutuksesta kohti avoimia työmarkkinoita","Pohjois-Suomen suuralueosio",2,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/12,"Lapin yliopisto, yhteiskuntatieteiden tiedekunta",47024,7475,30586,0,1484950,8034
"S11069","ESF","MOTKE, matkailun oheispalvelujen tuotteistamis- ja kehittämishanke","Etelä-Suomen suuralueosio",1,"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/09,28/02/11,"Imatran Seudun Kehitysyhtiö Oy",56000,0,56000,0,140000,0
"S11070","ESF","Avara museo - kehittyvä oppimisympäristö aikuisille","Valtakunnallinen osio",3,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/10,31/12/12,"Suomen museoliitto - Finlands museiförbund ry",232034,0,273240,0,849935,0
"S11071","ESF","Korkeakouluopiskelijan syrjäytymisen ehkäiseminen","Valtakunnallinen osio",2,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/07/12,"Tampreen yliopisto, Opettajankoulutuslaitos",327389,87145,337125,0,1719772,104955
"S10972","ESF","Pohjoiset työpaikat,työvoimapoliittiset toimenpiteet","Pohjois-Suomen suuralueosio",2,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/03/09,31/12/13,"Lapin TE-keskus",409200,871,85200,871,1534800,1742
"S10973","ESF","Reimari 2","Pohjois-Suomen suuralueosio",2,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/09,31/05/11,"Keski-Pohjanmaan koulutusyhtymä",85501,0,43389,0,230000,0
