"Koodi","Rahasto","Projektin nimi","Ohjelma / osio","Tl","Viranomainen","Toiminnan tila","Aloituspvm","Päättymispvm","Toteuttajan nimi","Myönnetty,EU-rahoitus","Toteutunut,EU-rahoitus","Myönnetty,valtion,rahoitus","Toteutunut,valtion,rahoitus","Suunniteltu,julkinen,rahoitus,yhteensä","Toteutunut,julkinen,rahoitus,yhteensä"
"S10595","ESF","KUUMA OpinOvi","Etelä-Suomen suuralueosio",3,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/12/08,30/06/11,"Keski-Uudenmaan koulutuskuntayhtymä ",81275,9632,91370,10828,522890,24200
"S10596","ESF","En God Integration av Invandrare i Österbotten, projekt GIIÖB","Länsi-Suomen suuralueosio",3,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/03/08,28/02/11,"Närpes stad/Söff",146648,54483,158802,58144,385800,133749
"S10597","ESF","Hallinnollinen tekninen tuki ESR-toimenpideohjelma","Itä-Suomen suuralueosio",5,"Pohjois-Savon liitto","Toiminnassa",01/01/07,31/12/13,"Pohjois-Savon liitto",6300,6300,3100,3100,9600,9400
"S10598","ESF","Keski-Suomen liiton ESR:n tekninen tuki 2007 - 2013","Valtakunnallinen osio",5,"Keski-Suomen liitto","Toiminnassa",03/01/08,31/12/13,"Keski-Suomen liitto",19700,8668,16300,13341,36000,22009
"S10599","ESF","ESR tekninen tuki, tiedotus ja viestintä, OLH STO","Valtakunnallinen osio",5,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/07,31/12/09,"Oulun lääninhallitus, sosiaali- ja terveysosasto",4760,0,7240,0,12000,0
"S10600","ESF","ESR tekninen tuki, Kainuun toimeenpano ja hallinnointi","Itä-Suomen suuralueosio",5,"Kainuun elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/08,31/12/11,"Kainuun elinkeino-, liikenne- ja ympäristökeskus",13000,0,6000,0,19000,0
"S10601","ESF","ESR-koordinaatio Kainuussa, toimeenpano ja hallinnointi","Itä-Suomen suuralueosio",5,"Kainuun elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/07/07,31/12/10,"Kainuun elinkeino-, liikenne- ja ympäristökeskus",205124,205544,99576,88297,304700,293841
"S10602","ESF","ESR-koordinaatio Kainuussa, tiedotus ja viestintä","Itä-Suomen suuralueosio",5,"Kainuun elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/07/07,31/12/13,"Kainuun elinkeino-, liikenne- ja ympäristökeskus",4712,3227,2288,1503,23000,4730
"S10603","ESF","Näkymiä ympäristöön - tienvarsien kunnostustöitä Etelä-Savossa","Itä-Suomen suuralueosio",2,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/08,31/12/09,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus",411621,610843,411621,184282,823242,795125
"S10604","ESF","Opin Ovi, Etelä-Pirkanmaa","Länsi-Suomen suuralueosio",3,"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/07/08,31/12/12,"Valkeakosken seudun koulutuskuntayhtymä",50717,11780,59283,4875,253000,16655
"S10605","ESF","Pohjanmaan TE-keskus Tekninen tuki - Tiedotus ja viestintä","Valtakunnallinen osio",5,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/07,31/12/13,"Pohjanmaan TE-keskus",1643,0,2357,0,4000,0
"S10606","ESF","Tekninen tuki ESR, hallinnointi, ISLH / SIV","Itä-Suomen suuralueosio",5,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/03/08,31/12/13,"Pohjois-Savon ELY-keskus",687000,433354,527000,332427,1896200,765781
"S10607","ESF","Manner-Suomen ESR-ohjelman tietohallinto (pl. Itä-Suomi)","Valtakunnallinen osio",5,"Työ- ja elinkeinoministeriö","Toiminnassa",01/01/08,31/12/13,"Työ- ja elinkeinoministeriö",369002,177981,595998,315596,3382110,493577
"S10608","ESF","Pajalta tutkintoon - uusien työpajamallien kehittäminen","Itä-Suomen suuralueosio",2,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/11/08,31/12/10,"Mikkelin Ammattikorkeakoulu Oy",171244,52537,88216,27064,551260,83151
"S10609","ESF","Uuteen työhön","Itä-Suomen suuralueosio",3,"Kainuun elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",15/12/08,31/12/10,"Kainuun elinkeino-, liikenne- ja ympäristökeskus",1187932,329890,203068,66752,1391000,396642
"S10610","ESF","ESR-ohjelman Itä-Suomen osion tietohallinto","Itä-Suomen suuralueosio",5,"Työ- ja elinkeinoministeriö","Toiminnassa",01/01/08,31/12/13,"Työ- ja elinkeinoministeriö",186140,166815,161860,145016,902094,311831
"S10611","ESF","Kainuun ESR-tietohallinto","Itä-Suomen suuralueosio",5,"Työ- ja elinkeinoministeriö","Toiminnassa",01/01/08,31/12/13,"Työ- ja elinkeinoministeriö",35000,21087,18000,10845,389266,31932
"S10612","ESF","Satakuntaliiton tekninen tuki ESR 2007-2013","Valtakunnallinen osio",5,"Satakuntaliitto","Toiminnassa",01/01/07,31/12/13,"Satakuntaliitto",20200,1658,15800,2321,63000,3979
