"Prio","OD","Nr","Projectnaam","Promotor","EFRO","Totale kost","EFRO-%","Startdatum","Einddatum"
"P4",1,412,"Oude Dokken - kaaimuur Handelsdok","AG Stadsontwikkelingsbedrijf Gent",2311777.17,5797563.24,39.87%,04/02/14,04/01/16
"P4",1,423,"100 km fietspad!","Stad Antwerpen",2940937.6,9491212.8,30.99%,"4/16/13","4/15/15"
"P4",1,427,"Fochplein","Stad Leuven",1244927.71,3323086,37.46%,12/01/13,12/01/15
"P4",1,499,"Voortraject IPZ","AG VESPA",284607.2,711518,40.00%,09/02/13,09/01/15
"P4",2,10,"De Expeditie","DE EXPEDITIE",494355,1235886.68,40.00%,10/02/12,10/01/14
"P4",2,33,"Pierkespark (Zuurstof voor de Brugse Poort)","Stad Gent",130133.54,325333.86,40.00%,"10/31/12","10/30/14"
"P4",2,78,"Winkelgebied Oud-Berchem en Singel Zuid: Terreinmanagement","WNE-Regievzw voor werk en economie",140535,351559,39.97%,09/02/12,09/01/14
"P4",2,147,"Winkelgebied Antwerpen-Noord en Centraal station: Terreinmanagement","WNE-Regievzw voor werk en economie",178386,445965,40.00%,09/02/12,09/01/14
"P4",2,210,"Facelift Schijnpoortbrug Antwerpen, een toegangspoort naar de stad","Stad Antwerpen",249492.94,623732.37,40.00%,10/02/12,10/02/14
"P4",2,212,"Trafiek - Koffiehuis","Trafiek",41168.77,102921.93,40.00%,01/02/12,01/01/14
"P4",2,216,"Stedelijk Opvanginitiatief Asielzoekers - realisatie tweede fase verbouwing en aanpassing","Stad Gent",260600,651500,40.00%,01/02/13,01/01/15
"P4",2,377,"EXTRA VEEGPLOEGEN BINNENSTAD GENT","Intergemeentelijke Vereniging voor Afvalbeheer in Gent en Omstreken",410242.24,1025605.6,40.00%,03/02/13,03/01/15
"P4",2,496,"Uitbreiding van de renovatietoelage voor handelspanden in Antwerpen","WNE-Regievzw voor werk en economie",166000,415000,40.00%,01/02/14,01/01/16
