"Prio","OD","Nr","Projectnaam","Promotor","EFRO","Totale kost","EFRO-%","Startdatum","Einddatum"
"P1",3,175,"Open Manufacturing","Agoria",286403.88,716009.71,40.00%,"12/19/12","12/18/12"
"P1",3,176,"Logistiek Platform West-Poort","Provincie West-Vlaanderen",214400,536000,40.00%,"11/16/12","11/15/14"
"P1",3,206,"KPLO","Vlaamse ICT Organisatie",270450.76,676126.9,40.00%,09/02/12,09/01/14
"P1",3,448,"ECO_CHEM","FEDERATIE VAN DE CHEMISCHE INDUSTRIE VAN BELGIE",271637.7,679094.3,40.00%,01/02/14,01/02/16
"P1",3,461,"Collectief Cleantech RealisatiePlan","Stad Genk",200000,500000,40.00%,01/02/14,01/01/16
"P1",3,467,"GRASkracht","ONDERSTEUNEND CENTRUM VAN HET AGENTSCHAP VOOR NATUUR EN BOS (OC-ANB)",397015.82,992539.56,40.00%,01/02/14,01/01/16
"P1",4,60,"Xpo als internationale poort - immateriële component","XIM vzw",246666,616666,40.00%,"12/16/12","12/15/14"
"P1",4,67,"Export Kringloopgoederen De Kringwinkel Zuiderkempen","De Kringwinkel Zuiderkempen",178160,445400,40.00%,"10/16/12","10/15/14"
"P1",4,85,"Internationalisatie van de Vlaamse kenniseconomie","Vlaams Agentschap voor Internationaal Ondernemen",193121,482802.48,40.00%,12/02/12,12/01/14
"P1",4,476,"CO2PE!","Groep T",119380.03,298450.07,40.00%,11/02/13,11/01/15
"P1",4,484,"IKEBANA","Universiteit Antwerpen",122694.8,306737.01,40.00%,01/02/14,01/01/16
"P1",5,18,"Holle kunststofproducten d.m.v. waterinjectie realiseren in Vlaanderen","Katholieke Hogeschool Limburg",163792.6,409481.5,40.00%,09/02/12,09/01/14
"P1",5,23,"Centra voor Onafhankelijk Leven: Regionaal kennis- en dienstencentrum voor Persoonsgebonden Budgetten","Budgethoudersvereniging Onafhankelijk Leven",209580,523948,40.00%,07/02/12,07/01/14
"P1",5,28,"Het gebouw maakt ons wijzer","Intercommunale Maatschappij voor de Ruimtelijke Ordening en de Economische Sociale Expansie van het Arrondissement Leuven",300056.8,750142,40.00%,02/02/12,02/01/14
"P1",5,52,"Een passende toekomst","GPB Kamp C - Provinciebestuur Antwerpen",807000,2017500,40.00%,10/02/12,10/01/14
"P1",5,58,"Nul-energie bedrijvencentrum De Basis","GPB Kamp C - Provinciebestuur Antwerpen",131144.64,327861.6,40.00%,01/02/12,01/01/14
"P1",5,59,"Open raam op innovatieve materiaaltechnologie voor een duurzaam Vlaams productielandschap","SIRRIS LEUVEN",390852.65,977131.63,40.00%,12/02/12,12/01/14
"P1",5,65,"Duurzaam en energiezuinig kantoorgebouw Infrax-Wvem in Torrhout","West-Vlaamse Energie- en Teledistributiemaatschappij",300109.6,750274,40.00%,05/02/12,05/01/14
"P1",5,68,"Innovatief duurzaam administratief centrum","Gemeente Zwevegem",308792,771980,40.00%,12/02/12,12/01/14
"P1",5,72,"Laagdrempelige Expertise- en Dienstverleingscentra (LED's)","Provincie West-Vlaanderen",427733,1069333,40.00%,10/02/12,10/01/14
"P1",5,80,"Multifuncitionele sporthal Maldegem","Autonoom Gemeentebedrijf Maldegem",297725.6,744314,40.00%,09/02/12,09/01/14
