Operations,Beneficiaries,Total amount,ESF 50%,ReEgional 50%
Guidance/Recherche Active d’Emploi (RAE),"Service Guidance/RAE et atelier RAE (ACTIRIS)
Mission Locale d’Anderlecht
Mission Locale de Bruxelles-Ville (Promotion de l’emploi)
Mission Locale d’Etterbeek
Mission Locale de Forest
Mission Locale d’Ixelles
Mission Locale de Molenbeek
Mission Locale de Saint-Josse-ten-Noode
Mission Locale de Schaerbeek (Promotion de l’emploi)
Boutique Emploi de Bruxelles Laïque
CAFA
Créemploi
Wolu-Services
M.A.K.S.(Media Actie Kuregem-Stad)/A.Z.W . Kurasaw
Association 29 rue blanche
Après
Fondation travail et sante
Impulsion
Info-Sourds
Lire et Ecrire","2.822.511,44","1.411.255,72","1.411.255,72"
Accompagnement des be_ne_ficiaires du revenu d’inte_gration sociale,"CPAS (Centre Public d’Aide Sociale) d’Anderlecht
CPAS d’Auderghem
CPAS de Berchem-Sainte-Agathe
CPAS de Bruxelles-Ville
CPAS d’Etterbeek
CPAS d’Evere
CPAS de Forest
CPAS de Ganshoren
CPAS d’Ixelles
CPAS de Jette
CPAS de Koekelberg
CPAS de Molenbeek-Saint-Jean
CPAS de Saint-Gilles
CPAS de Saint-Josse-ten-Noode
CPAS de Schaerbeek
CPAS de Uccle
CPAS de Watermael-Boitsfort
CPAS de Woluwé-Saint-Lambert
CPAS de Woluwé-Saint-Pierre","1.136.529,01","568.264,51","568.264,51"
Accompagnement a_ la cre_ation de son emploi,"Ce_raction
Apre_s
Iles","201.637,74","100.818,87","100.818,87"
Actions en faveur de la diversite_ et lutte contre la discrimination,Actions en faveur de la diversite_ et lutte contre la discrimination (ACTIRIS),"252.335,06","126.167,53","126.167,53"
Garde d’enfants,"Maison d’enfants d’ACTIRIS               Crèche du Béguinage
Crèche Cardinal Mercier
Halte-garderie de la Senne
Crèche de jour Reine Marie-Henriette (conventions 1 et 2) 
Crèche Le Lapin blanc
Crèche Les amis d’Aladdin
Crèche royale Sainte-Marie Le Nid
Crèche royale Sainte-Geneviève (conventions 1 et 2)
Crèche Sainte-Anne
Crèche de Bruxelles-Ville – Ernest Salu
Crèche de Bruxelles-Ville – Locquenghien
Halte-garderie L’aquarelle
Crèche Les bambins du coin
Elmer West                                ","1.777.541,79","888.770,90","888.770,90"
Coordination du Pacte territorial pour l’Emploi,Pacte territorial pour l’emploi en RBC,"112.008,74","56.004,37","56.004,37"
Coordination me_thodologique du Re_seau des plateformes locales pour l’emploi (RPE),Re_fe_rents me_thodologiques du Re_seau des plates-formes locales pour l’emploi (ACTIRIS),"246.782,70","123.391,35","123.391,35"
Coordination et de_veloppement me_thodologiques des services aux chercheurs d’emploi,Coordination du re_seau Recherche Active d’Emploi (ACTIRIS),"105.808,68","52.904,34","52.904,34"
ESF NAP Impact Assessment Cell (ENIAC) RBC,« ENIAC » Re_gion de Bruxelles-Capitale (experte ACTIRIS),"43.320,18","21.660,09","21.660,09"
Analyse du marche_ du travail et des qualifications et anticipation des besoins en qualification,Observatoire bruxellois du marche_ du travail et des qualifications (ACTIRIS),"759.545,78","379.772,89","379.772,89"
