Beneficiaries,Portefeuilles,Project name,Decision date,Total eligible costs,Amount awarded by the FEDER,Amount awarded by Wallonnia region,Total cost,Final FEDER
Union des classes moyennes de la province de Liege,Stimulation de l'animation economique en province de Liege,COORDONNER-transmission des entreprises,21/03/2008,844.203,"337.681,2",295.471,"9.610,0",3.844
Union des classes moyennes de la province de Liege,Stimulation de l'animation economique en province de Liege,CREER-STARTER intensive,21/03/2008,775.561,"310,224,4","271.446,35",5.383,2.153
CELABOR,CILAB-composite innovation laboratory,centexbel-equipement,23/04/2009,194.235,77.694,116.541,n/a,n/a
CELABOR,CILAB-composite innovation laboratory,centexbel-recherche,23/04/2009,"156.130,0",62.452,54.645,n/a,n/a
CELABOR,CILAB-composite innovation laboratory,centexbel-valorisation,23/04/2009,41.585,16.634,24.951,n/a,n/a
CELABOR,MICROPACK,aliments,23/04/2009,202.018,80.807,70.706,n/a,n/a
CELABOR,MICROPACK,materiaux,23/04/2009,208.908,83.563,73.117,n/a,n/a
CELABOR,portefeuille WALEXTRACT,INGRENAT-extraction,15/10/2008,"1.456.300,0",466.016,626.209,13.276,4.248
CELABOR,portefeuille WALEXTRACT,plate-forme extraction,15/10/2008,1.297.968,519.187,778.781,35.751,"14.300,71"
CELABOR,portefeuille WALEXTRACT,STABALIM-stabilisation,15/10/2008,625.402,175.112,293.939,n/a,n/a
CELABOR,portefeuille WALEXTRACT,valorisation,15/10/2008,364.294,145.717,218.576,7.772,3.108
CENTEXBEL,CILAB-composite innovation laboratory,centexbel-equipement,23/04/2009,334.122,133.648,200.473,n/a,n/a
CENTEXBEL,CILAB-composite innovation laboratory,centexbel-recherche,23/04/2009,207.21,82.884,72.523,n/a,n/a
CENTEXBEL,CILAB-composite innovation laboratory,centexbel-valorisation,23/04/2009,41.617,16.647,"24.970,64",n/a,n/a
CENTEXBEL,MEDIATIC,plate-forme2_ENVIMEDIA,15/05/2008,832.462,208.115,416.231,n/a,n/a
CENTEXBEL,plateforme d'integration en microsystemes intelligents,MONSOTEX,23/04/2009,840.081,252.024,378.036,n/a,n/a
CSTC,SIMBA-simulation multi-physique du batiment,CSTC-recherche,23/04/2009,"117.000,0","46.800,0","40.950,0",n/a,n/a
CSTC,SIMBA-simulation multi-physique du batiment,CSTC-valorisation,23/04/2009,"66.000,0","26.400,0","39.600,0",n/a,n/a
CSTC,T-REX: pole technologique de recherche et d'expertise en materiaux inorganiques,recherche en partenariat - MORECAR,15/05/2008,546.043,185.394,223.564,262.47,89.24
CER,GIGA bioindustry support,GLYCO-CER,24/07/2008,754.391,301.756,264.036,n/a,n/a
CER,GIGA bioindustry support,IP-SEQ-CER,24/07/2008,"50.400,0","20.160,0","17.640,0",n/a,n/a
CER,portefeuille WALEXTRACT,INGRENAT-antimicrobien,15/05/2008,357.629,85.831,"182.390,94",n/a,n/a
CER,Immunomarqueurs,Partenariats entre centres de recherches-biomarqueurs des infections bacteriennes severes du nourisson,15/05/2008,120.826,37.456,53.163,n/a,n/a
CER,Immunomarqueurs,partenariats centres de recherches-CMV (biomarqueurs de la transmission mere-enfant du cytomegalovirus),15/05/2008,119.454,"37.030,0","52.560,0",n/a,n/a
CER,Immunomarqueurs,partenariat centres de recherches (ThB)-biomarqueurs des lymphocytes ThB,15/05/2008,234.381,75.002,100.784,n/a,n/a
CEWAC,implantation d'une plate-forme MICRO-SOUDAGE en Wallonie,diffusion et transfert technologique vers entreprise,15/05/2008,"394.000,0","157.600,0","236.400,0",17.256,6.902
CEWAC,implantation d'une plate-forme MICRO-SOUDAGE en Wallonie,"MICROSOUD-acquisition materiel exceptionnel, creation plate-forme technologique et controle qualite",15/05/2008,"2.939.000,0",1.174.894,1.762.341,118.443,47.377
CEWAC,implantation d'une plate-forme MICRO-SOUDAGE en Wallonie,NDT LASER-recherches collectives sur le processus de micro-soudage laser et plasma,15/05/2008,"394.100,0","157.640,0",137.935,"48.390,46",19.356
CEWAC,plateforme d'integration en microsystemes intelligents,MEDIPUMP-realisation etude et mise en oeuvre de nouvelles gammes de pompes medicales,15/05/2008,491.557,152.382,216.285,32.129,"9.960,07"
CEWAC,TipTopLam(rapid manufacturing laser de pieces en titane),FGM(functionnaly graded materials) Caract-caracterisation de metaux non ferreux et competence au niveau des choix de materiaux ,23/04/2009,67.125,"21.480,0","28,863",n/a,n/a
CoRI,ClearZinc,ClearZinc_(Cori) Coatings Research Institute,27/11/2008,736.433,220.929,331.394,630,189
CoRI,ClearZinc,ClearZinc_EB,27/11/2008,255.955,102.382,153.573,445,178
CRIM,ClearZinc,CASTL-ligne de traitement de surface,27/11/2008,418.003,167.201,"250,801,8",n/a,n/a
CRIM,ClearZinc,recherches par le centre de recherches metallurgiques,27/11/2008,1.777.645,533.293,"799.940,25",n/a,n/a
CRIM,ClearZinc,SEMFEG-microcospe electronique,27/11/2008,863.763,345.505,518.257,n/a,n/a
CRIM,TipTopLam(rapid manufacturing laser de pieces en titane),FGM(functionnaly graded materials) Caract-caracterisation de metaux non ferreux et competence au niveau des choix de materiaux ,15/05/2008,141.134,45.162,60.687,n/a,n/a
CRIM,TipTopLam(rapid manufacturing laser de pieces en titane),Diffusion-integration des resultats du projet dans le groupe GoFactoLite,15/05/2008,108.237,43.294,64.942,n/a,n/a
Centre spatial de Liege - CSL,TipTopLam(rapid manufacturing laser de pieces en titane),Process control,15/05/2008,200.269,80.107,120.161,n/a,n/a
Centre spatial de Liege - CSL,TipTopLam(rapid manufacturing laser de pieces en titane),FGM (functionnaly graded materials) Process control ,15/05/2008,293.555,117.422,176.133,n/a,n/a
FUNDP Namur,Les TIC au service des patients,FUNDP/Recherche_eHealth,23/04/2009,351.559,140.623,"210.935,86",n/a,n/a
FUNDP Namur,Portefeuille TIC,FUNDP/Recherche_TIC,15/05/2008,1.183.688,473.475,710.212,n/a,n/a
FUSAGx Unite de Technologie des Industries Agroalimentaires,portefeuille WALEXTRACT,STABALIM-formation et procedes,15/05/2008,787.237,314.895,472.342,n/a,n/a
FUSAGx Unite de Technologie des Industries Agroalimentaires,SINOPLISS,BIOTISS FUSAGX,27/11/2008,482.895,193.158,289.737,n/a,n/a
FUSAGx Unite de Technologie des Industries Agroalimentaires,SINOPLISS,POLYTISS FUSAGX,27/11/2008,427.225,"170.890,0",256.335,n/a,n/a
IBS-branche Wallonie,implantation d'une plate-forme MICRO-SOUDAGE en Wallonie,MICROSOUD-(IBS) Institut belge de la soudure Wallonie,15/05/2008,474.437,189.471,264.206,n/a,n/a
SIRRIS,CILAB-composite innovation laboratory,Sirris-recherche,23/04/2009,665.176,"266.070,4",232.811,n/a,n/a
SIRRIS,CILAB-composite innovation laboratory,Sirris-valorisation,23/04/2009,43.571,17.428,26.143,n/a,n/a
SIRRIS,MEDIATIC,OPTIMEDIA,15/05/2008,"196.400,0","76.560,0","117.840,0",n/a,n/a
SIRRIS,MEDIATIC,plateforme1_TRANSMEDIA,15/05/2008,944.475,321.121,387.234,"40.890,12",13.902
SIRRIS,"MINATIS-micro et nanofabrication, caracterisation et fiabilite des composants miniaturises",Recherche et developpement: micro-manipulation,15/05/2008,934.762,327.166,373.904,34.817,12.186
SIRRIS,plateforme d'integration en microsystemes intelligents,"MEDIPUMP, SIRRIS",23/04/2009,455.846,142.312,200.572,8.885,2.754
SIRRIS,plateforme d'integration en microsystemes intelligents,MIFADEMA,23/04/2009,1.155.532,447.792,671.688,n/a,n/a
SIRRIS,plateforme d'integration en microsystemes intelligents,"REMANOS, SIRRIS",23/04/2009,344.314,137.725,120.509,n/a,n/a
SIRRIS,SINUS: Simulation Numerique Haute Peformance,Recherche,15/05/2008,"594.400,0","178.320,0","267.480,0",9.684,2.905
SIRRIS,TipTopLam(rapid manufacturing laser de pieces en titane),Cladding,15/05/2008,2.096.861,821.913,"1.232.670,96",n/a,n/a
SIRRIS,TipTopLam(rapid manufacturing laser de pieces en titane),FGM (functionnaly gradent materials),15/05/2008,725.025,232.008,311.760.75,n/a,n/a
SIRRIS,TipTopLam(rapid manufacturing laser de pieces en titane),Diffusion GT,15/05/2008,213.119,85.247,127.871,n/a,n/a
SIRRIS,T-REX: pole technologique de recherche et d'expertise en materiaux inorganiques,Recherche en partenariat - CERAPIDE,15/05/2008,611.311,207.845,250.637,n/a,n/a
UCL,MEDIATIC,Plateforme5_3DMEDIA,15/05/2008,"774.820,0",309.928,464.892,105.427,"42.170,82"
UCL,Les TIC au service des patients,UCL/Recherche_eHealth,23/04/2009,"341.950,2","136.760,06","205.170,12",n/a,n/a
UCL,"MINATIS-micro et nanofabrication, caracterisation et fiabilite des composants miniaturises",Equipement 1: Micro-usinage et structuration RF,15/05/2008,1.770.913,706.365,1.062.548,37.015,14.806
UCL,"MINATIS-micro et nanofabrication, caracterisation et fiabilite des composants miniaturises",Equipement 2: depot reactif (nitrure et oxydes metal),15/05/2008,1.616.487,646.594,969.892,47.267,18.906
UCL,"MINATIS-micro et nanofabrication, caracterisation et fiabilite des composants miniaturises",Recherche et Developpement 1: microcapteurs physico-chimiques,15/05/2008,1.892.849,757.139,1.135.709,62.927,"25.170,92"
UCL,Portefeuille TIC,Recherche_TIC,15/05/2008,1.064.987,433.995,650.992,n/a,n/a
UCL,portefeuille WALEXTRACT,INGRENAT-toxico,15/05/2008,"500.500,0","200.200,0","300.300,0",33.960.56,13.584
UCL,SIMBA-simulation multi-physique du batiment,UCL-Recherche,23/04/2009,"229.820,0",91.928,137.928,n/a,n/a
UCL,SINUS: Simulation Numerique Haute Peformance,Recherche,15/05/2008,"629.410,0",251.764,377.646,30.276,"12.110,73"
ULG,GIGA bioindustry support,EQUIPEMENTS,24/07/2008,12.398.716,4.959.486,7.439.229,150.378,60.151
ULG,GIGA bioindustry support,GLYCO_GIGA,24/07/2008,921.166,368.466,552.699,"77.230,78",30.892
ULG,GIGA bioindustry support,IP-SEQ-GIGA,24/07/2008,1.313.446,523.378,788.067,n/a,n/a
ULG,GIGA bioindustry support,ZEBRA,24/07/2008,1.236.666,494.666,741.999,n/a,n/a
ULG,MEDIATIC,plateforme1_TRANSMEDIA,15/05/2008,427.842,171.136,256.705,n/a,n/a
ULG,MEDIATIC,Plateforme2_ENVIMEDIA,15/05/2008,428.845,171.538,257.307,n/a,n/a
ULG,MEDIATIC,Plateforme_3DMEDIA,15/05/2008,"2.249.220,0",899.688,1.349.532,n/a,n/a
ULG,MEDIATIC,Plateforme3_TRACEMEDIA,15/05/2008,340.084,136.033,"204.050,7",n/a,n/a
ULG,"MINATIS-micro et nanofabrication, caracterisation et fiabilite des composants miniaturises",Recherche et Developpement 1: encapsulation,15/05/2008,225.866,90.354,135.531,n/a,n/a
ULG,plateforme d'integration en microsystemes intelligents,MEDIPUMP.ULG,23/04/2009,307.561,123.024,184.536,n/a,n/a
ULG,plateforme d'integration en microsystemes intelligents,MONSOTEX ULG,23/04/2009,401.828,160.731,241.096,n/a,n/a
ULG,plateforme d'integration en microsystemes intelligents,REMANOS.ULG,23/04/2009,1.663.614,665.445,998.168,n/a,n/a
ULG,portefeuille WALEXTRACT,INGRENAT-antioxydant,15/05/2008,"220.500,0","88.200,0","132.300,0",1.343,537
ULG,RADIOMED 2,Projet investissement en equipements technologiques,23/04/2009,"5.924.500,0","2.369.800,0","3.554.700,0",n/a,n/a
ULG,SIMBA-simulation multi-physique du batiment,ULG-Recherche,23/04/2009,"292.460,0",116.984,175.476,n/a,n/a
ULG,SINOPLISS,POLYTISS ULG,27/11/2008,923.495,369.398,555.097,n/a,n/a
ULG,SINUS: Simulation Numerique Haute Peformance,Recherche,15/05/2008,278.933,111.573,167.359,336,134
ULG,TipTopLam(rapid manufacturing laser de pieces en titane),Caract Microtrust,15/05/2008,63.152,25.261,37.891,n/a,n/a
ULG,TipTopLam(rapid manufacturing laser de pieces en titane),FGM Porosite,15/05/2008,186.469,74.587,11.881,n/a,n/a
ULG,T-REX: pole technologique de recherche et d'expertise en materiaux inorganiques,recherche en partenariat - MORECAR,15/05/2008,"425.000,0","170.000,0","255.000,0",12.539,5.015
IFAPME,Centre de competence Construform Liege,Volet 3- extenxion les Isnes - IFAPME,30/05/2009,3.761.122,1.126.336,2.632.785,86.907,26.072
