Project name , Organization,Amount awarded by the ESF,Amount awarded by public bodies,Total eligible costs,Total financing,Final ESF,Total cost
Bijzondere acties voor prioritaire kansengroepen - 2009 , VDAB ,"1.650.000,00 ","2.016.666,65","3.666.666,65 ","3.666.666,65 ",n/a,n/a
Bioscience coaching programma , BAYER BIOSCIENCE ,"33.750,00 ","41.250,00 ","168.630,90 ","168.630,90 ",n/a,n/a
BIS ROB OPLEIDING 2008-09 , ROB - MONTAGEBEDRIJF ,"135.000,23 ","165.000,27 ","  600.001,00 "," 600.001,00 ","77.318,25 ","343.636,68 "
BKV testcentrum verhuizers , CHAMBRE BELGE DES DEMENAGEURS - BELGISCHE KAMER DER VERHUIZERS ,"49.500,00 ","60.500,00 ","150.257,48 ","150.257,48 ","16.668,00","44.265,58 "
Blijvend investeren in mensen , CORUS ALUMINIUM ,n/a,n/a,n/a,n/a,n/a,n/a
BLM werkervaring , Begeleidingsdienst Limburgs Mijngebied ,"205.570,00 ","271.698,00 ","477.268,00","477.268,00","173.308,35 ","413.448,89 "
Blue Kangaroo , Attentia Group ,n/a,n/a,n/a,n/a,n/a,n/a
boost 2 , Werkervaringsbedrijven ,"47.951,48 ","53.817,60 ","107.635,20 ","107.635,20 ",n/a,n/a
Boost2 , Werkervaringsbedrijven ,"47.951,48","53.817,60 ","107.635,20 ","107.635,20 ",n/a,n/a
Bouwen aan de toekomst door doorstroming en specialisatie , VCST Industrial Products ,"79.302,74 ","96.925,56 ","352.456,60 ","352.456,60 ","60.524,65 ","300.709,32 "
BouWerk , Confederatie Bouw Oost-Vlaanderen ,"103.036,95 ","125.934,05 ","  292.213,75 "," 292.213,75 ",n/a,"73.744,97 "
BouwMonitor , Fonds voor de vakopleiding in de bouwnijverheid - Fonds de formation professionnelle de la construction ,"40.266,00","57.714,00 ","122.475,00 ","122.475,00 ",n/a,"83.998,58 "
Bouwstenen voor compententiebeleid in micro-ondernemingen.,Horeca Vorming Vlaanderen ,"37.084,73 ","87.595,52 ","155.850,30 ","155.850,30 ",n/a,"54.632,89 "
"Bredere Leertrajecten, Evolueren Naar Diepgang ", TABAKNATIE NV ,n/a,n/a,n/a,n/a,n/a,n/a
Breng je loopbaan in beweging,Alternatief ,"226.125,00 ","288.875,00 ","515.000,00","515.000,00",n/a,n/a
Building Great TeamS , DECATHLON ,"134.219,46","164.046,00 ","596.530,92 ","596.530,92 ",n/a,n/a
Buiten-Kans , Strategische Projectenorganisatie Kempen ,"1.687,50 ","2.062,50 ","5.405,00 ","5.405,00 ",n/a,n/a
Buiten-Kans , Strategische Projectenorganisatie Kempen ,"275.886,00 ","337.194,00 ","613.080,00 ","613.080,00 ","64.672,23 ","176.190,47 "
Burrick NV: invoeren van een op participatie gebaseerd organisatiemodel , JOZEF BURRICK ,"32.756,74 ","40.036,01","112.038,15 ","112.038,15 ",n/a,n/a
Buurtservice vzw , BUURTSERVICE vzw ,"144.000,00 ","212.200,00 ","356.200,00 ","356.200,00 ","143.844,87 ","355.813,45 "
Buurtslagers , GEWICO ,"45.000,00 ","55.000,00 ","152.250,00 ","152.250,00 ",n/a,"40.824,39 "
Capability & Talent Development , MARLUX KLAPS ,"116.190,65 ","142.010,80","516.402,90 ","516.402,90 ",n/a,n/a
CARE BLINKT OPNIEUW UIT IN OPLEIDEN , CARE ,"35.642,19 ","43.562,67 ","264.016,22 ","264.016,22 ","11.230,48 ","101.344,65 "
Care-medewerkers blinken uit! , CARE ,"  62.950,77 ","76.939,83 ","279.781,20 ","279.781,20 ",n/a,n/a
Carrera , Antwerps Telematica Centrum ,"117.889,50 ","144.087,16 ","261.976,66 ","261.976,66 ","29.263,36 ","65.029,69 "
CAT-S (CATerpillar Skillstraining) , CATERPILLAR DISTRIBUTION SERVICES EUROPE ,"135.000,00 ","165.000,00 ","668.692,80 ","668.692,80 ",n/a,n/a
Centrum voor Loopbaanontwikkeling , lbc-nvk algemeen secretariaat ,"239.400,00","292.600,00 ","532.000,00 ","532.000,00 ","123.221,31 ","277.475,14 "
CI (Continuous Improvement) In Praktijk - CIIP , Sappi Lanaken ,"82.127,25 ","100.377,75 ","365.010,00","365.010,00",n/a,n/a
Coachend leiderschap , Rust en verzorgingstehuis St Monica vzw ,"26.898,31 ","32.875,72","85.729,18 ","85.729,18 ",n/a,"31.321,15 "
CoLeT , VOKA-Kamer van Koophandel West-Vlaanderen ,"112.497,74 ","137.497,24 ","369.421,40 ","369.421,40 ",n/a,n/a
Colibri , FEDERATION DES INDUSTRIES CHIMIQUES DE BELGIQUE ,"265.626,28 ","324.654,35 ","782.666,85 ","782.666,85 ",n/a,"522.744,57"
Communicatie op de werkvloer , Kliniek Sint-Jozef VZW ,n/a,n/a,n/a,n/a,n/a,n/a
Comp=Ben , VOKA-Kamer van Koophandel West-Vlaanderen ,"10.750,00 ","14.249,99 ","24.999,99 ","24.999,99 ","9.928,58 ","23.143,10 "
Comp=Ben , VOKA-Kamer van Koophandel West-Vlaanderen ,"186.780,89 ","247.593,27 ","434.374,16 ","434.374,16 ","41.422,42 ","96.331,21 "
CompeCoach , VIONU ,"70.251,86","85.863,38 ","301.485,22 ","301.485,22 ",n/a,n/a
Competent in de staalbouw , Iemants ,n/a,n/a,n/a,n/a,n/a,n/a
Competent in de staalconstructie , Willems Staalconstructies ,"86.241,38 ","105.406,12","383.295,00 ","383.295,00 ",n/a,n/a
Competent met je talent , afdeling SERR/RESOC Mechelen ,"206.400,00 ","273.600,00 ","480.000,00 ","480.000,00 ","17.793,62 ","41.380,52 "
Competent met je Talent , afdeling SERR/RESOC Mechelen ,"8.333,35 ","11.046,53","19.379,88 ","19.379,88 ","6.253,55 ","14.543,14 "
Competente en Competentiegerichte praktijklesgevers ? CCP , VLAAMS AGENTSCHAP VOOR ONDERNEMERSVORMING - SYNTRA VLAANDEREN ,"150.000,00 ","100.000,00 ","250.000,00 ","250.000,00 ",n/a,n/a
competentiebeleid sector elektriciens ,centrum voor beroepsopleiding en vorming voor de sector van de elektriciens ,"225.000,00 ","275.000,00 ","679.953,83 ","679.953,83 ",n/a,"176.533,35 "
competentiebeleid sector metaalhandel , Centre de formation professionnelle dans le secteur automobile et les secteurs connexes ,"65.760,17 ","80.373,55 ","182.667,15 ","182.667,15 ",n/a,"16.292,30 "
Competentiedossier voedingsindustrie , Initiatieven voor Professionele Vorming voor de Bedienden van de Voedingsnijverheid ,"253.106,99 ","309.352,99 ","703.074,98 ","703.074,98 ",n/a,"347.508,67 "
COMPETENTIEMANAGEMENT ARBEIDERS , PHILIPS INNOVATIVE APPLICATIONS ,"165.558,08 ","202.348,77 ","735.813,70 ","735.813,70 ","30.490,27","135.512,32 "
Competentiemanagement in de KMO , Unie van Zelfstandige Ondernemers ,"204.250,00 ","270.750,00 ","475.932,01 ","475.932,01 ","63.649,90 ","148.298,93 "
Competentiemanagement in KMO's , Unie van Zelfstandige Ondernemers ,"10.750,00 ","14.250,00 ","25.000,00 ","25.000,00 ","10.750,00 ","25.179,11 "
Competentieontwikkeling - duurzame arbeidsvreugde in de vleesindustrie , WESTVLEES ,n/a,n/a,n/a,n/a,n/a,n/a
Competentieverhoging voor werknemers , PLYSU GENT ,n/a,n/a,n/a,n/a,n/a,n/a
Competex , COBOT VZW ,"86.461,20 ","105.674,80 ","276.576,25 ","276.576,25 ",n/a,"58.537,06 "
complead , Campus Hoogpoort ,"10.748,88 ","14.248,52 ","24.997,40 ","24.997,40 ","10.731,28 ","25.403,01 "
complead , Campus Hoogpoort ,"199.547,95 ","266.517,05 ","466.065,00 ","466.065,00 ","31.092,32 ","72.307,72 "
complead actie 3, Campus Hoogpoort ,"49.521,02 ","73.171,93 ","124.148,69 ","124.148,69 ",n/a,n/a
Consortium Alternatief werkervaring Art 60 , Alternatief ,"103.200,00 ","684.107,51 ","817.446,06 ","817.446,06 ",n/a,n/a
Continue opleiding , BASF Antwerpen NV ,"225.000,00 ","275.000,00 ","1.036.964,20 ","1.036.964,20 ","189.202,36 ","840.899,38 "
CO-OP HOUT , OPLEIDINGSCENTRUM HOUT vzw ,"76.041,55 ","92.939,67 ","211.226,53 ","211.226,53 ",n/a,"188.265,79 "
Coopman in de Lift , Coopman Liften ,"45.000,00 ","55.000,00 ","226.541,40 ","226.541,40 ",n/a,"103.887,01 "
Corrigerend zelfsturend team , De Oesterbank ,"38.339,22 ","46.859,05 ","170.396,53 ","170.396,53 ",n/a,n/a
CRANE BRAIN , AERTSSEN KRANEN ,"89.211,85 ","109.036,71 ","438.497,12 ","438.497,12 ","72.473,26 ","330.132,26 "
Cre?ren van kansen , Agio Holland Cigar Company ,n/a,n/a,n/a,n/a,n/a,n/a
CVO Roeselare Heftruck actie 2 , Hoofdzetel van : CVO Roeselare ,"23.036,88 ","50.896,19 ","73.933,07 ","73.933,07 ",n/a,n/a
DE FITNESSORGANISATIE , Federatie voor Fitness en Aerobics ,"102.258,00 ","124.982,00 ","284.050,00 ","284.050,00 ",n/a,n/a
De Loods vzw , De Loods ,"116.500,00 ","308.899,00 ","  433.204,00 "," 433.204,00 ",n/a,n/a
De medewerkers als spilfiguur , IDEWE - Externe dienst voor Preventie en Bescherming op het werk ,"44.436,69 ","54.311,51 ","197.496,40 ","197.496,40 ",n/a,n/a
De opleiding verpleegkundige organisatorisch en pedagogisch aanpassen aan de kansengroepen. , VDAB ,"101.500,00 ","32.819,48 ","260.443,66 ","260.443,66 ",n/a,n/a
"de8 vzw, veronique grossi "," De Acht, Antwerps Minderheden Centrum ","7.175,00 ","7.175,00 ","14.533,00 ","14.533,00 ","6.164,28 ","12.485,89 "
Digid@k , Strategische Projectenorganisatie Kempen ,"46.538,63 ","148.711,00 ","201.898,00 ","201.898,00 ","45.793,87 ","199.703,22 "
Dissemitalento,Gebouw B - Campus Diepenbeek ,"49.500,00 ","49.500,00 ","100.451,35 ","100.451,35 ",n/a,n/a
DKB Loopbaancoaching,de kempische brug ,"268.537,50 ","339.462,50 ","608.000,00 ","608.000,00 ",n/a,n/a
DM@Work ," Prevent Instituut voor Prevente, Bescherming en Welzijn op het Werk ","106.150,00 ","106.150,00 ","233.538,01 ","233.538,01 ",n/a,n/a
DODI - Van drop out naar drop in , VDAB ,"12.250,00 ","12.660,00 ","25.000,00 ","25.000,00 ","6.432,46 ","13.179,67 "
DODI - Van drop out naar drop in - Actie 2 , VDAB ,"110.165,81 ","21.653,63 ","224.525,00 ","224.525,00 ",n/a,n/a
DOEN! , Dienstencentrum Moza?ek ,"33.750,00 ","41.250,00 ","135.151,22 ","135.151,22 ",n/a,n/a
DOORGROEI IN DE STEIGERS , Altrad Stellingbouw BALLIAUW ,"135.000,00 ","165.000,00 ","896.196,38 ","896.196,38 ",n/a,n/a
Doorstroom art 60 naar NEC , televil hoofdzetel ,"82.155,27 ","257.702,94 ","362.317,68 ","362.317,68 ",n/a,n/a
DOW - Duurzaam Opleiden Werkt , DOW BELGIUM ,"149.641,20 ","182.894,80 ","665.072,00 ","665.072,00 ","23.142,26 ","102.854,52 "
Duurzaam competent , B & R ,"135.000,00 ","165.000,00 ","600.000,00 ","600.000,00 ",n/a,n/a
Duurzaam meerwaarde cre?ren door waardengedreven VAKmanschap (in retail). , COLRUYT ,n/a,n/a,n/a,n/a,n/a,n/a
Duurzaam professioneel engagement , Stichting Lodewijk de Raet ,"12.500,00 ","12.500,00 ","25.773,48","25.773,48","12.500,00 ","26.699,75 "
Duurzaam professioneel engagement , Stichting Lodewijk de Raet ,"96.335,95 ","96.335,95 ","198.556,90 ","198.556,90 ",n/a,n/a
Duurzaam uitbouwen van competenties in de bewakingssector , G4S Security Services ,"135.000,00 ","882.946,38 ","2.047.644,00 ","2.047.644,00 ",n/a,n/a
EDUCAM , Centre de formation professionnelle dans le secteur automobile et les secteurs connexes ,"55.228,03 ","67.500,93 ","122.728,96 ","122.728,96 ",n/a,n/a
EDUCAR VZW , Educar VZW ,"73.100,00 ","126.750,00 ","204.850,00 ","204.850,00 ",n/a,n/a
Educar vzw , Educar VZW ,"332.100,00 ","647.559,54 ","1.008.859,08 ","1.008.859,08 ","319.958,13 ","938.204,50 "
Educar vzw , Educar VZW ,"55.900,00 ","96.926,47 ","156.650,00 ","156.650,00 ",n/a,n/a
een kansenwerkvloer , JOBCENTRUM WEST-VLAANDEREN ,"11.000,00 ","11.000,00 ","22.000,00 ","22.000,00 ","8.045,61 ","16.253,77 "
een kansenwerkvloer , JOBCENTRUM WEST-VLAANDEREN ,"97.801,00 ","97.801,00 ","197.800,00 ","197.800,00 ",n/a,n/a
een kompas voor iedere werknemer , Kompas VZW Loopbaancentrum ,"223.671,01 ","317.125,69 ","540.796,70 ","540.796,70 ","114.750,69 ","311.364,09 "
Een leven lang leren bij IKEA (3) , IKEA BELGIUM ,"147.206,76 ","179.919,37","654.252,26 ","654.252,26 ","59.681,54 ","265.251,30 "
Een leven lang leren bij IKEA (4) , IKEA BELGIUM ,"135.000,00 ","165.000,00 ","818.353,80 ","818.353,80 ",n/a,n/a
Een nieuw arbeidsmodel voor onze productiemedewerkers en technische dienst , Vestiging Alken ,"24.322,50 ","29.727,50 ","108.100,00 ","108.100,00 ",n/a,n/a
Een nieuwe weg naar werk. , Aalsterse Vierdewereldgroep Mensen voor Mensen vzw ,"112.463,74 ","112.463,74 ","228.038,02","228.038,02",n/a,n/a
Een nieuwe weg naar werk. , Aalsterse Vierdewereldgroep Mensen voor Mensen vzw ,"7.058,61 ","7.058,61 ","14.260,00 ","14.260,00 ",n/a,n/a
EŽn stap voor door permanente vorming,SECURITAS ,"134.633,53 ","540.186,47 ","1.349.640,00 ","1.349.640,00 ",n/a,n/a
EMIOR , Provinciale hogeschool Limburg ,"6.622,11 ",n/a,"13.378,00 ","13.378,00 ",n/a,n/a
EMIOR II , Provinciale hogeschool Limburg ,"105.436,00 ","84.707,00 ","214.373,80 ","214.373,80 ",n/a,n/a
Employee Development & Involvement , BPB BELGIUM NV ,n/a,n/a,n/a,n/a,n/a,n/a
Encare Loopbaanbegeleiding , Encare Outplacement ,n/a,"356.514,95 ","356.514,95 ","356.514,95 ",n/a,"43.726,99 "
Encare Loopbaanbegeleiding,Encare Outplacement ,"234.000,00 ","286.000,00 ","520.000,00 ","520.000,00 ",n/a,n/a
Energie voor groei , MULDER NATURAL FOODS ,"49.094,71 ","60.004,64 ","218.198,70 ","218.198,70 ",n/a,n/a
EPO (Effici?nter Produceren door Optimalisatie) , GLACIO ,"54.664,21 ","123.387,81 ","250.147,28 ","250.147,28 ","34.746,10 ","114.722,69 "
Erkenning als testcentrum (oproep 115-actie2) , Campus Dirk Martens ,"6.202,35 ","7.580,65 ","16.783,00 ","16.783,00 ",n/a,n/a
Ervaringsbewijs , SEBECO ,"96.750,42 ","118.250,51 ","215.000,93 ","215.000,93 ",n/a,n/a
Ervaringsbewijs , OTC ,"14.958,61 ","18.282,74 ","33.241,35 ","33.241,35 ","8.570,86 ","19.046,35 "
ERVARINGSBEWIJS , Unie van Belgische Kappers vzw ,"72.530,03 ","88.647,82 ","161.177,85 ","161.177,85 ","4.854,10 ","10.786,89 "
Ervaringsbewijs , Ergoteam Opleidingscentrum - Ergoteam Centre de Formation vzw ,"41.400,00 ","50.600,00 ","92.000,00 ","92.000,00 ","5.584,98 ","12.411,07 "
Ervaringsbewijs , OTC ,"13.333,23 ","16.296,16 ","29.629,39 ","29.629,39 ","2.169,63 ","4.821,39 "
"Ervaringsbewijs 2008 Torenkraanbestuurder, Industrieel Schilder en Stellingbouwer ", Fonds voor de vakopleiding in de bouwnijverheid - Fonds de formation professionnelle de la construction ,"74.678,93","91.274,24 ","165.953,17 ","165.953,17 ","12.906,83 ","28.681,84 "
Ervaringsbewijs 2009 , Fonds voor de vakopleiding in de bouwnijverheid - Fonds de formation professionnelle de la construction ,"124.008,70 ","151.566,18 ","275.574,88 ","275.574,88 ",n/a,n/a
Ervaringsbewijs autobus/autocar , VDAB ,"73.838,49 ","90.247,04 ","164.085,53 ","164.085,53 ","1.407,98 ","3.128,85 "
Ervaringsbewijs bandenmonteur - oprichting Testcentrum bandenmonteur , Centre de formation professionnelle dans le secteur automobile et les secteurs connexes ,"94.133,90 ","115.052,54 ","209.186,44 ","209.186,44 ",n/a,n/a
Ervaringsbewijs Begeleider BKO , VORMINGSCENTRUM OPVOEDING EN KINDEROPVANG ,"562,50 ","687,50 ","1.250,00 ","1.250,00 ",n/a,n/a
Ervaringsbewijs Bestuurder hydraulische graafmachine 2008 , Fonds voor de vakopleiding in de bouwnijverheid - Fonds de formation professionnelle de la construction ,"13.500,00 ","16.500,00 ","30.000,00 ","30.000,00 ","282,73 ","628,28 "
Ervaringsbewijs bestuurder mobiele kraan , MONTAGE NATIONAAL FONDS VOOR TEWERKSTELLING EN OPLEIDING VAN JONGEREN ,"47.473,85 ","58.023,60 ","105.497,45 ","105.497,45 ","5.121,08 ","11.380,17 "
Ervaringsbewijs fitnessbegeleider - groepsfitnessbegeleider - personal trainer , Federatie voor Fitness en Aerobics ,"49.266,00 ","60.214,00 ","231.048,65 ","231.048,65 ",n/a,n/a
Ervaringsbewijs heftruck actie 1 CVO Roeselare , Hoofdzetel van : CVO Roeselare ,"2.315,07 ","8.085,53 ","10.400,60 ","10.400,60 ",n/a,n/a
ervaringsbewijs heftruckchauffeur , VDAB ,"29.078,05 ","35.539,84 ","64.617,89 ","64.617,89 ","5.602,43 ","23.193,88 "
ervaringsbewijs hovenier (aanleg + onderhoud tuinen en parken) , VDAB ,"40.666,89 ","49.703,97 ","90.370,86 ","90.370,86 ","4.165,19 ","9.255,97 "
Ervaringsbewijs hulpboekhouder , Campus Dirk Martens ,"3.322,35 ","4.060,65 ","7.383,00 ","7.383,00 ",n/a,n/a
ervaringsbewijs hulpboekhouder , VDAB ,"56.331,93 ","68.850,14 ","125.182,07 ","125.182,07 ",n/a,n/a
ervaringsbewijs hulpboekhouder , hoofdzetel van: centrum voor volwassenenonderwijs Leuven/Landen ,"203.611,50 ","248.858,50 ","452.470,00 ","452.470,00 ",n/a,n/a
Ervaringsbewijs Industrieel Elektrotechnisch Installateur ,centrum voor beroepsopleiding en vorming voor de sector van de elektriciens ,"3.375,00 ","4.125,00 ","7.500,00 ","7.500,00 ",n/a,n/a
ervaringsbewijs keukenmedewerker ,Horeca Vorming Vlaanderen ,"45.000,00 ","55.000,00","100.000,00 ","100.000,00 ","6.566,21 ","17.521,52 "
ervaringsbewijs koelmonteur ,centrum voor beroepsopleiding en vorming voor de sector van de elektriciens ,"101.790,00 ","124.410,00 ","236.286,23 ","236.286,23 ","33.561,83 ","74.581,84 "
ervaringsbewijs magazijnmedewerker , VDAB ,"20.340,30 ","24.860,36 ","45.200,66 ","45.200,66 ","1.138,46 ","8.926,33 "
ervaringsbewijs magazijnmedewerker/reachtruck/heftruck , VDAB ,"60.726,81 ","74.221,65 ","134.948,46 ","134.948,46 ",n/a,n/a
ervaringsbewijs patronenmaakster , VDAB ,"5.867,84 ","7.171,80 ","13.039,64 ","13.039,64 ","2.233,03 ","4.962,30 "
ervaringsbewijs reachtruckchauffeur , VDAB ,"9.249,10 ","11.304,45 ","20.553,55 ","20.553,55 ","1.858,56 ","7.454,07 "
ervaringsbewijs residentieel elektrotechnisch installateur en koelmonteur ,centrum voor beroepsopleiding en vorming voor de sector van de elektriciens ,"358.035,19 ","437.598,57 ","795.633,76 ","795.633,76 ",n/a,n/a
Ervaringsbewijs sociaal tolken , Vlaams Minderhedencentrum ,"168.750,00 ","206.250,00 ","394.938,70 ","394.938,70 ",n/a,n/a
Ervaringsbewijs Stikster , VDAB ,"17.395,55 ","21.261,22 ","38.656,77 ","38.656,77 ","2.649,40 ","5.887,56 "
ervaringsbewijs stoomstrijkster , VDAB ,"24.080,62 ","29.431,86 ","53.512,48 ","53.512,48 ","1.773,72 ","3.941,59 "
Ervaringsbewijs tertiair elektrotechnisch installateur ,centrum voor beroepsopleiding en vorming voor de sector van de elektriciens ,"3.375,00 ","4.125,00 ","7.500,00 ","7.500,00 ",n/a,n/a
Ervaringsbewijs Tertiair elektrotechnisch Installateur en Industrieel Elektrotechnisch Installateur ,centrum voor beroepsopleiding en vorming voor de sector van de elektriciens ,"136.430,98 ","166.748,98 ","303.179,96 ","303.179,96 ",n/a,n/a
ERVARINGSBEWIJS ZELFSTANDIG KAPPER , Unie van Belgische Kappers vzw ,"16.290,00 ","19.910,00 ","38.130,35 ","38.130,35 ","448,70 ","997,11 "
Ervaringsbewijzen in de Textielsector , COBOT VZW ,"15.750,00 ","19.250,00 ","35.000,00 ","35.000,00 ","3.527,52 ","7.838,93 "
eStart , GOCI ,"54.645,88 ","66.789,40 ","121.435,28 ","121.435,28 ",n/a,n/a
Eternit wil klaar zijn voor de toekomst wanneer de conjunctuur terug aantrekt. In de huidige periode van laagconjunctuur opteert Eternit ervoor om al haar werknemers behorend tot de kansengroepen gericht en strategisch op te leiden. De opleidingen staan , ETERNIT ,n/a,n/a,n/a,n/a,n/a,n/a
ETERNITY: continu bijleren , ETERNIT ,"50.303,59 ","61.482,16 ","223.571,50 ","223.571,50 ","11.199,43 ","49.775,26 "
Europese thematische werking , ESF - AGENTSCHAP VLAANDEREN vzw ,"1.020.000,00 ","680.000,00 ","1.700.000,00 ","1.700.000,00 ",n/a,n/a
e-VC voor uitzendkrachten , Vormingsfonds voor de uizendkrachten vzw ,"58.802,92 ","71.870,24 ","163.341,45 ","163.341,45 ",n/a,n/a
