Project name , Organization,Amount awarded by the ESF,Amount awarded by public bodies,Total eligible costs,Total financing,Final ESF,Total cost
EVOBA , Fonds voor de vakopleiding in de bouwnijverheid - Fonds de formation professionnelle de la construction ,"135.000,00 ","348.637,20 ","1.035.000,00","1.035.000,00",n/a,n/a
EVOBA 2008 , Fonds voor de vakopleiding in de bouwnijverheid - Fonds de formation professionnelle de la construction ,"225.000,00 ","641.124,34 ","2.136.240,00 ","2.136.240,00 ","225.000,00 ","2.869.277,92 "
Excellent Competent (EC) , Sterilisatiebedrijf Malysse ,n/a,n/a,n/a,n/a,n/a,n/a
Excelleren door Vorming deel 2 , EUROPESE STAAL PREFABRICATIE ,"37.373,33 ","45.678,52 ","166.103,70","166.103,70 ",n/a,n/a
"Excelleren door vorming, deel 3 ", EUROPESE STAAL PREFABRICATIE ,"47.734,72 ","58.342,43 ","212.154,30 ","212.154,30 ",n/a,n/a
Extra begeleiding art. 60 , VELO vzw ,"60.200,00 ","72.240,07 ","144.480,14 ","144.480,14 ",n/a,n/a
Extra Begeleiding en Opleiding van cli‘nten in werkervaring , JOB & CO - CENTRUM VOOR BEGELEIDING EN WERKERVARING ,"675.000,00 ","992.297,00 ","1.671.598,00 ","1.671.598,00 ","634.495,08 ","1.575.529,36 "
Extra begeleiding voor art.60 binnen Leerwerkbedrijf Oost-Brabant , Intergemeentelijk Opbouwwerk arrondissement Leuven ,"129.000,00 ","151.200,08 ","302.400,16 ","302.400,16 ",n/a,n/a
Extra opleiding en begeleiding werkervaring 2008 , Meetjeslandse Leerwerkbedrijven vzw ,"174.861,57 ","407.197,69 ","582.059,26 ","582.059,26 ","174.861,57 ","407.338,66 "
Farm Frites stoomt haar talenten klaar , FARM FRITES ,"31.523,68 ","38.528,94 ","143.145,47 ","143.145,47 ","26.207,65 ","116.478,46 "
FARM FRITES zet opleiding om in topprestaties , FARM FRITES ,n/a,n/a,n/a,n/a,n/a,n/a
Flight Care: een zorg voor de toekomst (deel 3) , FLIGHTCARE BELGIUM ,"135.000,00 ","165.000,00 ","1.215.195,98 ","1.215.195,98 ",n/a,n/a
Flightcare: een zorg voor de toekomst (deel 2) , FLIGHTCARE BELGIUM ,"225.000,00 ","275.000,00 ","1.033.400,72 ","1.033.400,72 ","130.743,78 ","581.083,46 "
Fun People Matter , FUN ,n/a,n/a,n/a,n/a,n/a,n/a
Futurotex , COBOT VZW ,"74.601,78 ","91.179,95 ","331.563,45 ","331.563,45 ",n/a,n/a
G4S Security Services , G4S Security Services ,"225.000,00 ","275.000,00 ","  1.005.443,25 "," 1.005.443,25 ","66.594,46 ","507.930,64 "
Gedecentraliseerde teams,CID LINES,"43.987,68 ","53.762,72 ","140.607,54 ","140.607,54 ",n/a,"52.836,61 "
Geintegreerde beroepsOPleidingen voor personen met een handicap (GOP) ,VDAB ,"12.500,00 ","10.240,00 ","26.000,00 ","26.000,00 ","7.744,53 ","15.785,84 "
Geintegreerde beroepsOPleidingen voor personen met een handicap (GOP) ,VDAB ,"98.978,34 ","50.000,00 ","199.956,25 ","199.956,25 ",n/a,n/a
"Geintegreerde, Persoonlijke Service (GPS) naar duurzaam werk ", Werkwijzer Eeklo VZW ,"100.000,00 ","100.000,00 ","254.944,20 ","254.944,20 ",n/a,n/a
"Geintegreerde, Persoonlijke Service (GPS) naar duurzaam werk ", Werkwijzer Eeklo VZW ,"12.500,00 ","12.500,00 ","51.300,00 ","51.300,00 ","12.500,00 ","54.732,90 "
Geletterdheid ," Argos, Centrum voor Vormings- en Activeringsprojecten ","16.741,34 ","51.607,29 ","89.707,33 ","89.707,33 ",n/a,n/a
Genencor int ,GENENCOR INTERNATIONAL ,n/a,n/a,n/a,n/a,n/a,n/a
Genencor Opleidingsproject 2008-2009 ,GENENCOR INTERNATIONAL ,"11.778,15 ","14.395,51 ","52.347,33 ","52.347,33 ","10.568,15 ","46.969,57 "
GETRONICS: Training en opleiding , GETRONICS ,"44.935,56 ","54.921,24 ","199.713,60 ","199.713,60 ",n/a,n/a
Gezondheidsbevordering in kleine en middelgrote ondernemingen , Vlaams Instituut voor Gezondheidspromotie ,"100.089,17","100.089,17","206.737,03 ","206.737,03 ",n/a,n/a
Gezondheidsbevordering in kleine en middelgrote ondernemingen , Vlaams Instituut voor Gezondheidspromotie ,"11.285,83 ","11.285,83 ","22.571,67 ","22.571,67 ",n/a,n/a
Glasopleidingen 3 , FONDS DE SECURITE D'EXISTANCE POUR L'INDUSTRIE DU VERRE ,"133.187,26 ","162.784,43 ","591.943,37 ","591.943,37 ","43.357,97 ","304.209,18 "
Glasopleidingen 4 , FONDS DE SECURITE D'EXISTANCE POUR L'INDUSTRIE DU VERRE ,"80.416,73 ","98.287,12 ","357.407,70 ","357.407,70 ",n/a,n/a
Glazen huis Ghistelinck , GARAGE GHISTELINCK ,"45.000,00 ","55.000,00 ","151.203,38 ","151.203,38 ",n/a,"15.856,37 "
GO Team! , Tyco Electronics Raychem ,"44.989,29","54.986,91 ","229.945,26 ","229.945,26 ",n/a,n/a
GO Textiel , Santens ,n/a,n/a,n/a,n/a,n/a,n/a
GODW - actie 1 , VDAB ,"12.251,25 ","6.187,50 ","24.750,00 ","24.750,00 ","2.455,87 ","5.001,77 "
GODW - actie 2 , VDAB ,"99.000,00 ","46.895,97 ","217.853,14 ","217.853,14 ",n/a,n/a
GOING TO THE MAX 2 , Cobelguard ,"225.000,00 ","759.865,11 ","1.572.822,80 ","1.572.822,80 ","113.742,84 ","780.525,95 "
GOING TO THE MAX 3 , Cobelguard ,"135.000,00 ","285.600,00 ","743.544,00 ","743.544,00 ",n/a,n/a
Grada - Steam , CARADON GRADE INTERNATIONAL NV ,"45.000,00 ","55.000,00 ","205.680,00 ","205.680,00 ",n/a,n/a
Grijkoort - Begeleid Werk: Art.60 tewerkstelling , Grijkoort - Begeleid Werk ,"37.409,71 ","205.145,71 ","244.980,00 ","244.980,00 ",n/a,n/a
Grijkoort - Begeleid Werk: art.60 tewerkstelling , Grijkoort - Begeleid Werk ,"37.409,71 ","205.145,71 ","244.980,00 ","244.980,00 ",n/a,n/a
Groep Intro Oost- Vlaanderen Werkervaring 2008 , groep INTRO vzw - regio Oost-Vlaanderen ,"694.396,91 ","2.500.480,26 ","3.274.692,91 ","3.274.692,91 ","693.830,36 ","3.254.561,39 "
Groep Intro regio Oost-Vlaanderen , groep INTRO vzw - regio Oost-Vlaanderen ,"86.000,00 ","171.911,71 ","272.689,72 ","272.689,72 ",n/a,n/a
Groep Intro vzw regio Oost-Vlaanderen , groep INTRO vzw - regio Oost-Vlaanderen ,"86.000,00 ","171.911,71 ","272.689,72 ","272.689,72 ",n/a,n/a
Groep Intro vzw regio Vlaams Brabant , groep INTRO vzw - regio Vlaams-Brabant ,"86.000,00 ","200.400,00 ","374.400,00 ","374.400,00 ",n/a,n/a
Groep Intro vzw regio Vlaams Brabant , groep INTRO vzw - regio Vlaams-Brabant ,"86.000,00 ","200.400,00 ","374.400,00 ","374.400,00 ",n/a,n/a
Groep Intro vzw regio Vlaams Brabant , groep INTRO vzw - regio Vlaams-Brabant ,"297.900,00 ","406.750,00 ","729.650,00 ","729.650,00 ","297.900,00 ","831.149,42 "
Growing together , AIB-Vincotte Belgium ,"42.238,61 ","51.624,97 ","187.727,17 ","187.727,17 ",n/a,"48.193,02 "
HAMAL opleidingsproject , Hamal Signature ,"52.317,70 ","63.943,85 ","232.523,10 ","232.523,10 ",n/a,n/a
Haventornado's , WERKVORMM ,"82.103,46 ","238.151,52 ","323.349,38 ","323.349,38 ",n/a,n/a
Het beste team van de sector II , BASF Antwerpen NV ,"33.750,00 ","41.250,00 ","178.336,25 ","178.336,25 ",n/a,n/a
HET EXPECTATIONS FRAMEWORK: GANGMAKER EN KATALYSATOR VOOR LBPM , RealDolmen ,"33.750,00 ","41.250,00 ","178.336,25 ","178.336,25 ",n/a,n/a
Hexion Speciality Chemicals: Skills and Knowledge , Hexion Specialty Chemicals ,n/a,n/a,n/a,n/a,n/a,n/a
HOA: Hooggeschoolde Allochtonen , VDAB ,"98.918,19 ","718,75 ","199.870,00 ","199.870,00 ",n/a,n/a
HOGROP en verder... , OPLEIDINGSCENTRUM HOUT vzw ,"164.692,51 ","295.044,78 ","1.178.813,55 ","1.178.813,55 ","69.734,97 ","436.838,69 "
Hooggeschoolde allochtonen met een buitenlands diploma (werktitel) , VDAB ,"11.088,00 ","1.980,00 ","22.400,00 ","22.400,00 ","1.792,20 ","3.620,61 "
Horizon Mentorship , DECEUNINCK ,"43.634,30 ","53.330,80 ","198.250,00 ","198.250,00 ",n/a,"27.615,80 "
HST - Hexion Skills Training , Hexion Specialty Chemicals ,"99.015,92 ","121.019,46 ","440.070,76 ","440.070,76 ","54.497,19 ","242.209,71 "
ICO - Intensief en Continu Opleiden , COMBINED ,n/a,n/a,n/a,n/a,n/a,n/a
IGO Leuven , Intergemeentelijk Opbouwwerk arrondissement Leuven ,"228.031,24 ","812.253,77 ","1.040.285,01 ","1.040.285,01 ","197.612,85 ","954.771,37 "
IGO Leuven , Intergemeentelijk Opbouwwerk arrondissement Leuven ,"129.000,00 ","151.200,08 ","302.400,16 ","302.400,16 ",n/a,n/a
IGOW meer gendersensitief , Administratieve en maatschappelijke zetel IGO-W vzw ,"13.198,54 ","16.131,54 ","35.252,50 ","35.252,50 ",n/a,n/a
'Ik wil er wel-zijn' , Familiehulp ,"71.337,06 ","80.446,56 ","225.482,22 ","225.482,22 ",n/a,n/a
Ik wil er wel-zijn , Familiehulp ,"12.500,00 ","12.500,00 ","25.000,00 ","25.000,00 ","5.893,42 ","11.786,84 "
IKOO vzw , IKOO ,"163.800,00 ","314.774,88 ","496.684,94 ","496.684,94 ","163.800,00 ","407.512,74 "
IMPALA , Limburgs Initiatief voor Therapie en integrale Personenzorg - Dienst Gesp. Ori‘ntering ,"133.650,00 ",n/a,"309.000,00 ","309.000,00 ","26.959,86 ","60.515,97 "
"Implementatie van een EHS, RFT en TEAMcultuur ", PFIZER manufacturing Belgium NV ,"92.968,88 ","113.628,62 ","413.195,00 ","413.195,00 ","10.225,79 ","45.447,94 "
Improving Employability , DSM SPECIALITY COMPOUNDS ,"81.720,50 ","99.880,61 ","363.202,20 ","363.202,20 ","36.720,81 ","163.203,60 "
in- en uitstroom , I.S.I.S ,"33.412,50 ",n/a,"93.391,48 ","93.391,48 ","2.429,13 ","16.402,53 "
Innovatieve participatie , Unie van Zelfstandige Ondernemers ,"45.000,00 ","55.000,00 ","143.843,28 ","143.843,28 ",n/a,"65.228,65 "
Integrale klantenbediening , service center Leuven ,"43.573,43 ","53.256,42 ","1.138.663,29 ","1.138.663,29 ",n/a,n/a
Interne reorganisatie Netwerk De Sleutel , DE SLEUTEL (directie en centrale diensten) ,"41.976,00 ","51.304,00 ","123.280,00 ","123.280,00 ",n/a,"31.588,72 "
INZICHT , Limburgs Initiatief voor Therapie en integrale Personenzorg - Dienst Gesp. Ori‘ntering ,"423.900,00 ","518.100,00 ","942.000,00 ","942.000,00 ",n/a,n/a
IN-ZICHT , Limburgs Initiatief voor Therapie en integrale Personenzorg - Dienst Gesp. Ori‘ntering ,"481.500,00 ","588.500,00 ","1.070.000,00 ","1.070.000,00 ","185.992,85 ","415.558,15 "
I-Talent-O , Gebouw B - Campus Diepenbeek ,"203.777,00 ","270.123,00 ","473.900,00 ","473.900,00 ","21.589,13 ","50.207,27 "
I-TALENT-O: het inzetten van talenten als hefboom tot het ontwikkelen van competenties , VOV VZW ,"10.750,00 ","14.250,00 ","27.937,50 ","27.937,50 ","5.124,09 ","11.916,48 "
J@W's , GTB ,"11.712,50 ","11.787,50 ","25.000,00 ","25.000,00 ","10.522,64 ","21.498,58 "
J@W's , GTB ,"95.719,71 ","74.517,79 ","194.637,50 ","194.637,50 ",n/a,n/a
Jobclick , Job- link VZW ,"278.100,00 ","339.900,00 ","618.000,00 ","618.000,00 ",n/a,n/a
JOBCLICK - promotor: Job - Link (tot 1 januari 2008 Cebob - De Link) , Job- link VZW ,"278.100,00 ","339.900,00 ","618.000,00 ","618.000,00 ","95.976,80 ","213.281,77 "
Jobcoaching in de sociale economie , Mentor - Centrum voor opleiding en individuele begeleiding vzw ,"22.185,90 ",n/a,"49.800,00 ","49.800,00 ",n/a,n/a
Jobready , groep INTRO vzw - regio Vlaams-Brabant ,"102.412,20 ","102.412,20 ","207.038,45 ","207.038,45 ",n/a,n/a
jobready , groep INTRO vzw - regio Vlaams-Brabant ,"7.183,33 ","7.183,33 ","14.366,66 ","14.366,66 ","  4.032,44 ","8.064,87 "
Kanaalcommunicatie , BUURTONTWIKKELINGSMAATSCHAPPIJ vzw ,n/a,"101.688,94 ","155.688,94 ","155.688,94 ",n/a,"144.811,50 "
Klantenverwachtingen overtreffen , SANTANA ,"48.889,26 ","59.753,54 ","182.006,80 ","182.006,80 ","22.084,69 ","98.154,16 "
Klare taal rendeert. Een helpdesk taalbeleid voor intermediairs op de arbeidsmarkt , HUIS VAN HET NEDERLANDS ANTWERPEN ,"99.998,07 ","99.998,07 ","204.097,55 ","204.097,55 ",n/a,n/a
Klare Taal Rendeert. Een helpdesk taalbeleid voor intermediairs op de arbeidsmarkt. , HUIS VAN HET NEDERLANDS ANTWERPEN ,"12.483,82 ","12.483,82 ","24.967,64 ","24.967,64 ","11.524,54 ","23.049,08 "
Klavertje4 , Delhaize ,"118.598,06 ","144.953,19 ","527.102,50 ","527.102,50 ","95.616,00 ","424.960,02 "
Kleine Moedige Ondernemingen (KMO) , VOKA-KAMER VAN KOOPHANDEL OOST-VLAANDEREN ,"60.648,31 ","74.125,71 ","192.534,32 ","192.534,32 ",n/a,n/a
Kleurrijke opleidingen , Sigma Service Center Hasselt PPG ,"37.180,82 ","45.443,23 ","165.248,10 ","165.248,10 ",n/a,n/a
Kompas : 'Focus op DNA' , KOMPAS VZW ,"35.940,91 ","43.927,78 ","125.268,70 ","125.268,70 ",n/a,n/a
Kwaliteit door Competentie , METAALGIETERIJ G. GIESEN BV ,"91.581,08 ","111.932,42 ","407.027,00 ","407.027,00 ",n/a,n/a
Kwaliteit door Veiligheid Ð Veiligheid door Kwaliteit , Aviapartner Belgium ,n/a,n/a,n/a,n/a,n/a,n/a
KWIC , VOKA-KAMER VAN KOOPHANDEL OOST-VLAANDEREN ,"100.125,00 ","100.125,00 ","209.990,00 ","209.990,00 ",n/a,n/a
KWIC , VOKA-KAMER VAN KOOPHANDEL OOST-VLAANDEREN ,"12.375,00 ","12.375,00 ","25.000,00 ","25.000,00 ","12.362,06 ","24.973,87 "
Langerbrugge voor de toekomst 2009-2011 , STORA LANGERBRUGGE ,"51.605,10 ","63.072,90 ","229.356,00 ","229.356,00 ",n/a,n/a
Leersteunpunt Werkervaring , Leerwerkplaats garage vzw ,"51.600,00 ","77.519,47 ","132.368,48 ","132.368,48 ",n/a,n/a
leersteunpunt Werkervaring 2010 , Leerwerkplaats garage vzw ,"51.600,00 ","77.519,47 ","132.368,48 ","132.368,48 ",n/a,n/a
Leerwerkbedrijf Stad Gent , Stadsdiensten St. Niklaasstraat/Fractiesecretariaten ,"461.087,87 ","859.652,29 ","1.320.740,16 ","1.320.740,16 ","461.087,87 ","1.253.508,16 "
Leren en Werken - ABO , Epon ,"654.294,65 ","3.922.686,99 ","4.576.981,64 ","4.576.981,64 ","654.294,65 ","4.576.981,64 "
Leren en Werken - ABO , Epon ,"672.715,42 ","5.525.282,78 ","6.197.998,20 ","6.197.998,20 ",n/a,n/a
Leren en Werken - Brug , Epon ,"3.345.690,68 ","5.219.186,23 ","8.564.876,91 ","8.564.876,91 ",n/a,n/a
Leren en Werken - BRUG , Epon ,"2.673.974,11 ","3.515.341,20 ","6.189.315,31 ","6.189.315,31 ","2.667.170,11 ","6.189.315,31 "
Leren en Werken - Brug , Epon ,"3.896.077,40 ","4.910.411,10 ","8.806.488,50 ","8.806.488,50 ",n/a,n/a
Leren en Werken - BuSO , Epon ,"931.400,00 ","3.904.840,00 ","4.836.240,00 ","4.836.240,00 ",n/a,n/a
Leren en Werken - DBSO , Epon ,"1.580.973,60 ","8.411.946,72 ","9.992.920,32 ","9.992.920,32 ",n/a,n/a
Leren en Werken - DBSO , Epon ,"1.693.832,31 ","6.007.110,66 ","7.700.942,97 ","7.700.942,97 ","1.693.832,31 ","7.700.942,97 "
Leren en Werken - DBSO , Epon ,"1.654.872,47 ","5.967.506,10 ","7.622.378,57 ","7.622.378,57 ",n/a,n/a
Leren en Werken - Voortrajecten , Epon ,"1.076.721,43 ","2.729.882,11 ","3.806.603,54 ","3.806.603,54 ",n/a,n/a
Leren en Werken - Voortrajecten , Epon ,"1.724.885,40 ","2.363.854,52 ","4.088.739,92 ","4.088.739,92 ","1.724.885,40 ","4.088.739,92 "
Leren en Werken - Voortrajecten , Epon ,"341.549,00 ","1.535.501,87 ","1.877.050,87 ","1.877.050,87 ",n/a,n/a
Lerend netwerk 'Ontwikkelen vanuit Talent en Bezieling' , STEBO ,"199.223,42 ","264.086,86 ","463.310,28 ","463.310,28 ","61.902,70 ","143.959,76 "
Lerend Netwerk 'ontwikkelen vanuit Talent en Bezieling' - actie 3 , STEBO ,n/a,n/a,n/a,n/a,n/a,n/a
Levanto In- / uitstroom sociale werkplaatsen , LEVANTO ,"28.066,50 ",n/a,"63.000,00 ","63.000,00 ",n/a,n/a
Levanto loopbaancentrum , ondersteunende diensten ,"276.300,00 ","342.766,62 ","619.066,62 ","619.066,62 ","107.521,62 ","257.905,04 "
Levenslang Leren Belgomilk , BELGOMILK ,"135.000,00 ","165.000,00 ","800.883,00 ","800.883,00 ",n/a,n/a
Levenslang leren leidt tot de beste teams , Duracell Batteries ,n/a,n/a,n/a,n/a,n/a,n/a
Levenslang leren om de competenties van de werknemers te verbreden en te verdiepen , TABAKNATIE NV ,"209.062,58 ","255.520,94 ","929.167,04 ","929.167,04 ","123.516,57 ","548.962,52 "
LINK@work , Werkervaringsbedrijven ,"33.948,00 ","41.492,00 ","75.440,00 ","75.440,00 ",n/a,n/a
LINK@work , Werkervaringsbedrijven ,"3.257,66 ","3.981,59 ","7.239,25 ","7.239,25 ",n/a,n/a
LINOPAN TRAINING EN OPLEIDING , Linopan ,"135.000,00 ","165.000,00 ","703.137,60 ","703.137,60 ",n/a,n/a
LNET , Epon ,n/a,"23.605,00 ","23.605,00 ","23.605,00 ",n/a,"  24.297,34 "
LoopbaanAdviesCentrum , Keerpunt vzw ,"238.500,00 ","299.231,55 ","552.395,60","552.395,60","63.720,76 ","148.074,50 "
Loopbaanbegeleiding , de kempische brug ,"252.948,67 ","330.894,49 ","583.843,16 ","583.843,16 ","158.822,98 ","374.524,94 "
Loopbaanbegeleiding , ondersteunende diensten ,"276.300,00 ","337.700,00 ","614.000,00 ","614.000,00 ",n/a,n/a
loopbaanbegeleiding 2010-2011 , lbc-nvk algemeen secretariaat ,"239.400,00 ","292.600,00 ","532.000,00 ","532.000,00 ",n/a,n/a
Loopbaanbegeleiding Hudson , Hudson ,"450.900,00 ","551.100,00 ","1.002.000,00 ","1.002.000,00 ",n/a,n/a
loopbaancoaching online , de kempische brug ,"11.217,06 ","11.255,56 ","22.660,73 ","22.660,73 ",n/a,n/a
Loopbaancoaching online , de kempische brug ,"93.764,77 ","103.864,00 ","199.663,91 ","199.663,91 ",n/a,n/a
Loopbaandienstverlening , Hudson ,"454.950,00 ","556.050,00 ","1.157.951,47 ","1.157.951,47 ","154.456,90 ","365.848,05 "
Loopbaandienstverlening , Alternatief ,n/a,"357.267,52 ","358.094,51 ","358.094,51 ",n/a,"32.170,94 "
loopbaanfocus , KELLENS CONSULTING ,"234.000,00 ","286.000,00 ","520.000,00 ","520.000,00 ","84.903,52 ","200.691,46 "
Loopbaanfocus , KELLENS CONSULTING ,"234.000,00 ","286.000,00 ","520.000,00 ","520.000,00 ",n/a,n/a
loopbaanvorming , Centrale zetel ,"87.265,28 ","166.657,57 ","660.247,20 ","660.247,20 ",n/a,n/a
Loopbaanwijzer (Stebo) , STEBO ,"234.000,00 ","286.000,00 ","520.000,00 ","520.000,00 ",n/a,n/a
LOVE , Epon ,"96.600,00 ","64.400,00 ","161.000,00 ","161.000,00 ",n/a,n/a
M5 - Meer Mensen Maximaal opgeleid bij Media Markt , MEDIA MARKT - SATURN BELGIUM ,"163.419,17 ","199.734,54 ","726.307,44 ","726.307,44 ","17.719,15 ","78.751,78 "
Maatschappelijk Verantwoord Ondernemen bij KMO's , Economische Raad voor Oost-Vlaanderen ,"124.650,00 ","152.350,00 ","568.142,95 ","568.142,95 ",n/a,"46.133,14 "
Maatschappelijk Verantwoord Ondernemen: 'The ISS Way' , ISS ,"68.596,45 ","83.840,10 ","874.657,80 ","874.657,80 ",n/a,n/a
Maatwerk , Maatwerk ,"124.900,00 ","325.596,74 ","456.996,74 ","456.996,74 ","79.743,96 ","323.267,86 "
Macomvac , VDAB ,"55.281,03 ","56.581,52 ","113.245,00 ","113.245,00 ",n/a,n/a
MagicBox , VIBAM - VORMINGSINITIATIEF VOOR BEDIENDEN VAN DE ANTWERPSE METAALNIJVERHEID ,"12.500,00 ","12.500,00 ","74.841,95 ","74.841,95 ","12.467,69 ","31.169,22 "
Maintenance Partners School , MAINTENANCE PARTNERS BELGIUM ,"14.449,39 ","17.660,37 ","116.429,68 ","116.429,68 ",n/a,n/a
Manpower Logistics Academy , MANPOWER ,"225.000,00 ","275.000,00 ","1.083.878,00 ","1.083.878,00 ","58.666,11 ","406.898,26 "
Manpower Logistics Academy 2 , MANPOWER ,n/a,n/a,n/a,n/a,n/a,n/a
Manus InDO , BERCHOP - ESDEURN vzw ,"28.957,50 ",n/a,"99.158,80 ","99.158,80 ","7.079,69 ","23.786,68 "
Marine Harvest to the future , MARINE HARVEST PIETERS ,"101.781,72 ","124.399,88 ","452.363,20 ","452.363,20 ","67.620,56 ","300.535,81 "
Marine Harvest to the future 2 , MARINE HARVEST PIETERS ,n/a,n/a,n/a,n/a,n/a,n/a
MAYERLINE RETAIL ACADEMY , Mayerline ,n/a,n/a,n/a,n/a,n/a,n/a
Medewerkers groeien door bij Meuleman , DECORTEAM MEULEMAN ,"32.020,31 ","39.135,94 ","142.312,50 ","142.312,50 ",n/a,n/a
MEDIArte.be.eld , Sociaal Fonds voor de Audiovisuele Sector ,"78.808,05 ","96.320,95 ","218.911,26 ","218.911,26 ",n/a,n/a
Mensen maken het verschil , COCA-COLA ENTERPRISES BELGIUM ,n/a,n/a,n/a,n/a,n/a,n/a
Mentor: 'Buddy in het dr. Guislainziekenhuis' , PC DR. GUISLAIN ,"41.965,49 ","51.291,15 ","189.513,29 ","189.513,29 ",n/a,"83.084,30 "
Mentorship in opbouw , Fonds voor de vakopleiding in de bouwnijverheid - Fonds de formation professionnelle de la construction ,"45.000,00 ","55.000,00 ","297.195,00 ","297.195,00 ",n/a,"126.887,06 "
Mentorship Messer , MESSER BELGIUM ,"45.000,00 ","55.000,00 ","166.109,45 ","166.109,45 ",n/a,"50.052,88 "
Methodieken voor nazorg (werktitel) , VDAB ,"11.000,00 ","11.000,00 ","25.000,00 ","25.000,00 ","593,51 ","1.199,00 "
Methodieken voor Ondernemerscompetentiegericht Beroepstechnisch Opleiden - MOBO , VLAAMS AGENTSCHAP VOOR ONDERNEMERSVORMING - SYNTRA VLAANDEREN ,"12.325,00 ","9.711,00 ","25.000,00 ","25.000,00 ",n/a,n/a
Monsanto Training , MONSANTO EUROPE ,"92.830,40 ","113.459,38 ","412.579,56 ","412.579,56 ","75.300,26 ","334.667,82 "
Move ," Argos, Centrum voor Vormings- en Activeringsprojecten ","53.100,00 ","207.481,14 ","266.280,00 ","266.280,00 ","36.087,04 ","202.348,88 "
MOVE TO IMPROVE , Carestel Motorway Services ,"72.759,33 ","88.928,07 ","323.374,80 ","323.374,80 ",n/a,n/a
Moving on through Total Productive Manufacturing , Neven-Lemmens Plastics ,"56.210,32 ","68.701,50 ","249.823,66 ","249.823,66 ","12.161,81 ","54.052,50 "
MULTI INZETBARE MEDEWERKERS IN EEN INNOVATIEVE PRODUCTIEOMGEVING , MONSANTO EUROPE ,"87.374,70 ","106.791,30 ","388.332,00 ","388.332,00 ",n/a,n/a
MVO - startcentra , BEDRIJVENCENTRUM DE PUNT ,"174.600,00 ","213.400,00 ","688.000,00 ","688.000,00 ",n/a,"27.387,72 "
MVO in de KMO , UNIZO - VORMING ,"367.650,00 ","449.350,00 ","1.492.000,00 ","1.492.000,00 ",n/a,"40.359,82 "
MVO-power! , Randstad Belgium ,"311.625,00 ","380.875,00 ","1.255.556,00 ","1.255.556,00 ",n/a,"76.052,48 "
MVO-scans als opstap naar West-Vlaams Charter Duurzaam Ondernemen , Provinciale Ontwikkelingsmaatschappij West-Vlaanderen ,"143.325,00 ","175.175,00 ","649.949,80 ","649.949,80 ",n/a,"28.649,99 "
N.V. MATHIEU GIJBELS: TRAINING EN OPLEIDING , MATHIEU GIJBELS ,"135.000,00 ","165.000,00 ","600.005,10 ","600.005,10 ",n/a,n/a
Naar autonome en polyvalente medewerkers , PFIZER manufacturing Belgium NV ,"89.884,48 ","109.858,81 ","399.486,58 ","399.486,58 ",n/a,n/a
"Naar een integrale, krachtgerichte trajectbegeleiding voor werkzoekenden in armoede - actie 1 ", VDAB ,"12.251,25 ","6.065,00 ","24.750,00 ","24.750,00 ","6.548,05 ","13.233,73 "
"Naar een integrale, krachtgerichte trajectbegeleiding voor werkzoekenden in armoede - actie 2 ", VDAB ,"99.000,00 ","45.397,69 ","220.630,95 ","220.630,95 ",n/a,n/a
Naar een leven lang leren: stimuleren van een positieve leercultuur in organisaties , VLERICK LEUVEN GENT MANAGEMENT SCHOOL ,"6.817,38 ","6.955,11 ","13.772,49 ","13.772,49 ","6.817,38 ","14.937,15 "
Naar een leven lang leren: stimuleren van een positieve leercultuur in organisaties. , VLERICK LEUVEN GENT MANAGEMENT SCHOOL ,"82.326,96 ","82.326,96 ","166.456,21 ","166.456,21 ",n/a,n/a
NAH-ASS , Job- link VZW ,"100.000,00 ","122.222,00 ","222.222,00 ","222.222,00 ","42.832,67 ","95.183,71 "
Nateus Training en Opleiding , Nateus ,"105.762,51 ","129.265,29 ","470.055,60 ","470.055,60 ",n/a,n/a
Natuurwerk-werkervaring , NATUURWERK ,"248.200,00 ","634.500,00 ","896.200,00 ","896.200,00 ",n/a,n/a
Nazorg , VDAB ,"98.707,17 ","57.140,96 ","199.812,50 ","199.812,50 ",n/a,n/a
Netcom Publiek , WNE-REGIEVZW VOOR WERK EN ECONOMIE ,n/a,"12.150,00 ","12.150,00 ","12.150,00 ",n/a,"11.489,63 "
Nieuwe Kansen - NIKA , OTC ,"100.141,66 ","101.775,01 ","204.166,67 ","204.166,67 ",n/a,n/a
Nieuwe Kansen - NIKA , OTC ,"10.312,50 ","10.520,83 ","20.833,33 ","20.833,33 ","10.312,50 ","23.982,64 "
NLW Chemie , Fonds voor vorming in de scheikundige nijverheid - Fonds pour la formation dans l'industrie chimique ,"18.418,56 ","22.511,57","81.860,25 ","81.860,25 ",n/a,n/a
OCMW MIDDELKERKE , Openbaar Centrum voor Maatschappelijk Welzijn van Middelkerke ,"90.000,00 ","135.276,50 ","293.517,07 ","293.517,07 ","62.945,00 ","214.817,78 "
ODTH employability , DISTRIBUTIE TER HAEGHE ,"11.682,91 ","14.279,12 ","47.911,25 ","47.911,25 ","6.768,51 ","37.015,36 "
OJA , JEUGDWELZIJNSWERK ONDERSTEUNINGSNETWERK GENT ,"12.375,00 ","12.375,00 ","26.202,45 ","26.202,45 ","11.372,57 ","24.068,94 "
OJA , JEUGDWELZIJNSWERK ONDERSTEUNINGSNETWERK GENT ,"100.125,00 ","100.125,00 ","240.178,66 ","240.178,66 ",n/a,n/a
