Operateur,Nom du Projet,Decision FSE
CEFOCHIM ASBL,BioChim Hainaut,"932.000,00"
Faculte_s Universitaires Catholiques a_ Mons,Town Center Management,"90.000,00"
FOREM,ForWALog,"2.485.625,00"
FOREM,Confluence Construction,"4.389.940,00"
HE Roi Baudouin siege,FIPAL,"135.000,00"
IFAPME,MBH - Me_tiers de bouche dans le Hainaut,"823.888,50"
Technofutur Industrie,TFIMecamat,"1.560.000,00"
Technofutur Industrie Maintenance,TFIMAINT,"928.928,00"
Wallonie Aerotraining Network,WAN exploitations ae_ro 07-13,"3.266.928,00"
ARCHIPEL,EQUILIBRE/AC ARCHIPEL/ ECO SOCIALE ET SYNDICATS,"490.000,00"
ECOMONS,EQUILIBRE/AC ECOMONS/Pro SES HT,"688.811,00"
HAUTE ECOLE PROVINCIA LE MONS - BORINAGE - CENTRE,PME 3000,"1.290.000,00"
IFAPME,Esprit d’entreprendre - conv,"2.397.937,80"
Aces asbl,Equilibre / Coope_rative d'Activite_s T ournai,"300.000,00"
Avomarc,Equilibre/Coop e_rative d'activite_ Mons /Avomarc,"600.000,00"
Credal asbl,MICROHAINAUT,"165.000,00"
ECOMONS,Maison du Design - Accompagnement aux personnes,"766.000,00"
JECREEMO NJOB.BE,JECREEMONJOB.BE,"753.000,00 "
Syste_me d'Accompag nement a_ la Cre_ation d'Entreprises,Couveuse d'entreprises - Auto-cre_ation d'emploi,"700.000,00"
Union des Classes Moyennes du Hainaut,Re_seau Diane- Fe_minin PME-AFFA-IFAPME-Egid,"580.035,20"
"Union des Classes Moyennes
du Hainaut",e-Learning pour entrepreneurs,"646.772,60"
Centrede Coordination et de Gestion (ens. obligatoire),Alternance qualifiante et certificative obj 1,"15.600.000,00"
IFAPME,Alternance inte_gre_e - Conv,"5.200.000,00"
Centre du The_a_tre Action,F.CASTA,"189.243,00"
Centre Interuniversitaire de Formation permanente,commerce international et partenariats interentrep,"170.000,00"
CWPFIV asbl,CEFOVERRE EVOLUTIVE,"400.000,00"
Enseignement de Promotion Sociale,EPS 122/HPI,"2.861.688,00"
Enseignement de Promotion Sociale,EPS 122/PI,"1.742.052,00"
Faculte_ Polytechnique de Mons,Gestion Durable de l'Energie dans les Ba_timents,"82.700,00"
Faculte_s Universitaires Catholiques a_ Mons,Long life learning,"600.000,0"
FOREM,En-TRAIN = En Transition- Reconversion- Accompagneme,"4.313.624,90"
FOREM,QUALI-FORM-I-DE (CDC et CO FOREM),"7.000.000,00 "
FOREM,JOBTONIC,"500.000,00"
Haute Ecole Libre du Hainaut Occidental Cate_gorie Parame_dica,TPP et QPP en ge_riatrie,"30.473,00"
HEC-Ecole de Gestion de l'Universite_ de Lie_ge ASBL,IFV Hainaut,"110.000,00 "
IFAPME,PRICG - Re_seau informatique et Web,"805.362,50"
IFAPME,E-Learning - conv,"156.414,75"
Lire et Ecrire - Communaute_ franc_aise,Me_tier: Alphabe_tiseur: form. prof. Hainaut,"48.044,00"
Technocite,SYNTIC CONVERGENCE,"2.734.062,10"
Technocite,POST SYNTIC VIRTUALIS,"1.050.000,00"
T echnocite,IT Convergence Academy,"451.823,00"
Technofutur Industrie,TFI METAL,"1.300.000,00"
Technofutur TIC asbl,formation convergence,"1.900.000,00"
Technofutur TIC asbl,E-LEARNING CONVERGENCE,"145.500,00"
Universite_ de Lie_ge - LabSET,Learn-on-Line (Convergence),"161.175,00"
Acade_mie Universitaire W allonie-Bruxelles,Hainaut-BioMed - Formation vers les Hautes e_coles,"100.000,00"
Carrefour Economie T echnologie Enseignement,Les Miniusines et la TPM,"800.000,00"
Centre de Coordination et de Gestion (ens. obligatoire),Jonction Convergence obj 1,"1.000.000,00"
Flora,Coaching d'insertion,"124.680,07"
FOREM,Ge_ne_ration +,"250.000,00"
Interfe_de_ration des EFT/OISP asbl,ISP Formation Hainaut,"200.000,00"
Technofutur TIC asbl,TIC ENSEIGNEMENT Convergence,"92.000,00"
Universite_ de Lie_ge - LabSET,FormaDis (Convergence),"401.494,00"
Universite_ de Lie_ge - Service de T echnologie,HETICE,"388.800,00"
Centre de Coordination et de Gestion (ens. obligatoire),Re_fe_rentiels de l'alternance - objectif 1,"430.000,00"
Centre de Coordination et de Gestion (ens. obligatoire),Modularisation dans l'alternance obj 1,"215.000,00"
Conseil interuniversitaire de la Communaute_ franc_aise,VAE Universite_s - Convergence,"1.370.040,00"
Consortium validation des compe_tences,Vos compe_tences ont de la valeur ! COVA,"2.408.274,00"
IFAPME,Qualification pour une meilleure insertion - conv,"200.000,00"
Centre de Coordination et de Gestion (ens. obligatoire),Mise en re_seau (ens. qualifiant) - objectif 1,"350.000,00"
Enseignement de Promotion Sociale,EPS 125/Mise en re_seau,"847.800,00"
FEDERATION DES TELES LOCALES WALLONIE - BRUXELLES,PROFILS - Magazine sur les Te_le_s Locales,Inte_gre_ dans Skills Belgium
FOREM,PORTES POUR L'EMPLOI,"398.900,70"
FOREM,Carrefour Emploi Formation Orientation,"3.180.000,00"
InstitutEco-Conseil asbl,Plate-formeformations gestion milieux naturels,"62.750,00"
InstitutEco-Conseil asbl,Centreressourcesonline gestion milieux naturels,"33.500,00"
SkillsBelgium asbl,PROMEFITEC HAINAUT,"307.500,30"
Acade_mie Wallonie-Bruxelles,MIRVAL/W-B,"1.332.124,50"
ADISIF asbl,MIRVAL / ADISIF CONVERGENCE,"321.531,00"
Centre de Promotion de la R&D et de valorisation des technol,InnovaTech asbl,"2.478.474,00"
"Direction Ge_ne_rale des Technologies, de la Recherche",FIRST DOCA EUROPE,"2.040.000,00"
FOREM,Collaboration CdC et CdR,"180.000,00"
Universite_ de Lie_ge - Interface Entreprises- Universite,MIRV AL/Acade_mie Wallonie-Europe,"1.446.000,00"
Universite_ de Lie_ge - Interface Entreprises- Universite,pi2 Wallonie : Centre Patlib W allon,"1.898.250,00"
