Operateur,Nom du Projet,Decision FSE
Bruxelles Formation,Fonds Sectoriels,"4.830.000,00"
Bruxelles Formation,FLOM,"390.849,30"
CEFOCHIM ASBL,BioChim Wallonie,"300.000,00"
EPICURIS,Redynamisation du secteur des me_tiers de bouche,"1.090.000,00"
FOREM,Confluence Construction,"5.645.504,00"
FOREM,CAMPUS AUTOMOBILE DE FRANCORCHAM PS - FOREM,"1.980.000,00"
FOREM,ForW ALog,"3.339.375,00"
FOREM,FormAlim,"1.500.000,00"
FOREM,BIOTECH FOREM,"1.525.774,00"
IFAPME,FORLUXVIANDE,"858.757,50"
Technifutur,Technifutur asbl 1.1,"6.000.000,00"
Universite_ de Lie_ge - Interface Entreprises- Universite,TESKIM,"2.080.000,00"
Wallonie Aerotraining Network,WAN 2 m/v formations ae_ro 07-13,"1.022.608,00"
Bureau Economique de la Province de Namur,NEC 2007-2013,"564.781,00"
Bureau economique de la Province de Namur,Cre_ativite_s et entreprises touristiques,"310.652,00"
CHALLENGE SCRL sfs,EQUILIBBE/CHAL LENGE Stimulux,"165.000,00"
CREDAL asbl,REDDI,"250.000,00"
Febecoop Agence Conseil Wallonie,REDDI,"250.000,00"
FOSODER,A.R.E.T.,"149.286,00"
IFAPME,Esprit d'entreprendre - comp,"4.122.803,10"
Institut de De_veloppem ent Europe_en d'Economie Sociale asbl,IES & ESGE & AEES,"231.896,00"
NGE 2000,EQUILIBRE / AC NGE2000 / ProSES LUX,"319.000,00"
Agence de De_veloppem ent Local de Sambreville,PIACE - Prog Inte_gre_ d'Aide a_ la Cre_ation d'Entrep,"397.798,00"
AREBS asbl,ALPI,"878.000,00"
AREBS asbl,Face-a_-face,"750.000,00"
Bureau Economique de la Province de Namur,Cre_avite,"274.045,00"
CHALLENGE SCRL sfs,EQUILIBRE/Coope_rative Challenge,"700.000,00"
CREA - JOB asbl,Autocre_ation d'emploi - Couveuse d'entreprises,"878.000,00"
Credal asbl,MICROWAL,"314.286,00"
FOREM,INTER-NATIF Ide_es,"424.443,00"
"Guichet d'Entreprise, JOB'IN",JOB'IN,
Union des Classes Moyennes du Hainaut,Re_seau Diane- Fe_minin PME- AFFA- IFAPME- Egid,"722.829,00"
Centre de Coordination et de Gestion (ens. obligatoire,Alternance qualifiante et certificative obj 2,"19.600.000,00"
Espace formation PME,Excellence par alternance,"2.880.000,00"
IFAPME,Alternance inte_gre_e - Comp,"8.200.000,00"
Bruxelles Formation,Formations Qualifiantes,"17.089.835,00"
Ecole industrielle et commerciale d'Auvelais,ECOLE- ENTREPRISES-2,Fusionner avec dossier CCG
Enseignement de Promotion Sociale,EPS 222/HPI,"6.146.224,00"
Enseignement de Promotion Sociale,EPS 222/PI,"2.236.486,00"
FOREM,En-TRAIN = En Transition- Reconversio n- Accompagne me,"4.357.500,00"
FOREM,QUALI- FORM-I-DE (CDC et CO FOREM),"11.775.372,00"
FOREM,JOB TONIC,"1.000.000,00"
Haute Ecole Charlemagne,ceriseIV,"622.560,00"
HEC-Ecole de Gestion de l'Universite_ de Lie_ge ASBL,IFV Wallonie,"730.000,00"
HEC-Ecole de Gestion de l'Universite_ de Lie_ge ASBL,Campus Virtuel en Gestion - CVG,"1.000.000,00"
IFAPME,PRICG - Re_seau informatique et Web,"562.375,00"
IFAPME,E-Learning - comp,"364.967,30"
Interface3,Explore2,"600.000,00"
Interface3,Formations qual. ISP,"1.595.900,00"
"Lire et Ecrire -Communaute_
franc_aise",Me_tier: Alphabe_tiseu r - Form. professionnal isante,"201.315,00"
Service de Technologie de l'Education (STE),FANTIC- FICSE,Fusionner avec Technifutur dans le cadre de ce budget
Technifutur,Technifutur asbl 2.2,"4.315.368,75"
Techno.bel,IT Convergence Academy,"2.000.000,00"
Technocite,SYNTIC COMPETITI VITE,"300.000,00 "
Technofutur TIC asbl,formation compe_titivite,"1.593.750,00"
Technofutur TIC asbl,E- LEARNING competitivite,"145.500,00"
Universite_ de Lie_ge - LabSET,Learn-on- Line (Compe_titivit e_),"414.450,00"
Agence wallonne des te_le_communicat ions,Coupole e- learning,"209.944,00"
Centre de Coordination et de Gestion (ens. obligatoire),Jonction Compe_titivite_ obj 2,"1.057.143,00"
Flora,Coaching d'insertion,"374.040,19"
FOREM,Ge_ne_ration +,"500.000,00"
Interfe_de_ration des EFT/OISP asbl,ISP Formation Wallonie,"400.000,00"
Lire et Ecrire - Communaute_ franc_aise,Me_tier Alphabe_tiseur-Formation continue,"500.000,00"
Technifutur,Technifutur asbl 2.3,"181.536,00"
Universite_ de Lie_ge - LabSET,FormaDis (Compe_titivit e_),"1.111.488,70"
Universite_ de Lie_ge - STE- CRIFA,HETICE,"352.866,80"
Centre de Coordination et de Gestion (ens. obligatoire),Re_fe_rentiels de l'alternance - objectif 2,"430.000,00"
Centre de Coordination et de Gestion (ens. obligatoire),Modularisation dans l'alternance obj 2,"215.000,00"
Consortium validation des compe_tences,Vos compe_tences ont de la valeur ! COVA,"2.943.438,80"
IFAPME,Qualification pour une meilleure insertion - comp,"400.000,00"
Centre de Coordination et de Gestion (ens. obligatoire),Mise en re_seau (ens. qualifiant) - objectif 2,"350.000,00"
Enseignement de Promotion Sociale,EPS 225/CaFo Bruxelles,"343.000,00"
FEDERATION DES TELES LOCALES WALLONIE - BRUXELLES,PROFILS - Magazine sur les Te_le_s Locales,Inte_gre_ dans Skills Belgium
FOREM,PORTES POUR L'EMPLOI,"650.927,70"
Institut Eco-Conseil asbl,Plate-forme formations gestion milieux naturels,"62.750,00"
Institut Eco-Conseil asbl,"Centre
ressources online gestion milieux naturels","33.500,00"
SkillsBelgium asbl,PROMEFITEC,"614.999,70"
Acade_mie universitaire Louvain (AL),MIRVAL ,"1.626.525,00"
Acade_mie Wallonie-Bruxelles,MIRVAL/W-B2 ,"1.563.798,00"
Centre de Promotion de la R&D et de valorisation des technol,InnovaTech asbl,"3.449.541,00"
FOREM,Collaboration CdC et CdR,"180.000,00"
Universite_ de Lie_ge - Interface Entreprises- Universite,MIRVAL/Aca de_mie Wallonie- Europe,"1.677.000,00"
Universite_ de Lie_ge - Interface Entreprises- Universite,pi2 Wallonie : Centre Patlib W allon,"1.431.750,00"
Acade_mie Universitaire Wallonie- Bruxelles,Hainaut- BioMed - Formation continue_e de pointe,"672.500,00"
