"Operačný program","Názov prijímateľa","Názov projektu","Rok - Začiatok realizácie","Mesiac - Začiatok realizácie","Rok - Koniec realizácie","Mesiac - Koniec realizácie","Spolufinancovanie","EÚ zdroje - Zazmluvnené prostriedky","ŠR zdroje - Zazmluvnené prostriedky","Spolu - Zazmluvnené prostriedky","EÚ zdroje - Vyčerpané prostriedky","ŠR zdroje - Vyčerpané prostriedky","Spolu - Vyčerpané prostriedky"
"OP Vzdelávanie","00327646 - Mesto Prešov","26110130070 - Interaktívne vyučovanie-moderná forma vzdelávania",2009,"Marec",2011,"Február",5883.5,100019.58,11767.01,111786.59,27808.76,3271.62,31080.38
"OP Vzdelávanie","00327646 - Mesto Prešov","26110130225 - Kľúčové kompetencie a školský VP",2009,"Október",2011,"September",8288.75,140908.82,16577.51,157486.33,0,0,0
"OP Vzdelávanie","00327646 - Mesto Prešov","26110130287 - Podporme rozvoj vzdel. nad.  detí pre zajtrajšok",2009,"Október",2011,"September",6665.69,113316.75,13331.38,126648.13,0,0,0
"OP Vzdelávanie","00327778 - Obec Šarišská Poruba","26110130028 - Škola hrou",2009,"Marec",2011,"Január",4560.69,77531.73,9121.38,86653.11,4858.35,571.57,5429.92
"OP Vzdelávanie","00329096 - Obec Harichovce","26110130027 - Moderná škola rodinného typu",2008,"September",2010,"August",3780.59,64270.08,7561.19,71831.27,0,0,0
"OP Vzdelávanie","00329576 - Smolník","26110130290 - Implementácia ŠVP na I. stupni ZŠ v obci Smolník",2009,"Október",2011,"Júl",7349.6,124943.17,14699.2,139642.37,0,0,0
"OP Vzdelávanie","00329614 - Spišská Nová Ves","26110130190 - 7 základných škôl Mesta Sp.Nová Ves spoločne",2009,"Október",2011,"September",8269.65,140584.01,16539.3,157123.31,0,0,0
"OP Vzdelávanie","00331899 - Mesto Sečovce","26110130038 - Premena a inovácia vzdelávania v miestnych ZŠ",2009,"Marec",2010,"August",8056.98,136968.58,16113.95,153082.53,18936.32,2227.8,21164.12
"OP Vzdelávanie","00603201 - Mestská časť Bratislava - Petržalka","26140130011 - Inovácia obsahu a metód vyučovania angl. jazyka",2009,"Apríl",2011,"Marec",8138.02,138346.35,16276.04,154622.39,0,0,0
"OP Vzdelávanie","00603406 - Mestská časť Bratislava - Dúbravka","26140130010 - Inovatívne a reformné kroky na ceste do budúcnosti",2009,"Apríl",2011,"Marec",7990.85,135844.39,15981.69,151826.08,0,0,0
"OP Vzdelávanie","00647209 - Mesto Vrútky","26110130018 - Nevnucujme deťom svoje vzdelávanie",2009,"Apríl",2011,"Marec",3531.6,60037.21,7063.2,67100.41,10469.75,1231.74,11701.49
"OP Vzdelávanie","00691135 - Košice","26110130058 - Inovácia vzdelávacieho programu košických ZŠ",2009,"Marec",2011,"Február",7948.12,135117.97,15896.23,151014.2,0,0,0
"OP Vzdelávanie","00691135 - Košice","26110130259 - Košické moderné školy",2009,"Október",2011,"September",8234.73,139990.4,16469.46,156459.86,0,0,0
"OP Vzdelávanie","31827004 - Obec Ivanka pri Nitre","26110130077 - Škola nového tisícročia",2009,"Marec",2011,"Február",5195.02,88315.3,10390.04,98705.34,3504.02,412.24,3916.26
"OP Vzdelávanie","37831577 - ZŠ  a MŠ Cinobaňa","26110130106 - Ja, človek, súčasť prírody",2009,"Október",2011,"Marec",3590.73,61042.34,7181.45,68223.79,0,0,0
"OP Vzdelávanie","35541016 - VUC Košice","26120230004 - 1. výzva - VUC KE",2008,"August",2008,"November",3314.11,56339.79,6628.21,62968,42068.73,4949.26,47017.99
"OP Vzdelávanie","35541016 - VUC Košice","26120230012 - Zvýšenie vzdelanostnej úrovne ZP na území KK II",2009,"September",2012,"August",74792.06,1271465.02,149584.12,1421049.14,0,0,0
"OP Vzdelávanie","36126624 - TSK","26120230003 - 1. výzva - VUC TN",2008,"August",2008,"November",3485.36,59251.15,6970.72,66221.87,51631.32,6074.27,57705.59
"OP Vzdelávanie","36126624 - TSK","26120230007 - Doplnenie SZ o kvalifikovaných ZP v TSK",2009,"September",2012,"August",74685.97,1269661.54,149371.95,1419033.49,0,0,0
"OP Vzdelávanie","37808427 - Žilinský samosprávny kraj","26110130005 - Pilotné centrá odborného vzdelávania",2009,"Február",2011,"Január",16595.14,282117.3,33190.27,315307.57,0,0,0
"OP Vzdelávanie","37808427 - Žilinský samosprávny kraj","26110130172 - CLIL – integrované odborné jazykové vzdelávanie",2009,"Október",2011,"Júl",5983.86,101725.62,11967.72,113693.34,0,0,0
"OP Vzdelávanie","37808427 - Žilinský samosprávny kraj","26110130208 - Moderná škola v praxi",2009,"Máj",2011,"Apríl",16596.88,282147.01,33193.77,315340.78,0,0,0
"OP Vzdelávanie","37808427 - Žilinský samosprávny kraj","26120230002 - 1. výzva - VUC ZA",2008,"August",2008,"November",3271.16,55609.73,6542.32,62152.05,49803.92,5859.29,55663.21
"OP Vzdelávanie","37808427 - Žilinský samosprávny kraj","26120230011 - Podpora vzdelávania ZP v ŽSK",2009,"September",2012,"August",74515.08,1266756.29,149030.15,1415786.44,0,0,0
"OP Vzdelávanie","37828100 - Banskobystrický samosprávny kraj","26110130202 - Spoločne v odlišnom",2009,"Október",2011,"August",15198.21,258369.51,30396.41,288765.92,0,0,0
"OP Vzdelávanie","37828100 - Banskobystrický samosprávny kraj","26120230009 - Doplnenie SZ o kvalifikovaných odborníkov v BBSK",2009,"September",2012,"August",76790.22,1305433.74,153580.44,1459014.18,0,0,0
"OP Vzdelávanie","37836901 - Trnavský samosprávny kraj","26120230008 - Podpora vzdelávania ZP v TTSK",2009,"September",2012,"August",53944.85,917062.43,107889.7,1024952.13,0,0,0
"OP Vzdelávanie","37861298 - VUC Nitra","26110130074 - Model participácie súkromného sektora",2009,"Február",2010,"September",6577.18,111812.02,13154.36,124966.38,6525.25,767.68,7292.93
"OP Vzdelávanie","37861298 - VUC Nitra","26120230001 - 1. výzva -  VUC NR",2008,"September",2008,"December",3119,53022.97,6238,59260.97,50115.75,5895.97,56011.72
"OP Vzdelávanie","37861298 - VUC Nitra","26120230010 - Doplnenie systému zdravotníctva o KO v NSK-II.",2009,"September",2012,"August",57920.01,984640.18,115840.02,1100480.2,0,0,0
"OP Vzdelávanie","37870475 - Prešovský samosprávny kraj","26120230005 - 1. výzva - VUC PO",2008,"September",2008,"November",3186.62,54172.47,6373.23,60545.7,0,0,0
"OP Vzdelávanie","37870475 - Prešovský samosprávny kraj","26120230013 - Projekt prípravy ĽZ pre SZ v PSK",2009,"September",2012,"August",74684.75,1269640.73,149369.5,1419010.23,0,0,0
"OP Vzdelávanie","00614394 - Základná škola, Ružomberok","26110130126 - Učenie pre život",2009,"Október",2011,"September",5063.99,86087.84,10127.98,96215.82,0,0,0
"OP Vzdelávanie","17066867 - Základná škola, Raková č. 950","26110130196 - Inovovaný vzdelávací program",2009,"Október",2011,"September",7681.94,130592.9,15363.87,145956.77,0,0,0
"OP Vzdelávanie","17068193 - Základná škola s MŠ Poprad","26110130035 - Inovovanými formami vzdelávania odkódujme trezor",2009,"Marec",2011,"Február",6585.01,111945.16,13170.02,125115.18,24273.63,2855.72,27129.35
"OP Vzdelávanie","17068207 - ZŠ s MŠ Dostojevského, Poprad","26110130197 - Otvorme okná vedomostnej spoločnosti",2009,"Október",2011,"September",8289.85,140927.44,16579.7,157507.14,0,0,0
"OP Vzdelávanie","17070589 - ZŠ s MŠ  Slanec","26130130005 - Výchovno-vzdelávacie programy šité na mieru",2010,"Február",2012,"Január",10212.33,173609.56,20424.65,194034.21,0,0,0
"OP Vzdelávanie","17080754 - Základná škola Okružná 17, Michalovce","26110130301 - Škola, v kt sa všetci učia ako poznávať veci okolo",2009,"Október",2011,"September",7864.02,133688.42,15728.05,149416.47,0,0,0
"OP Vzdelávanie","17080771 - ZŠ P. Horova Michalovce","26110130060 - Integrované tematické vyučovanie, inovácia metód a",2009,"Marec",2011,"Február",8495.31,141866.73,16539.99,158406.72,41108.63,4792.78,45901.41
"OP Vzdelávanie","30233844 - ZŠ s MŠ Martin","26110130094 - Moderné vzdelávanie – investícia do budúcnosti",2009,"Október",2011,"September",7357.08,125070.42,14714.17,139784.59,0,0,0
"OP Vzdelávanie","30810647 - škola","26140130019 - Učme sa kvalitne, učme sa zaujímavo, učme sa moder",2009,"Október",2011,"September",7603.58,129260.92,15207.17,144468.09,0,0,0
"OP Vzdelávanie","31201431 - ZŠ, Kubranská cesta 80, TN","26110130151 - Projek. vyučovanie Kubranská",2009,"Október",2011,"Júl",7987.89,135794.12,15975.78,151769.9,0,0,0
"OP Vzdelávanie","31201458 - ZŠ s MŠ Trenčianska Turná","26110130217 - Moderná škola - zákl.živ.",2009,"Október",2011,"September",8168.09,138857.6,16336.19,155193.79,0,0,0
"OP Vzdelávanie","31201695 - Základná škola,Ulica P. D.","26110130040 - Vzdelávanie po novom",2009,"Apríl",2011,"Marec",6510.86,110684.62,13021.72,123706.34,22250.51,2617.71,24868.22
"OP Vzdelávanie","31201733 - ZŠ Valaská Belá 242","26110130024 - Školský vzd. program Škola tradícií",2009,"Marec",2010,"Október",3151.77,53580.04,6303.53,59883.57,12691.44,1493.11,14184.55
"OP Vzdelávanie","31202284 - ZŠ s MŠ Centrum II 87","26110130140 - Rozvoj prírorod. predmet. v moder. škole",2009,"Október",2011,"September",6964.02,118388.31,13928.04,132316.35,0,0,0
"OP Vzdelávanie","31263071 - Základná škola Užhorodská 39","26110130036 - Učenie (sa) nás baví",2009,"Marec",2011,"Február",8154.63,138628.72,16309.26,154937.98,33341.11,3922.48,37263.59
"OP Vzdelávanie","31263089 - Základná škola Staničná 13","26110130150 - Modernizácia vzdel prostr tvor učiteľa a akt žiak",2009,"Október",2011,"September",8702.05,147934.79,17404.09,165338.88,0,0,0
"OP Vzdelávanie","31816908 - ZŠ s MŠ Báhoň","26140130007 - Modernizácia obsahu a metód vzdelávania",2009,"Marec",2011,"Február",3702.4,62940.72,7404.79,70345.51,15489.83,1822.33,17312.16
"OP Vzdelávanie","31902952 - ZŠ s MŠ Oravská Lesná","26110130023 - Efektívne stratégie učenia sa v 1. a 5. ročníku",2009,"Marec",2010,"Október",3668.67,62367.47,7337.35,69704.82,24319.2,2861.08,27180.28
"OP Vzdelávanie","31934609 - ZŠ Dončova 4 Ružomberok","26110130239 - Miluj vlasť, vedu a pravdu",2009,"Október",2011,"September",6411.4,108993.75,12822.79,121816.54,0,0,0
"OP Vzdelávanie","31934617 - Základná škola RK","26110130025 - S radosťou do budúcnosti",2009,"Marec",2010,"August",4785.67,81356.46,9571.35,90927.81,19781,2327.18,22108.18
"OP Vzdelávanie","31953271 - ZŠ s MŠ Budimír","26110130080 - Inovácia metód, foriem a učebných materiálov",2009,"Marec",2011,"Február",6318.6,107416.12,12637.19,120053.31,18059.34,2124.63,20183.97
"OP Vzdelávanie","34057579 - Základná škola, Janka Kráľa","26110130031 - Tvorba inovačných výukových materiálov",2009,"Marec",2011,"Február",7870.1,133791.68,15740.2,149531.88,48110.32,5660.04,53770.36
"OP Vzdelávanie","35534656 - Základná škola s materskou  školou Lomnička 29","26130130022 - LOMNIČKA RÓMSKA A OBČIANSKA",2010,"Február",2012,"Júl",13798.73,234578.33,27597.45,262175.78,0,0,0
"OP Vzdelávanie","35534672 - Základná škola s materskou školou","26130130001 - IMPORT 00001 Vzdelávanie rómskych žiakov v modernej e",2010,"Február",2011,"August",10124.37,172114.29,20248.74,192363.03,0,0,0
"OP Vzdelávanie","35534681 - Základná škola, Komenského 6","26110130162 - Učíme sa pre život pomocou CLIL-u angličtinu",2009,"Október",2011,"September",7247.25,123203.32,14494.51,137697.83,0,0,0
"OP Vzdelávanie","35540486 - ZŠ Polianska Košice","26110130241 - Vitajme v modernej škole európskeho štandardu!",2009,"Október",2011,"Júl",7964.9,135403.32,15929.8,151333.12,0,0,0
"OP Vzdelávanie","35541075 - ZŠ Trebisov","26110130143 - Za učením moderne",2009,"Október",2011,"Apríl",6031.83,102541.09,12063.66,114604.75,0,0,0
"OP Vzdelávanie","35541091 - Základná škola, I.Krasku 12, Trebišov","26130130009 - Zvyšovanie vzdelanostnej úrovne žiakov",2010,"Február",2012,"Január",13332.22,226647.71,26664.44,253312.15,0,0,0
"OP Vzdelávanie","35541181 - Základná škola Vojčice","26130130012 - Zvyšovanie vzdelanostnej a osobnostnej úrovne",2010,"Február",2012,"Január",10712.1,182105.66,21424.2,203529.86,0,0,0
"OP Vzdelávanie","35541199 - Základná  škola","26130130015 - Podpora inklúzie žiakov MRK",2010,"Február",2011,"September",8424.4,143214.78,16848.8,160063.58,0,0,0
"OP Vzdelávanie","35541237 - Základná škola Parchovany","26110130194 - Modernizácia vzdelávacieho procesu v ZŠ Parchovany",2009,"Október",2011,"September",7129.47,121201.04,14258.95,135459.99,0,0,0
"OP Vzdelávanie","35541245 - Základná škola Nižný Žipov","26130130017 - Škola pre žiakov – úspešní žiaci pre spo",2010,"Marec",2011,"December",8535.25,145099.25,17070.5,162169.75,0,0,0
"OP Vzdelávanie","35542241 - ZŠ s MŠ Palín","26110130119 - Tvorba inovatívnych vzdelávacích metód pre AJ",2009,"Október",2011,"September",4132.49,70252.28,8264.97,78517.25,0,0,0
"OP Vzdelávanie","35542268 - ZŠ Trhovište","26130130007 - Vzdelanie - kľúč k plnohodnotnému životu",2010,"Marec",2012,"Február",13823.62,235001.54,27647.24,262648.78,0,0,0
"OP Vzdelávanie","35542276 - ZŠ s materskou školou","26110130032 - Škola tretieho milénia",2009,"Marec",2011,"Február",7668.32,130361.41,15336.64,145698.05,22063.36,2595.69,24659.05
"OP Vzdelávanie","35542616 - Základná škola, Ulica Jána Pavla II. 1, Košice","26110130300 - Európska moderná škola",2009,"Október",2011,"September",8557.06,145470.03,17114.12,162584.15,0,0,0
"OP Vzdelávanie","35542632 - Základná škola Janigova 2, Košice","26110130307 - Vzdelaní a kultúrni do sveta",2009,"Október",2011,"September",6434.99,109394.84,12869.98,122264.82,0,0,0
"OP Vzdelávanie","35542713 - ZŠ Kežmarská Košice","26110130033 - Znalosť cudzích jazykov nám otvára dvere do sveta",2009,"Marec",2011,"Február",3423.84,58205.25,6847.68,65052.93,10937.46,1286.76,12224.22
"OP Vzdelávanie","35543612 - Základná škola  Pavla Emanuela Dobšinského","26130130020 - Škola pre všetkých bez rozdielu",2010,"Február",2012,"Júl",7429.09,126294.6,14858.19,141152.79,0,0,0
"OP Vzdelávanie","35543663 - ZŠ Rožňava","26110130183 - Širšie zavádzanie IKT do vyuč. procesu",2009,"Október",2011,"Marec",6069.73,103185.46,12139.47,115324.93,0,0,0
"OP Vzdelávanie","35543710 - Základná škola  Krásnohorské Podhradie","26130130014 - Podpora sociálnej inklúzie  MRK",2010,"Február",2012,"Január",7987.42,135786.11,15974.84,151760.95,0,0,0
"OP Vzdelávanie","35543752 - Základná   škola","26130130019 - Myslím už dnes na zajtrajšok",2010,"Február",2012,"Júl",5717.1,97190.65,11434.19,108624.84,0,0,0
"OP Vzdelávanie","35543906 - ZŠ - Grundschule","26110130163 - Vzdelávajme sa moderne a hravo a to je „trendy“",2009,"Október",2011,"September",3719.34,63228.75,7438.68,70667.43,0,0,0
"OP Vzdelávanie","35543957 - Základná škola Krompachy,  Zemanská ul.","26130130013 - Podpora sociálnej inklúzie MRK",2010,"Február",2012,"Január",7304.06,124169.04,14608.12,138777.16,0,0,0
"OP Vzdelávanie","35544198 - ZŠ s MŠ Čečejovce","26110130059 - ""Ak chceme byť úspešní, musíme byť o krok vpredu""",2009,"Apríl",2010,"November",4379.81,71593.1,8254.26,79847.36,17497.29,2017.33,19514.62
"OP Vzdelávanie","35544279 - Základná škola Ždaňa","26110130113 - Rozvoj kľúč. kompetencií ako základ pre inováciu",2009,"Október",2011,"September",6896.63,117242.68,13793.26,131035.94,0,0,0
"OP Vzdelávanie","35544279 - Základná škola Ždaňa","26130130006 - Cez tradície k budúcnosti",2010,"Február",2012,"Júl",6900.18,117303.01,13800.35,131103.36,0,0,0
"OP Vzdelávanie","35544295 - Základná škola Severná","26110130296 - S IKT do Európy",2009,"Október",2011,"September",8611.5,146395.51,17223,163618.51,0,0,0
"OP Vzdelávanie","35546018 - ZŠ s MŠ Markušovce","26110130030 - Poznanie, Zručnosť a Individualita",2009,"Marec",2011,"Február",7262.28,123458.79,14524.56,137983.35,28554.26,3359.33,31913.59
"OP Vzdelávanie","35546018 - ZŠ s MŠ Markušovce","26130130008 - V škole ako doma",2010,"Marec",2012,"Február",13876.49,235900.36,27752.98,263653.34,0,0,0
"OP Vzdelávanie","35546026 - Základná škola s materskou školou Mlynky","26110130221 - Najnovšie trendy vo vzdelávaní na ZŠ a MŠ Mlynky",2009,"Október",2011,"Jún",4956.35,84257.94,9912.7,94170.64,0,0,0
"OP Vzdelávanie","35546328 - Základná škola s materskou školou, Školská 20,","26110130124 - Škola pre radosť, život",2009,"Október",2011,"August",3768.39,64062.65,7536.78,71599.43,0,0,0
"OP Vzdelávanie","35546425 - ZŠ Prakovce","26130130011 - Slnko svieti pre všetky deti!",2010,"Júl",2012,"December",7305.83,124199.08,14611.66,138810.74,0,0,0
"OP Vzdelávanie","35546573 - ZŠ Kluknava","26110130055 - Nová edukačná cesta",2009,"Marec",2010,"Október",5456.17,92754.96,10912.35,103667.31,19442.08,2287.3,21729.38
"OP Vzdelávanie","35546875 - ZŠ Košice","26110130102 - Šk. bez kriedy",2009,"Október",2011,"September",4979.09,84644.49,9958.18,94602.67,0,0,0
"OP Vzdelávanie","35561301 - ZŠ s MŠ Bohdanovce","26110130061 - Reforma systému vzdelávania na základnej škole B",2009,"Marec",2010,"August",4677.29,79513.88,9354.57,88868.45,23302.72,2741.5,26044.22
"OP Vzdelávanie","35562447 - Základná škola s vyučovacím jazykom maďarským s ma","26130130010 - Podpora sociálnej inklúzie MRK",2010,"Február",2012,"Január",5656.27,96156.56,11312.54,107469.1,0,0,0
"OP Vzdelávanie","35677708 - Základná škola Moskovská 2","26110130200 - Cesta premeny tradičnej školy na modernú BB",2009,"Október",2011,"September",7176.65,122003.13,14353.31,136356.44,0,0,0
"OP Vzdelávanie","35677724 - ZŠ Okružná 2, Banská Bystrica","26130130034 - IMPORT 00024 Podpora sociálnej inklúzie MRK – vzdeláv",2010,"Február",2012,"Január",6898.17,117268.81,13796.33,131065.14,0,0,0
"OP Vzdelávanie","35677759 - ZŠ Banská Bystrica","26110130167 - Modernizácia – komunikácia – učenie",2009,"Október",2011,"September",7751.44,131774.55,15502.89,147277.44,0,0,0
"OP Vzdelávanie","35677759 - ZŠ Banská Bystrica","26110130191 - Inicializácia aktívneho učenia sa v podmienkach šp",2009,"Október",2011,"September",6767.79,115052.44,13535.58,128588.02,0,0,0
"OP Vzdelávanie","35677848 - ZŠ s MŠ Poniky","26110130121 - Čo by dnes našli Turci v Ponikách",2009,"Október",2011,"August",6460.76,109832.89,12921.52,122754.41,0,0,0
"OP Vzdelávanie","35677848 - ZŠ s MŠ Poniky","26130130040 - Aj škola môže byť miesto pre rómsku dušu",2010,"Marec",2012,"Jún",7550.13,128352.21,15100.26,143452.47,0,0,0
"OP Vzdelávanie","35678127 - ZŠ s MŠ Dubnica nad Váhom","26110130043 - Čím vyššie vyjdeš, tým ďalej dovidíš",2009,"Marec",2010,"December",4533.25,77065.17,9066.49,86131.66,16762.33,1972.04,18734.37
"OP Vzdelávanie","35991593 - Základná škola M.R. Štefánika","26110130165 - Vzdelávajme moderne",2009,"Október",2011,"September",4496.52,76440.91,8993.05,85433.96,0,0,0
"OP Vzdelávanie","35991607 - ZŠ s maters. Lučenec","26110130091 - Okná poznania dokorán",2009,"September",2011,"August",5089.72,86525.24,10179.44,96704.68,0,0,0
"OP Vzdelávanie","35995904 - Základná škola, Komenského","26110130050 - Využívanie moder. metód a foriem práce pri výučbe",2009,"Marec",2011,"Február",5390.96,91646.35,10781.92,102428.27,15806.96,1859.64,17666.6
"OP Vzdelávanie","36060917 - Základná škola Bratislava - Dubravka","26140130026 - Inovácie v školskom vzdelávacom programe",2009,"Október",2011,"Jún",4276.54,72701.15,8553.08,81254.23,0,0,0
"OP Vzdelávanie","36067334 - Základná škola P. Horova","26140130009 - Projektové a E-learningove vyučovanie na ZŠ",2009,"Marec",2010,"Október",6270.99,106606.86,12541.98,119148.84,8015.1,942.95,8958.05
"OP Vzdelávanie","36071013 - Základná š.","26140130024 - Čítaj, pochop a použi!",2009,"Október",2011,"September",4301.93,73132.83,8603.86,81736.69,0,0,0
"OP Vzdelávanie","36080519 - ZŠ s MŠ Šoporňa","26110130128 - Moderná škola, Šoporňa",2009,"Október",2011,"September",5998.36,101972.12,11996.72,113968.84,0,0,0
"OP Vzdelávanie","36080586 - ZŠ s MŠ, Dolná Krupá","26110130154 - Premena trad. školy na  moder. v D. Krupej",2009,"Október",2011,"September",6168.18,104859.01,12336.35,117195.36,0,0,0
"OP Vzdelávanie","36124613 - ZŠ s MŠ, Mikušovce 16","26110130152 - Objavuj, obdivuj, ochraňuj",2009,"Október",2011,"September",5599.35,95188.97,11198.7,106387.67,0,0,0
"OP Vzdelávanie","36124664 - Základná škola, Medňanská 514/5, 019 01  Ilava","26110130117 - Získajme nové poznatky modernými formami",2009,"Október",2011,"September",8078.82,137339.96,16157.64,153497.6,0,0,0
"OP Vzdelávanie","36124681 - ZŠ  s MŠ H. Gavloviča","26110130052 - Projektové vyučovanie a e-learning",2009,"Marec",2011,"Február",5884.43,100035.34,11768.86,111804.2,13866.15,1631.31,15497.46
"OP Vzdelávanie","36125873 - ZŠ s MŠ Rudolfa Hečku, Dolná Súča","26110130114 - Škola hrou Dolná Súča",2009,"Október",2011,"September",4623.38,78597.38,9246.75,87844.13,0,0,0
"OP Vzdelávanie","36125881 - ZŠ s MŠ Michala Rašetku","26110130210 - Tvorivá škola – brána do života našich detí",2009,"Október",2011,"September",5577.06,94810.01,11154.12,105964.13,0,0,0
"OP Vzdelávanie","36126683 - ZŠ s MŠ Diviaky nad Nitricou","26110130145 - Moderná základná škola v sys. vzdelávania",2009,"Október",2011,"September",4450.14,75652.41,8900.28,84552.69,0,0,0
"OP Vzdelávanie","36126748 - ZŠ s MŠ Lazany","26110130187 - Moderná škola",2009,"Október",2011,"September",4965.72,84417.2,9931.44,94348.64,0,0,0
"OP Vzdelávanie","36126781 - ZŠ s MŠ Nitrica","26110130289 - Moderná škola – základ života",2009,"Október",2011,"September",4602.91,78249.43,9205.82,87455.25,0,0,0
"OP Vzdelávanie","36126799 - Základná škola, Pribinova 123/9, Nováky","26110130279 - V Zákl. škole Nováky učíme po novom",2009,"Október",2011,"Júl",8098.49,137674.27,16196.97,153871.24,0,0,0
"OP Vzdelávanie","36126802 - Základná škola,Mariánska ul.55","26110130049 - Kľúčové kompetencie a rozvoj osobnosti žiaka v zák",2009,"Marec",2011,"Február",7447.47,126607,14894.94,141501.94,24541.12,2887.19,27428.31
"OP Vzdelávanie","36126942 - Základná škola, Prievidza","26110130123 - Rozvíjame ducha jazykom, telo športom",2009,"Október",2011,"September",7628.72,129688.26,15257.44,144945.7,0,0,0
"OP Vzdelávanie","36126977 - Základná škola, Malonecpalská ul.","26110130199 - Modernizácia vzdelávania",2009,"Október",2011,"September",6371.35,108312.96,12742.7,121055.66,0,0,0
"OP Vzdelávanie","36126985 - ZŠ Ulica Rastislavova 416/4 Prievidza","26110130047 - Zvýšenie digitálnej gramotnosti učiteľov, tvorba a",2009,"Marec",2011,"Január",7977.49,135617.41,15954.99,151572.4,27728,3262.12,30990.12
"OP Vzdelávanie","36127922 - Základná škola s materskou školou Vrbovce","26110130222 - Škola pre radosť",2009,"Október",2011,"September",4951.2,84170.34,9902.39,94072.73,0,0,0
"OP Vzdelávanie","36128481 - ZŠ Bánovce nad Bebravou","26110130219 - IKT a interaktívne zážitkové učenie na ZŠ",2009,"Október",2011,"September",6721.97,114273.56,13443.95,127717.51,0,0,0
"OP Vzdelávanie","36145297 - ZŠ s MŠ Štiavnik","26110130022 - e-learning na ZŠ Štiavnik",2009,"Marec",2011,"Február",6342.5,107822.42,12684.99,120507.41,20131.91,2368.46,22500.37
"OP Vzdelávanie","36158097 - Základná škola s  materskou školou","26130130048 - PIERKO - program pre podporu sociálnej i",2010,"Február",2011,"September",8417.53,143097.98,16835.06,159933.04,0,0,0
"OP Vzdelávanie","36158101 - ZŠ s MŠ Šarišské Michaľany","26110130158 - Priblížime vzdelávanie potrebám spoločnosti",2009,"Október",2011,"September",6457.84,109783.34,12915.69,122699.03,0,0,0
"OP Vzdelávanie","36158143 - ZŠ Ul. 17. novembra 31","26130130021 - Využime šancu - vzdelávajme sa, žime kul",2010,"Február",2012,"Jún",9728.88,165390.88,19457.75,184848.63,0,0,0
"OP Vzdelávanie","36158356 - Základná škola v Giraltovciach","26110130136 - Rozvoj tvorivých aktivít v modernej škole",2009,"Október",2011,"September",7996.42,135939.06,15992.83,151931.89,0,0,0
"OP Vzdelávanie","36158917 - ZŠ Lendak","26110130149 - Moderná škola pre aktívny život v regióne",2009,"Október",2011,"September",7498.51,127474.61,14997.01,142471.62,0,0,0
"OP Vzdelávanie","36158933 - ZŠ s MŠ Koškovce","26110130282 - Škola interaktívne",2009,"Október",2011,"Júl",5471.19,93010.22,10942.38,103952.6,0,0,0
"OP Vzdelávanie","36165620 - ZŠ Kúpeľná 2, Prešov","26110130226 - Po novom ľahšie a skôr",2009,"Október",2011,"September",8615.02,146455.32,17230.04,163685.36,0,0,0
"OP Vzdelávanie","37785834 - Základná  škola","26110130066 - Levočská moderná škola",2009,"Marec",2011,"Február",7171.67,121918.35,14343.34,136261.69,13619.71,1602.32,15222.03
"OP Vzdelávanie","37791591 - ZŠ s MŠ Francisciho 21, PP","26110130240 - Mode. interaktívne vzdel.",2009,"Október",2011,"September",8146.78,138495.32,16293.57,154788.89,0,0,0
"OP Vzdelávanie","37791605 - ZŠ s MŠ, Járná ulica, Poprad","26110130203 - Progresívna základná škola",2009,"Október",2011,"September",8189.21,139216.49,16378.41,155594.9,0,0,0
"OP Vzdelávanie","37792041 - Základná škola Jozefa Maximiliána Petzvala","26110130067 - Aktívne učenie najmä s využitím IKT",2009,"Marec",2010,"August",2534.39,43084.63,5068.78,48153.41,18316,2154.82,20470.82
"OP Vzdelávanie","37798383 - ZŠ Bytča","26110130020 - Inovácia obsahu a metód výučby za účelom kvality",2009,"Apríl",2011,"Január",7355.9,125050.22,14711.79,139762.01,27023.6,3179.25,30202.85
"OP Vzdelávanie","37808591 - Základná škola Bytča","26110130103 - Dajme deťom šancu získať vedomosti netradične",2009,"Október",2011,"September",6250.58,106259.88,12501.16,118761.04,0,0,0
"OP Vzdelávanie","37809733 - ZŠ s MŠ Súľov - Hradná","26110130302 - Mod. vzdel., chrániť a roz. prírodné krásy",2009,"Október",2011,"September",7344.46,124855.82,14688.92,139544.74,0,0,0
"OP Vzdelávanie","37809750 - Základná škola s materskou školou Kolárovice, okre","26110130174 - Od poznania regiónu k poznaniu sveta prostredníctv",2009,"Október",2011,"September",5747.33,97704.58,11494.66,109199.24,0,0,0
"OP Vzdelávanie","37810294 - ZŠ Námestovo","26110130184 - E-learning",2009,"Október",2011,"Marec",8128.28,138180.73,16256.56,154437.29,0,0,0
"OP Vzdelávanie","37810341 - ZŠ s MŠ Oravské Veselé","26110130231 - Moder. škola Oravské Veselé",2009,"Október",2011,"Marec",8148.44,138523.53,16296.89,154820.42,0,0,0
"OP Vzdelávanie","37810421 - ZŠ J. Kráľa, Liptovský Mikuláš","26110130063 - Zavedenie projekt. vyučovania v ZŠ Janka Kráľa",2009,"Marec",2010,"September",3200.44,54407.51,6400.88,60808.39,14033.22,1650.97,15684.19
