"Operačný program","Názov prijímateľa","Názov projektu","Rok - Začiatok realizácie","Mesiac - Začiatok realizácie","Rok - Koniec realizácie","Mesiac - Koniec realizácie","Spolufinancovanie","EÚ zdroje - Zazmluvnené prostriedky","ŠR zdroje - Zazmluvnené prostriedky","Spolu - Zazmluvnené prostriedky","EÚ zdroje - Vyčerpané prostriedky","ŠR zdroje - Vyčerpané prostriedky","Spolu - Vyčerpané prostriedky"
"OP Konkurencieschopnosť a Hospodársky rast","00002801 - SIEA","25140120008 - mzdy SIEA 03 - 09 2008",2008,"Marec",2008,"September",0,229787.82,40550.79,270338.61,171559.93,30275.28,201835.21
"OP Konkurencieschopnosť a Hospodársky rast","00002801 - SIEA","25140120019 - SIEA - mzdy 10/2008 - 03/2009",2008,"Október",2009,"Marec",0,246277.29,43460.7,289737.99,201040.97,35477.82,236518.79
"OP Konkurencieschopnosť a Hospodársky rast","00002801 - SIEA","25140120027 - SIEA mzdy apríl-dec.2009",2009,"Apríl",2009,"December",0,523393.9,92363.63,615757.53,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00002801 - SIEA","25140120028 - SIEA - mzdy jan.-dec.2010",2010,"Január",2010,"December",0,924088.98,163074.53,1087163.51,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00002801 - SIEA","25140120035 - SIEA - prezentácia výziev v roku 2008",2008,"Október",2010,"Marec",0,0,0,0,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00002801 - SIEA","25140120036 - SIEA - prezentácia výziev v roku 2009",2009,"Apríl",2010,"Marec",0,20213.71,3567.12,23780.83,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","35653001 - SACR","25130220001 - 0Podpora propagácie Slovenska ako destiná",2009,"Január",2013,"December",0,23160016.3,4087061.7,27247078,74134.42,13082.55,87216.97
"OP Konkurencieschopnosť a Hospodársky rast","35653001 - SACR","25140120006 - SACR-mzdy03-08/2008",2008,"Marec",2008,"Jún",0,114246.39,20161.13,134407.52,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","35653001 - SACR","25140120016 - SACR-mzdy 2008",2008,"Júl",2008,"December",0,163829,28911,192740,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","35653001 - SACR","25140120017 - SACR-zakloha mzdy 2009",2009,"Jún",2009,"December",0,315169.8,55618.2,370788,90012.31,15884.53,105896.84
"OP Konkurencieschopnosť a Hospodársky rast","35653001 - SACR","25140120022 - SACR - mzdy 01-05/2009 (refund.)",2009,"Január",2009,"Máj",0,119580.55,21102.45,140683,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","35653001 - SACR","25140120031 - SACR mzdy jan.-dec. 2010",2010,"Január",2011,"Január",0,589549.8,104038.2,693588,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","36070513 - SARIO","25140120007 - SARIO-mzdy 2008",2008,"Marec",2008,"Jún",0,124069.98,21894.7,145964.68,49988.69,8821.53,58810.22
"OP Konkurencieschopnosť a Hospodársky rast","36070513 - SARIO","25140120010 - SARIO-mzdy-2009 záloha",2009,"Apríl",2009,"December",0,422364.15,74534.85,496899,132444.08,23372.49,155816.57
"OP Konkurencieschopnosť a Hospodársky rast","36070513 - SARIO","25140120029 - SARIO mzdy júl-dec.2008",2008,"Júl",2008,"December",0,257149.65,45379.35,302529,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","36070513 - SARIO","25140120030 - SARIO mzdy jan.-dec. 2010",2010,"Január",2011,"Január",0,641864.75,113270.25,755135,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00313114 - Mesto Trnava","25110220004 - Mestský priemyselný a technologický park Trnava",2009,"Marec",2012,"Február",504428.71,8575288.01,1008857.41,9584145.42,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00319091 - Mesto Tornaľa","25110220003 - Hnedý priemyselný park Tornaľa",2009,"Jún",2010,"Október",523156.37,8893623.4,1046347.55,9939970.95,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00321842 - Bardejov","25110220005 - Mestský hnedý priemyslený park Bardejov",2009,"Máj",2010,"December",558952.91,8277171.42,901731.26,9178902.68,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00329061 - Mesto Gelnica","25110220001 - Priemyselný park v meste Gelnica",2008,"November",2011,"Jún",212616.88,3614471.43,425249.2,4039720.63,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00331007 - Mesto Stropkov","25110220002 - Hnedý priemyselný pak Stropkov - I.etapa",2009,"Marec",2010,"Apríl",186122.59,3164084.01,372245.18,3536329.19,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","37808427 - Žilinský samosprávny kraj","25140120021 - Žilina - mzdy 2009-2011 (refund.)",2009,"Január",2009,"December",1991.64,33857.8,3983.27,37841.07,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","37828100 - Banskobystrický samosprávny kraj","25140120026 - B. Bystrica mzdy 2009-2011",2009,"Január",2011,"December",2096.46,35639.79,4192.92,39832.71,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","37836901 - Trnavský samosprávny kraj","25140120025 - mzdy 2009-2011",2009,"Január",2011,"December",2096.46,35639.79,4192.92,39832.71,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","0000 - EIF","25110320001 - JEREMIE 0902",2009,"Október",2015,"December",0,30000000.3,5294117.7,35294118,30000000.3,5294117.7,35294118
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120001 - MH SR - mzdy I./2008",2007,"December",2008,"Apríl",0,535774.08,94548.37,630322.45,141083.74,24897.13,165980.87
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120003 - MH SR - konferencia v BB",2008,"Január",2008,"Jún",0,27510.21,4854.74,32364.95,27510.21,4854.74,32364.95
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120004 - MH SR - analýza projektov VO OP KaHR - CBA",2008,"Apríl",2008,"Júl",0,10632.28,1876.28,12508.56,10632.28,1876.28,12508.56
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120005 - MH SR - mzdy II./2008",2008,"Máj",2008,"September",0,542253.92,95691.87,637945.79,202535.87,35741.62,238277.49
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120009 - MH SR - mzdy 2009-2011 zaloha",2009,"Apríl",2012,"Január",0,5100000,900000,6000000,389791.18,68786.68,458577.86
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120011 - MH SR - právne poradenstvo - Bollová",2009,"Január",2010,"Február",0,255000,45000,300000,97594.36,17222.53,114816.89
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120012 - MH SR - mzdy 2008/2009 (okt.-marec)",2008,"Október",2009,"Marec",0,561000,99000,660000,270963.19,47817.03,318780.22
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120013 - MH SR - inzercia 2009",2009,"Máj",2009,"December",0,103833.14,18323.49,122156.63,25734.18,4541.33,30275.51
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120014 - Ex. hodnotitelia - vyplat. odmien 2009-31.5.2010",2009,"Január",2010,"Máj",0,236819.52,41791.68,278611.2,5997.6,1058.4,7056
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120015 - právnici 2008",2008,"August",2008,"September",0,12152.03,2144.48,14296.51,12151.98,2144.47,14296.45
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120018 - MH SR - reklamné spoty+TV čas",2009,"Apríl",2010,"Marec",0,232554.98,41039.11,273594.09,175939.3,31048.11,206987.41
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120020 - MH SR - výdavky TP 2008",2008,"Január",2008,"December",0,91073.05,16071.71,107144.76,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120023 - MH SR - vysielanie TV JOJ - záloha",2009,"Máj",2010,"Marec",0,303450,53550,357000,242760,42840,285600
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120024 - konferencia a výskum ver. mienky 2009 MH SR",2009,"August",2010,"Jún",0,59830.23,10558.28,70388.51,14875,2625,17500
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120034 - MHSR - info OPKaHR/malickay 2009",2009,"Október",2010,"August",0,30142.7,5319.3,35462,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","00686832 - MH SR","25140120037 - MH SR - inzercia 2010",2010,"Január",2011,"Február",0,54721.02,9656.65,64377.67,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","10740970 - Vladimír Lacko - UMAKOV","25110120188 - Inovatívne technológie  pre kováčsku a zámočnícku",2009,"August",2009,"December",198744.6,168932.91,29811.69,198744.6,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","10831053 - Ing. Mintál Jozef","25110120015 - Modernizácia výrobného procesu eurookien",2009,"Apríl",2009,"September",417238.99,347671.62,61305.21,408976.83,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","10902619 - Július Šuvert FRITEX","25110120168 - Inovatívne technológie pre výrobu cestovín vo firm",2009,"Jún",2010,"December",199754.37,169791.21,29963.15,199754.36,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","14091968 - Štefan Rehuš","25110120182 - New home“ – zabezpečenie technológie na inováciu",2009,"Júl",2009,"December",275781.71,156276.3,27578.17,183854.47,156276.3,27578.17,183854.47
"OP Konkurencieschopnosť a Hospodársky rast","17145813 - Adam Novák - ADAM","25120120007 - Rekonštukcia haly v Bardejove",2008,"December",2009,"December",81035.78,68880.41,12155.37,81035.78,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","17215331 - Stanislav Potoma PS","25110120178 - Kvalitné kelímky",2009,"Jún",2010,"Február",181719.88,154461.89,27257.98,181719.87,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","17773881 - Vladimír Paracka - KAMEŇOVÝROB","25110120058 - Linka na spracovanie žulových dosiek",2009,"Máj",2009,"Október",87000,49300,8700,58000,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","17922372 - VALIGA O.S.S.","25130120010 - Ski Krahule",2009,"Marec",2010,"December",272205.54,169980.91,29982.74,199963.65,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","30393507 - PEKÁREŇ NELA","25110120192 - Zvýšenie konkurencieschopnosti spoločnosti nákupom",2009,"Máj",2009,"Október",299210.81,169552.79,29921.08,199473.87,169552.78,29921.08,199473.86
"OP Konkurencieschopnosť a Hospodársky rast","32396279 - Ján Babič-Stolárstvo","25120120003 - Prístavba novej kotolne na spaľovanie biomasy",2009,"Apríl",2009,"Jún",99539.6,84608.66,14930.94,99539.6,0,0,0
