"Project name","Projektägare","Region","Beviljat ESF-stöd","Total projektbudget","Projektperiod","Currency"
"AZY analys i Zoch Y län","Industrifacket Metall Mellersta Norrland","Mellersta Norrland",508956,508956,"2009-01-19 till 2009-03-19","SEK"
"16-24","Individ och familjeomsorgen","Mellersta Norrland",3954969,10047361,"2010-01-01 till 2012-12-31","SEK"
"ÅF Engineering AB Samlingsprojekt, Socialfonden","ÅF Engineering AB","Mellersta Norrland",0,0,"2008-08-01 till 2009-01-31","SEK"
"AGera kompetensförsörjning genomförande","AGera-Arbetsgivarringen","Mellersta Norrland",3736200,3736200,"2009-04-29 till 2010-04-15","SEK"
"AKTION Mellersta Norrland","Microsoft AB/SMS&P","Mellersta Norrland",299700,299700,"2008-04-30 till 2008-09-05","SEK"
"Arbetslivscenter","MICA","Mellersta Norrland",241500,322000,"2009-01-01 till 2009-06-30","SEK"
"Arena Norra Berget","Förvaltning för arbetsmarknad, vuxenutbildning och integration","Mellersta Norrland",149061,198919,"2008-12-01 till 2009-05-30","SEK"
"Återvinningspark Blåberget - förprojektering","Förvaltning för arbetsmarknad, vuxenutbildning och integration","Mellersta Norrland",178874,238702,"2008-12-01 till 2009-05-30","SEK"
"Att Läsa är Framtiden Me Nor för","Bokia AB","Mellersta Norrland",280666,280666,"2008-11-03 till 2009-04-30","SEK"
"Back on track","Jamtli / Jämtlands läns museum","Mellersta Norrland",1918950,4797374,"2009-01-02 till 2010-12-31","SEK"
"Bergslyftet","Svenstaviks Sjukhem","Mellersta Norrland",1291867,1291867,"2009-09-01 till 2011-02-28","SEK"
"Birsta City - ett lärande köpcentrum","Birsta City","Mellersta Norrland",699910,699910,"2008-11-11 till 2009-05-08","SEK"
"Birsta City - ett lärande köpcentrum","Birsta City","Mellersta Norrland",3584570,3584570,"2010-01-18 till 2011-07-18","SEK"
"Bräcke kommuns chefsutvecklingsprogram","Personal- och löneenheten","Mellersta Norrland",437000,437000,"2008-09-01 till 2009-12-31","SEK"
"Brobygget","Birka Folkhögskola","Mellersta Norrland",4830400,12077400,"2008-11-01 till 2011-10-31","SEK"
"Bulten","ABF Örnsköldsvik","Mellersta Norrland",3487444,9225798,"2008-11-01 till 2011-10-31","SEK"
"Carry 2011","Svenska Golfförbundet","Mellersta Norrland",98814,98814,"2008-09-15 till 2009-03-15","SEK"
"Drop outs från vuxenutbildningen Jämtlands län","Kommunförbundet Jämtlands län, Social, vård och omsorg","Mellersta Norrland",245910,332130,"2008-11-01 till 2009-04-30","SEK"
"Drop outs vuxenutbildningen Jämtlands län","Kommunförbundet Jämtlands län, Social, vård och omsorg","Mellersta Norrland",4495580,11851280,"2009-07-01 till 2012-06-30","SEK"
"EIOs Regionala Socialfondsprojekt","EIO Medlemsservice AB","Mellersta Norrland",157403,157403,"2008-05-01 till 2008-10-31","SEK"
"FAVI kompetensförsörjning","Förvaltning för arbetsmarknad, vuxenutbildning och integration","Mellersta Norrland",286500,286500,"2009-01-12 till 2009-06-12","SEK"
"Förprojekt socialt företag med halvvägshus","Coompanion Kooperativ Utveckling Jämtlands län","Mellersta Norrland",149171,198895,"2008-08-01 till 2008-12-31","SEK"
"Förprojektering Frivilligorganisationer 5il2","Härnösands kommun, Arbetslivsförvaltningen","Mellersta Norrland",498210,498210,"2008-08-01 till 2009-01-16","SEK"
"Förstudie - Dörröppnare och tröskelsänkare","Arbetsförmedligen, arbetsmarknadsområde Östersund","Mellersta Norrland",394000,526500,"2009-05-01 till 2009-10-31","SEK"
"Från bidrag till egen försörjning","Kultur- utbildning- och fritidsförvaltning","Mellersta Norrland",2542170,6597570,"2008-07-01 till 2011-06-30","SEK"
"""Fylket - en väg till en ny arbetsmarknad; Etapp 1""","Stiftelsen Fiskekroken Aktivitetsgård","Mellersta Norrland",332533,332533,"2008-09-01 till 2009-06-30","SEK"
"Gångbar i Sverige","Framtids- och utvecklingsförvaltning","Mellersta Norrland",244933,332853,"2008-09-01 till 2009-02-28","SEK"
"GFF:s Regionala Socialfondsprojekt Mellersta Norrland","Grafiska Företagens Service AB","Mellersta Norrland",312014,312014,"2009-01-05 till 2009-06-30","SEK"
"Grön helhet","Vårsta Diakonigård","Mellersta Norrland",4415059,11037647,"2009-01-01 till 2011-12-31","SEK"
"Grönt helande","Vårsta Diakonigård","Mellersta Norrland",285000,380000,"2008-04-21 till 2008-10-21","SEK"
"Håll Dig Frisk","Fränsta Vårdcentral","Mellersta Norrland",121200,121200,"2008-11-01 till 2009-03-31","SEK"
"Helvetesgapet","Målarmästarna","Mellersta Norrland",404200,404200,"2008-09-01 till 2009-02-28","SEK"
"Integrationsarbete i Jämtland - en framtidsmodell","Arbetsförmedligen, arbetsmarknadsområde Östersund","Mellersta Norrland",185505,248480,"2008-09-01 till 2009-01-30","SEK"
"IoU Education","None Listed","Mellersta Norrland",349940,469940,"2008-11-20 till 2009-05-20","SEK"
"JAKT på kunskap M.Norrland Förstudie","JAKTIA AB","Mellersta Norrland",249277,249277,"2008-12-01 till 2009-03-30","SEK"
"Jakt på kuskap M.Norrland Genomförande","JAKTIA AB","Mellersta Norrland",788288,788288,"2009-08-03 till 2010-08-31","SEK"
"KC2","Studieförbundet Vuxenskolan, avd Norra Jämtland","Mellersta Norrland",3804849,9512126,"2008-07-01 till 2011-06-30","SEK"
"Kompetensanalys för Folkets Hus och Parker i Mellersta Norrland","Mellannorrlands Folkets Hus och Parkers Region","Mellersta Norrland",260385,260385,"2008-09-01 till 2008-10-31","SEK"
"Kompetensanalys Föräldrautbildning","Primärvården i Åre","Mellersta Norrland",251226,251226,"2008-09-01 till 2008-11-30","SEK"
"Kompetensförsörjning i småföretag","Ek. för Samhällsbyggarnal","Mellersta Norrland",455930,455930,"2009-01-12 till 2009-07-10","SEK"
"Kompetensutveckling Höga Kusten","IF Metall Höga Kusten","Mellersta Norrland",2199316,2199316,"2009-07-01 till 2010-12-31","SEK"
"Kompetensutveckling i Småföretag","Ek. för Samhällsbyggarnal","Mellersta Norrland",1950200,1950200,"2010-01-18 till 2011-03-31","SEK"
"Kompetensutveckling inom SLAO","SLAO - Svenska Liftanläggningars organisation","Mellersta Norrland",966900,966900,"2008-11-01 till 2009-04-30","SEK"
"Konstruktivt medarbetarskap","Prolympia Östersund","Mellersta Norrland",177500,177500,"2008-07-01 till 2008-12-31","SEK"
"konstruktivt medarbetarskap","Hansåkerskolan","Mellersta Norrland",1369743,1369743,"2009-08-10 till 2011-02-10","SEK"
"KRAFT","Hälsosam Ek. För.","Mellersta Norrland",256520,256520,"2009-01-01 till 2009-03-31","SEK"
"Kraft","Jämtland Härjedalens idrottsfö","Mellersta Norrland",2717290,2717290,"2010-02-01 till 2011-07-31","SEK"
"KUNSKAP Nära Dej FÖRSTUDIE M.Norrland","Menigo Foodservice AB Affärsområde servicehandel","Mellersta Norrland",277000,277000,"2008-12-01 till 2009-03-27","SEK"
"Kvalitetslab i Mellersta Norrland","Arbetsmarknad Vuxna","Mellersta Norrland",17819023,53716000,"2008-04-14 till 2011-03-31","SEK"
"KVISFI - kvinnor i samverkan för integration","Hampnäs Folkhögskola","Mellersta Norrland",1303475,3304500,"2008-07-01 till 2009-12-31","SEK"
"KY Höga Kusten","IF Metall Höga Kusten","Mellersta Norrland",3122214,3122214,"2009-04-15 till 2010-04-14","SEK"
"KZY II","Industrifacket Metall Mellersta Norrland","Mellersta Norrland",4814772,4814772,"2009-04-01 till 2010-03-31","SEK"
"KZY Kompetensutveckling ZY II","Industrifacket Metall Mellersta Norrland","Mellersta Norrland",3035562,3035562,"2009-02-02 till 2010-02-01","SEK"
"KZY Mellersta Norrland","Industrifacket Metall Mellersta Norrland","Mellersta Norrland",5259338,5259338,"2009-04-15 till 2010-04-14","SEK"
"Matchningsarena","Timrå kommun, Arbetsmarknadsenheten","Mellersta Norrland",481000,644000,"2008-09-01 till 2009-02-28","SEK"
"Matchningsarena Timrå","Timrå kommun, Arbetsmarknadsenheten","Mellersta Norrland",10885859,29573169,"2009-08-15 till 2012-08-15","SEK"
"MaxVision","Härnösands folkhögskola","Mellersta Norrland",942245,2355619,"2008-11-01 till 2010-10-31","SEK"
"Mellersta Norrlands Bildemontering","Sveriges Bilskrotares Riksförbund (SBR)","Mellersta Norrland",164782,164782,"2008-09-01 till 2008-11-30","SEK"
"Mera Mångfald - Jämställd Jämt","Individ och familjeomsorgen","Mellersta Norrland",390500,390500,"2008-08-15 till 2009-02-15","SEK"
"Mera Mångfald - Jämställd Jämt","Individ och familjeomsorgen","Mellersta Norrland",1971600,1971600,"2009-08-17 till 2011-02-17","SEK"
"Metodutveckling i omställningsprocessen","Competencia Utveckling AB","Mellersta Norrland",244125,331965,"2010-01-18 till 2010-06-18","SEK"
"Motivation, praktiskt lärande och lärmiljö","Timrå kommun, Arbetsmarknadsenheten","Mellersta Norrland",1796500,1796500,"2009-01-01 till 2009-06-30","SEK"
"Motivation, praktiskt lärande och lärmiljö II","Timrå kommun, Arbetsmarknadsenheten","Mellersta Norrland",5794100,5794100,"2010-02-01 till 2011-07-31","SEK"
"Navigator","Kommunstyrelsen","Mellersta Norrland",4826582,12940533,"2008-05-01 till 2011-04-30","SEK"
"Navigatorcentrum i Östersund","Arbetsmarknadsenheten","Mellersta Norrland",6281132,16412252,"2008-11-01 till 2011-10-30","SEK"
"NIL-Nyckelgrupper, individ & lärande","Kommunförbundet Jämtlands län, Social, vård och omsorg","Mellersta Norrland",1743282,1743282,"2008-08-01 till 2009-04-30","SEK"
"Nytt Arbetssätt","Arbetsmarknad Vuxna","Mellersta Norrland",171375,230250,"2008-08-22 till 2009-02-21","SEK"
"Oasen","Kultur- utbildning- och fritidsförvaltning","Mellersta Norrland",250000,336342,"2010-01-01 till 2010-06-30","SEK"
"Omställning AGeras medlemmar","AGera-Arbetsgivarringen","Mellersta Norrland",746270,746270,"2009-02-02 till 2009-03-31","SEK"
"Öppna vägar","Riksförbundet för Social och Mental Hälsa","Mellersta Norrland",2962200,2962200,"2008-11-01 till 2010-04-30","SEK"
"Öppna vägar till arbetsmarknaden för personer med psykisk ohälsa","Riksförbundet för Social och Mental Hälsa","Mellersta Norrland",0,0,"2008-04-15 till 2008-08-30","SEK"
"Personal i fas med fas 3, (PIFF)","ABF Z","Mellersta Norrland",524500,524500,"2009-07-01 till 2009-12-31","SEK"
"Pilotmodell för företagshälsovård i Jämtlands län","Kommunstyrelsen","Mellersta Norrland",5111936,12779840,"2009-04-01 till 2011-09-30","SEK"
"Redo för jobb?","Samhall Ao Ljungan","Mellersta Norrland",187410,263218,"2010-02-01 till 2010-05-31","SEK"
"Rörlighet genom samverkan","AGera-Arbetsgivarringen","Mellersta Norrland",131606,175475,"2009-01-01 till 2009-06-30","SEK"
"Rörlighet genom samverkan fas 2","AGera-Arbetsgivarringen","Mellersta Norrland",201555,268740,"2009-04-01 till 2009-09-30","SEK"
"Rörlighet genom samverkan","AGera-Arbetsgivarringen","Mellersta Norrland",625677,1564192,"2010-01-01 till 2011-06-30","SEK"
"Samarbetspartners Arenor","Förvaltning för arbetsmarknad, vuxenutbildning och integration","Mellersta Norrland",178875,238704,"2008-12-01 till 2009-05-30","SEK"
"Samverkan Avantia Mellersta Norrland","Avantia International Trading AB","Mellersta Norrland",98164,98164,"2008-08-01 till 2008-12-31","SEK"
"SAmverkan För Integration och Arbete (SAFIA)","Kultur- utbildning- och fritidsförvaltning","Mellersta Norrland",4997589,13588540,"2009-02-02 till 2012-01-31","SEK"
"Securitas Systems Sverige AB, Regionala Samlingsprojekt, Europeiska Socialfonden","Securitas Systems Sverige AB","Mellersta Norrland",90890,90890,"2008-08-01 till 2009-01-31","SEK"
"SESAM - Social ekonomi i samverkan","Arbetsförmedlingen Sundsvall","Mellersta Norrland",6799610,15252030,"2009-07-01 till 2012-06-30","SEK"
"SFA (Svenska för arbete)","Härnösands kommun, Arbetslivsförvaltningen","Mellersta Norrland",3639698,9128258,"2009-01-02 till 2010-12-31","SEK"
"SKISS Västernorrland","Regional Utveckling / Konstkonsulenterna","Mellersta Norrland",321350,321350,"2008-05-01 till 2008-08-30","SEK"
"Skiss Västernorrland","Regional Utveckling / Konstkonsulenterna","Mellersta Norrland",2569654,2569654,"2009-01-01 till 2010-02-26","SEK"
"Skogsstyrelsen i omvandling (Skogsstyrelsen Dnr 2008/6576)","Skogsstyrelsen Region Mitt, Västernorrland/Jämtland","Mellersta Norrland",486063,486063,"2009-10-01 till 2010-03-31","SEK"
"Sol över Solberget","Solbergsbacken","Mellersta Norrland",103300,103300,"2008-11-01 till 2009-04-30","SEK"
"Spinnaker II","Örnsköldsviks Företagshälsovård AB","Mellersta Norrland",322441,322441,"2009-01-15 till 2009-06-14","SEK"
"Stärkt kompetens inom föräldrastöd","Primärvården i Åre","Mellersta Norrland",2357786,2357786,"2009-12-01 till 2011-05-31","SEK"
"Streamline Competence","Metso Paper Sundsvall AB","Mellersta Norrland",1928925,1928925,"2009-05-01 till 2010-04-30","SEK"
"Structorsgruppens Reg Socialfondsprojekt","None Listed","Mellersta Norrland",53955,53955,"2008-05-01 till 2008-10-31","SEK"
"SUM","Birka Folkhögskola","Mellersta Norrland",412000,602500,"2008-07-01 till 2008-12-31","SEK"
"Team Sportia Kompetensutvecklingssatsning","Team Sportia AB","Mellersta Norrland",219500,219500,"2008-07-01 till 2009-12-31","SEK"
"""Telefonister i täten""","Landstinget Västernorrland, Gagna Telefoni","Mellersta Norrland",0,0,"2008-05-01 till 2009-10-31","SEK"
"Trappan","Aktivitetshus i Ramsele ekonomisk förening","Mellersta Norrland",1899729,6649049,"2008-05-01 till 2010-12-31","SEK"
"Ung i centrum","Utvecklingsenheten","Mellersta Norrland",2032095,5260243,"2009-08-17 till 2012-07-31","SEK"
"Uppbyggnad Mellersta Norrland","Sveriges Bygg & Järnhandlareförbund","Mellersta Norrland",266400,266400,"2009-01-19 till 2009-07-19","SEK"
"Utveckla bästa resurs center Z Jämtland","BRC Hälsopartner Västerbergslagen, Siljan, Jämtland","Mellersta Norrland",150000,150000,"2008-09-01 till 2008-12-31","SEK"
"Utveckling Tools Mellersta Norrland","Tools, Knut Sehlin","Mellersta Norrland",281598,281598,"2008-11-03 till 2009-03-31","SEK"
"Villa Vägen Ut! Vägskäl, metodutveckling för socialt företagande med dubbelt uppdrag","Coompanion Kooperativ Utveckling Jämtlands län","Mellersta Norrland",1020693,2551733,"2009-04-01 till 2011-04-01","SEK"
"ZATZA --> Utmaning Mångfald (ZUM)","Röda Korsets byrå mot diskriminering, Jämtland","Mellersta Norrland",274233,274233,"2008-04-15 till 2008-10-15","SEK"
"ZY-kompetens","Industrifacket Metall Mellersta Norrland","Mellersta Norrland",824328,824328,"2008-07-01 till 2008-12-31","SEK"
"Framtidens stöd och omsorg i Hagfors","Individ- och Familjeomsorg","Norra Mellansverige",268990,268990,"2010-02-01 till 2010-06-30","SEK"
"Solgärdet","Västerbergslagens Utbildningscentrum, VBU","Norra Mellansverige",168197,168197,"2010-01-18 till 2010-07-18","SEK"
"Access Kompetens","IUC Wermland","Norra Mellansverige",299525,299525,"2009-02-01 till 2009-06-30","SEK"
"Access Kompetens Genomförande","IUC Wermland","Norra Mellansverige",1566010,1566010,"2010-02-01 till 2011-07-30","SEK"
"ÅF Engineering AB Regionala Samlingsprojekt, Socialfonden","ÅF Engineering AB Karlstad","Norra Mellansverige",299913,299913,"2008-08-01 till 2009-01-31","SEK"
"Affärskraft Värmland","Handelskammaren Värmland Service AB","Norra Mellansverige",12000000,12000000,"2010-03-01 till 2013-02-28","SEK"
"AIG:s framtida kompetens","None Listed","Norra Mellansverige",4880152,4880152,"2009-06-08 till 2010-06-20","SEK"
"Alla ska med","None Listed","Norra Mellansverige",2014560,5036410,"2008-08-01 till 2010-06-30","SEK"
"Ambition & Motivation","Kulturföreningen Lätting","Norra Mellansverige",1228440,3708120,"2008-05-01 till 2010-04-30","SEK"
"Arbeta i ideell förening","Bomhus Rödakorskrets","Norra Mellansverige",292845,419435,"2009-05-18 till 2009-11-17","SEK"
"Arbetsmöjligheter","Filipstads kommun Socialförvaltningen/AIE","Norra Mellansverige",179400,246400,"2009-07-01 till 2009-10-31","SEK"
"Arena för nyorientering","Landstingets kansli","Norra Mellansverige",299614,299614,"2009-08-03 till 2010-02-02","SEK"
"ASF, IFA/FAM kompetensplan","Arbetsmarknads- och socialförvaltningen","Norra Mellansverige",399760,399760,"2010-01-01 till 2010-06-30","SEK"
"Assistentlyftet","1 assistansbolag AB (Projektägare)","Norra Mellansverige",260002,260002,"2008-05-01 till 2008-10-30","SEK"
"Assistentlyftet","A-assistans AB","Norra Mellansverige",1998426,1998426,"2009-02-01 till 2010-07-30","SEK"
"Att Läsa är Framtiden","Bokia AB","Norra Mellansverige",294430,294430,"2008-10-01 till 2009-02-28","SEK"
"BERGSLAGSESURSEN.NU","Rörlighet i Bergslagen AB","Norra Mellansverige",1644968,1644968,"2009-06-22 till 2010-06-22","SEK"
"BERGSLAGSRESURSEN.NU","Rörlighet i Bergslagen AB","Norra Mellansverige",284052,284052,"2009-02-09 till 2009-04-09","SEK"
"BITS - Byggare I Tiden, Skapar möjligheter för alla","Byggutbildning Star","Norra Mellansverige",6911520,18447020,"2008-10-01 till 2011-09-30","SEK"
"Centrumlyftet A - Nätverket Upplevelse & Hälsa","Borlänge Centrumsamverkan Ek f","Norra Mellansverige",286356,286356,"2009-02-01 till 2009-07-31","SEK"
"Centrumlyftet B - Nätverket Mode & Service","Borlänge Centrumsamverkan Ek f","Norra Mellansverige",299454,299454,"2009-02-01 till 2009-07-31","SEK"
"Centrumlyftet C - Nätverket Kultur & Nöje","Borlänge Centrumsamverkan Ek f","Norra Mellansverige",288968,288968,"2009-08-01 till 2010-01-31","SEK"
"Coaching projektet i Sandviken-Hofors","Tillväxtkontoret/AMC","Norra Mellansverige",9748512,34119792,"2009-02-01 till 2012-01-31","SEK"
"DALAKOMPETENS för individ, företag och organisation","Utvecklingsbolaget MittDalarna","Norra Mellansverige",37400,37400,"2009-02-01 till 2009-08-31","SEK"
"Dalalyft","Västerbergslagens Utbildningscentrum, VBU","Norra Mellansverige",9998873,9998873,"2010-02-01 till 2013-01-31","SEK"
"Dalom Produktion i Samverkan med Företagshälsovården","Dalom Produktion AB","Norra Mellansverige",226165,226165,"2008-08-02 till 2009-02-02","SEK"
"Dalom Produktion i Samverkan med Företagshälsovården","Dalom Produktion AB","Norra Mellansverige",428400,428400,"2009-05-20 till 2011-01-31","SEK"
"DC Framåt","Mercedes-Benz/Chrysler Återförsäljarförening","Norra Mellansverige",296252,296252,"2008-08-01 till 2009-01-31","SEK"
"DIREKT Kunskap FÖRSTUDIE Norra Mellansverige","None Listed","Norra Mellansverige",285420,285420,"2008-11-03 till 2009-02-27","SEK"
"EIOs Regionala Socialfondsprojekt","EIO Medlemsservice AB","Norra Mellansverige",210653,210653,"2008-08-01 till 2009-01-31","SEK"
"EPS","EDC i Munkfors AB","Norra Mellansverige",296830,296830,"2009-02-01 till 2009-05-29","SEK"
"EPS-genomförande","EDC i Munkfors AB","Norra Mellansverige",820350,820350,"2010-01-11 till 2011-03-31","SEK"
"Faluföretag","Falu kommun Näringslivskontoret","Norra Mellansverige",300000,300000,"2008-04-01 till 2008-10-31","SEK"
"Faluföretag 2","Falu kommun Näringslivskontoret","Norra Mellansverige",298560,298560,"2008-08-01 till 2009-01-31","SEK"
"Faluföretag 3","Falu kommun Näringslivskontoret","Norra Mellansverige",222454,222454,"2008-09-15 till 2009-02-15","SEK"
"Faluföretag 4","Falu kommun Näringslivskontoret","Norra Mellansverige",220083,220083,"2009-05-15 till 2009-11-15","SEK"
"FalunBorlänge","Näringslivet Falun Borlänge AB","Norra Mellansverige",289514,289514,"2009-09-01 till 2009-12-31","SEK"
"Fåmansföretag Förprojektering 2","Forshaga FöretagsCentrum","Norra Mellansverige",166294,166294,"2009-09-07 till 2010-03-07","SEK"
"Fem kommuner","Gagnefs Kommun, Utvecklingscentrum","Norra Mellansverige",250988,250988,"2009-08-03 till 2010-01-31","SEK"
"FFA, Förebyggande friskvårdsarbete","Filipstads kommun KOMMUNKANSLIET","Norra Mellansverige",300000,300000,"2009-05-15 till 2009-08-31","SEK"
"FFA, Förebyggande friskvårdsarbete","Filipstads kommun KOMMUNKANSLIET","Norra Mellansverige",2878500,2878500,"2010-01-11 till 2011-06-30","SEK"
"Finnskogsturism","Lärcentrum","Norra Mellansverige",299270,299270,"2009-02-02 till 2009-07-31","SEK"
"Five - Fem nya möjligheter för kompetensutveckling hos människor och ökad samverkan med företag","Näringslivet Falun Borlänge AB","Norra Mellansverige",8182146,20932146,"2008-06-01 till 2011-05-31","SEK"
"Fler till arbete i Dalarna","Gagnefs Kommun, Utvecklingscentrum","Norra Mellansverige",300000,448100,"2008-05-05 till 2008-10-31","SEK"
"Föräldrafocus","None Listed","Norra Mellansverige",185000,251000,"2009-07-01 till 2009-12-13","SEK"
"Föreningspoolen","Idrottsrådet Malung-Lima-Sälen","Norra Mellansverige",133135,186685,"2010-01-15 till 2010-06-15","SEK"
"Företagens behov av kompetensutveckling 4","Gagnefs Kommun, Utvecklingscentrum","Norra Mellansverige",284138,284138,"2010-01-04 till 2010-06-30","SEK"
"Företagens behov av kompetensutveckling i Gagnef","Gagnefs Kommun, Utvecklingscentrum","Norra Mellansverige",278800,278800,"2008-05-01 till 2008-10-31","SEK"
"Företagens behov av kompetensutveckling i Gagnef och Rättvik","Gagnefs Kommun, Utvecklingscentrum","Norra Mellansverige",267350,267350,"2008-08-01 till 2008-12-31","SEK"
"Företagens behov av kompetensutveckling i Gagnef och Rättvik","Gagnefs Kommun, Utvecklingscentrum","Norra Mellansverige",800232,800232,"2009-06-01 till 2010-11-30","SEK"
"Företagens behov av kompetensutveckling i Gagnef","Gagnefs Kommun, Utvecklingscentrum","Norra Mellansverige",955555,955555,"2009-02-04 till 2010-09-04","SEK"
"Företagens behov av kompetensutveckling i Malun-Sälens kommun, nr 1","Lärcentrum Malung, Malungs kommun","Norra Mellansverige",257950,257950,"2008-05-01 till 2008-10-31","SEK"
"Företagens behov av kompetensutveckling i Malung-Sälens kommun nr.2","Lärcentrum Malung, Malungs kommun","Norra Mellansverige",296650,296650,"2008-09-01 till 2009-01-31","SEK"
"Företagens behov av kompetensutveckling i Rättvik","Rättviks Gymnasium/Lärcentrum","Norra Mellansverige",254089,254089,"2008-05-01 till 2008-11-01","SEK"
"Företagens behov av kompetensutveckling i Rättvik","Rättviks Gymnasium/Lärcentrum","Norra Mellansverige",239706,239706,"2008-08-01 till 2008-12-31","SEK"
"Företagens behov av kompetensutveckling kommunövergripande","Rättviks Gymnasium/Lärcentrum","Norra Mellansverige",251903,251903,"2008-10-01 till 2008-12-31","SEK"
"FORMA","ABF Värmland","Norra Mellansverige",82000,122000,"2009-07-01 till 2009-10-16","SEK"
"Förprojekt   ""Utvecklad Samverkan i Klarälvdalen""","Klarälvdalens Samordningsförbund","Norra Mellansverige",286275,381700,"2008-07-15 till 2008-10-30","SEK"
"Förprojekt: Kompetenshöjning inför en mer individuellt anpassad omsorg","None Listed","Norra Mellansverige",214912,214912,"2009-02-02 till 2009-06-30","SEK"
"Förprojekt KOSMOS","Länsledningens kansli","Norra Mellansverige",107730,107730,"2009-09-01 till 2009-12-18","SEK"
"Förprojektering 1","Klarälvdalens folkhögskola","Norra Mellansverige",0,0,"2008-08-01 till 2009-01-31","SEK"
"Förprojektering: Analys för utveckling och utbildning","Tuab","Norra Mellansverige",259972,259972,"2008-09-19 till 2009-02-27","SEK"
"Förprojektering Arbetskraftsutbud/Möjligheternas Hus","Basenheten/Möjligheternas Hus","Norra Mellansverige",225000,300000,"2009-02-01 till 2009-05-31","SEK"
"Förprojektering: Företagsringen I","Bollnäs kommun Arbetsmarknadskontoret Lärande och Arbete","Norra Mellansverige",263235,263235,"2008-09-01 till 2009-02-28","SEK"
"Förprojektering II","Klarälvdalens folkhögskola","Norra Mellansverige",287859,287859,"2008-09-01 till 2009-02-28","SEK"
"Förprojektering Isoflex","ISOFLEX AKTIEBOLAG","Norra Mellansverige",79220,79220,"2008-08-01 till 2009-01-31","SEK"
"Förprojektering kompetensutveckling Stöten","STÖTEN I SÄLEN AB","Norra Mellansverige",299970,299970,"2008-12-01 till 2009-05-31","SEK"
"Förprojektering, kooperativen","NYFÖRETAGARCENTRUM HAMMARÖ","Norra Mellansverige",298916,298916,"2009-02-01 till 2009-07-31","SEK"
"Förprojektering Kuggteknik","AB Kuggteknik","Norra Mellansverige",118200,118200,"2008-08-01 till 2009-01-31","SEK"
"Förprojektering Samlingsgrupp Lars-Uno","Olsson & Jansson AB","Norra Mellansverige",57028,57028,"2008-08-01 till 2009-01-31","SEK"
"Förprojektering Samspelet","none listed","Norra Mellansverige",123933,171083,"2009-06-30 till 2009-10-31","SEK"
"Förprojektering skönhet-hälsa","Hedemora Näringsliv AB","Norra Mellansverige",287645,287645,"2008-05-01 till 2008-11-05","SEK"
"Förprojektering Springwire","Springwire AB","Norra Mellansverige",187043,187043,"2008-05-01 till 2008-10-30","SEK"
"Förstudie: Konjunkturinsatser Sandviken","Tillväxtkontoret/AMC","Norra Mellansverige",207792,207792,"2009-02-09 till 2009-04-09","SEK"
"Förstudie Vård-Sfi Gävleborg","Länstyrelsen Gävleborg Samhällsbyggnadsenheten","Norra Mellansverige",281667,381717,"2009-02-01 till 2009-07-31","SEK"
"Från kurskonsumtion till lärande organisation","STADSHUSET Säffle kommun","Norra Mellansverige",176720,176720,"2008-05-01 till 2008-09-30","SEK"
"Från nyanländ till nyanställd","Arbetsförmedlingen Bollnäs","Norra Mellansverige",129045,172060,"2008-07-01 till 2008-09-30","SEK"
"Från Nyanländ till Nyanställd","Arbetsförmedlingen Gävle Hk","Norra Mellansverige",9607523,24271615,"2009-02-02 till 2011-08-31","SEK"
"Genomförande Faluföretag","Falu kommun Näringslivskontoret","Norra Mellansverige",1323083,1323083,"2009-02-02 till 2010-06-15","SEK"
"Genomförande. Företagarna i Mora","none listed","Norra Mellansverige",168925,168925,"2009-08-07 till 2011-01-31","SEK"
"Genomförande Lars-Uno","Olsson & Jansson AB","Norra Mellansverige",121508,121508,"2009-08-07 till 2011-01-31","SEK"
"Genomförande Möjligheternas Hus","Basenheten/Möjligheternas Hus","Norra Mellansverige",1859522,4648796,"2010-01-15 till 2011-12-31","SEK"
"Genomförande Springwire","Springwire AB","Norra Mellansverige",577846,577846,"2009-06-01 till 2010-10-29","SEK"
"Genomförandeansökan företagens behov av kompetensutv. i Malung-Sälens kommun","Lärcentrum Malung, Malungs kommun","Norra Mellansverige",484474,484474,"2010-02-01 till 2011-02-01","SEK"
"GFF:s Regionala Socialfondsprojekt, Norra Mellansverige","Grafiska Företagens Service AB","Norra Mellansverige",298976,298976,"2009-05-07 till 2009-10-07","SEK"
"Grön rehabilitering","Garpenbergs Intressenter AB (GIAB)","Norra Mellansverige",300000,620000,"2008-08-01 till 2009-01-31","SEK"
"Grön rehabilitering (som första steg mot arbetsmarknaden)","Garpenbergs Intressenter AB (GIAB)","Norra Mellansverige",1906479,4619379,"2009-06-01 till 2012-04-30","SEK"
"Hälsoföretag Falun","Falu kommun Näringslivskontoret","Norra Mellansverige",202359,202359,"2008-09-22 till 2008-12-31","SEK"
"Hälsofrämjande skola och förskola","Barn och utbildningsförvaltnin","Norra Mellansverige",268626,268626,"2009-08-03 till 2010-01-29","SEK"
"Handel i småorter 4","NYFÖRETAGARCENTRUM HAMMARÖ","Norra Mellansverige",294698,294698,"2009-09-21 till 2010-02-28","SEK"
"Högtrycket","Resurscentrum","Norra Mellansverige",4410000,14885000,"2008-05-01 till 2010-04-30","SEK"
