"Ident","REGION","TITLE","BENEFICIARY","FROM","TO","FUNDING SEK","FUNDING EURO"
148493,"Öresund-Kategat-Skagerrak","Brukerstyrt omsorgsteknologi","HÖGSKOLAN HALMSTAD",09/01/09,02/28/10,0,"10 000"
148492,"Öresund-Kategat-Skagerrak","Hav möter land","LÄNSSTYRELSEN I VÄSTRA GÖTALANDS LÄN",08/28/09,02/28/10,0,"25 000"
147821,"Öresund-Kategat-Skagerrak","Grönt byggeri","Köpenhamns Erhvervsakademi",09/01/09,03/01/10,0,"12 500"
147736,"Öresund-Kategat-Skagerrak","Plattform för Öresundsregional kulturbar","REGION SKÅNE",09/01/09,01/31/10,0,"24 984"
147093,"Öresund-Kategat-Skagerrak","Rekreative Ruter","Region Nordjylland",06/01/09,09/17/09,0,"12 890"
147092,"Öresund-Kategat-Skagerrak","PRINCIP","Aalborg Kommune",06/08/09,09/17/09,0,"12 675"
146947,"Öresund-Kategat-Skagerrak","Nordisk Kompetenceudviklingsnetværk","Region Midtjylland",02/15/09,07/01/09,0,"25 000"
146944,"Öresund-Kategat-Skagerrak","BrandIT - Branding av ICT-klustret i Öre","LUNDS UNIVERSITET",10/01/09,09/30/10,0,"489 750"
146942,"Öresund-Kategat-Skagerrak","Bättre möjligheter på arbetsmarknaden -","VOKSEN PAEDAGOGISK CENTER",08/01/09,01/31/12,0,"433 615"
146941,"Öresund-Kategat-Skagerrak","Öresund Materials Innovation Community","LUNDS UNIVERSITET",10/01/09,07/31/10,0,"162 171"
140550,"Öresund-Kategat-Skagerrak","INTEGRERING MELLEM BAEREDYGTIGA BYGGEPRO","Danmarks Tekniske Universitet Byg",09/17/09,09/16/12,0,"867 516"
140505,"Öresund-Kategat-Skagerrak","Kulturdriven innovation","Saxo-instituttet",08/01/09,10/31/11,0,"211 688"
140493,"Öresund-Kategat-Skagerrak","VER-DI Vern og verdiskapning - naturskyd","Region Midtjylland",08/01/09,07/31/12,0,"749 032"
140492,"Öresund-Kategat-Skagerrak","Strategier for byudvikling i mellemstore","Aalborg Kommune",06/01/09,05/31/12,0,"348 000"
140491,"Öresund-Kategat-Skagerrak","Innovationssamverkan kring utveckling av","GÖTEBORGS UNIVERSITET",06/01/09,05/31/12,0,"659 032"
140489,"Öresund-Kategat-Skagerrak","IKON","MUNKEDALS KOMMUN",06/01/09,05/31/12,0,"2 718 576"
140484,"Öresund-Kategat-Skagerrak","Landsbygdsutveckling i Skandinavien/LISA","Region Halland",06/01/09,05/31/12,0,"1 114 011"
140479,"Öresund-Kategat-Skagerrak","Håndtering av CO2 i Skagerrak/Kattegat-r","Chalmers Tekniska Högskola AB",06/01/09,12/31/11,0,"282 789"
140255,"Öresund-Kategat-Skagerrak","Øresund EcoMobility","LUNDS UNIVERSITET",05/01/09,02/29/12,0,"1 988 719"
140253,"Öresund-Kategat-Skagerrak","Musikbroen - Musik- og Kulturskoler i Ør","Ishøj Musikskole",03/01/09,02/29/12,0,"128 782"
140248,"Öresund-Kategat-Skagerrak","Kulturmiljöer - förberedande projekt för","MUNKEDALS KOMMUN",12/01/08,03/17/09,0,"17 000"
119609,"Öresund-Kategat-Skagerrak","Nano Connect Scandinavia (Strategisk Nan","LUNDS UNIVERSITET",05/01/09,05/01/12,0,"2 251 531"
117633,"Öresund-Kategat-Skagerrak","Institutionelt samarbejde mellem Malmö H","Roskilde Universitetscenter",09/01/08,12/31/10,0,"136 019"
117178,"Öresund-Kategat-Skagerrak","COINCO North","BRG, BUSINESS REGION GÖTEBORG AB",09/01/08,07/31/11,0,"282 261"
117176,"Öresund-Kategat-Skagerrak","Efteruddannelse på Tværs - Förutsättning","VOKSEN PAEDAGOGISK CENTER",01/01/09,06/30/09,0,"25 000"
116852,"Öresund-Kategat-Skagerrak","Västerhavets kulturarv","Göteborgs kommun",01/10/09,03/30/12,0,"192 963"
116844,"Öresund-Kategat-Skagerrak","VISÖ, Visualisering av Infrastruktur och","Vägverket",11/01/08,11/01/11,0,"485 558"
116840,"Öresund-Kategat-Skagerrak","Nordiske cykelbyer","Frederikshavn Kommune",01/01/09,12/31/11,0,"868 460"
116831,"Öresund-Kategat-Skagerrak","KASK Innovation","Aalborg Sygehus, Århus Universitetshospi",01/01/09,12/31/11,0,"1 262 622"
116829,"Öresund-Kategat-Skagerrak","KIA - Kreativ Interaksjon i Arbetslivet","ApEx, Center for anvent Oplevelsesøkonom",01/01/09,12/31/11,0,"346 851"
116827,"Öresund-Kategat-Skagerrak","Øresundsregionen som kreativ metapol","Herlev Kommune",10/01/08,09/30/11,0,"930 617"
116816,"Öresund-Kategat-Skagerrak","Kompetenceregneskab for Øresundsregionen","Beskaeftigelsesregionen Hovedstaden och",06/16/08,06/01/11,0,"604 000"
116796,"Öresund-Kategat-Skagerrak","Women in Business","FÖRENINGEN NORDEN",01/01/09,12/31/11,0,"362 493"
116769,"Öresund-Kategat-Skagerrak","Vind i Öresund","LUNDS UNIVERSITET",10/01/08,09/30/11,0,"940 451"
116764,"Öresund-Kategat-Skagerrak","IBU-Øresund, Infrastruktur og byudviklin","REGION SKÅNE",07/01/08,12/31/10,0,"1 917 240"
