Ident,REGION,TITLE,BENEFICIARY,FROM,TO,FUNDING SEK,FUNDING EURO
148262,Mellersta Norrland,Ägarskiften i företag i Västernorrlands,Handelskammaren Mittsverige,1/1/10,12/31/12,1000000,0
70139,Mellersta Norrland,Affärsnytta med IT Fibre Network,Åkroken Science Park AB,1/1/09,5/31/10,1000000,0
69385,Mellersta Norrland,Observatorieprojektet,FORUM FROSTVIKEN EKONOMISK FÖRENING,11/1/08,12/31/10,1000000,0
67823,Mellersta Norrland,Energi- och klimatforum 2008 - 20111,Handelskammaren Mittsverige,4/1/08,3/31/11,1000000,0
42661,Norra Mellansverige,Västerdalsbanan,Västerdalsbanans Intresseförening,8/1/08,1/31/10,1000000,0
40272,Norra Mellansverige,Varumärket Dalarna,REGION DALARNA,1/1/08,3/31/09,1000000,0
39681,Norra Mellansverige,Hofors Clean Production Centre,HOFORS KOMMUN,1/1/07,1/31/09,1000000,0
27456,Norra Mellansverige,Bergslagen - Historia och Framtid - samv,INTRESSEFÖRENINGEN BERGSLAGET,6/1/07,6/30/08,1000000,0
40527,Skåne-Blekinge,ICT- och moving media i södra Sverige-fö,NETPORT.KARLSHAMN IDEELL FÖRENING,1/1/07,2/29/08,1000000,0
140464,Småland och Öarna,Effektiv samproduktion mellan högskola o,Tekniska Högskolan i Jönköping AB,7/1/09,6/30/12,1000000,0
41804,Övre Norrland,Heart of Lapland 2010,HEART OF LAPLAND EKONOMISK FÖRENING,1/1/08,12/31/08,1000000,0
70678,Mellersta Norrland,Kompetenslänken,Kompetenslänken Örnsköldsvik ek för,1/1/09,12/31/11,1014510,0
140855,Skåne-Blekinge,Inkubatorverksamhet med branschinriktnin,BLEKINGE BUSINESS INCUBATOR AB,4/1/09,3/31/12,1016000,0
70373,Småland och Öarna,Jönköping-Vaggeryd Infrastruktur - Termi,Jönköpings kommun,10/1/08,6/30/10,1018878,0
40573,Skåne-Blekinge,Östersjöns nya turistcentrum för uppleve,Karlskrona Kommun,5/1/08,1/31/09,1025000,0
119419,Norra Mellansverige,Turismkraft Värmland,REGION VÄRMLAND-KOMMUNALFÖRBUND,3/1/09,12/31/09,1052035,0
146255,Övre Norrland,Havremagasiner med Ryssen kommer!,Kilen Art Group,11/1/09,12/31/10,1052467,0
118084,Småland och Öarna,Mötesspår Kust till kust,BANVERKET,5/1/09,4/30/10,1053376,0
147865,Övre Norrland,Biomedelsdrivna skotrar,STORUMANS KOMMUN,1/1/10,12/31/12,1077322,0
140592,Mellersta Norrland,UNICLEAN,Mittuniversitetet,7/1/09,6/30/11,1081025,0
39703,Mellersta Norrland,Arena för marknads- och produktionsutvec,Z-GROUP EK. FÖR.,1/1/08,12/31/10,1090206,0
151170,Östra Mellansverige,Förstudie Bazar,Eskilstuna kommun Arbetsmarknads och fam,5/1/10,12/31/10,1104137,0
67803,Mellersta Norrland,Östersund för spetskompetens i Europa,ÖSTERSUNDS KOMMUN,7/1/08,12/31/10,1110000,0
119422,Norra Mellansverige,GIS-arena Dalarna,FALU KOMMUN,3/1/09,6/30/10,1125000,0
39662,Norra Mellansverige,Förläggning optonät Älgered-Hassela,NORDANSTIGS KOMMUN,5/1/07,2/29/08,1125000,0
