Nazwa beneficjenta,Tytu_ projektu,Program Operacyjny,Dzia_anie,Poddzia_anie,Warto__ ogó_em,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyp_acenia ostatniej raty
""" Enter ""O_rodek Edukacyjno - Szkoleniowy  Barbara Wolska",Szansa 50+,Program Operacyjny Kapita_ Ludzki,7.2. Przeciwdzia_anie wykluczeniu i wzmocnienie sektora ekonomii spo_ecznej,7.2.1 Aktywizacja zawodowa i spo_eczna osób zagro_onych wykluczeniem spo_ecznym,"175,864.00","174,166.93",2008,2009
"""ARBOS"" Irena S_abolepsza",Rozwój firmy ARBOS poprzez zakup r_baka do drewna,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.1. Rozwój mikroprzedsi_biorstw,Schemat I: Projekty inwestycyjne,"48,800.00","21,000.00",2009,2009
"""ARBOS"" Irena S_abolepsza",Rozwój firmy ARBOS poprzez budow_ kot_owni do ogrzewania suszarni drewna oraz stanowiska do przecierania surowca tartacznego,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.1. Rozwój mikroprzedsi_biorstw,Schemat I: Projekty inwestycyjne,"88,474.40","34,809.00",2008,2009
"""ASTRA-TECHNOLOGIA BETONU"" SP. Z O.O.","Rozwoj firmy ""ASTRA-Technologia Betonu"" Sp. z o.o. w Straszynie poprzez wprowadzenie do oferty nowego produktu CemoKrzem Por.",Regionalny Program Operacyjny Województwa Pomorskiego,"1.1. Mikro, ma_e i _rednie przedsi_biorstwa",1.1.1. Mikroprzedsi_biorstwa,"292,800.00","101,350.00",2008,2009
"""AT LARGO ADRIAN CZACZKOWSKI, TOMASZ CHALIMONIUK"" SPÓ_KA JAWNA",Wzrost konkurencyjno_ci firmy poprzez zakup profesjonalnej myjni samochodowej bezdotykowej,Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowsta_ych mikroprzedsiebiorstw,,"681,426.12","253,566.50",2008,2009
"""A-TECH.PL"" spó_ka cywilna Dariusz Krzeszowiec, Maciej Nawrocki","Wzrost konkurencyjno_ci firmy ""A-TECH.PL"" poprzez doradztwo w zakresie  zastosowania innowacyjnych technologii informatycznych
",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.2. Wsparcie rozwoju MSP,Schemat II: Specjalistyczne projekty doradcze,"209,840.00","80,000.00",2008,2009
"""Autos"" Szko_a Kierowców S.C. Rak Robert, Rak - Zamy_lewska Izabela",Aktywizator - program aktywizacji osób pozostaj_cych bez ztrudnienia,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.1 Wsparcie osób pozostaj_cych bez zatrudnienia na regionalnym rynku pracy,"243,570.00","223,527.62",2008,2009
"""BIN"" Spó_ka z ograniczon_ odpowiedzialno_ci_ w Aleksandrowie Kujawskim",Promocja eksportu wyrobów „BIN” Sp. z o.o. poprzez udzia_ w XV Mi_dzynarodowych Targach Techniki Rolniczej „AGROTECH” w dniach 13-15.03.2009 w Kielcach oraz promocja marki BIN jako produktu regionalnego.,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"92,606.00","34,372.48",2008,2009
"""Biuro Termografii""","Rozwój konkurencyjno_ci firmy ""Biuro Termografii"" w Skwierzynie poprzez zakup innowacyjnej kamery termowizyjnej.",Regionalny Program Operacyjny Województwa Lubuskiego,2.1 Mikroprzedsi_biorstwa.,,"259,860.00","106,000.00",2008,2009
"""BRATBUD"" S.C. JACEK TUREK ANDRZEJ TUREK","Zakup nowoczesnych koparko-_adowarek, koparki i samochodu ci__arowego typu wywrotka oraz maszyn i urz_dze_ do _wiadczenia us_ug remontowo-budowlanych",Regionalny Program Operacyjny Województwa Lubelskiego,1.2. Dotacje inwestycyjne dla mikroprzedsi_biorstw,,"1,728,090.96","985,152.74",2008,2009
