Nazwa beneficjenta,Tytu_ projektu,Program Operacyjny,Dzia_anie,Poddzia_anie,Warto__ ogó_em,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyp_acenia ostatniej raty
"""BUD-REM"" Sp. Jawna - Roman B_aszczyk, Piotr Pawlaczyk","Wzrost konkurencyjno_ci i pozycji rynkowej w spó_ce jawnej BUD-REM, poprzez realizacj_ planu inwestycyjnego",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"652,496.26","314,100.00",2008,2009
"""CASE-DORADCY"" SPÓ_KA Z OGRANICZON_ ODPOWIEDZIALNO_CI_",Biomasa - alternatywne _ród_o dochodu rolniczego,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"44,740.00","42,850.26",2008,2009
"""CASE-DORADCY"" SPÓ_KA Z OGRANICZON_ ODPOWIEDZIALNO_CI_",Zwi_kszenie dochodowo_ci mieszka_ców obszarów wiejskich w powiecie p_ockim,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"44,740.00","42,698.49",2008,2009
"""CASE-DORADCY"" SPÓ_KA Z OGRANICZON_ ODPOWIEDZIALNO_CI_",Alternatywne _ród_a dochodu w powiecie ostro__ckim,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"44,740.00","43,332.85",2008,2009
"""CASE-DORADCY"" SPÓ_KA Z OGRANICZON_ ODPOWIEDZIALNO_CI_",Alternatywne _ród_a energii - biomasa przysz_o_ci_ powiatu p_o_skiego ,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"44,740.00","43,201.00",2008,2009
"""CEG-TOR"" K.SZUBIERAJSKI I SPÓ_KA SPÓ_KA JAWNA","Uruchomienie innowacyjnego wielokolorowego systemu mieszania betonu licowego Colormix, CEG-TOR Toru_.",Program Operacyjny Innowacyjna Gospodarka,4.4. Nowe inwestycje o wysokim potencjale innowacyjnym,,"33,479,356.75","12,243,886.29",2008,2009
"""CENTRUM DORADZTWA FINANSOWEGO"" Urszula Bancerz",Us_ugi doradcze drog_ do certyfikacji systemu jako_ci w Centrum Finansowym,Regionalny Program Operacyjny Województwa Lubelskiego,1.7. Wzrost konkurencyjno_ci przedsi_biorstw przez doradztwo,,"28,950.00","11,250.00",2008,2009
"""CLIMBEX"" Kaczmarek, Kantorski Spó_ka Jawna",Innowacyjny system wysokoci_nieniowego czyszczenia przemys_owego z zastosowaniem technologii separacji faz.,Regionalny Program Operacyjny Województwa Opolskiego,"1.3 Innowacje, badania, rozwój technologiczny",1.3.2 Inwestycje w innowacje w przedsi_biorstwach,"3,586,800.00","1,381,799.85",2008,2009
"""CUBINA"" Marek Ludzia, Czes_aw _cis_owicz s. j.",Rozwój i podniesienie konkurencyjno_ci przedsi_biorstwa CUBINA dzi_ki inwestycji w nowoczesne urz_dzenia,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"316,712.00","116,820.00",2008,2009
"""Darex"" Czelej Dariusz",Wzrost konkurencyjno_ci firmy poprzez wdro_enie innowacyjnych technologii przygotowania produkcji koszul,Regionalny Program Operacyjny Województwa Lubelskiego,1.3. Dotacje inwestycyjne dla ma_ych i _rednich przedsi_biorstw,,"802,638.00","394,740.00",2008,2009
"""DREWMARK"" Marek Woli_ski",Dywersyfikacja produkcji zak_adu poprzez wprowadzenie nowych produktów,Regionalny Program Operacyjny Województwa Lubelskiego,1.3. Dotacje inwestycyjne dla ma_ych i _rednich przedsi_biorstw,,"503,685.46","201,500.97",2008,2009
"""Drukarnia Beltrani"" S.C. Jacek Beltrani, Agnieszka Kurzyd_o, Leszek Ma_kowski","” Wzrost konkurencyjno_ci przedsi_biorstwa ""Drukarnia Beltrani"" poprzez zakup nowoczesnej linii introligatorskiej ” ",Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"610,000.00","200,000.00",2008,2009
"""Drukarnia Dimograf"" spó_ka z ograniczon_ odpowiedzialno_ci_",Rozwój dzia_alno_ci eksportowej Drukarni DIMOGRAF poprzez uczestnictwo w Mi_dzynarodowych Targach Ksi__ki we Frankfurcie nad Menem w Niemczech w charakterze wystawcy.,Regionalny Program Operacyjny Województwa _l_skiego,1.2. Mikroprzedsi_biorstwa i M_P,1.2.2. Ma_e i _rednie Przedsi_biorstwa,"61,793.00","20,382.30",2009,2009
"""Dwór Czarneckiego"" Zdzis_aw Czarnecki",Utworzenie o_rodka SPA i odnowy biologicznej w Dworze Czarneckiego.,Regionalny Program Operacyjny Województwa Podlaskiego,3.2 Wsparcie inwestycyjne przedsi_biorstw z bran_y turystycznej,3.2.2 Ma_e i _rednie przedsi_biorstwa,"877,770.38","357,685.74",2008,2009
"""E.A. Krupi_ski"" El_bieta Krupi_ska",Wdro_enie nowoczesnej technologii toczenia sterowanego numerycznie do produkcji nowych agregatów pompowych szans_ rozwoju firmy E.A. Krupi_ski,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"341,600.00","112,000.00",2008,2009
"""EKO-BIOMASA"" Spó_ka z ograniczon_ odpowiedzialnmo_ci_",Zwi_kszenie mo_liwo_ci przetwarzania produktów z biomasy na cele energetyczne,Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"1.1. Bezpo_rednie wsparcie sektora mikro, ma_ych i _rednich przedsi_biorstw",,"2,579,690.00","1,268,700.00",2008,2009
"""ELHURT"" S. z o.o.","Zakup linii technologicznej do monta_u powierzchniowego i przewlekanego, umo_liwiaj_cy rozpocz_cie produkcji modu_ów elektronicznych w firmie Elhurt Sp. z o.o. w Gda_sku",Regionalny Program Operacyjny Województwa Pomorskiego,"1.1. Mikro, ma_e i _rednie przedsi_biorstwa",1.1.2. Ma_e i _rednie przedsi_biorstwa,"2,263,100.00","800,000.00",2008,2009
"""EVENT"" - Firma szkoleniowa Jolanta Nizio_ek","M_ody Europejczyk - porozumiem si_ z ka_dym, dodatkowe zaj_cia z j_zyka angielskiego dla uczniów szkó_ podstawowych",Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dost_pie do edukacji oraz zmniejszanie ró_nic w jako_ci us_ug edukacyjnych,"150,391.00","144,329.13",2008,2009
"""EWA"" Sp. Cywilna Jacek Samonek i Mariola Kosmowska ul. Lubelska",Nowe kwalifikacje-now_ szans_,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"998,800.00","993,725.34",2008,2009
"""EXPOM"" Spó_ka z ograniczon_ odpowiedzialno_ci_",Zwi_kszenie konkurencyjno_ci przedsi_biorstwa EXPOM poprzez nabycie innowacyjnych rozwi_za_ technologicznych.,Regionalny Program Operacyjny Województwa _ódzkiego,III.2. Podnoszenie innowacyjno_ci i konkurencyjno_ci przedsi_biorstw,,"2,152,768.41","1,220,600.85",2008,2009
"""FEMMES DE BEAUTE"" Zagórscy s.j.","""NISza"" Nie Ignoruj Szansy",Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.1 Wsparcie osób pozostaj_cych bez zatrudnienia na regionalnym rynku pracy,"799,670.00","798,289.48",2008,2009
"""FPHU WESO_OWSKI"" Przemys_aw Weso_owski",Rozbudowa farmy wiatrowej w Chromowoli gmina Koneck,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsi_biorstw,5.2.1. Wsparcie inwestycji mikroprzedsi_biorstw,"524,876.94","299,437.99",2008,2009
"""FULL-CHEM"" PIOTR I DOROTA PANASIUK SPÓ_KA JAWNA",Wzrost konkurencyjno_ci firmy poprzez wprowadzenie nowych us_ug - myjni samochodowej.,Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowsta_ych mikroprzedsiebiorstw,,"732,380.81","284,250.00",2008,2009
"""GIERA"" ZNAKI DROGOWE MICHA_ GIERA KRYSTYNA GIERA SPÓ_KA JAWNA",Zakup specjalistycznego zestawu do monta_u barier drogowych,Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.9. Inne inwestycje w przedsi_biorstwa,"1,667,130.00","683,250.00",2008,2009
"""GRADAM PRZYGODZI_SCY"" Adam Przygodzi_ski","Profesjonalny system drukuj_cy, kopiuj_cy i skanuj_cy w kolorze od formatu A-3 do A-0 w Bydgoszczy.",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsi_biorstw,5.2.1. Wsparcie inwestycji mikroprzedsi_biorstw,"126,355.40","72,499.00",2008,2009
"""Grafix"" Centrum Poligrafii Rafa_ Rausz",Wdro_enie innowacyjnej technologii druku na foli rastrowej soczewkowej typu fly-eye.,Program Operacyjny Innowacyjna Gospodarka,4.4. Nowe inwestycje o wysokim potencjale innowacyjnym,,"11,834,000.00","6,367,245.40",2008,2009
"""Hemil"" Mariusz Zarzycki","Zakup _rodków trwa_ych w celu rozbudowy przedsi_biorstwa ""HEMIL"" Mariusz Zarzycki. ",Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowsta_ych mikroprzedsiebiorstw,,"125,050.00","75,579.00",2008,2009
"""HYDREM"" Spólka Cywilna Jacek Szafarczyk, Janusz Bik","Podniesienie konkurencyjno_ci „HYDREM” S. C. Jacek Szafarczyk, Janusz Bik poprzez zakup nowoczesnego centrum tokarsko - frezarskiego",Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"1,220,854.00","400,280.00",2008,2009
"""HYDREM"" Spólka Cywilna Jacek Szafarczyk, Janusz Bik","Zakup aparatury badawczo rozwojowej na potrzeby firmy „HYDREM” S. C.
Jacek Szafarczyk, Janusz Bik
",Regionalny Program Operacyjny Województwa Ma_opolskiego,2.2. Wsparcie komercjalizacji bada_ naukowych,Schemat B: Projekty inwestycyjne przedsi_biorstw z zakresu B +R,"79,300.00","30,257.71",2009,2009
"""JANI FITNESS FUN"" - Janiczek Beata",zakup nowoczesnego sprz_tu do _wicze_ si_owych i rehabilitacyjnych szans_ na rozwój przedsi_biorstwa,Regionalny Program Operacyjny Województwa _l_skiego,1.2. Mikroprzedsi_biorstwa i M_P,1.2.1. Mikroprzedsi_biorstwa,"50,264.00","24,720.00",2008,2009
"""Kancelaria Adwokatów i Radców Prawnych Bacza_ska, Szarata"" sp. partnerska",Kancelaria prawna on-line - zakup sprz_tu i oprogramowania do wdro_enia technologii VoIP i ICT,Regionalny Program Operacyjny Województwa Lubuskiego,2.1 Mikroprzedsi_biorstwa.,,"146,789.18","51,615.48",2008,2009
"""KODAK EXPRESS - Studio Fotograficzne"" E. Adameczek spó_ka jawna",Uruchomienie nowoczesnego Studia Fotografii Cyfrowej KODAK EXPRESS w Rykach,Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowsta_ych mikroprzedsiebiorstw,,"730,066.30","418,890.50",2008,2009
"""Kubala"" sp. z o.o.",Udzia_ firmy Kubala sp. z o.o. jako wystawca w targach IBF 2009 Brno - Czechy w dniach 21.04-25.04.2009.,Regionalny Program Operacyjny Województwa _l_skiego,1.2. Mikroprzedsi_biorstwa i M_P,1.2.2. Ma_e i _rednie Przedsi_biorstwa,"23,000.00","9,681.52",2008,2009
"""Ku_nia"" - Ober_a Polska Jolanta Grodzicka ","Rozbudowa restauracji 'KU_NIA"" o sal_ taneczno-bankietow_ i zaplecze wraz z wyposa_eniem i sprz_tem gastro.",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsi_biorstw,5.2.1. Wsparcie inwestycji mikroprzedsi_biorstw,"607,560.00","348,596.50",2008,2009
"""MAKBUD"" Marta Kowalewska","Rozwój przedsi_biorstwa ""MAKBUD"" Marta Kowalewska poprzez zakup innowacyjnych maszyn budowlanych.",Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowsta_ych mikroprzedsiebiorstw,,"317,813.26","130,132.46",2008,2009
"""Marcoll S.C."" Barbara i _ukasz Marcoll",Nowe oprogramowanie sposobem zró_nicowania dzia_alno_ci firmy Marcoll S.C.,Regionalny Program Operacyjny Województwa _l_skiego,1.2. Mikroprzedsi_biorstwa i M_P,1.2.1. Mikroprzedsi_biorstwa,"53,709.40","20,206.28",2008,2009
"""MARMUR-P_YTKI"" _ata Jacek",Unowocze_nienie oferty produktowej i technologicznej poprzez zakup pi_cioosiowej pi_y do ci_cia i modelowania kamienia naturalnego sterowanej komputerowo.,Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"1.1. Bezpo_rednie wsparcie sektora mikro, ma_ych i _rednich przedsi_biorstw",,"247,660.00","89,550.00",2008,2009
"""MAT-BUD"" A. Polak",Unowocze_nienie parku maszynowego w firmie Mat-Bud z Kie_pina k/Kartuz,Regionalny Program Operacyjny Województwa Pomorskiego,"1.1. Mikro, ma_e i _rednie przedsi_biorstwa",1.1.2. Ma_e i _rednie przedsi_biorstwa,"342,210.00","107,560.02",2008,2009
"""MATURA"" _l_ska Wytwórnia Piecz_tek i Drukarnia",Zakup i monta_ czarno-bia_ego systemu produkcyjnego biz hub pro 1050 firmy Konica Minolta,Regionalny Program Operacyjny Województwa _l_skiego,1.2. Mikroprzedsi_biorstwa i M_P,1.2.1. Mikroprzedsi_biorstwa,"351,545.44","171,331.20",2008,2009
"""MEGA"" A.CHOJNA, A. KOSI_SKI, W.SO_TA Spó_ka Jawna",Zmiana procesu technologicznego produkcji poprzez wdro_enie innowacyjnej technologii obróbki metalu.,Regionalny Program Operacyjny Województwa Lubelskiego,1.3. Dotacje inwestycyjne dla ma_ych i _rednich przedsi_biorstw,,"2,261,880.00","904,294.00",2008,2009
"""MEGA"" A.CHOJNA, A. KOSI_SKI, W.SO_TA Spó_ka Jawna","Podniesienie konkurencyjno_ci firmy ""MEGA"" Spó_ka Jawna poprzez doradztwo w zakresie technologii informatycznych",Regionalny Program Operacyjny Województwa Lubelskiego,1.7. Wzrost konkurencyjno_ci przedsi_biorstw przez doradztwo,,"36,600.00","15,000.00",2008,2009
"""Odzie_ Robocza"" Spó_ka Jawna Drela i Wspólnicy",Zastosowanie innowacyjnych rozwi_za_ w produkcji odzie_y ochronnej - rozbudowa istniej_cego zak_adu produkcyjnego - Kielce,Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"1.1. Bezpo_rednie wsparcie sektora mikro, ma_ych i _rednich przedsi_biorstw",,"6,983,158.35","747,473.91",2008,2009
"""Perfect Smile"" Markiewicz Zara_ski spó_ka cywilna",Zakup innowacyjnego wyposa_enia do nowego gabinetu stomatologicznego w Gda_sku.,Regionalny Program Operacyjny Województwa Pomorskiego,"1.1. Mikro, ma_e i _rednie przedsi_biorstwa",1.1.1. Mikroprzedsi_biorstwa,"212,200.02","106,075.00",2008,2009
"""PERFEKT"" - Studio Estetyki Cia_a Liliana Grzesi_ska",Medyczne technologie - laseroterapia i radioterapia z wykorzystaniem podczerwieni niepowtarzaln_ jako_ci_ us_ug zdrowotno-kosmetycznych,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.1. Rozwój mikroprzedsi_biorstw,Schemat I: Projekty inwestycyjne,"298,224.80","148,561.19",2008,2009
"""PIAST"" SPÓ_KA Z OGRANICZON_ ODPOWIEDZIALNO_CI_",Podwy_szenie standardu i zwi_kszenie mo_liwo_ci us_ugowych hotelu PIAST w Brzegu.,Regionalny Program Operacyjny Województwa Opolskiego,1.4 Rozwój infrastruktury turystycznej i rekreacyjno-sportowej,1.4.1 Wsparcie us_ug turystycznych i rekreacyjno-sportowych _wiadczonych przez przedsi_biorstwa,"434,160.00","207,254.12",2008,2009
"""Piekarnia ROGALIK Wies_awa i Janusz Dudek"" Janusz Dudek","Transfer innowacyjnych technologii do ""Piekarni Rogalik Wies_awa i Janusz Dudek"" Janusz Dudek poprzez zakup nowoczesnych maszyn i sprz_tu",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"262,429.91","126,051.00",2008,2009
"""PREMIX"" Spó_ka z ograniczon_ odpowiedzialno_ci_ ","""Wzmocnienie konkurencyjno_ci spó_ki ""PREMIX"" Sp. Z o.o. poprzez inwestycje""
",Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"1.1. Bezpo_rednie wsparcie sektora mikro, ma_ych i _rednich przedsi_biorstw",,"305,000.00","99,500.00",2009,2009
"""Prometheus"" sp.zo.o.",Asysta w staro_ci odpowiedzi_ na wyzwania czasów,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"571,714.00","566,343.89",2007,2009
"""PROMUS"" Spó_ka z ograniczona odpowiedzialnoscia","WZROST KONKURENCYJNO_CI ""PROMUS"" SPÓ_KA Z O.O. POPRZEZ WPROWADZENIE INNOWACYJNEJ TECHNOLOGII
US_UG (ZAKUP NOWOCZESNEJ TOKARKI I SUWNICY Z INSTALACJA W PAS_EKU NA HALI PRZY UL.
SPRZYMIERZONYCH 16)",Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.7. Dotacje inwestycyjne dla mikroprzedsi_biorstw i sektora M_P w zakresie innowacji i nowych technologii,"3,293,690.00","1,470,770.20",2008,2009
"""ROKIET"" Przedsi_biorstwo Produkcyjno-Handlowo-Us_ugowe Micha_ Siuda, Ewelina Winiarska-Siuda Spó_ka Jawna",Zakup _rodków trwa_ych celem zwi_kszeniu konkurencyjno_ci firmy i wprowadzenia nowych i ulepszonych dzianin na rynek krajowy i zagraniczny,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"768,750.00","384,368.52",2008,2009
"""SALUS"" s.c. Ewa D_browska Zbigniew Podfigurny",Inwestycja w firmie SALUS s. c. w Gryfinie polegaj_ca na zakupie specjalistycznego sprz_tu do rehabilitacji i stomatologii,Regionalny Program Operacyjny Województwa Zachodniopomorskiego,1.1. Wzrost konkurencyjno_ci przedsi_biorstw poprzez innowacyjne inwestycje,1.1.1. Inwestycje w mikroprzedsi_biorstwa,"212,000.00","126,624.60",2008,2009
"""S_OWIK” Janusz S_owik","Zakup nowoczesnych koparko - _adowarek dla firmy „S_OWIK""",Regionalny Program Operacyjny Województwa Opolskiego,1.1 Rozwój przedsi_biorczo_ci,1.1.2 Inwestycje w mikroprzedsi_biorstwach,"843,630.00","442,780.00",2008,2009
"""SOFTCOM""",POSZERZENIE ZAKRESU DZIA_ANIA ORAZ PODNIESIENIE KONKURENCYJNO_CI FIRMY SOFTCOM POPRZEZ ZAKUP URZ_DZE_ S_U__CYCH DO PRODUKCJI REJESTRATORÓW GPS,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"157,380.00","50,880.00",2008,2009
"""Spó_ka Meblowa KAM"" - K.Kosiak, M. Szewczuk, A.Wo_osz, T. Zarzebski - Spó_ka Jawna","Wzrost konkurencyjnosci Spó_ki Meblowej ""KAM"" s.j. w Milejewie poprzez zakup dwóch nowoczesnych maszyn: okleiniarki do waskich powierzchni i sterowanego numerycznie centrum obróbczego.",Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.9. Inne inwestycje w przedsi_biorstwa,"1,195,600.00","490,000.00",2008,2009
"""TAR-BUD"" Gurba Jerzy","Zwi_kszenie konkurencyjno_ci przedsi_biorstwa poprzez inwestycje w innowacyjne maszyny w firmie ""TAR-BUD"" Gurba Jerzy",Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"125,538.00","46,305.00",2008,2009
"""TECH-KAN"" Bezwykopowe Renowacje Kanalizacji Adam Wojciechowski",Zakup samobie_nej maszyny do ci_nieniowego czyszczenia kanalizacji,Regionalny Program Operacyjny Województwa Dolno_l_skiego,1.1. Inwestycje dla przedsi_biorstw,,"1,708,000.00","770,000.00",2008,2009
"""TERMET"" S.A.",Podniesienie kwalifkacji pracowników _ród_em sukcesu,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"403,094.00","223,032.34",2008,2009
"""TEWES-BIS"" Spó_ka z ograniczona odpowiedzialnoscia","Zasadnicza zmiana procesu produkcyjnego - zakup przecinarki do ciecia strumieniem wody, technologii komputerowych wraz z
zakupem materia_ów i robót budowlanych w celu rozbudowy istniej_cej hali.",Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.7. Dotacje inwestycyjne dla mikroprzedsi_biorstw i sektora M_P w zakresie innowacji i nowych technologii,"1,622,600.00","665,000.00",2008,2009
"""TRANS-BETON"" PIETRZAK Spó_ka Jawna","Rozbudowa istniej_cego przedsi_biorstwa - baza w Samp_awie - poprzez pozyskanie technologii z zakresu produkcji i sprzedazy
betonu - zakup wytwórni betonu, _adowarki, pompy do betonu wraz z podwoziem.",Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.7. Dotacje inwestycyjne dla mikroprzedsi_biorstw i sektora M_P w zakresie innowacji i nowych technologii,"3,416,000.00","1,317,211.00",2008,2009
"""TRUST"" Przedsiebiorstwo Budowlane Arkadiusz Poniatowski","Wzmocnienie inwestycyjne firmy ""TRUST"" poprzez zakup sprzetu budowlanego",Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.9. Inne inwestycje w przedsi_biorstwa,"2,745,000.00","1,125,000.00",2008,2009
"""TYRON"" spó_ka z ograniczon_ odpowiedzialno_ci_",Zakup linii technologicznej do produkcji styropianu,Regionalny Program Operacyjny Województwa Opolskiego,1.1 Rozwój przedsi_biorczo_ci,1.1.2 Inwestycje w mikroprzedsi_biorstwach,"1,969,177.59","549,917.05",2008,2009
