payee_name,project_title,year_joined,public_expenditure_listing,fund,uri
Νοµαρχία Πρέβεζας,"Βελτίωση - Κατασκευή 1ης Επ.Οδού, Χ.Θ.0+900,00 Ε Σ Χ.Θ. 0+3.200,00 κ",2009,"5.100.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
∆ήµος Φαναρίου,Σύνδεση Καναλλακίου µε ΕΟ Πρέβεζας,2009,"8.661.908,61 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Νοµαρχία Άρτας,Βελτίωση - Ασφαλτόστρωση ∆ρόµου Άρ Επαρχιακή Οδός),2009,"3.000.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
∆ήµος Αρταίων,∆ιάνοιξη της οδού Άρτας - Λιµήνης,2009,"3.600.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Νοµαρχία Άρτας,Παράκαµψη Συνοικισµού Έλατος - Κορ,2009,"5.400.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Νοµαρχία Θεσπρωτίας,Βελτίωση Επαρχιακού ∆ρόµου ΑΡ.9 απ Μέχρι Καρβουνάρι,2009,"1.500.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Περιφέρεια Ηπείρου/∆ΙΣΑ,Ενέργειες Ενίσχυσης της Κοινωνικής της ποιότητας ζωής ηλικιωµένων και κατ΄οίκων βοήθειας,2009,"9.956.750,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Περιφέρεια Ηπείρου/∆ΙΣΑ,Παρεµβάσεις ευαισθητοποίησης νέων χρηµατοδοτούνται από το ΕΚΤ,2009,"300.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Ε∆Α Ηπείρου,Παροχή υπηρεσιών συµβούλων νοµικών πλαίσια της διαχείρισης παρακολούθ ΘΣΗ για την Ήπειρο (έργο Τεχνικής,2009,"26.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Σύµβουλος υποστήριξης διεύθυνσης δ Περιφέρειας Θεσσαλίας για την έναρ έργων που χρηµατοδοτούνται από το Ε.Π.Θ-Η-ΣΤ.Ε,2009,"153.600,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Σύµβουλος υποστήριξης διεύθυνσης ε κατασκευής έργων Περιφέρειας Θεσσα έναρξη υλοποίησης έργων που χρηµατ το Ε.Π. Θ-Η-ΣΤ.Ε,2009,"150.400,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Σύµβουλος υποστήριξης ∆/σης σχεδιασ την έναρξη υλοποίησης έργων που χρ Ε.Π. Θ-Η-ΣΤ.Ε,2009,"144.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Σύµβουλος παρακολούθησης ΣΜΠΕ,2009,"72.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Υποστήριξη από νοµικό σύµβουλο για Ε∆Α,2009,"64.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Σύµβουλος υποστήριξης Ε∆Α στις δια ενεργοποίησης των αξόνων του Ε.Π Θ,2009,"96.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Σύµβουλος επικοινωνίας,2009,"72.000,00 €",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362
