payee_name,project_title,year_joined,public_expenditure_listing,fund,uri
Νοµαρχιακή Αυτοδιοίκηση Πέλλας,1ο δηµοτικό σχολείο Αριδαίας,2009,1.432.887 €,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343
Νοµαρχιακή Αυτοδιοίκηση Πέλλας,∆ηµοτικό σχολείο Πενταπλατάνου,2009,532.100 €,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343
Νοµαρχιακή Αυτοδιοίκηση Θεσσαλονίκης,Προσθήκη κτιρίου στο συγκρότηµα ΤΕΕ Ευκλείδης,2009,3.511.824 €,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343
Νοµαρχιακή Αυτοδιοίκηση Χαλκιδικής,1ο δηµοτικό σχολείο Κασσανδρείας,2009,1.156.038 €,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343
Νοµαρχιακή Αυτοδιοίκηση Πιερίας,Κατασκευή 8 αιθουσών στο 2ο δηµοτικό σχολείο Κατερίνης,2009,994.845 €,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343
∆ιεύθυνση ∆ηµοσίων Έργων Περιφέρειας Κεντρικής Μακεδονίας,Κατασκευή κόµβων δήµου Μυγδονίας,2009,3.300.000 €,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343
∆ιεύθυνση ∆ηµοσίων Έργων Περιφέρειας Κεντρικής Μακεδονίας,"Περιµετρική οδός Πολυγύρου, τµήµα Άγιος Βλάσης - προς Βράσταµα",2009,8.650.000 €,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343
∆ιεύθυνση ∆ηµοσίων Έργων Περιφέρειας Κεντρικής Μακεδονίας,Οδικός άξονας Σέρρες - Αµφίπολη,2009,38.591.200 €,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343
∆ιεύθυνση Σχεδιασµού και Ανάπτυξης Περιφέρειας Κεντρικής Μακεδονίας,Ενέργειες ενίσχυσης της κοινωνικής συνοχής και βελτίωσης της ποιότητας ζωής ηλικιωµένων και ατόµων που χρήζουν κατ' οίκον βοήθειας,2008,20.011.865 €,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343
∆ιεύθυνση ∆ηµοσίων Έργων Περιφέρειας Κεντρικής Μακεδονίας,"Οδικός άξονας Θεσσαλονίκη - Κιλκίς - ∆οϊράνη, τµήµα από Α/Κ Ασσήρου έως Α/Κ Ν. Σάντα",2009,58.000.000 €,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343
∆ιεύθυνση ∆ηµοσίων Έργων Περιφέρειας Κεντρικής Μακεδονίας,Κατασκευή οδικού τµήµατος Ποτίδαια - Κασσανδρεία του οδικού κυκλώµατος Κασσάνδρας Ν. Χαλκιδικής,2009,80.000.000 €,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343
